date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1984-11-01,M,M,0.00,0.0,0
1984-11-02,65,53,0.00,0.0,0
1984-11-03,65,43,0.00,0.0,0
1984-11-04,70,52,0.00,0.0,0
1984-11-05,75,39,0.00,0.0,0
1984-11-06,65,53,0.00,0.0,0
1984-11-07,75,53,0.00,0.0,0
1984-11-08,83,66,0.00,0.0,0
1984-11-09,81,70,0.00,0.0,0
1984-11-10,M,M,0.00,0.0,0
1984-11-11,65,35,0.00,0.0,0
1984-11-12,69,33,0.00,0.0,0
1984-11-13,69,M,0.00,0.0,0
1984-11-14,76,52,0.00,0.0,0
1984-11-15,79,64,0.26,0.0,0
1984-11-16,M,51,0.17,0.0,0
1984-11-17,58,50,0.00,0.0,0
1984-11-18,67,M,0.25,0.0,0
1984-11-19,51,43,0.00,0.0,0
1984-11-20,50,42,0.00,0.0,0
1984-11-21,54,32,0.00,0.0,0
1984-11-22,56,25,0.00,0.0,0
1984-11-23,60,28,0.00,0.0,0
1984-11-24,M,29,0.00,0.0,0
1984-11-25,73,48,0.45,0.0,0
1984-11-26,74,57,0.78,0.0,0
1984-11-27,67,44,0.00,0.0,0
1984-11-28,59,28,0.00,0.0,0
1984-11-29,73,43,0.00,0.0,0
1984-11-30,69,43,0.00,0.0,0
1984-12-01,71,35,0.00,0.0,0
1984-12-02,70,53,0.00,0.0,0
1984-12-03,57,33,0.00,0.0,0
1984-12-04,49,37,0.03,0.0,0
1984-12-05,39,34,0.76,0.0,0
1984-12-06,49,33,0.00,0.0,0
1984-12-07,58,22,0.00,0.0,0
1984-12-08,69,39,0.00,0.0,0
1984-12-09,76,54,0.00,0.0,0
1984-12-10,77,43,0.00,0.0,0
1984-12-11,75,42,0.00,0.0,0
1984-12-12,71,64,0.00,0.0,0
1984-12-13,74,60,0.38,0.0,0
1984-12-14,75,64,0.03,0.0,0
1984-12-15,75,64,0.00,0.0,0
1984-12-16,75,48,0.74,0.0,0
1984-12-17,71,60,0.38,0.0,0
1984-12-18,68,55,0.04,0.0,0
1984-12-19,71,53,0.11,0.0,0
1984-12-20,73,61,0.00,0.0,0
1984-12-21,77,66,0.00,0.0,0
1984-12-22,67,41,0.00,0.0,0
1984-12-23,66,43,0.00,0.0,0
1984-12-24,72,56,0.00,0.0,0
1984-12-25,69,38,0.00,0.0,0
1984-12-26,63,48,0.00,0.0,0
1984-12-27,68,47,0.00,0.0,0
1984-12-28,80,66,0.00,0.0,0
1984-12-29,80,65,0.00,0.0,0
1984-12-30,80,64,0.00,0.0,0
1984-12-31,72,57,1.11,0.0,0
1985-01-01,57,37,0.17,0.0,0
1985-01-02,38,29,0.23,0.0,0
1985-01-03,47,29,0.00,0.0,0
1985-01-04,49,27,0.00,0.0,0
1985-01-05,54,33,0.00,0.0,0
1985-01-06,59,25,0.00,0.0,0
1985-01-07,63,33,0.00,0.0,0
1985-01-08,60,27,0.00,0.0,0
1985-01-09,65,35,0.00,0.0,0
1985-01-10,61,35,0.00,0.0,0
1985-01-11,39,33,0.00,0.0,0
1985-01-12,34,24,0.00,0.0,0
1985-01-13,32,27,0.07,0.0,0
1985-01-14,54,31,0.00,0.0,0
1985-01-15,56,24,0.00,0.0,0
1985-01-16,51,44,1.07,0.0,0
1985-01-17,53,31,0.00,0.0,0
1985-01-18,65,37,0.00,0.0,0
1985-01-19,70,M,0.00,0.0,0
1985-01-20,M,13,0.00,0.0,0
