date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2009-08-01,95,75,0.00,0.0,0
2009-08-02,95,72,0.00,0.0,0
2009-08-03,100,72,0.00,0.0,0
2009-08-04,100,75,0.00,0.0,0
2009-08-05,102,75,0.00,0.0,0
2009-08-06,102,79,0.00,0.0,0
2009-08-07,102,75,0.00,0.0,0
2009-08-08,100,75,0.00,0.0,0
2009-08-09,100,77,0.00,0.0,0
2009-08-10,102,77,0.00,0.0,0
2009-08-11,102,75,0.00,0.0,0
2009-08-12,97,73,0.06,0.0,0
2009-08-13,97,70,0.00,0.0,0
2009-08-14,99,72,0.00,0.0,0
2009-08-15,100,75,0.00,0.0,0
2009-08-16,100,75,0.00,0.0,0
2009-08-17,100,75,0.00,0.0,0
2009-08-18,100,75,0.00,0.0,0
2009-08-19,100,75,0.00,0.0,0
2009-08-20,100,79,0.00,0.0,0
2009-08-21,97,79,0.00,0.0,0
2009-08-22,100,72,0.00,0.0,0
2009-08-23,102,72,0.00,0.0,0
2009-08-24,M,72,0.00,0.0,0
2009-08-25,102,M,0.00,0.0,0
2009-08-26,104,75,0.00,0.0,0
2009-08-27,97,75,0.00,0.0,0
2009-08-28,95,72,0.00,0.0,0
2009-08-29,93,66,0.00,0.0,0
2009-08-30,91,68,0.00,0.0,0
2009-08-31,91,66,0.00,0.0,0
2009-09-01,93,70,0.00,0.0,0
2009-09-02,97,70,0.00,0.0,0
2009-09-03,102,73,0.63,0.0,0
2009-09-04,90,68,0.37,0.0,0
2009-09-05,90,72,1.02,0.0,0
2009-09-06,93,68,0.00,0.0,0
2009-09-07,95,70,0.00,0.0,0
2009-09-08,95,72,0.00,0.0,0
2009-09-09,93,72,0.00,0.0,0
2009-09-10,90,72,0.30,0.0,0
2009-09-11,75,70,3.36,0.0,0
2009-09-12,73,70,1.10,0.0,0
2009-09-13,81,70,0.18,0.0,0
2009-09-14,72,70,0.23,0.0,0
2009-09-15,81,70,0.00,0.0,0
2009-09-16,81,68,0.00,0.0,0
2009-09-17,77,66,0.06,0.0,0
2009-09-18,79,70,0.00,0.0,0
2009-09-19,84,66,0.00,0.0,0
2009-09-20,91,64,0.00,0.0,0
2009-09-21,93,66,0.52,0.0,0
2009-09-22,68,63,0.35,0.0,0
2009-09-23,64,57,0.11,0.0,0
2009-09-24,70,55,0.00,0.0,0
2009-09-25,81,55,0.00,0.0,0
2009-09-26,90,61,0.00,0.0,0
2009-09-27,91,66,0.00,0.0,0
2009-09-28,86,66,0.00,0.0,0
2009-09-29,82,63,0.00,0.0,0
2009-09-30,88,64,0.00,0.0,0
2009-10-01,86,66,0.05,0.0,0
2009-10-02,79,57,0.00,0.0,0
2009-10-03,73,55,0.51,0.0,0
2009-10-04,72,61,1.30,0.0,0
2009-10-05,72,61,0.00,0.0,0
2009-10-06,88,66,0.00,0.0,0
2009-10-07,68,57,0.00,0.0,0
2009-10-08,90,68,0.00,0.0,0
2009-10-09,81,52,1.71,0.0,0
2009-10-10,55,52,0.00,0.0,0
2009-10-11,57,52,0.33,0.0,0
2009-10-12,68,55,0.00,0.0,0
2009-10-13,72,64,0.88,0.0,0
2009-10-14,88,70,0.00,0.0,0
2009-10-15,81,57,0.00,0.0,0
2009-10-16,70,54,0.00,0.0,0
2009-10-17,73,52,0.00,0.0,0
2009-10-18,70,50,0.00,0.0,0
2009-10-19,75,52,0.00,0.0,0
2009-10-20,81,55,0.00,0.0,0
2009-10-21,73,66,0.78,0.0,0
2009-10-22,64,50,1.76,0.0,0
2009-10-23,66,45,0.00,0.0,0
2009-10-24,73,45,0.00,0.0,0
2009-10-25,81,54,0.00,0.0,0
2009-10-26,70,52,2.80,0.0,0
2009-10-27,66,46,0.01,M,0
2009-10-28,77,50,0.05,0.0,0
2009-10-29,82,54,0.00,0.0,0
2009-10-30,66,46,0.00,0.0,0
2009-10-31,72,39,0.00,0.0,0
2009-11-01,73,45,0.00,0.0,0
2009-11-02,73,45,0.00,0.0,0
2009-11-03,75,46,0.00,0.0,0
2009-11-04,79,48,0.00,0.0,0
2009-11-05,75,46,0.00,0.0,0
2009-11-06,77,52,0.00,0.0,0
2009-11-07,75,57,0.00,0.0,0
2009-11-08,72,55,0.04,0.0,0
2009-11-09,75,61,0.02,0.0,0
2009-11-10,75,55,0.00,0.0,0
2009-11-11,73,54,0.00,0.0,0
2009-11-12,73,46,0.00,0.0,0
2009-11-13,73,52,0.00,0.0,0
2009-11-14,77,55,0.00,0.0,0
2009-11-15,79,59,0.00,0.0,0
2009-11-16,63,41,0.00,0.0,0
2009-11-17,64,37,0.00,0.0,0
2009-11-18,72,32,0.00,0.0,0
2009-11-19,72,45,0.00,0.0,0
2009-11-20,64,52,0.63,0.0,0
2009-11-21,57,52,0.29,0.0,0
2009-11-22,63,45,0.00,0.0,0
2009-11-23,72,45,0.00,0.0,0
2009-11-24,63,43,0.00,0.0,0
2009-11-25,64,39,0.00,0.0,0
2009-11-26,63,37,0.00,0.0,0
2009-11-27,68,43,0.00,0.0,0
2009-11-28,72,48,0.00,0.0,0
2009-11-29,70,46,0.00,0.0,0
2009-11-30,57,43,0.00,0.0,0
2009-12-01,48,41,0.87,M,0
2009-12-02,46,36,0.01,0.0,0
2009-12-03,45,32,0.00,0.0,0
2009-12-04,39,27,0.00,0.0,0
2009-12-05,46,23,0.00,0.0,0
2009-12-06,48,34,0.02,0.0,0
2009-12-07,48,41,0.05,0.0,0
2009-12-08,54,39,0.03,0.0,0
2009-12-09,50,27,0.00,0.0,0
2009-12-10,41,28,0.00,0.0,0
2009-12-11,48,36,0.00,0.0,0
2009-12-12,48,43,0.06,0.0,0
2009-12-13,70,46,0.00,0.0,0
2009-12-14,77,50,0.00,0.0,0
2009-12-15,48,34,0.00,0.0,0
2009-12-16,46,32,0.00,0.0,0
2009-12-17,55,36,0.00,0.0,0
2009-12-18,63,30,0.00,0.0,0
2009-12-19,59,32,0.00,0.0,0
2009-12-20,63,27,0.00,0.0,0
2009-12-21,64,37,0.00,0.0,0
2009-12-22,70,48,0.00,0.0,0
2009-12-23,73,55,0.00,0.0,0
2009-12-24,59,30,0.24,M,0
2009-12-25,46,21,0.00,0.0,M
2009-12-26,50,25,0.00,0.0,0
2009-12-27,52,23,0.00,0.0,0
2009-12-28,50,25,0.00,0.0,0
2009-12-29,39,28,0.21,M,0
2009-12-30,61,39,0.01,0.0,0
2009-12-31,55,36,0.02,0.0,0
2010-01-01,54,28,0.00,0.0,0
2010-01-02,54,25,0.00,0.0,0
2010-01-03,46,34,0.01,0.0,0
2010-01-04,39,27,0.00,0.0,0
2010-01-05,46,21,0.00,0.0,0
2010-01-06,52,30,0.02,0.0,0
2010-01-07,48,25,0.01,0.0,0
2010-01-08,30,18,0.00,0.0,0
2010-01-09,37,9,0.00,0.0,0
2010-01-10,46,12,0.00,0.0,0
2010-01-11,57,21,0.00,0.0,0
2010-01-12,61,27,0.00,0.0,0
2010-01-13,61,34,0.00,0.0,0
2010-01-14,55,46,0.01,0.0,0
2010-01-15,54,45,0.82,0.0,0
2010-01-16,57,45,0.06,0.0,0
2010-01-17,64,34,0.00,0.0,0
2010-01-18,66,45,0.00,0.0,0
2010-01-19,68,57,0.00,0.0,0
2010-01-20,72,55,0.00,0.0,0
2010-01-21,72,45,0.00,0.0,0
2010-01-22,73,43,0.00,0.0,0
2010-01-23,64,50,0.00,0.0,0
2010-01-24,63,36,0.00,0.0,0
2010-01-25,61,30,0.00,0.0,0
2010-01-26,64,28,0.00,0.0,0
2010-01-27,64,43,0.00,0.0,0
2010-01-28,61,52,2.49,0.0,0
2010-01-29,52,30,1.10,M,0
2010-01-30,36,27,0.00,0.0,0
2010-01-31,34,30,0.00,0.0,0
2010-02-01,45,28,0.00,0.0,0
2010-02-02,55,39,0.00,0.0,0
2010-02-03,48,39,0.23,0.0,0
2010-02-04,45,43,1.90,0.0,0
2010-02-05,55,45,0.00,0.0,0
2010-02-06,52,36,0.00,0.0,0
2010-02-07,46,34,0.00,0.0,0
2010-02-08,54,39,0.33,0.0,0
2010-02-09,43,28,0.00,0.0,0
2010-02-10,41,30,0.01,0.0,0
2010-02-11,37,32,0.74,M,0
2010-02-12,39,30,0.07,M,M
