date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2009-08-01,90,71,M,0.0,0
2009-08-02,93,M,0.00,0.0,0
2009-08-03,97,74,0.00,0.0,0
2009-08-04,97,73,0.00,0.0,0
2009-08-05,99,75,M,0.0,0
2009-08-06,98,74,M,0.0,0
2009-08-07,97,73,0.00,0.0,0
2009-08-08,96,74,0.00,0.0,0
2009-08-09,97,74,0.00,0.0,0
2009-08-10,97,75,0.00,0.0,0
2009-08-11,91,75,0.00,0.0,0
2009-08-12,93,71,0.00,0.0,0
2009-08-13,94,70,0.00,0.0,0
2009-08-14,94,71,0.00,0.0,0
2009-08-15,97,73,0.00,0.0,0
2009-08-16,97,74,0.00,0.0,0
2009-08-17,97,75,0.00,0.0,0
2009-08-18,95,74,0.00,0.0,0
2009-08-19,98,73,0.00,0.0,0
2009-08-20,97,76,0.00,0.0,0
2009-08-21,88,66,0.31,0.0,0
2009-08-22,94,65,0.00,0.0,0
2009-08-23,97,71,0.00,0.0,0
2009-08-24,100,69,0.00,0.0,0
2009-08-25,100,73,0.00,0.0,0
2009-08-26,100,68,0.00,0.0,0
2009-08-27,92,72,M,0.0,0
2009-08-28,90,70,0.00,0.0,0
2009-08-29,89,62,0.00,0.0,0
2009-08-30,87,66,0.00,0.0,0
2009-08-31,86,65,0.00,0.0,0
2009-09-01,90,64,0.00,0.0,0
2009-09-02,94,67,0.00,0.0,0
2009-09-03,97,69,0.00,0.0,0
2009-09-04,89,67,0.14,0.0,0
2009-09-05,91,67,0.00,0.0,0
2009-09-06,93,67,0.00,0.0,0
2009-09-07,95,67,0.00,0.0,0
2009-09-08,95,67,0.00,0.0,0
2009-09-09,95,69,0.00,0.0,0
2009-09-10,94,67,1.15,0.0,0
2009-09-11,81,67,0.86,0.0,0
2009-09-12,70,68,0.28,0.0,0
2009-09-13,71,67,0.03,0.0,0
2009-09-14,72,67,0.01,0.0,0
2009-09-15,79,67,0.03,0.0,0
2009-09-16,76,66,0.01,0.0,0
2009-09-17,78,66,0.02,0.0,0
2009-09-18,79,69,0.02,0.0,0
2009-09-19,82,67,0.02,0.0,0
2009-09-20,87,67,0.00,0.0,0
2009-09-21,89,M,M,0.0,0
2009-09-24,72,M,0.00,0.0,0
2009-09-25,79,53,0.00,0.0,0
2009-09-26,86,59,0.01,0.0,0
2009-09-27,91,67,0.00,0.0,0
2009-09-28,81,60,0.00,0.0,0
2009-09-29,78,52,0.00,0.0,0
2009-09-30,83,58,0.00,0.0,0
2009-10-01,85,64,0.00,0.0,0
2009-10-02,75,50,0.00,0.0,0
2009-10-03,77,52,0.25,0.0,0
2009-10-04,64,57,0.41,0.0,0
2009-10-05,68,56,0.00,0.0,0
2009-10-06,84,61,0.00,0.0,0
2009-10-07,67,57,0.00,0.0,0
2009-10-08,88,67,0.00,0.0,0
2009-10-09,79,50,0.40,0.0,0
2009-10-10,53,49,0.07,0.0,0
2009-10-11,55,51,0.01,0.0,0
2009-10-12,63,53,0.00,0.0,0
2009-10-13,68,62,0.00,0.0,0
2009-10-14,86,67,0.00,0.0,0
2009-10-15,M,53,0.05,0.0,0
2009-10-16,67,49,0.00,0.0,0
2009-10-17,73,47,0.00,0.0,0
2009-10-18,67,44,0.00,0.0,0
2009-10-19,73,49,0.00,0.0,0
2009-10-20,77,54,0.00,0.0,0
2009-10-21,66,59,0.00,0.0,0
2009-10-22,60,47,0.00,0.0,0
2009-10-23,63,43,0.00,0.0,0
2009-10-24,71,40,0.00,0.0,0
2009-10-25,76,52,0.00,0.0,0
2009-10-26,58,48,0.01,0.0,0
2009-10-27,63,44,0.00,0.0,0
2009-10-28,71,47,0.00,0.0,0
2009-10-29,76,52,0.01,0.0,0
2009-10-30,61,42,0.00,0.0,0
2009-10-31,70,40,0.00,0.0,0
2009-11-01,71,45,0.00,0.0,0
2009-11-02,72,47,0.00,0.0,0
2009-11-03,73,48,0.00,0.0,0
2009-11-04,76,50,0.00,0.0,0
2009-11-05,76,51,0.00,0.0,0
2009-11-06,77,51,0.00,0.0,0
2009-11-07,72,56,0.00,0.0,0
2009-11-08,74,56,0.00,0.0,0
2009-11-09,76,61,0.00,0.0,0
2009-11-10,76,55,0.00,0.0,0
2009-11-11,72,54,0.00,0.0,0
2009-11-12,72,47,0.00,0.0,0
2009-11-13,73,53,0.00,0.0,0
