date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1959-08-01,98,60,0.00,0.0,0
1959-08-02,97,61,0.00,0.0,0
1959-08-03,94,49,0.00,0.0,0
1959-08-04,98,51,0.00,0.0,0
1959-08-05,97,38,0.00,0.0,0
1959-08-06,85,55,0.00,0.0,0
1959-08-07,94,53,0.00,0.0,0
1959-08-08,97,52,0.00,0.0,0
1959-08-09,91,53,0.00,0.0,0
1959-08-10,89,47,0.00,0.0,0
1959-08-11,86,51,0.00,0.0,0
1959-08-12,86,52,0.55,0.0,0
1959-08-13,88,42,0.00,0.0,0
1959-08-14,90,51,0.00,0.0,0
1959-08-15,94,55,0.00,0.0,0
1959-08-16,92,47,0.00,0.0,0
1959-08-17,88,39,0.00,0.0,0
1959-08-18,87,42,0.00,0.0,0
1959-08-19,90,46,0.11,0.0,0
1959-08-20,88,44,0.00,0.0,0
1959-08-21,90,46,0.00,0.0,0
1959-08-22,92,44,0.00,0.0,0
1959-08-23,84,38,0.00,0.0,0
1959-08-24,85,42,0.00,0.0,0
1959-08-25,79,43,0.00,0.0,0
1959-08-26,86,54,0.00,0.0,0
1959-08-27,88,49,0.00,0.0,0
1959-08-28,84,48,0.00,0.0,0
1959-08-29,90,55,0.00,0.0,0
1959-08-30,88,51,0.00,0.0,0
1959-08-31,90,42,0.00,0.0,0
1959-09-01,81,40,0.12,0.0,0
1959-09-02,M,M,0.00,0.0,0
1959-09-03,75,34,0.00,0.0,0
1959-09-04,79,45,0.00,0.0,0
1959-09-05,89,47,0.00,0.0,0
1959-09-06,90,49,0.00,0.0,0
1959-09-07,88,46,0.00,0.0,0
1959-09-08,80,36,0.00,0.0,0
1959-09-09,66,34,0.00,0.0,0
1959-09-10,89,45,0.00,0.0,0
1959-09-11,90,39,0.00,0.0,0
1959-09-12,90,54,0.00,0.0,0
1959-09-13,95,39,0.00,0.0,0
1959-09-14,88,42,0.00,0.0,0
1959-09-15,66,39,0.00,0.0,0
1959-09-16,62,38,0.13,0.0,0
1959-09-17,46,36,T,0.0,0
1959-09-18,57,40,0.18,0.0,0
1959-09-19,M,M,0.00,0.0,0
1959-09-20,75,39,0.00,0.0,0
1959-09-21,M,M,0.58,0.0,0
1959-09-22,55,38,0.13,0.0,0
1959-09-23,63,39,0.00,0.0,0
1959-09-24,70,40,0.00,0.0,0
1959-09-25,65,42,0.45,0.0,0
1959-09-26,60,44,0.05,0.0,0
1959-09-27,M,M,0.00,0.0,0
1959-09-28,40,31,0.50,0.0,0
1959-09-29,50,27,0.00,0.0,0
1959-09-30,52,28,0.00,0.0,0
1959-10-01,51,26,0.00,0.0,0
1959-10-02,58,34,0.00,0.0,0
1959-10-03,70,39,0.00,0.0,0
1959-10-04,69,35,0.00,0.0,0
1959-10-05,72,34,0.00,0.0,0
1959-10-06,62,30,0.00,0.0,0
1959-10-07,38,26,0.40,M,M
1959-10-08,31,21,0.00,0.0,M
1959-10-09,35,20,0.19,M,M
1959-10-10,36,19,0.00,0.0,M
1959-10-11,M,15,0.00,0.0,M
1959-10-12,34,M,0.00,0.0,M
1959-10-13,56,28,0.00,0.0,M
1959-10-14,61,30,0.00,0.0,M
1959-10-15,59,28,0.00,0.0,M
1959-10-16,57,25,0.00,0.0,M
1959-10-17,M,M,0.00,0.0,M
1959-10-18,72,34,0.00,0.0,M
1959-10-19,68,28,0.00,0.0,M
1959-10-20,45,27,0.00,0.0,M
1959-10-21,48,29,0.00,0.0,M
1959-10-22,61,30,0.00,0.0,M
1959-10-23,55,39,0.00,0.0,M
1959-10-24,59,30,0.00,0.0,M
1959-10-25,M,M,0.00,0.0,M
1959-10-26,59,32,T,M,M
1959-10-27,51,27,0.00,0.0,M
1959-10-28,47,27,0.00,0.0,M
1959-10-29,39,28,0.00,0.0,M
1959-10-30,42,29,0.00,0.0,M
1959-10-31,45,27,0.00,0.0,M
1959-11-01,M,M,0.00,0.0,0
1959-11-02,71,34,0.00,0.0,0
