date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1959-07-01,M,M,M,0.0,0
1959-07-02,M,M,M,0.0,0
1959-07-03,M,M,M,0.0,0
1959-07-06,M,M,M,0.0,0
1959-07-07,M,M,M,0.0,0
1959-07-08,M,M,M,0.0,0
1959-07-09,M,M,M,0.0,0
1959-07-10,M,M,M,0.0,0
1959-07-11,M,M,M,0.0,0
1959-07-12,M,M,M,0.0,0
1959-07-13,89,62,0.13,0.0,0
1959-07-14,79,59,0.25,0.0,0
1959-07-15,87,64,0.00,0.0,0
1959-07-16,80,61,0.00,0.0,0
1959-07-17,79,58,0.00,0.0,0
1959-07-18,85,58,0.00,0.0,0
1959-07-19,89,60,0.03,0.0,0
1959-07-20,81,61,0.00,0.0,0
1959-07-21,84,63,M,0.0,0
1959-07-22,84,56,0.00,0.0,0
1959-07-23,88,61,0.00,0.0,0
1959-07-24,98,65,T,0.0,0
1959-07-25,89,66,0.08,0.0,0
1959-07-26,97,68,T,0.0,0
1959-07-27,91,70,T,0.0,0
1959-07-28,M,M,M,0.0,0
1959-07-29,78,53,0.00,0.0,0
1959-07-30,85,56,0.00,0.0,0
1959-07-31,90,61,0.00,0.0,0
1959-08-01,92,70,T,0.0,0
1959-08-02,93,70,0.00,0.0,0
1959-08-03,87,65,0.00,0.0,0
1959-08-04,93,60,0.00,0.0,0
1959-08-05,73,57,0.00,0.0,0
1959-08-06,79,52,0.00,0.0,0
1959-08-07,89,62,0.00,0.0,0
1959-08-08,90,60,0.00,0.0,0
1959-08-09,78,57,0.00,0.0,0
1959-08-10,85,58,0.00,0.0,0
1959-08-11,72,54,0.00,0.0,0
1959-08-12,75,51,T,0.0,0
1959-08-13,65,51,0.00,0.0,0
1959-08-14,81,51,0.00,0.0,0
1959-08-15,78,53,T,0.0,0
1959-08-16,83,48,0.00,0.0,0
1959-08-17,90,59,0.00,0.0,0
1959-08-18,79,62,0.17,0.0,0
1959-08-19,65,54,0.63,0.0,0
1959-08-20,67,55,T,0.0,0
1959-08-21,83,56,T,0.0,0
1959-08-22,77,60,0.00,0.0,0
1959-08-23,78,53,0.00,0.0,0
1959-08-24,85,55,0.00,0.0,0
1959-08-25,77,50,0.00,0.0,0
1959-08-26,77,52,0.00,0.0,0
1959-08-27,81,54,0.00,0.0,0
1959-08-28,79,56,T,0.0,0
1959-08-29,66,54,0.42,0.0,0
1959-08-30,80,45,0.00,0.0,0
1959-08-31,76,54,T,0.0,0
1959-09-01,60,48,T,0.0,0
1959-09-02,67,40,0.00,0.0,0
1959-09-03,79,47,0.00,0.0,0
1959-09-04,79,63,0.00,0.0,0
1959-09-05,76,58,0.00,0.0,0
1959-09-06,79,52,0.00,0.0,0
1959-09-07,75,44,0.00,0.0,0
1959-09-08,72,41,0.04,0.0,0
1959-09-09,64,41,T,0.0,0
1959-09-10,79,45,0.00,0.0,0
1959-09-11,80,54,0.00,0.0,0
1959-09-12,76,55,0.00,0.0,0
1959-09-13,88,50,0.00,0.0,0
1959-09-14,63,44,0.00,0.0,0
1959-09-15,53,37,0.00,0.0,0
1959-09-16,53,35,0.00,0.0,0
1959-09-17,51,39,0.05,0.0,0
1959-09-18,55,42,T,0.0,0
1959-09-19,71,46,T,0.0,0
1959-09-20,72,45,0.00,0.0,0
1959-09-21,51,48,1.48,0.0,0
1959-09-22,55,48,0.21,0.0,0
1959-09-23,61,45,0.00,0.0,0
1959-09-24,66,47,0.00,0.0,0
1959-09-25,53,49,0.12,0.0,0
1959-09-26,58,45,0.00,0.0,0
1959-09-27,46,M,0.17,0.0,0
1959-09-28,M,32,0.12,T,0
1959-09-29,48,28,0.00,0.0,0
1959-09-30,49,35,T,0.0,0
1959-10-01,49,31,0.00,0.0,0
1959-10-02,61,37,0.00,0.0,0
1959-10-03,69,45,0.00,0.0,0
1959-10-04,57,42,0.00,0.0,0
1959-10-05,59,39,0.05,0.0,0
1959-10-06,39,28,0.40,2.2,0
1959-10-07,31,23,0.55,5.5,2
1959-10-08,29,18,T,T,4
1959-10-09,32,18,0.19,1.5,2
1959-10-10,24,17,T,T,3
1959-10-11,25,19,T,T,2
1959-10-12,30,20,T,T,2
1959-10-13,44,30,0.00,0.0,1
1959-10-14,56,35,0.00,0.0,0
1959-10-15,50,35,0.00,0.0,0
1959-10-16,48,29,0.00,0.0,0
1959-10-17,59,35,0.00,0.0,0
1959-10-18,65,37,0.00,0.0,0
1959-10-19,46,30,0.00,0.0,0
1959-10-20,36,30,T,0.0,0
1959-10-21,44,34,0.00,0.0,0
1959-10-22,58,35,0.00,0.0,0
1959-10-23,57,38,0.00,0.0,0
1959-10-24,55,39,T,0.0,0
1959-10-25,56,34,0.09,0.0,0
1959-10-26,46,33,T,0.0,0
1959-10-27,46,31,0.00,0.0,0
1959-10-28,43,31,0.00,0.0,0
1959-10-29,34,32,T,T,0
1959-10-30,43,29,0.00,0.0,0
1959-10-31,51,30,0.00,0.0,0
1959-11-01,46,33,0.00,0.0,0
1959-11-02,62,31,0.00,0.0,0
1959-11-03,42,17,0.13,1.3,0
1959-11-04,17,5,0.15,1.5,2
1959-11-05,19,6,T,T,2
1959-11-06,34,7,0.00,0.0,2
1959-11-07,33,20,0.00,0.0,1
1959-11-08,38,19,0.00,0.0,1
1959-11-09,43,33,T,0.0,1
1959-11-10,35,14,T,T,1
1959-11-11,14,7,T,T,1
1959-11-12,7,-9,T,T,1
1959-11-13,-2,-12,T,T,1
1959-11-14,11,-5,T,T,1
1959-11-15,9,-18,0.47,4.7,3
1959-11-16,-2,-20,0.00,0.0,6
1959-11-17,30,-9,0.00,0.0,6
1959-11-18,34,27,0.03,0.3,4
1959-11-19,33,27,T,T,4
1959-11-20,36,24,0.00,0.0,4
1959-11-21,40,27,T,0.0,3
1959-11-22,35,22,0.00,0.0,1
1959-11-23,37,27,0.02,0.0,1
1959-11-24,33,22,0.13,1.3,1
1959-11-25,36,23,0.02,0.2,2
1959-11-26,25,20,T,T,2
1959-11-27,24,16,T,T,2
1959-11-28,37,21,0.00,0.0,2
1959-11-29,37,27,0.00,0.0,1
1959-11-30,35,20,0.03,0.3,1
1959-12-01,38,19,0.00,0.0,1
1959-12-02,45,35,0.00,0.0,1
1959-12-03,40,22,0.00,0.0,T
1959-12-04,30,17,0.00,0.0,T
1959-12-05,35,17,0.00,0.0,T
1959-12-06,43,26,0.00,0.0,T
1959-12-07,40,22,0.00,0.0,T
1959-12-08,34,18,0.00,0.0,T
1959-12-09,31,14,0.00,0.0,T
1959-12-10,37,20,0.00,0.0,T
1959-12-11,38,25,0.00,0.0,T
1959-12-12,40,25,0.00,0.0,T
1959-12-13,35,24,0.00,0.0,T
1959-12-14,37,20,0.00,0.0,T
1959-12-15,43,31,0.00,0.0,T
1959-12-16,36,24,T,0.0,T
1959-12-17,31,17,0.00,0.0,T
1959-12-18,32,23,0.00,0.0,T
1959-12-19,35,19,0.00,0.0,T
1959-12-20,29,15,0.00,0.0,T
1959-12-21,28,17,T,T,T
1959-12-22,25,14,0.00,0.0,T
1959-12-23,14,6,T,T,T
1959-12-24,30,9,0.00,0.0,T
1959-12-25,26,18,T,0.0,T
1959-12-26,25,20,0.22,T,T
1959-12-27,23,19,T,T,T
1959-12-28,27,9,0.00,0.0,T
1959-12-29,25,15,T,T,T
1959-12-30,23,11,0.00,0.0,T
1959-12-31,21,17,0.02,0.2,T
1960-01-01,18,2,0.13,1.3,1
1960-01-02,4,-8,0.02,0.2,2
1960-01-03,1,-11,T,T,2
1960-01-04,10,-15,T,T,2
1960-01-05,32,-14,0.05,0.5,2
1960-01-06,36,13,0.09,0.9,3
1960-01-07,26,8,0.00,0.0,4
1960-01-08,21,6,0.06,0.6,4
1960-01-09,20,8,T,T,5
1960-01-10,19,7,0.00,0.0,5
1960-01-11,34,14,0.00,0.0,5
1960-01-12,27,14,T,T,5
1960-01-13,17,8,T,T,5
1960-01-14,18,5,T,0.0,5
1960-01-15,22,5,0.00,0.0,5
1960-01-16,18,-0,T,T,5
1960-01-17,6,-4,T,T,5
1960-01-18,5,-7,T,T,5
1960-01-19,7,-6,T,T,5
1960-01-20,11,-8,0.03,0.3,5
1960-01-21,6,-8,T,T,5
1960-01-22,2,-11,T,T,5
1960-01-23,7,-3,T,T,5
1960-01-24,18,-1,0.00,0.0,5
1960-01-25,5,-1,0.15,1.5,5
1960-01-26,6,-8,0.10,1.0,8
1960-01-27,29,6,0.00,0.0,8
1960-01-28,22,6,0.00,0.0,8
1960-01-29,41,22,0.00,0.0,8
1960-01-30,40,30,0.00,0.0,6
1960-01-31,32,19,T,0.0,5
1960-02-01,27,20,0.00,0.0,5
1960-02-02,26,20,0.00,0.0,5
1960-02-03,33,21,0.00,0.0,5
1960-02-04,32,16,0.00,0.0,5
1960-02-05,26,19,0.00,0.0,5
1960-02-06,24,16,0.00,0.0,5
1960-02-07,44,19,0.00,0.0,5
1960-02-08,33,19,T,T,2
1960-02-09,19,10,0.08,0.8,3
1960-02-10,17,8,0.09,0.9,3
1960-02-11,19,6,T,T,4
1960-02-12,27,3,0.00,0.0,4
1960-02-13,39,19,T,T,4
1960-02-14,32,17,0.00,0.0,4
1960-02-15,37,23,0.02,0.2,4
1960-02-16,32,21,T,T,4
1960-02-17,28,-3,0.04,0.4,4
1960-02-18,2,-14,0.00,0.0,4
1960-02-19,7,-3,T,T,4
1960-02-20,11,-5,T,T,4
1960-02-21,9,-5,0.06,0.6,4
1960-02-22,7,-3,0.03,0.3,5
1960-02-23,8,-8,T,T,5
1960-02-24,5,-13,T,T,5
1960-02-25,7,-3,0.01,0.1,5
1960-02-26,5,-13,0.02,0.2,5
1960-02-27,1,-18,T,T,5
1960-02-28,2,-16,T,T,5
1960-02-29,4,-14,T,T,5
1960-03-01,-2,-16,0.01,0.1,5
1960-03-02,2,-19,0.01,0.1,5
1960-03-03,-5,-20,0.00,0.0,5
1960-03-04,5,-19,0.01,0.1,5
1960-03-05,8,-9,T,T,5
1960-03-06,13,3,T,T,5
1960-03-07,20,4,0.00,0.0,5
1960-03-08,27,15,0.03,0.3,5
1960-03-09,29,9,0.00,0.0,5
1960-03-10,17,2,T,T,5
1960-03-11,11,-4,0.00,0.0,5
1960-03-12,14,-6,0.00,0.0,5
1960-03-13,20,-2,T,T,5
1960-03-14,29,12,T,T,5
1960-03-15,32,12,0.00,0.0,5
1960-03-16,25,14,0.00,0.0,5
1960-03-17,42,14,0.01,0.1,5
1960-03-18,43,30,0.00,0.0,2
1960-03-19,45,32,T,0.0,1
1960-03-20,50,31,0.00,0.0,T
1960-03-21,43,24,0.00,0.0,T
1960-03-22,38,22,T,0.0,T
1960-03-23,45,21,0.00,0.0,T
1960-03-24,37,17,T,T,T
1960-03-25,51,30,0.00,0.0,T
1960-03-26,70,35,0.00,0.0,T
1960-03-27,50,30,0.00,0.0,T
1960-03-28,61,33,0.03,0.0,T
1960-03-29,53,28,0.00,0.0,0
1960-03-30,56,36,T,0.0,0
1960-03-31,50,30,0.02,0.0,0
1960-04-01,53,29,0.00,0.0,0
1960-04-02,55,30,0.00,0.0,0
1960-04-03,55,38,0.00,0.0,0
1960-04-04,58,36,0.00,0.0,0
1960-04-05,62,37,0.00,0.0,0
1960-04-06,52,32,0.00,0.0,0
1960-04-07,50,29,0.00,0.0,0
1960-04-08,50,25,0.00,0.0,0
1960-04-09,63,28,0.00,0.0,0
1960-04-10,52,36,0.01,0.0,0
1960-04-11,61,33,0.00,0.0,0
1960-04-12,57,38,T,0.0,0
1960-04-13,57,34,0.00,0.0,0
1960-04-14,65,35,0.02,0.0,0
1960-04-15,58,32,0.00,0.0,0
1960-04-16,49,31,0.04,T,0
1960-04-17,53,29,0.00,0.0,0
1960-04-18,59,37,0.00,0.0,0
1960-04-19,55,38,T,0.0,0
1960-04-20,61,33,0.00,0.0,0
1960-04-21,57,37,0.00,0.0,0
1960-04-22,39,32,0.31,0.0,0
1960-04-23,41,33,T,T,0
1960-04-24,34,26,0.62,6.2,T
1960-04-25,31,21,0.32,3.2,9
1960-04-26,33,17,T,T,10
1960-04-27,36,24,0.00,0.0,7
1960-04-28,42,27,T,0.0,5
1960-04-29,41,25,0.00,0.0,3
1960-04-30,56,28,T,0.0,1
1960-05-01,60,39,T,0.0,T
1960-05-02,44,32,0.04,T,T
1960-05-03,52,32,0.00,0.0,T
1960-05-04,52,36,0.07,0.0,0
1960-05-05,51,33,0.00,0.0,0
