date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1914-11-01,M,M,0.00,0.0,M
1914-11-02,M,M,0.00,0.0,M
1914-11-03,M,M,0.00,0.0,M
1914-11-04,M,M,0.00,0.0,M
1914-11-05,M,M,0.00,0.0,M
1914-11-06,M,M,0.00,0.0,M
1914-11-07,M,M,0.00,0.0,M
1914-11-08,M,M,0.00,0.0,M
1914-11-09,M,M,0.00,0.0,M
1914-11-10,M,M,0.00,0.0,M
1914-11-11,M,M,0.00,0.0,M
1914-11-12,M,M,0.00,0.0,M
1914-11-13,M,M,0.00,0.0,M
1914-11-14,M,M,0.00,0.0,M
1914-11-15,M,M,0.00,0.0,M
1914-11-16,M,M,0.00,0.0,M
1914-11-17,M,M,0.00,0.0,M
1914-11-18,M,M,0.00,0.0,M
1914-11-19,M,M,0.00,0.0,M
1914-11-20,M,M,0.00,0.0,M
1914-11-21,M,M,0.00,0.0,M
1914-11-22,M,M,0.00,0.0,M
1914-11-23,M,M,0.00,0.0,M
1914-11-24,M,M,0.00,0.0,M
1914-11-25,M,M,0.00,0.0,M
1914-11-26,M,M,0.00,0.0,M
1914-11-27,M,M,0.00,0.0,M
1914-11-28,M,M,0.00,0.0,M
1914-11-29,M,M,0.00,0.0,M
1914-11-30,M,M,0.00,0.0,M
1914-12-01,M,M,0.00,0.0,M
1914-12-02,M,M,0.00,0.0,M
1914-12-03,M,M,0.00,0.0,M
1914-12-04,M,M,0.00,0.0,M
1914-12-05,M,M,0.00,0.0,M
1914-12-06,M,M,T,T,M
1914-12-07,M,M,0.15,1.0,1
1914-12-08,M,M,0.06,0.8,2
1914-12-09,M,M,T,T,2
1914-12-10,M,M,0.00,0.0,2
1914-12-11,M,M,T,0.1,2
1914-12-12,M,M,0.00,0.0,2
1914-12-13,M,M,0.00,0.0,2
1914-12-14,M,M,0.00,0.0,2
1914-12-15,M,M,0.00,0.0,2
1914-12-16,M,M,0.00,0.0,2
1914-12-17,M,M,0.00,0.0,2
1914-12-18,M,M,0.03,0.4,2
1914-12-19,M,M,T,T,2
1914-12-20,M,M,0.35,4.5,7
1914-12-21,M,M,0.00,0.0,7
1914-12-22,M,M,0.00,0.0,6
1914-12-23,M,M,0.00,0.0,6
1914-12-24,M,M,T,T,6
1914-12-25,M,M,T,T,6
1914-12-26,M,M,T,T,6
1914-12-27,M,M,0.00,0.0,6
1914-12-28,M,M,T,T,6
1914-12-29,M,M,0.00,0.0,6
1914-12-30,M,M,0.00,0.0,6
1914-12-31,M,M,0.00,0.0,6
1915-02-01,M,M,0.05,0.5,1
1915-02-02,M,M,0.00,0.0,M
1915-02-03,M,M,0.00,0.0,M
1915-02-04,M,M,0.41,1.0,2
1915-02-05,M,M,0.00,0.0,M
1915-02-06,M,M,0.00,0.0,M
1915-02-07,M,M,0.00,0.0,M
1915-02-08,M,M,0.00,0.0,M
1915-02-09,M,M,0.00,0.0,M
1915-02-10,M,M,0.00,0.0,M
1915-02-11,M,M,0.00,0.0,M
1915-02-12,M,M,0.08,0.0,M
1915-02-13,M,M,0.00,0.0,M
1915-02-14,M,M,0.00,0.0,M
1915-02-15,M,M,0.00,0.0,M
1915-02-16,M,M,0.00,0.0,M
1915-02-17,M,M,0.00,0.0,M
1915-02-18,M,M,0.00,0.0,M
1915-02-19,M,M,0.00,0.0,M
1915-02-20,M,M,0.00,0.0,M
1915-02-21,M,M,0.13,0.0,M
1915-02-22,M,M,T,T,M
1915-02-23,M,M,0.00,0.0,M
1915-02-24,M,M,0.00,0.0,M
1915-02-25,M,M,0.01,0.0,M
1915-02-26,M,M,0.05,0.5,M
1915-02-27,M,M,0.67,6.0,6
1915-02-28,M,M,0.00,0.0,M
1915-03-01,M,M,0.00,M,5
1915-03-02,M,M,0.14,0.5,6
1915-03-03,M,M,0.99,6.5,12
1915-03-04,M,M,0.46,2.0,14
1915-03-05,M,M,T,T,14
1915-03-06,M,M,0.00,M,M
1915-03-07,M,M,0.00,M,M
1915-03-08,M,M,0.00,M,M
1915-03-09,M,M,0.00,M,M
1915-03-10,M,M,0.00,M,M
1915-03-11,M,M,0.00,M,M
1915-03-12,M,M,0.00,M,M
1915-03-13,M,M,0.00,M,M
1915-03-14,M,M,0.08,T,M
1915-03-15,M,M,0.00,M,M
1915-03-16,M,M,0.00,M,M
1915-03-17,M,M,0.00,M,M
1915-03-18,M,M,0.01,T,M
1915-03-19,M,M,T,T,M
1915-03-20,M,M,T,T,M
1915-03-21,M,M,T,T,M
1915-03-22,M,M,0.08,M,M
1915-03-23,M,M,0.00,M,M
1915-03-24,M,M,0.04,T,M
1915-03-25,M,M,0.00,M,M
1915-03-26,M,M,0.01,0.1,M
1915-03-27,M,M,0.00,M,M
1915-03-28,M,M,0.00,M,M
1915-03-29,M,M,0.06,M,M
1915-03-30,M,M,0.18,2.0,M
1915-03-31,M,M,0.02,0.2,M
1915-04-01,M,M,0.00,M,M
1915-04-02,M,M,0.00,M,M
1915-04-03,M,M,0.00,M,M
1915-04-04,M,M,T,M,M
1915-04-05,M,M,0.00,M,M
1915-04-06,M,M,T,M,M
1915-04-07,M,M,0.56,M,M
1915-04-08,M,M,0.11,M,M
1915-04-09,M,M,0.00,M,M
1915-04-10,M,M,0.00,M,M
1915-04-11,M,M,0.00,M,M
1915-04-12,M,M,0.00,M,M
1915-04-13,M,M,0.00,M,M
1915-04-14,M,M,0.00,M,M
1915-04-15,M,M,0.00,M,M
1915-04-16,M,M,0.00,M,M
1915-04-17,M,M,0.00,M,M
1915-04-18,M,M,0.00,M,M
1915-04-19,M,M,0.00,M,M
1915-04-20,M,M,0.00,M,M
1915-04-21,M,M,0.00,M,M
1915-04-22,M,M,0.00,M,M
1915-04-23,M,M,0.27,M,M
1915-04-24,M,M,0.15,M,M
1915-04-25,M,M,0.53,M,M
1915-04-26,M,M,0.18,M,M
1915-04-27,M,M,0.00,M,M
1915-04-28,M,M,0.00,M,M
1915-04-29,M,M,0.00,M,M
1915-04-30,M,M,1.54,M,M
1915-05-01,M,M,0.05,0.0,M
1915-05-02,M,M,0.00,0.0,M
1915-05-03,M,M,0.00,0.0,M
1915-05-04,M,M,0.00,0.0,M
1915-05-05,M,M,0.24,0.0,M
1915-05-06,M,M,0.24,0.0,M
1915-05-07,M,M,0.00,0.0,M
1915-05-08,M,M,0.00,0.0,M
1915-05-09,M,M,0.00,0.0,M
1915-05-10,M,M,0.00,0.0,M
1915-05-11,M,M,0.23,0.0,M
1915-05-12,M,M,0.00,0.0,M
1915-05-13,M,M,0.00,0.0,M
1915-05-14,M,M,T,0.0,M
1915-05-15,M,M,0.00,0.0,M
1915-05-16,M,M,0.00,0.0,M
1915-05-17,M,M,0.00,0.0,M
1915-05-18,M,M,1.08,T,M
1915-05-19,M,M,1.04,0.0,M
1915-05-20,M,M,0.03,0.0,M
1915-05-21,M,M,0.00,0.0,M
1915-05-22,M,M,0.00,0.0,M
1915-05-23,M,M,0.50,0.0,M
1915-05-24,M,M,0.12,0.0,M
1915-05-25,M,M,0.00,0.0,M
1915-05-26,M,M,0.44,0.0,M
1915-05-27,M,M,1.26,0.0,M
1915-05-28,M,M,0.00,0.0,M
1915-05-29,M,M,0.00,0.0,M
1915-05-30,M,M,0.00,0.0,M
1915-05-31,M,M,0.00,0.0,M
1915-06-01,M,M,0.00,M,M
1915-06-02,M,M,0.64,M,M
1915-06-03,M,M,0.36,M,M
1915-06-04,M,M,0.00,M,M
1915-06-05,M,M,0.00,M,M
1915-06-06,M,M,0.36,M,M
1915-06-07,M,M,0.00,M,M
1915-06-08,M,M,0.00,M,M
1915-06-09,M,M,0.00,M,M
1915-06-10,M,M,0.98,M,M
1915-06-11,M,M,0.00,M,M
