date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1997-05-01,64,38,0.00,0.0,M
1997-05-02,65,39,0.25,0.0,0
1997-05-03,52,33,0.07,0.0,0
1997-05-04,66,M,0.00,0.0,0
1997-05-05,83,41,0.00,0.0,0
1997-05-06,78,53,0.00,0.0,0
1997-05-07,81,M,0.00,0.0,0
1997-05-08,83,51,0.00,0.0,0
1997-05-09,70,35,0.00,0.0,0
1997-05-10,71,38,0.00,0.0,0
1997-05-11,82,M,0.00,0.0,0
1997-05-12,69,36,0.00,0.0,0
1997-05-13,83,37,0.00,0.0,0
1997-05-14,82,40,0.00,0.0,0
1997-05-15,76,44,0.00,0.0,0
1997-05-16,75,48,0.00,0.0,0
1997-05-17,92,48,0.00,0.0,0
1997-05-18,91,M,0.00,0.0,0
1997-05-19,86,51,0.00,0.0,0
1997-05-20,67,42,0.00,0.0,0
1997-05-21,74,42,0.00,0.0,0
1997-05-22,77,47,0.00,0.0,0
1997-05-23,63,54,0.61,0.0,0
1997-05-24,73,54,0.03,0.0,0
1997-05-25,78,56,0.04,0.0,0
1997-05-26,65,55,0.46,0.0,0
1997-05-27,71,50,0.79,0.0,0
1997-05-28,60,48,0.00,0.0,0
1997-05-29,65,46,0.00,0.0,0
1997-05-30,54,46,0.22,0.0,0
1997-05-31,75,47,0.00,0.0,0
1997-06-01,81,M,0.00,0.0,0
1997-06-02,83,M,0.02,0.0,0
1997-06-03,82,57,0.09,0.0,0
1997-06-04,81,60,0.02,0.0,0
1997-06-05,79,54,0.00,0.0,0
1997-06-06,82,57,0.00,0.0,0
1997-06-07,87,60,0.00,0.0,0
1997-06-08,87,62,0.00,0.0,0
1997-06-09,83,58,0.00,0.0,0
1997-06-10,74,49,0.00,0.0,0
1997-06-11,78,49,0.10,0.0,0
1997-06-12,83,60,0.58,0.0,0
1997-06-13,83,60,0.00,0.0,0
1997-06-14,83,57,0.00,0.0,0
1997-06-15,87,57,0.00,0.0,0
1997-06-16,87,58,0.02,0.0,0
1997-06-17,86,56,0.00,0.0,0
1997-06-18,91,58,0.02,0.0,0
1997-06-19,95,57,0.00,0.0,0
1997-06-20,101,M,0.00,0.0,0
1997-06-21,102,66,0.00,0.0,0
1997-06-22,92,66,0.00,0.0,0
1997-06-23,94,68,0.00,0.0,0
1997-06-24,81,69,0.02,0.0,0
1997-06-25,90,65,1.15,0.0,0
1997-06-26,85,62,0.69,0.0,0
1997-06-27,86,64,0.00,0.0,0
1997-06-28,96,66,0.00,0.0,0
1997-06-29,95,68,0.00,0.0,0
1997-06-30,93,65,0.10,0.0,0
1997-07-01,94,66,0.00,0.0,0
1997-07-02,99,58,0.00,0.0,0
1997-07-03,86,M,0.00,0.0,0
1997-07-04,76,49,0.00,0.0,0
1997-07-05,81,51,0.00,0.0,0
1997-07-06,81,51,0.46,0.0,0
1997-07-07,85,57,0.00,0.0,0
1997-07-08,94,65,0.00,0.0,0
1997-07-09,90,68,0.00,0.0,0
1997-07-10,95,M,0.00,0.0,0
1997-07-11,97,68,0.00,0.0,0
1997-07-12,97,68,0.00,0.0,0
1997-07-13,98,74,0.00,0.0,0
1997-07-14,95,62,0.00,0.0,0
1997-07-15,91,62,0.00,0.0,0
1997-07-16,98,M,0.00,0.0,0
1997-07-17,101,70,0.00,0.0,0
1997-07-18,100,71,0.00,0.0,0
1997-07-19,98,67,0.00,0.0,0
1997-07-20,91,68,0.00,0.0,0
1997-07-21,92,M,0.00,0.0,0
1997-07-22,95,70,0.00,0.0,0
1997-07-23,99,71,0.00,0.0,0
1997-07-24,103,74,0.00,0.0,0
1997-07-25,104,74,0.00,0.0,0
1997-07-26,106,74,0.00,0.0,0
1997-07-27,105,76,0.00,0.0,0
1997-07-28,101,69,1.15,0.0,0
1997-07-29,84,69,0.22,0.0,0
1997-07-30,82,68,0.00,0.0,0
1997-07-31,83,61,0.00,0.0,0
1997-08-01,89,61,0.00,0.0,0
1997-08-02,97,70,0.00,0.0,0
1997-08-03,97,M,0.00,0.0,0
1997-08-04,99,73,0.00,0.0,0
1997-08-05,97,69,0.00,0.0,0
1997-08-06,81,61,0.50,0.0,0
1997-08-07,74,59,0.26,0.0,0
1997-08-08,82,59,0.00,0.0,0
1997-08-09,84,58,0.00,0.0,0
1997-08-10,81,61,0.00,0.0,0
1997-08-11,73,53,0.08,0.0,0
1997-08-12,62,M,0.31,0.0,0
1997-08-13,82,59,0.00,0.0,0
1997-08-14,84,M,0.00,0.0,0
1997-08-15,92,64,0.00,0.0,0
1997-08-16,99,65,0.00,0.0,0
1997-08-17,90,61,0.65,0.0,0
1997-08-18,83,62,0.00,0.0,0
1997-08-19,74,62,0.32,0.0,0
1997-08-20,88,66,0.01,0.0,0
1997-08-21,87,61,0.00,0.0,0
1997-08-22,87,61,0.70,0.0,0
1997-08-23,78,64,0.00,0.0,0
1997-08-24,90,64,0.00,0.0,0
1997-08-25,98,65,0.00,0.0,0
1997-08-26,99,65,0.00,0.0,0
1997-08-27,97,68,0.00,0.0,0
1997-08-28,96,72,0.00,0.0,0
1997-08-29,100,72,0.00,0.0,0
1997-08-30,94,70,0.08,0.0,0
1997-08-31,94,69,0.00,0.0,0
1997-09-01,90,69,0.08,0.0,0
1997-09-02,98,69,0.00,0.0,0
1997-09-03,75,65,0.00,0.0,0
1997-09-04,81,64,0.00,0.0,0
1997-09-05,83,60,0.00,0.0,0
1997-09-06,91,60,0.00,0.0,0
1997-09-07,94,67,0.05,0.0,0
1997-09-08,94,61,0.00,0.0,0
1997-09-09,92,60,0.22,0.0,0
1997-09-10,78,49,0.00,0.0,0
1997-09-11,82,49,0.00,0.0,0
1997-09-12,85,55,0.09,0.0,0
1997-09-13,79,58,0.08,0.0,0
1997-09-14,89,60,0.00,0.0,0
1997-09-15,89,M,0.01,0.0,0
1997-09-16,92,67,0.00,0.0,0
1997-09-17,88,57,0.00,0.0,0
1997-09-18,89,56,0.00,0.0,0
1997-09-19,98,65,0.00,0.0,0
1997-09-20,76,51,0.00,0.0,0
1997-09-21,76,52,0.00,0.0,0
1997-09-22,63,M,0.01,0.0,0
1997-09-23,67,55,1.11,0.0,0
1997-09-24,56,55,0.72,0.0,0
1997-09-25,61,48,0.01,0.0,0
1997-09-26,81,M,0.00,0.0,0
1997-09-27,85,52,0.00,0.0,0
1997-09-28,90,52,0.00,0.0,0
1997-09-29,77,49,0.00,0.0,0
1997-09-30,86,48,0.00,0.0,0
1997-10-01,86,48,0.00,0.0,0
1997-10-02,87,53,0.00,0.0,0
1997-10-03,97,59,0.00,0.0,0
1997-10-04,88,49,0.00,0.0,0
1997-10-05,86,48,0.00,0.0,0
1997-10-06,92,49,0.00,0.0,0
1997-10-07,90,68,0.00,0.0,0
1997-10-08,77,68,0.00,0.0,0
1997-10-09,80,38,0.00,0.0,0
1997-10-10,71,37,0.00,0.0,0
1997-10-11,83,53,0.00,0.0,0
1997-10-12,78,64,0.20,0.0,0
1997-10-13,69,38,0.70,0.0,0
1997-10-14,59,37,0.00,0.0,0
1997-10-15,71,41,0.00,0.0,0
1997-10-16,74,41,0.00,0.0,0
1997-10-17,63,41,0.00,0.0,0
1997-10-18,67,40,0.00,0.0,0
1997-10-19,75,45,0.00,0.0,0
1997-10-20,59,40,0.00,0.0,0
1997-10-21,56,37,0.00,0.0,0
1997-10-22,48,39,0.00,0.0,0
1997-10-23,68,42,0.00,0.0,0
1997-10-24,69,41,T,0.0,0
1997-10-25,52,35,1.73,0.0,0
1997-10-26,36,18,1.88,12.0,12
1997-10-27,M,1,0.00,0.0,M
1997-10-28,34,1,0.00,0.0,M
1997-10-29,49,M,0.00,0.0,8
1997-10-30,49,25,0.00,0.0,M
1997-10-31,54,27,0.00,0.0,6
1997-11-01,62,39,0.00,0.0,M
1997-11-02,59,40,0.00,0.0,M
1997-11-03,52,33,0.00,0.0,M
1997-11-04,52,33,0.00,0.0,M
1997-11-05,62,36,0.00,0.0,0
1997-11-06,46,28,0.00,0.0,0
1997-11-07,41,27,0.00,0.0,0
1997-11-08,53,M,0.00,0.0,0
1997-11-09,41,34,0.02,0.0,0
1997-11-10,40,23,0.00,0.0,0
1997-11-11,34,24,0.00,0.0,0
1997-11-12,37,25,0.00,0.0,0
1997-11-13,33,29,0.00,0.0,0
1997-11-14,45,20,0.00,0.0,0
1997-11-15,31,17,0.00,0.0,0
1997-11-16,28,9,0.00,0.0,0
1997-11-17,42,9,0.00,0.0,0
1997-11-18,55,19,0.00,0.0,0
1997-11-19,57,27,0.00,0.0,0
1997-11-20,60,27,0.00,0.0,0
1997-11-21,52,22,0.00,0.0,0
1997-11-22,55,22,0.00,0.0,0
1997-11-23,47,22,0.00,0.0,0
1997-11-24,51,22,0.00,0.0,0
1997-11-25,65,24,0.00,0.0,0
1997-11-26,60,31,0.00,0.0,0
1997-11-27,50,M,0.00,0.0,0
1997-11-28,67,41,0.00,0.0,0
1997-11-29,47,38,0.75,0.0,0
1997-11-30,47,34,0.23,0.0,0
1997-12-01,47,24,0.00,0.0,0
1997-12-02,34,M,0.00,0.0,0
1997-12-03,35,28,0.13,3.0,3
1997-12-04,37,26,0.00,0.0,1
1997-12-05,34,13,0.00,0.0,1
1997-12-06,30,11,0.00,0.0,M
1997-12-07,30,M,0.00,0.0,M
1997-12-08,31,M,0.04,0.0,M
1997-12-09,33,30,0.02,0.0,M
1997-12-10,33,28,0.03,0.0,M
1997-12-11,33,22,0.00,0.0,M
1997-12-12,33,14,0.00,0.0,M
1997-12-13,37,16,0.00,0.0,M
1997-12-14,47,27,0.00,0.0,M
1997-12-15,52,23,0.00,0.0,M
1997-12-16,52,22,0.00,0.0,0
1997-12-17,52,29,0.00,0.0,0
1997-12-18,56,29,0.00,0.0,0
1997-12-19,58,31,0.00,0.0,0
1997-12-20,46,29,0.00,0.0,0
1997-12-21,31,27,0.00,0.0,0
1997-12-22,32,27,0.06,0.0,0
1997-12-23,40,23,0.00,0.0,0
1997-12-24,30,M,0.06,M,2
1997-12-25,30,M,0.18,M,M
1997-12-26,33,20,0.00,0.0,M
1997-12-27,37,15,0.00,0.0,M
1997-12-28,40,M,0.00,0.0,2
1997-12-29,36,28,0.00,0.0,2
1997-12-30,43,36,0.00,0.0,M
1997-12-31,44,23,0.00,0.0,M
1998-01-01,51,23,0.00,0.0,0
1998-01-02,57,28,0.00,0.0,0
1998-01-03,50,26,0.00,0.0,0
1998-01-04,26,16,0.00,0.0,0
1998-01-05,29,17,0.00,0.0,0
1998-01-06,31,27,0.04,1.0,M
1998-01-07,31,16,0.00,0.0,M
1998-01-08,39,14,0.00,0.0,M
1998-01-09,37,15,0.00,0.0,M
1998-01-10,36,8,0.00,0.0,M
1998-01-11,24,9,0.00,0.0,M
1998-01-12,26,18,0.00,0.0,M
1998-01-13,24,7,0.00,0.0,M
1998-01-14,M,10,0.00,0.0,M
1998-01-15,42,17,0.00,0.0,M
1998-01-16,49,18,0.04,0.0,M
1998-01-17,49,25,0.00,0.0,0
1998-01-18,43,23,0.10,0.0,0
1998-01-19,31,18,0.00,0.0,0
1998-01-20,35,20,0.00,0.0,0
