date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2004-05-11,M,M,T,0.0,0
2004-05-12,M,M,0.09,0.0,0
2004-05-13,M,M,0.56,0.0,0
2004-05-14,M,M,0.05,0.0,0
2004-05-15,M,M,0.00,0.0,0
2004-05-16,M,M,T,0.0,0
2004-05-17,M,M,0.07,0.0,0
2004-05-18,M,M,0.27,0.0,0
2004-05-19,M,M,T,0.0,0
2004-05-20,M,M,T,0.0,0
2004-05-21,M,M,0.00,0.0,0
2004-05-22,M,M,0.02,0.0,0
2004-05-23,M,M,0.89,0.0,0
2004-05-24,M,M,0.00,0.0,0
2004-05-25,M,M,0.02,0.0,0
2004-05-26,M,M,0.10,0.0,0
2004-05-27,M,M,0.00,0.0,0
2004-05-28,M,M,0.00,0.0,0
2004-05-29,M,M,0.00,0.0,0
2004-05-30,M,M,1.16,0.0,0
2004-05-31,M,M,0.06,0.0,0
2004-06-01,M,M,0.00,0.0,0
2004-06-02,M,M,0.00,0.0,0
2004-06-03,M,M,0.00,0.0,0
2004-06-04,M,M,0.00,0.0,0
2004-06-05,M,M,0.01,0.0,0
2004-06-06,M,M,T,0.0,0
2004-06-07,M,M,0.00,0.0,0
2004-06-08,M,M,0.00,0.0,0
2004-06-09,M,M,0.15,0.0,0
2004-06-10,M,M,0.01,0.0,0
2004-06-11,M,M,0.00,0.0,0
2004-06-12,M,M,0.00,0.0,0
2004-06-13,M,M,0.61,0.0,0
2004-06-14,M,M,T,0.0,0
2004-06-15,M,M,0.51,0.0,0
2004-06-16,M,M,0.02,0.0,0
2004-06-17,M,M,0.24,0.0,0
2004-06-29,M,M,0.00,0.0,0
2004-06-30,M,M,0.00,0.0,0
2004-07-01,M,M,0.00,0.0,0
2004-07-02,M,M,0.22,0.0,0
2004-07-03,M,M,0.58,0.0,0
2004-07-04,M,M,0.05,0.0,0
2004-07-05,M,M,0.14,0.0,0
2004-07-06,M,M,0.05,0.0,0
2004-07-07,M,M,0.00,0.0,0
2004-07-08,M,M,0.51,0.0,0
2004-07-09,M,M,0.78,0.0,0
2004-07-10,M,M,0.00,0.0,0
2004-07-11,M,M,0.03,0.0,0
2004-07-12,M,M,0.00,0.0,0
2004-07-13,M,M,0.00,0.0,0
2004-07-14,M,M,0.03,0.0,0
2004-07-15,M,M,0.00,0.0,0
2004-07-16,M,M,0.00,0.0,0
2004-07-17,M,M,0.00,0.0,0
2004-07-18,M,M,0.00,0.0,0
2004-07-19,M,M,0.00,0.0,0
2004-07-20,M,M,0.00,0.0,0
2004-07-21,M,M,0.03,0.0,0
2004-07-22,M,M,0.10,0.0,0
2004-07-23,M,M,0.02,0.0,0
2004-07-24,M,M,0.06,0.0,0
2004-07-25,M,M,0.16,0.0,0
2004-07-26,M,M,0.00,0.0,0
2004-07-27,M,M,0.00,0.0,0
2004-07-28,M,M,0.00,0.0,0
2004-07-29,M,M,0.03,0.0,0
2004-07-30,M,M,0.02,0.0,0
2004-07-31,M,M,0.00,0.0,0
2004-08-01,M,M,0.00,0.0,0
2004-08-02,M,M,0.00,0.0,0
2004-08-03,M,M,0.00,0.0,0
2004-08-04,M,M,0.00,0.0,0
2004-08-05,M,M,0.00,0.0,0
2004-08-06,M,M,0.00,0.0,0
2004-08-07,M,M,0.00,0.0,0
2004-08-08,M,M,0.29,0.0,0
2004-08-09,M,M,0.00,0.0,0
2004-08-10,M,M,0.00,0.0,0
2004-08-11,M,M,0.33,0.0,0
2004-08-12,M,M,0.03,0.0,0
2004-08-13,M,M,0.00,0.0,0
2004-08-14,M,M,0.00,0.0,0
2004-08-15,M,M,0.00,0.0,0
2004-08-16,M,M,0.00,0.0,0
2004-08-17,M,M,0.00,0.0,0
2004-08-18,M,M,0.00,0.0,0
2004-08-19,M,M,0.00,0.0,0
2004-08-20,M,M,0.00,0.0,0
2004-08-21,M,M,0.00,0.0,0
2004-08-22,M,M,0.00,0.0,0
2004-08-23,M,M,0.00,0.0,0
2004-08-24,M,M,0.24,0.0,0
2004-08-25,M,M,0.26,0.0,0
2004-08-26,M,M,0.04,0.0,0
2004-08-27,M,M,0.00,0.0,0
2004-08-28,M,M,0.00,0.0,0
2004-08-29,M,M,0.00,0.0,0
2004-08-30,M,M,0.00,0.0,0
2004-08-31,M,M,0.00,0.0,0
2004-09-01,M,M,0.00,0.0,0
