date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1980-06-01,80,51,0.00,0.0,0
1980-06-02,80,51,0.00,0.0,0
1980-06-03,83,64,0.00,0.0,0
1980-06-04,87,65,0.00,0.0,0
1980-06-05,88,55,0.00,0.0,0
1980-06-06,89,61,0.00,0.0,0
1980-06-07,86,52,0.00,0.0,0
1980-06-08,89,59,0.00,0.0,0
1980-06-09,93,54,0.00,0.0,0
1980-06-10,96,59,0.00,0.0,0
1980-06-11,97,64,0.00,0.0,0
1980-06-12,95,62,0.00,0.0,0
1980-06-13,92,62,0.00,0.0,0
1980-06-14,93,60,0.00,0.0,0
1980-06-15,89,61,0.00,0.0,0
1980-06-16,86,58,0.00,0.0,0
1980-06-17,89,57,0.00,0.0,0
1980-06-18,98,66,0.00,0.0,0
1980-06-19,98,63,0.00,0.0,0
1980-06-20,97,62,0.00,0.0,0
1980-06-21,96,62,0.00,0.0,0
1980-06-22,95,61,0.00,0.0,0
1980-06-23,98,69,0.00,0.0,0
1980-06-24,98,67,0.00,0.0,0
1980-06-25,99,67,0.00,0.0,0
1980-06-26,100,68,0.00,0.0,0
1980-06-27,102,74,0.00,0.0,0
1980-06-28,96,59,0.00,0.0,0
1980-06-29,99,64,0.00,0.0,0
1980-06-30,104,73,0.00,0.0,0
1980-07-01,100,71,T,0.0,0
1980-07-02,89,61,0.00,0.0,0
1980-07-03,91,65,0.00,0.0,0
1980-07-04,97,62,0.00,0.0,0
1980-07-05,98,61,0.00,0.0,0
1980-07-06,101,62,0.00,0.0,0
1980-07-07,104,74,0.00,0.0,0
1980-07-08,90,60,0.21,0.0,0
1980-07-09,95,66,0.00,0.0,0
1980-07-10,98,67,0.04,0.0,0
1980-07-11,100,66,0.00,0.0,0
1980-07-12,101,66,0.00,0.0,0
1980-07-13,99,74,0.00,0.0,0
1980-07-14,95,63,0.13,0.0,0
1980-07-15,95,60,0.00,0.0,0
1980-07-16,98,60,0.00,0.0,0
1980-07-17,101,63,0.00,0.0,0
1980-07-18,105,68,0.00,0.0,0
1980-07-19,105,78,0.00,0.0,0
1980-07-20,102,66,0.00,0.0,0
1980-07-21,102,69,0.00,0.0,0
1980-07-22,103,70,0.00,0.0,0
1980-07-23,104,80,0.00,0.0,0
1980-07-24,102,70,0.23,0.0,0
1980-07-25,101,68,0.07,0.0,0
1980-07-26,101,62,0.00,0.0,0
1980-07-27,100,61,0.00,0.0,0
1980-07-28,102,67,0.00,0.0,0
1980-07-29,105,69,0.00,0.0,0
1980-07-30,99,68,0.00,0.0,0
1980-07-31,99,67,0.00,0.0,0
1980-08-01,103,76,0.00,0.0,0
1980-08-02,103,73,0.00,0.0,0
1980-08-03,101,68,0.00,0.0,0
1980-08-04,103,63,0.00,0.0,0
1980-08-05,99,68,0.00,0.0,0
1980-08-06,102,73,0.00,0.0,0
1980-08-07,101,72,0.00,0.0,0
1980-08-08,103,70,0.00,0.0,0
1980-08-09,106,77,0.00,0.0,0
1980-08-10,102,68,0.00,0.0,0
1980-08-11,103,69,0.00,0.0,0
1980-08-12,102,70,0.00,0.0,0
1980-08-13,102,70,0.03,0.0,0
1980-08-14,100,69,0.09,0.0,0
1980-08-15,94,65,0.46,0.0,0
1980-08-16,90,59,0.00,0.0,0
1980-08-17,89,61,0.00,0.0,0
1980-08-18,91,66,0.00,0.0,0
1980-08-19,93,68,0.00,0.0,0
1980-08-20,87,51,0.00,0.0,0
1980-08-21,84,51,0.00,0.0,0
1980-08-22,93,57,0.00,0.0,0
1980-08-23,98,64,0.00,0.0,0
1980-08-24,92,61,0.29,0.0,0
1980-08-25,80,61,0.00,0.0,0
1980-08-26,88,65,0.00,0.0,0
1980-08-27,90,58,0.00,0.0,0
1980-08-28,96,62,0.00,0.0,0
1980-08-29,98,66,0.00,0.0,0
1980-08-30,92,58,0.00,0.0,0
1980-08-31,89,56,0.00,0.0,0
1980-09-01,89,56,0.00,0.0,0
1980-09-02,90,56,0.00,0.0,0
1980-09-03,94,60,0.00,0.0,0
1980-09-04,93,55,0.00,0.0,0
1980-09-05,96,56,0.00,0.0,0
1980-09-06,96,62,0.00,0.0,0
1980-09-07,91,68,0.01,0.0,0
1980-09-08,85,62,0.04,0.0,0
1980-09-09,84,65,0.00,0.0,0
1980-09-10,79,61,0.23,0.0,0
1980-09-11,69,51,0.37,0.0,0
1980-09-12,81,53,0.19,0.0,0
1980-09-13,82,56,0.00,0.0,0
1980-09-14,87,57,0.00,0.0,0
1980-09-15,87,54,0.00,0.0,0
1980-09-16,89,58,0.00,0.0,0
1980-09-17,86,52,0.00,0.0,0
1980-09-18,88,55,0.00,0.0,0
1980-09-19,94,60,0.00,0.0,0
1980-09-20,92,54,0.00,0.0,0
1980-09-21,83,55,0.00,0.0,0
1980-09-22,84,48,0.00,0.0,0
1980-09-23,76,42,0.00,0.0,0
1980-09-24,80,44,0.00,0.0,0
1980-09-25,81,45,0.00,0.0,0
1980-09-26,84,49,0.00,0.0,0
1980-09-27,86,53,0.00,0.0,0
1980-09-28,87,49,0.00,0.0,0
1980-09-29,90,50,0.00,0.0,0
1980-09-30,87,48,0.00,0.0,0
1980-10-01,90,48,0.00,0.0,0
1980-10-02,91,50,0.00,0.0,0
1980-10-03,85,45,0.00,0.0,0
1980-10-04,85,45,0.00,0.0,0
1980-10-05,86,45,0.00,0.0,0
1980-10-06,87,47,0.00,0.0,0
1980-10-07,87,47,0.00,0.0,0
1980-10-08,87,46,0.00,0.0,0
1980-10-09,88,46,0.00,0.0,0
1980-10-10,87,45,0.00,0.0,0
1980-10-11,86,46,0.00,0.0,0
1980-10-12,85,49,0.00,0.0,0
1980-10-13,72,50,0.35,0.0,0
1980-10-14,72,49,T,0.0,0
1980-10-15,72,39,0.38,0.0,0
1980-10-16,58,40,0.22,0.0,0
1980-10-17,56,34,0.15,0.0,0
1980-10-18,57,38,0.00,0.0,0
1980-10-19,61,32,0.00,0.0,0
1980-10-20,64,36,0.00,0.0,0
1980-10-21,66,36,0.00,0.0,0
1980-10-22,67,36,0.00,0.0,0
1980-10-23,71,37,0.00,0.0,0
1980-10-24,56,27,0.00,0.0,0
1980-10-25,60,26,0.00,0.0,0
1980-10-26,61,27,0.00,0.0,0
1980-10-27,55,41,T,0.0,0
1980-10-28,52,32,0.00,0.0,0
1980-10-29,55,29,0.00,0.0,0
1980-10-30,56,29,0.00,0.0,0
1980-10-31,60,30,0.00,0.0,0
1980-11-01,61,30,0.00,0.0,0
1980-11-02,64,33,0.00,0.0,0
1980-11-03,65,33,0.00,0.0,0
1980-11-04,64,34,0.00,0.0,0
1980-11-05,68,35,0.00,0.0,0
1980-11-06,68,36,0.00,0.0,0
1980-11-07,69,38,0.00,0.0,0
1980-11-08,70,46,0.00,0.0,0
1980-11-09,77,40,0.00,0.0,0
1980-11-10,72,37,0.00,0.0,0
1980-11-11,71,39,0.00,0.0,0
1980-11-12,69,45,0.00,0.0,0
1980-11-13,69,46,0.18,0.0,0
1980-11-14,52,38,0.00,0.0,0
1980-11-15,49,30,0.00,0.0,0
1980-11-16,47,27,0.00,0.0,0
1980-11-17,43,22,0.00,0.0,0
1980-11-18,45,19,0.00,0.0,0
1980-11-19,45,20,0.00,0.0,0
1980-11-20,49,24,0.00,0.0,0
1980-11-21,50,21,0.00,0.0,0
1980-11-22,51,23,0.00,0.0,0
1980-11-23,51,25,0.00,0.0,0
1980-11-24,50,30,0.56,0.0,0
1980-11-25,42,30,0.12,0.0,0
1980-11-26,46,25,0.00,0.0,0
1980-11-27,45,23,0.00,0.0,0
1980-11-28,44,24,0.00,0.0,0
1980-11-29,47,25,0.00,0.0,0
1980-11-30,43,28,0.00,0.0,0
1980-12-01,55,33,0.00,0.0,0
1980-12-02,53,27,0.00,0.0,0
1980-12-03,48,30,0.00,0.0,0
1980-12-04,64,42,0.00,0.0,0
1980-12-05,64,46,0.00,0.0,0
1980-12-06,55,41,0.14,0.0,0
1980-12-07,55,39,0.11,0.0,0
1980-12-08,42,33,0.00,0.0,0
1980-12-09,40,26,0.00,0.0,0
1980-12-10,45,23,0.00,0.0,0
1980-12-11,44,22,0.00,0.0,0
1980-12-12,45,22,0.00,0.0,0
1980-12-13,47,25,0.00,0.0,0
1980-12-14,44,23,0.00,0.0,0
1980-12-15,45,23,0.00,0.0,0
1980-12-16,47,24,0.00,0.0,0
1980-12-17,48,24,0.00,0.0,0
1980-12-18,49,26,0.00,0.0,0
1980-12-19,50,26,0.00,0.0,0
1980-12-20,51,25,0.00,0.0,0
1980-12-21,49,25,0.00,0.0,0
1980-12-22,50,27,0.02,0.0,0
1980-12-23,55,33,0.00,0.0,0
1980-12-24,55,28,0.00,0.0,0
1980-12-25,M,M,0.00,0.0,0
1980-12-26,51,27,0.00,0.0,0
1980-12-27,54,26,0.00,0.0,0
1980-12-28,52,25,0.00,0.0,0
1980-12-29,52,26,0.00,0.0,0
1980-12-30,53,24,0.00,0.0,0
1980-12-31,51,24,0.00,0.0,0
1981-01-01,52,23,0.00,0.0,0
1981-01-02,50,24,0.00,0.0,0
1981-01-03,52,24,0.00,0.0,0
1981-01-04,54,25,0.00,0.0,0
1981-01-05,56,29,0.02,0.0,0
1981-01-06,50,25,0.00,0.0,0
1981-01-07,50,22,0.00,0.0,0
1981-01-08,47,22,0.00,0.0,0
1981-01-09,48,21,0.00,0.0,0
1981-01-10,49,21,0.00,0.0,0
1981-01-11,48,21,0.00,0.0,0
1981-01-12,50,20,0.00,0.0,0
1981-01-13,51,23,0.00,0.0,0
1981-01-14,50,20,0.00,0.0,0
1981-01-15,49,21,0.00,0.0,0
1981-01-16,52,25,0.00,0.0,0
1981-01-17,49,27,0.00,0.0,0
1981-01-18,53,24,0.00,0.0,0
1981-01-19,51,22,0.00,0.0,0
1981-01-20,52,23,0.00,0.0,0
1981-01-21,54,24,0.00,0.0,0
1981-01-22,59,23,0.00,0.0,0
1981-01-23,55,23,0.00,0.0,0
1981-01-24,53,22,0.00,0.0,0
1981-01-25,57,22,0.00,0.0,0
1981-01-26,51,20,0.00,0.0,0
1981-01-27,46,19,0.00,0.0,0
1981-01-28,46,19,0.00,0.0,0
1981-01-29,55,32,0.32,0.0,0
1981-01-30,52,35,0.00,0.0,0
1981-01-31,46,22,0.02,T,0
1981-02-01,41,23,0.00,0.0,0
1981-02-02,47,21,0.00,0.0,0
1981-02-03,44,22,0.00,0.0,0
1981-02-04,47,20,0.00,0.0,0
1981-02-05,49,19,0.00,0.0,0
1981-02-06,51,20,0.00,0.0,0
1981-02-07,55,19,0.00,0.0,0
1981-02-08,54,22,0.00,0.0,0
1981-02-09,53,25,0.15,0.0,0
1981-02-10,47,33,0.04,T,0
1981-02-11,39,20,0.00,0.0,0
1981-02-12,35,19,0.00,0.0,0
1981-02-13,50,21,0.00,0.0,0
1981-02-14,55,24,0.00,0.0,0
1981-02-15,55,29,0.00,0.0,0
1981-02-16,60,28,0.00,0.0,0
1981-02-17,61,29,0.00,0.0,0
1981-02-18,60,29,0.00,0.0,0
1981-02-19,65,30,0.00,0.0,0
1981-02-20,64,34,0.00,0.0,0
1981-02-21,52,27,0.00,0.0,0
1981-02-22,51,24,0.00,0.0,0
1981-02-23,57,27,0.00,0.0,0
1981-02-24,63,27,0.00,0.0,0
1981-02-25,70,35,0.00,0.0,0
1981-02-26,67,49,0.00,0.0,0
1981-02-27,54,30,0.00,0.0,0
1981-02-28,58,27,0.00,0.0,0
1981-03-01,61,35,0.00,0.0,0
1981-03-02,52,36,0.05,0.0,0
1981-03-03,49,31,0.16,0.0,0
1981-03-04,54,31,0.00,0.0,0
1981-03-05,56,31,0.00,0.0,0
1981-03-06,58,38,0.07,0.0,0
1981-03-07,50,37,0.15,0.0,0
1981-03-08,53,33,0.02,0.0,0
1981-03-09,57,30,0.00,0.0,0
1981-03-10,59,31,0.00,0.0,0
1981-03-11,58,36,0.04,0.0,0
1981-03-12,57,37,0.05,0.0,0
1981-03-13,58,32,0.00,0.0,0
1981-03-14,57,37,0.08,0.0,0
1981-03-15,55,32,0.00,0.0,0
1981-03-16,62,37,0.00,0.0,0
1981-03-17,62,38,0.01,0.0,0
1981-03-18,53,27,0.00,0.0,0
1981-03-19,56,35,0.00,0.0,0
1981-03-20,61,40,0.00,0.0,0
1981-03-21,61,39,0.00,0.0,0
1981-03-22,61,32,0.00,0.0,0
1981-03-23,65,39,0.00,0.0,0
1981-03-24,70,45,0.00,0.0,0
1981-03-25,67,32,0.00,0.0,0
1981-03-26,67,44,0.00,0.0,0
1981-03-27,74,38,0.01,0.0,0
1981-03-28,58,36,0.37,0.0,0
1981-03-29,50,32,0.01,0.0,0
1981-03-30,62,39,0.01,0.0,0
1981-03-31,53,28,0.18,0.0,0
1981-04-01,58,32,0.00,0.0,0
1981-04-02,70,42,0.00,0.0,0
1981-04-03,74,43,0.11,0.0,0
1981-04-04,53,34,0.01,0.0,0
1981-04-05,54,33,0.00,0.0,0
1981-04-06,61,34,0.00,0.0,0
1981-04-07,74,38,0.00,0.0,0
1981-04-08,71,40,0.28,0.0,0
1981-04-09,65,41,0.00,0.0,0
1981-04-10,79,45,0.00,0.0,0
1981-04-11,80,53,0.00,0.0,0
1981-04-12,78,44,0.00,0.0,0
1981-04-13,74,56,0.00,0.0,0
1981-04-14,74,43,0.00,0.0,0
1981-04-15,78,47,0.17,0.0,0
1981-04-16,74,46,0.30,0.0,0
1981-04-17,79,53,0.00,0.0,0
1981-04-18,84,52,0.00,0.0,0
1981-04-19,79,54,0.10,0.0,0
1981-04-20,67,45,0.06,0.0,0
1981-04-21,71,42,0.00,0.0,0
1981-04-22,75,48,0.00,0.0,0
1981-04-23,72,43,0.00,0.0,0
1981-04-24,80,47,0.00,0.0,0
1981-04-25,87,51,0.00,0.0,0
1981-04-26,87,48,0.00,0.0,0
1981-04-27,86,56,0.00,0.0,0
1981-04-28,84,54,0.00,0.0,0
1981-04-29,82,47,0.00,0.0,0
1981-04-30,89,50,0.00,0.0,0
1981-05-01,90,54,0.00,0.0,0
1981-05-02,93,56,0.00,0.0,0
1981-05-03,81,56,0.03,0.0,0
1981-05-04,78,42,0.00,0.0,0
1981-05-05,75,46,0.00,0.0,0
1981-05-06,83,46,0.00,0.0,0
1981-05-07,79,39,0.00,0.0,0
1981-05-08,70,40,0.00,0.0,0
1981-05-09,65,36,0.00,0.0,0
