date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1963-07-01,M,M,M,0.0,0
1963-07-02,M,M,M,0.0,0
1963-07-03,M,M,M,0.0,0
1963-07-04,M,M,M,0.0,0
1963-07-05,M,M,M,0.0,0
1963-07-06,M,M,M,0.0,0
1963-07-07,M,M,M,0.0,0
1963-07-08,M,M,M,0.0,0
1963-07-09,M,M,M,0.0,0
1963-07-10,M,M,1.11A,0.0,0
1963-07-11,M,M,0.41,0.0,0
1963-07-12,M,M,0.32,0.0,0
1963-07-13,M,M,T,0.0,0
1963-07-14,M,M,T,0.0,0
1963-07-15,M,M,0.00,0.0,0
1963-07-16,M,M,T,0.0,0
1963-07-17,M,M,0.11,0.0,0
1963-07-18,M,M,T,0.0,0
1963-07-19,M,M,0.00,0.0,0
1963-07-20,M,M,0.00,0.0,0
1963-07-21,M,M,T,0.0,0
1963-07-22,M,M,0.93,0.0,0
1963-07-23,M,M,0.41,0.0,0
1963-07-24,M,M,T,0.0,0
1963-07-25,M,M,0.07,0.0,0
1963-07-26,M,M,T,0.0,0
1963-07-27,M,M,0.00,0.0,0
1963-07-28,M,M,0.00,0.0,0
1963-07-29,M,M,0.00,0.0,0
1963-07-30,M,M,0.00,0.0,0
1963-07-31,M,M,0.00,0.0,0
1963-08-01,70,52,0.46,0.0,0
1963-08-02,68,50,0.12,0.0,0
1963-08-03,64,48,0.14,0.0,0
1963-08-04,60,50,0.84,0.0,0
1963-08-05,74,48,0.08,0.0,0
1963-08-06,68,44,0.41,0.0,0
1963-08-07,72,48,T,0.0,0
1963-08-08,70,46,T,0.0,0
1963-08-09,70,44,T,0.0,0
1963-08-10,68,50,0.17,0.0,0
1963-08-11,M,M,T,0.0,0
1963-08-12,70,44,0.20,0.0,0
1963-08-13,70,42,0.00,0.0,0
1963-08-14,70,40,0.00,0.0,0
1963-08-15,78,44,T,0.0,0
1963-08-16,72,42,T,0.0,0
1963-08-17,M,M,0.00,0.0,0
1963-08-18,70,40,0.00,0.0,0
1963-08-19,70,40,0.00,0.0,0
1963-08-20,58,48,0.39,0.0,0
1963-08-21,66,48,0.23,0.0,0
1963-08-22,60,50,0.05,0.0,0
1963-08-23,60,42,0.42,0.0,0
1963-08-24,78,38,T,0.0,0
1963-08-25,70,44,0.22,0.0,0
1963-08-26,M,M,S,0.0,0
1963-08-27,60,44,0.19A,0.0,0
1963-08-28,66,38,0.09,0.0,0
1963-08-29,70,38,T,0.0,0
1963-08-30,64,44,0.10,0.0,0
1963-08-31,66,42,0.39,0.0,0
1963-09-01,M,M,0.00,0.0,0
1963-09-02,M,M,0.00,0.0,0
1963-09-03,M,M,0.00,0.0,0
1963-09-04,M,M,0.00,0.0,0
1963-09-05,M,M,0.00,0.0,0
1963-09-06,M,M,0.13,0.0,0
1963-09-07,M,M,0.09,0.0,0
1963-09-08,M,M,0.00,0.0,0
1963-09-09,M,M,0.00,0.0,0
1963-09-10,M,M,0.06,0.0,0
1963-09-11,M,M,0.00,0.0,0
1963-09-12,M,M,0.00,0.0,0
1963-09-13,M,M,0.00,0.0,0
1963-09-14,M,M,0.62,0.0,0
1963-09-15,M,M,0.00,0.0,0
1963-09-16,M,M,0.19,0.0,0
1963-09-17,M,M,T,0.0,0
1963-09-18,M,M,0.03,0.0,0
1963-09-19,M,M,0.00,0.0,0
1963-09-20,M,M,0.05,0.0,0
1963-09-21,M,M,0.00,0.0,0
1963-09-22,M,M,0.00,0.0,0
1963-09-23,M,M,0.08,0.0,0
1963-09-24,M,M,0.01,0.0,0
1963-09-25,M,M,0.00,0.0,0
1963-09-26,M,M,0.00,0.0,0
1963-09-27,M,M,0.00,0.0,0
1963-09-28,M,M,0.00,0.0,0
1963-09-29,M,M,0.00,0.0,0
1963-09-30,M,M,0.00,0.0,0
1963-11-01,M,M,0.00,0.0,0
1963-11-02,M,M,0.00,0.0,0
1963-11-03,M,M,0.00,0.0,0
1963-11-04,M,M,0.00,0.0,0
1963-11-05,M,M,0.72,0.0,0
1963-11-06,M,M,0.00,0.0,0
1963-11-07,M,M,0.00,0.0,0
1963-11-08,M,M,0.00,0.0,0
1963-11-09,M,M,0.00,0.0,0
1963-11-10,M,M,0.00,0.0,0
1963-11-11,M,M,0.00,0.0,0
1963-11-12,M,M,T,0.0,0
1963-11-13,M,M,0.00,0.0,0
1963-11-14,M,M,0.00,0.0,0
1963-11-15,M,M,0.00,0.0,0
1963-11-16,M,M,0.94,M,M
1963-11-17,M,M,T,0.0,M
1963-11-18,M,M,0.00,0.0,M
1963-11-19,M,M,0.00,0.0,M
1963-11-20,M,M,0.00,0.0,0
1963-11-21,M,M,T,T,0
1963-11-22,M,M,0.41,M,M
1963-11-23,M,M,0.00,0.0,M
1963-11-24,M,M,0.00,0.0,M
1963-11-25,M,M,0.00,0.0,M
1963-11-26,M,M,0.00,0.0,0
1963-11-27,M,M,0.00,0.0,0
