date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2015-02-08,M,M,0.00,0.0,0
2015-02-09,M,M,0.00,0.0,0
2015-02-10,M,M,0.00,0.0,0
2015-02-11,M,M,0.00,0.0,0
2015-02-12,M,M,0.00,0.0,0
2015-02-13,M,M,0.00,0.0,0
2015-02-14,M,M,0.00,0.0,0
2015-02-15,M,M,0.00,0.0,0
2015-02-16,M,M,0.00,0.0,0
2015-02-17,M,M,0.00,0.0,0
2015-02-18,M,M,0.00,0.0,0
2015-02-19,M,M,0.00,0.0,0
2015-02-20,M,M,0.00,0.0,0
2015-02-21,M,M,0.00,0.0,0
2015-02-22,M,M,0.00,0.0,0
2015-02-23,M,M,0.11,1.0,M
2015-02-24,M,M,0.00,0.0,1
2015-02-25,M,M,0.00,0.0,0
2015-02-26,M,M,0.00,0.0,0
2015-02-27,M,M,0.18,2.7,3
2015-02-28,M,M,0.00,0.0,0
2015-03-01,M,M,0.00,0.0,0
2015-03-02,M,M,0.28,0.0,0
2015-03-03,M,M,0.22,0.0,0
2015-03-04,M,M,0.05,0.7,M
2015-03-05,M,M,0.00,0.0,0
2015-03-06,M,M,0.00,0.0,0
2015-03-07,M,M,0.00,0.0,0
2015-03-09,M,M,0.00,0.0,0
2015-03-10,M,M,0.00,0.0,0
2015-03-11,M,M,0.00,0.0,0
2015-03-12,M,M,0.00,0.0,0
2015-03-13,M,M,0.00,0.0,0
2015-03-14,66,37,0.00,0.0,0
2015-03-15,67,37,0.00,0.0,0
2015-03-16,71,39,0.00,0.0,0
2015-03-17,74,38,0.00,0.0,0
2015-03-18,74,47,0.00,0.0,0
2015-03-19,66,42,0.00,0.0,0
2015-03-20,64,34,0.00,0.0,0
2015-03-21,68,36,0.00,0.0,0
2015-03-22,70,45,0.00,0.0,0
2015-03-23,71,48,0.00,0.0,0
2015-03-24,69,38,0.00,0.0,0
2015-03-25,64,43,0.00,0.0,0
2015-03-26,56,30,0.00,0.0,0
2015-03-27,64,38,0.00,0.0,0
2015-03-28,72,40,0.00,0.0,0
2015-03-29,78,48,0.00,0.0,0
2015-03-30,75,40,0.00,0.0,M
2015-03-31,M,M,0.00,0.0,0
2015-04-01,79,M,0.00,0.0,0
2015-04-02,66,39,0.00,0.0,0
2015-04-03,57,28,0.00,0.0,0
2015-04-04,56,27,0.00,0.0,0
2015-04-05,67,39,0.00,0.0,0
2015-04-06,73,56,0.00,0.0,0
2015-04-08,69,45,0.00,0.0,0
2015-04-09,58,34,0.00,0.0,0
2015-04-10,62,35,0.00,0.0,0
2015-04-11,69,37,0.00,0.0,0
2015-04-12,73,50,0.00,0.0,0
2015-04-13,69,39,0.00,0.0,0
2015-04-14,73,39,0.00,0.0,0
2015-04-15,M,M,0.00,0.0,0
2015-04-16,48,26,0.00,0.0,0
2015-04-17,46,M,0.38,0.0,0
2015-04-18,50,35,0.35,0.0,0
2015-04-19,63,38,0.20,0.0,0
2015-04-20,65,39,0.00,0.0,0
2015-04-21,69,40,0.00,0.0,0
2015-04-22,75,45,0.00,0.0,0
2015-04-23,71,42,0.02,0.0,0
2015-04-24,71,48,0.00,0.0,0
2015-04-25,71,44,0.51,0.0,0
2015-04-26,50,43,0.60,0.0,0
2015-04-27,58,43,0.24,0.0,0
2015-04-28,64,42,0.00,0.0,0
2015-04-29,71,45,0.00,0.0,0
2015-04-30,78,49,0.00,0.0,0
2015-05-01,81,51,0.00,0.0,0
2015-05-02,81,51,0.00,0.0,0
2015-05-03,82,63,0.00,0.0,0
2015-05-04,75,51,0.01,0.0,0
2015-05-05,73,54,0.01,0.0,0
2015-05-06,64,51,0.29,0.0,0
2015-05-07,70,46,0.04,0.0,0
2015-05-08,74,52,0.00,0.0,0
2015-05-09,69,38,0.20,0.0,0
2015-05-10,60,43,0.00,0.0,0
2015-05-11,62,36,0.01,0.0,0
2015-05-12,70,44,0.00,0.0,0
2015-05-13,79,58,0.00,0.0,0
2015-05-14,76,56,0.00,0.0,0
2015-05-15,64,44,0.32,0.0,0
2015-05-16,M,M,0.14,0.0,0
2015-05-17,62,42,0.02,0.0,0
2015-05-18,71,46,0.00,0.0,0
2015-05-19,M,M,0.18,0.0,0
2015-05-20,65,40,0.17,0.0,0
2015-05-21,72,46,0.00,0.0,0
2015-05-22,72,49,0.01,0.0,0
2015-05-23,74,47,T,0.0,0
2015-05-24,62,42,0.00,0.0,0
2015-05-25,68,45,0.00,0.0,0
2015-05-26,69,47,0.02,0.0,0
2015-05-27,M,48,0.03,0.0,0
2015-05-28,80,48,0.03,0.0,0
2015-05-29,79,46,0.00,0.0,0
2015-05-30,79,49,0.00,0.0,0
2015-05-31,85,55,0.00,0.0,0
2015-06-01,91,59,0.00,0.0,0
2015-06-02,94,66,0.00,0.0,0
2015-06-03,85,62,0.00,0.0,0
2015-06-04,88,65,0.00,0.0,0
2015-06-05,88,62,0.00,0.0,0
2015-06-06,76,53,0.59,0.0,0
2015-06-07,70,49,0.03,0.0,0
2015-06-08,79,55,0.00,0.0,0
2015-06-09,84,56,0.00,0.0,0
2015-06-10,90,59,0.18,M,M
2015-06-11,77,58,0.11,0.0,0
2015-06-12,M,54,0.53,0.0,0
2015-06-13,81,61,0.00,0.0,0
2015-06-14,87,58,0.00,0.0,0
2015-06-15,90,61,0.00,0.0,0
2015-06-16,91,67,T,0.0,0
2015-06-17,96,62,0.00,0.0,0
2015-06-18,96,62,0.00,0.0,0
2015-06-19,98,64,0.00,0.0,0
2015-06-20,98,67,0.00,0.0,0
2015-06-21,100,65,0.00,0.0,0
2015-06-22,101,78,0.00,0.0,0
2015-06-23,101,74,0.00,0.0,0
2015-06-24,100,80,0.00,0.0,0
2015-06-25,99,62,0.00,0.0,0
2015-06-26,99,68,0.00,0.0,0
2015-06-28,100,67,0.00,0.0,0
2015-06-29,101,71,0.00,0.0,0
2015-06-30,101,73,0.00,0.0,0
2015-07-01,104,72,0.00,0.0,0
2015-07-02,104,72,0.00,0.0,0
2015-07-03,96,72,0.00,0.0,0
2015-07-04,M,M,0.00,0.0,0
2015-07-05,96,65,0.63,0.0,0
2015-07-06,87,63,0.16,0.0,0
2015-07-07,85,61,0.13,0.0,0
2015-07-08,79,60,0.04,0.0,0
2015-07-09,87,55,0.23,0.0,0
2015-07-10,71,53,0.54,0.0,0
2015-07-11,M,55,0.33,0.0,0
2015-07-12,82,59,0.12,0.0,0
2015-07-13,90,64,0.00,0.0,0
2015-07-14,91,68,0.00,0.0,0
2015-07-15,85,59,T,0.0,0
2015-07-16,89,60,0.02,0.0,0
2015-07-17,91,69,0.00,0.0,0
2015-07-18,94,77,0.00,0.0,0
2015-07-19,M,M,0.09,M,M
2015-07-20,83,61,0.00,0.0,0
2015-07-21,90,63,0.02,0.0,0
2015-07-22,91,58,0.00,0.0,0
2015-07-23,92,61,0.00,0.0,0
2015-07-24,93,58,0.00,0.0,0
2015-07-25,91,58,0.00,0.0,0
2015-07-26,94,61,0.00,0.0,0
2015-07-27,93,69,0.00,0.0,0
2015-07-28,M,M,0.00,0.0,0
2015-07-29,91,62,0.00,0.0,0
2015-07-30,94,63,0.00,0.0,0
2015-07-31,97,65,0.00,0.0,0
2015-08-01,96,69,0.00,0.0,0
2015-08-02,89,65,0.00,0.0,0
2015-08-03,79,59,0.21,0.0,0
2015-08-04,91,57,0.11,0.0,0
2015-08-05,93,63,0.00,0.0,0
2015-08-06,98,69,0.00,0.0,0
2015-08-07,94,71,0.00,0.0,0
2015-08-08,90,59,T,0.0,0
2015-08-09,89,61,0.00,0.0,0
2015-08-10,91,60,0.00,0.0,0
2015-08-11,95,67,0.01,0.0,0
2015-08-12,89,64,0.16,0.0,0
2015-08-13,86,65,0.00,0.0,0
2015-08-14,93,66,0.00,0.0,0
2015-08-15,98,78,0.00,0.0,0
2015-08-16,98,78,0.00,0.0,0
2015-08-17,91,71,0.00,0.0,0
2015-08-19,M,M,0.00,0.0,0
2015-08-20,87,60,0.00,0.0,0
2015-08-21,93,60,0.00,0.0,0
2015-08-22,97,72,0.00,0.0,0
2015-08-23,95,70,0.00,0.0,0
2015-08-24,93,63,0.00,0.0,0
2015-08-25,96,66,0.00,0.0,0
2015-08-26,97,72,0.00,0.0,0
2015-08-27,87,65,0.30,0.0,0
2015-08-28,86,58,0.02,0.0,0
2015-08-29,91,59,0.00,0.0,0
2015-08-30,94,65,0.00,0.0,0
2015-08-31,M,M,0.02,0.0,0
2015-09-01,89,61,0.00,0.0,0
2015-09-02,M,58,T,0.0,0
2015-09-03,91,68,0.00,0.0,0
2015-09-04,90,72,0.00,0.0,0
2015-09-05,M,M,0.08,0.0,0
2015-09-06,85,61,0.00,0.0,0
2015-09-07,88,69,0.00,0.0,0
2015-09-08,85,61,0.07,M,M
2015-09-09,88,55,0.00,0.0,0
2015-09-10,89,54,0.00,0.0,0
2015-09-11,91,58,0.00,0.0,0
2015-09-12,94,55,0.00,0.0,0
2015-09-13,93,60,0.00,0.0,0
2015-09-14,92,69,0.00,0.0,0
2015-09-15,84,57,0.54,0.0,0
2015-09-16,77,59,0.05,0.0,0
2015-09-17,81,65,0.00,0.0,0
2015-09-18,81,57,0.00,0.0,0
2015-09-19,78,50,0.00,0.0,0
2015-09-20,82,52,0.00,0.0,0
2015-09-21,83,50,0.00,0.0,0
2015-09-22,87,56,0.00,0.0,0
2015-09-23,78,59,0.00,0.0,0
