date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1982-04-01,45,20,0.00,0.0,21
1982-04-02,47,15,0.00,0.0,18
1982-04-03,50,21,0.00,0.0,15
1982-04-04,51,24,0.00,0.0,13
1982-04-05,49,30,0.00,0.0,12
1982-04-06,50,28,0.00,0.0,11
1982-04-07,48,23,0.00,0.0,8
1982-04-08,44,24,0.00,0.0,5
1982-04-09,53,15,0.00,0.0,2
1982-04-10,58,M,0.00,0.0,0
1982-04-11,60,34,0.00,0.0,0
1982-04-12,59,36,0.05,1.0,1
1982-04-13,61,27,0.00,0.0,0
1982-04-14,61,25,0.00,0.0,0
1982-04-15,58,26,0.00,0.0,0
1982-04-16,57,27,0.00,0.0,0
1982-04-17,58,21,0.00,0.0,0
1982-04-18,59,25,0.00,0.0,0
1982-04-19,50,28,0.00,0.0,0
1982-04-20,39,20,0.00,0.0,0
1982-04-21,42,22,0.36,3.0,3
1982-04-22,41,24,0.00,0.0,1
1982-04-23,44,30,0.24,2.0,2
1982-04-24,43,27,0.00,0.0,0
1982-04-25,61,29,0.00,0.0,0
1982-04-26,57,34,0.00,0.0,0
1982-04-27,57,30,0.00,0.0,0
1982-04-28,65,27,0.00,0.0,0
1982-04-29,67,31,0.00,0.0,0
1982-04-30,62,33,0.00,0.0,0
1982-06-01,66,35,0.00,0.0,0
1982-06-02,66,35,0.00,0.0,0
1982-06-03,67,34,0.00,0.0,0
1982-06-04,70,33,0.00,0.0,0
1982-06-05,66,33,0.00,0.0,0
1982-06-06,68,31,0.00,0.0,0
1982-06-07,68,30,0.00,0.0,0
1982-06-08,67,32,0.00,0.0,0
1982-06-09,70,34,0.00,0.0,0
1982-06-10,70,32,0.00,0.0,0
1982-06-11,75,38,0.00,0.0,0
1982-06-12,72,39,0.00,0.0,0
1982-06-13,74,38,0.00,0.0,0
1982-06-14,68,37,0.00,0.0,0
1982-06-15,66,36,0.00,0.0,0
1982-06-16,70,38,0.00,0.0,0
1982-06-17,72,39,0.00,0.0,0
1982-06-18,74,41,0.00,0.0,0
1982-06-19,68,46,0.00,0.0,0
