date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1910-04-01,M,M,0.00,M,M
1910-04-02,M,M,0.00,M,M
1910-04-03,M,M,0.00,M,M
1910-04-04,M,M,0.00,M,M
1910-04-05,M,M,0.00,M,M
1910-04-06,M,M,0.00,M,M
1910-04-07,M,M,0.00,M,M
1910-04-08,M,M,0.00,M,M
1910-04-09,M,M,0.00,M,M
1910-04-10,M,M,0.00,M,M
1910-04-11,M,M,0.00,M,M
1910-04-12,M,M,0.00,M,M
1910-04-13,M,M,0.00,M,M
1910-04-14,M,M,0.00,M,M
1910-04-15,M,M,0.04,0.7,M
1910-04-16,M,M,0.00,M,M
1910-04-17,M,M,0.00,M,M
1910-04-18,M,M,0.00,M,M
1910-04-19,M,M,0.00,M,M
1910-04-20,M,M,0.00,M,M
1910-04-21,M,M,0.00,M,M
1910-04-22,M,M,0.00,M,M
1910-04-23,M,M,0.00,M,M
1910-04-24,M,M,0.00,M,M
1910-04-25,M,M,0.00,M,M
1910-04-26,M,M,0.00,M,M
1910-04-27,M,M,0.00,M,M
1910-04-28,M,M,0.00,M,M
1910-04-29,M,M,0.00,M,M
1910-04-30,M,M,0.15,M,M
1910-05-01,M,M,0.06,0.0,M
1910-05-02,M,M,0.04,0.0,M
1910-05-03,M,M,0.00,0.0,M
1910-05-04,M,M,0.00,0.0,M
1910-05-05,M,M,0.57,2.0,M
1910-05-06,M,M,0.00,0.0,M
1910-05-07,M,M,0.00,0.0,M
1910-05-08,M,M,0.00,0.0,M
1910-05-09,M,M,0.00,0.0,M
1910-05-10,M,M,0.31,0.0,M
1910-05-11,M,M,0.00,0.0,M
1910-05-12,M,M,0.00,0.0,M
1910-05-13,M,M,0.00,0.0,M
1910-05-14,M,M,0.00,0.0,M
1910-05-15,M,M,0.00,0.0,M
1910-05-16,M,M,0.15,2.5,M
1910-05-17,M,M,0.00,0.0,M
1910-05-18,M,M,0.00,0.0,M
1910-05-19,M,M,0.00,0.0,M
1910-05-20,M,M,0.00,0.0,M
1910-05-21,M,M,0.00,0.0,M
1910-05-22,M,M,0.00,0.0,M
1910-05-23,M,M,0.00,0.0,M
1910-05-24,M,M,0.00,0.0,M
1910-05-25,M,M,0.00,0.0,M
1910-05-26,M,M,0.00,0.0,M
1910-05-27,M,M,0.00,0.0,M
1910-05-28,M,M,0.00,0.0,M
1910-05-29,M,M,0.00,0.0,M
1910-05-30,M,M,0.00,0.0,M
1910-05-31,M,M,0.00,0.0,M
1910-06-01,M,M,0.00,M,M
1910-06-02,M,M,0.00,M,M
1910-06-03,M,M,0.00,M,M
1910-06-04,M,M,0.00,M,M
1910-06-05,M,M,0.00,M,M
1910-06-06,M,M,0.00,M,M
1910-06-07,M,M,0.00,M,M
1910-06-08,M,M,0.00,M,M
1910-06-09,M,M,0.00,M,M
1910-06-10,M,M,0.00,M,M
1910-06-11,M,M,0.00,M,M
1910-06-12,M,M,0.00,M,M
1910-06-13,M,M,0.00,M,M
1910-06-14,M,M,0.00,M,M
1910-06-15,M,M,0.00,M,M
1910-06-16,M,M,0.00,M,M
1910-06-17,M,M,0.06,M,M
1910-06-18,M,M,0.00,M,M
1910-06-19,M,M,0.00,M,M
1910-06-20,M,M,0.00,M,M
1910-06-21,M,M,0.00,M,M
1910-06-22,M,M,0.00,M,M
1910-06-23,M,M,0.00,M,M
1910-06-24,M,M,0.00,M,M
1910-06-25,M,M,0.00,M,M
1910-06-26,M,M,0.00,M,M
1910-06-27,M,M,0.00,M,M
1910-06-28,M,M,0.00,M,M
1910-06-29,M,M,0.18,M,M
1910-06-30,M,M,0.00,M,M
1910-07-04,M,M,0.09,M,M
1910-07-15,M,M,0.12,M,M
1910-07-21,M,M,0.05,M,M
1910-07-22,M,M,0.19,M,M
1910-07-26,M,M,0.07,M,M
1910-07-29,M,M,0.06,M,M
1910-07-30,M,M,0.35,M,M
1910-08-01,M,M,0.05,M,M
1910-08-02,M,M,0.00,M,M
1910-08-03,M,M,0.00,M,M
1910-08-04,M,M,0.00,M,M
1910-08-05,M,M,0.00,M,M
1910-08-06,M,M,0.00,M,M
1910-08-07,M,M,0.00,M,M
1910-08-08,M,M,0.00,M,M
1910-08-09,M,M,0.00,M,M
1910-08-10,M,M,0.00,M,M
1910-08-11,M,M,0.00,M,M
1910-08-12,M,M,0.05,M,M
1910-08-13,M,M,0.00,M,M
1910-08-14,M,M,0.02,M,M
1910-08-15,M,M,0.00,M,M
1910-08-16,M,M,0.00,M,M
1910-08-17,M,M,0.02,M,M
1910-08-18,M,M,0.00,M,M
1910-08-19,M,M,0.20,M,M
1910-08-20,M,M,0.40,M,M
1910-08-21,M,M,0.05,M,M
1910-08-22,M,M,0.00,M,M
1910-08-23,M,M,0.00,M,M
1910-08-24,M,M,0.00,M,M
1910-08-25,M,M,0.00,M,M
1910-08-26,M,M,0.00,M,M
1910-08-27,M,M,0.00,M,M
1910-08-28,M,M,0.20,M,M
1910-08-29,M,M,0.00,M,M
1910-08-30,M,M,0.00,M,M
1910-08-31,M,M,0.00,M,M
1910-09-03,M,M,0.15,M,M
1910-09-13,M,M,0.10,M,M
1910-09-16,M,M,0.40,M,M
1910-09-18,M,M,0.15,M,M
1910-09-22,M,M,0.25,M,M
1910-10-02,M,M,0.10,M,M
1910-10-12,M,M,0.10,M,M
1910-10-13,M,M,0.05,M,M
1910-10-14,M,M,0.25,M,M
1910-10-17,M,M,0.05,M,M
1910-10-18,M,M,0.55,M,M
1910-10-19,M,M,0.14,T,M
1910-11-19,M,M,0.02,M,M
1910-11-22,M,M,0.08,1.0,M
1910-11-26,M,M,T,M,T
1910-12-01,M,M,0.00,M,M
1910-12-02,M,M,0.00,M,M
1910-12-03,M,M,0.00,M,M
1910-12-04,M,M,0.02,T,M
1910-12-05,M,M,0.00,M,M
1910-12-06,M,M,0.00,M,M
1910-12-07,M,M,0.00,M,M
1910-12-08,M,M,0.00,M,M
1910-12-09,M,M,0.18,M,M
1910-12-10,M,M,0.00,M,M
1910-12-11,M,M,0.40,1.5,2
1910-12-12,M,M,0.00,M,M
1910-12-13,M,M,0.00,M,M
1910-12-14,M,M,0.00,M,M
1910-12-15,M,M,0.00,M,M
1910-12-16,M,M,0.00,M,M
1910-12-17,M,M,0.00,M,M
1910-12-18,M,M,0.00,M,M
1910-12-19,M,M,0.00,M,M
1910-12-20,M,M,0.00,M,M
1910-12-21,M,M,0.02,2.5,3
1910-12-22,M,M,0.00,M,M
1910-12-23,M,M,0.00,M,M
1910-12-24,M,M,0.00,M,M
1910-12-25,M,M,0.00,M,M
1910-12-26,M,M,0.00,M,M
1910-12-27,M,M,0.00,M,M
1910-12-28,M,M,0.00,M,M
1910-12-29,M,M,0.00,M,M
1910-12-30,M,M,0.00,M,M
1910-12-31,M,M,0.01,2.0,2
1911-01-10,M,M,0.20,2.0,2
1911-01-21,M,M,0.20,2.0,2
1911-01-26,M,M,0.08,M,M
1911-01-27,M,M,0.01,0.5,1
1911-02-01,M,M,0.03,M,M
1911-02-14,M,M,0.70,7.5,8
1911-02-15,M,M,M,M,6
1911-02-16,M,M,M,M,6
1911-02-17,M,M,M,M,5
1911-02-18,M,M,M,M,5
1911-02-19,M,M,M,M,5
1911-02-20,M,M,0.08,2.0,6
1911-02-21,M,M,0.01,0.8,7
1911-02-22,M,M,M,M,6
1911-02-23,M,M,M,M,6
1911-02-24,M,M,M,M,6
1911-02-25,M,M,M,M,5
1911-02-26,M,M,0.10,2.0,7
1911-02-27,M,M,M,M,6
1911-02-28,M,M,M,M,6
1911-03-01,M,M,M,M,6
1911-03-02,M,M,M,M,5
1911-03-03,M,M,M,M,5
1911-03-04,M,M,0.06,T,3
1911-03-05,M,M,M,M,3
1911-03-06,M,M,M,M,2
1911-03-07,M,M,M,M,T
1911-03-08,M,M,M,M,T
1911-03-09,M,M,M,M,T
1911-03-10,M,M,M,M,T
1911-03-11,M,M,0.46,T,1
1911-03-12,M,M,M,M,T
1911-03-13,M,M,M,M,T
1911-03-14,M,M,M,M,T
1911-03-24,M,M,0.13,M,M
1911-04-05,M,M,0.37,1.0,M
1911-04-09,M,M,0.36,M,M
1911-04-19,M,M,0.20,2.0,2
1911-04-20,M,M,0.10,1.0,M
1911-04-29,M,M,0.14,M,M
1911-04-30,M,M,0.37,1.0,M
1911-05-01,M,M,0.03,M,M
1911-05-09,M,M,0.17,M,M
1911-05-10,M,M,0.03,M,M
1911-05-18,M,M,0.05,M,M
1911-06-01,74,66,0.07,M,M
1911-06-02,75,53,0.00,M,M
1911-06-03,78,60,0.00,M,M
1911-06-04,82,68,0.00,M,M
1911-06-05,79,31,0.00,M,M
1911-06-06,84,39,0.00,M,M
1911-06-07,80,46,0.08,M,M
1911-06-08,80,39,0.00,M,M
1911-06-09,80,40,0.04,M,M
1911-06-10,83,30,0.00,M,M
1911-06-11,90,42,0.00,M,M
1911-06-12,87,45,0.00,M,M
1911-06-13,M,47,0.00,M,M
1911-06-14,M,49,0.20,M,M
1911-06-15,M,54,0.06,M,M
1911-06-16,M,49,0.47,M,M
1911-06-17,M,47,0.00,M,M
1911-06-18,M,46,0.00,M,M
1911-06-19,M,42,0.07,M,M
1911-06-20,M,60,0.06,M,M
1911-06-21,M,46,0.05,M,M
1911-06-22,M,42,0.00,M,M
1911-06-23,M,42,0.00,M,M
1911-06-24,M,43,0.00,M,M
1911-06-25,M,49,0.00,M,M
1911-06-26,M,39,0.00,M,M
1911-06-27,M,45,0.00,M,M
1911-06-28,M,46,0.00,M,M
1911-06-29,M,46,0.00,M,M
