date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2004-01-31,M,M,0.05,0.0,0
2004-02-01,M,M,0.00,0.0,0
2004-02-03,M,M,T,T,0
2004-02-04,M,M,0.14,1.7,2
2004-02-05,M,M,0.03,0.2,2
2004-02-06,M,M,0.00,0.0,0
2004-02-08,M,M,T,T,0
2004-02-09,M,M,0.00,0.0,0
2004-02-10,M,M,0.00,0.0,0
2004-02-11,M,M,0.00,0.0,0
2004-02-12,M,M,0.00,0.0,0
2004-02-13,M,M,0.00,0.0,0
2004-02-14,M,M,0.00,0.0,0
2004-02-15,M,M,0.00,0.0,0
2004-02-16,M,M,0.00,0.0,0
2004-02-17,M,M,0.00,0.0,0
2004-02-18,M,M,0.00,0.0,0
2004-02-19,M,M,0.00,0.0,0
2004-02-20,M,M,0.00,0.0,0
2004-02-21,M,M,0.00,0.0,0
2004-02-22,M,M,0.01,T,0
2004-02-23,M,M,0.00,0.0,0
2004-02-24,M,M,0.00,0.0,0
2004-02-25,M,M,0.04,0.0,0
2004-02-26,M,M,0.00,0.0,0
2004-02-27,M,M,0.16,0.0,0
2004-02-28,M,M,0.20,0.2,0
2004-02-29,M,M,T,T,0
2004-03-01,M,M,0.01,0.0,0
2004-03-02,M,M,0.00,0.0,0
2004-03-03,M,M,0.00,0.0,0
2004-03-04,M,M,0.00,0.0,0
2004-03-05,M,M,T,0.0,0
2004-03-06,M,M,0.00,0.0,0
2004-03-07,M,M,0.00,0.0,0
2004-03-08,M,M,0.00,0.0,0
2004-03-09,M,M,0.00,0.0,0
2004-03-10,M,M,0.00,0.0,0
2004-03-11,M,M,0.00,0.0,0
2004-03-12,M,M,0.00,0.0,0
2004-03-13,M,M,0.00,0.0,0
2004-03-14,M,M,0.00,0.0,0
2004-03-15,M,M,0.00,0.0,0
2004-03-16,M,M,0.00,0.0,0
2004-03-17,M,M,0.00,0.0,0
2004-03-18,M,M,0.00,0.0,0
2004-03-19,M,M,0.00,0.0,0
2004-03-20,M,M,0.00,0.0,0
2004-03-21,M,M,0.00,0.0,0
2004-03-22,M,M,0.00,0.0,0
2004-03-23,M,M,0.00,0.0,0
2004-03-24,M,M,0.16,0.0,0
2004-03-25,M,M,0.12,0.0,0
2004-03-26,M,M,0.00,0.0,0
2004-03-27,M,M,0.12,0.0,0
2004-03-28,M,M,T,0.0,0
2004-03-29,M,M,0.00,0.0,0
2004-03-30,M,M,0.00,0.0,0
2004-03-31,M,M,0.00,0.0,0
2004-04-01,M,M,0.00,0.0,0
2004-04-02,M,M,0.00,0.0,0
2004-04-03,M,M,0.00,0.0,0
2004-04-04,M,M,0.00,0.0,0
2004-04-05,M,M,0.50,0.0,0
2004-04-06,M,M,0.02,0.0,0
2004-04-07,M,M,0.00,0.0,0
2004-04-08,M,M,0.03,0.0,0
2004-04-09,M,M,0.19,0.0,0
2004-04-10,M,M,0.28,0.0,0
2004-04-11,M,M,T,0.0,0
2004-04-12,M,M,0.01,0.0,0
2004-04-13,M,M,0.00,0.0,0
2004-04-14,M,M,0.00,0.0,0
2004-04-15,M,M,0.00,0.0,0
2004-04-16,M,M,0.00,0.0,0
2004-04-17,M,M,0.00,0.0,0
2004-04-18,M,M,0.00,0.0,0
2004-04-19,M,M,0.16,0.0,0
2004-04-20,M,M,0.00,0.0,0
2004-04-21,M,M,0.01,0.0,0
2004-04-22,M,M,0.09,0.0,0
2004-04-23,M,M,0.42,0.0,0
2004-04-24,M,M,0.01,0.0,0
2004-04-25,M,M,0.16,0.0,0
2004-04-26,M,M,0.00,0.0,0
2004-04-27,M,M,0.00,0.0,0
2004-04-28,M,M,0.00,0.0,0
2004-04-29,M,M,0.00,0.0,0
2004-04-30,M,M,0.10,0.0,0
2004-05-01,M,M,0.01,0.0,0
2004-05-02,M,M,0.00,0.0,0
2004-05-04,M,M,0.00,0.0,0
2004-05-05,M,M,0.00,0.0,0
2004-05-06,M,M,0.00,0.0,0
2004-05-07,M,M,0.00,0.0,0
2004-05-08,M,M,0.00,0.0,0
2004-05-11,M,M,0.00,0.0,0
2004-05-12,M,M,0.09,0.0,0
2004-05-13,M,M,0.47,0.0,0
2004-05-14,M,M,0.11,0.0,0
2004-05-15,M,M,0.00,0.0,0
2004-05-16,M,M,0.00,0.0,0
2004-05-17,M,M,0.00,0.0,0
2004-05-18,M,M,0.00,0.0,0
2004-05-19,M,M,0.00,0.0,0
2004-05-20,M,M,0.00,0.0,0
2004-05-21,M,M,0.00,0.0,0
2004-05-22,M,M,0.00,0.0,0
2004-05-23,M,M,0.00,0.0,0
2004-05-24,M,M,0.00,0.0,0
2004-05-25,M,M,0.00,0.0,0
2004-05-26,M,M,T,0.0,0
2004-05-27,M,M,0.00,0.0,0
2004-05-28,M,M,T,0.0,0
2004-05-29,M,M,0.00,0.0,0
2004-05-30,M,M,0.15,0.0,0
2004-05-31,M,M,0.00,0.0,0
