date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1977-09-01,70,36,0.00,0.0,0
1977-09-02,71,41,0.40,0.0,0
1977-09-03,67,30,0.10,0.0,0
1977-09-04,69,32,0.00,0.0,0
1977-09-05,70,31,0.10,0.0,0
1977-09-06,74,32,0.00,0.0,0
1977-09-07,75,31,0.00,0.0,0
1977-09-08,77,31,0.00,0.0,0
1977-09-09,74,34,0.00,0.0,0
1977-09-10,69,34,0.00,0.0,0
1977-09-11,61,37,0.20,0.0,0
1977-09-12,52,38,0.20,0.0,0
1977-09-13,59,25,0.00,0.0,0
1977-09-14,63,24,0.00,0.0,0
1977-09-15,65,33,0.35,0.0,0
1977-09-16,56,26,0.05,0.0,0
1977-09-17,53,33,0.00,0.0,0
1977-09-18,59,22,0.00,0.0,0
1977-09-19,62,25,0.00,0.0,0
1977-09-20,64,32,0.00,0.0,0
1977-09-21,64,26,0.00,0.0,0
1977-09-22,61,19,0.00,0.0,0
1977-09-23,60,29,0.27,0.0,0
1977-09-24,58,23,0.00,0.0,0
1977-09-25,64,25,0.00,0.0,0
1977-09-26,67,25,0.00,0.0,0
1977-09-27,59,27,0.01,0.0,0
1977-09-28,63,37,0.04,0.0,0
1977-09-29,66,25,0.00,0.0,0
1977-09-30,66,32,0.00,0.0,0
1977-10-01,57,17,0.00,0.0,0
1977-10-02,60,20,0.00,0.0,0
1977-10-03,65,27,0.00,0.0,0
1977-10-04,64,26,0.02,0.0,0
1977-10-05,64,29,0.00,0.0,0
1977-10-06,62,31,0.02,0.0,0
1977-10-07,49,32,0.37,0.0,0
1977-10-08,50,21,0.00,0.0,0
1977-10-09,55,32,0.00,0.0,0
1977-10-10,56,22,0.00,0.0,0
1977-10-11,53,15,0.00,0.0,0
1977-10-12,50,12,0.00,0.0,0
1977-10-13,61,15,0.00,0.0,0
1977-10-14,63,17,0.00,0.0,0
1977-10-15,63,18,0.00,0.0,0
1977-10-16,65,13,0.00,0.0,0
1977-10-17,63,18,0.00,0.0,0
1977-10-18,66,18,0.00,0.0,0
1977-10-19,65,17,0.00,0.0,0
1977-10-20,57,19,0.00,0.0,0
1977-10-21,55,35,T,T,0
1977-10-22,44,20,0.00,0.0,0
1977-10-23,52,19,0.06,0.0,0
1977-10-24,53,16,0.00,0.0,0
1977-10-25,60,18,0.00,0.0,0
1977-10-26,58,15,0.00,0.0,0
1977-10-27,65,18,0.00,0.0,0
1977-10-28,61,19,0.00,0.0,0
1977-10-29,60,22,0.00,0.0,0
1977-10-30,50,26,0.05,M,0
1977-10-31,48,12,0.00,0.0,0
1977-11-01,39,4,0.00,0.0,M
1977-11-02,40,14,0.00,0.0,M
1977-11-03,58,14,0.00,0.0,M
1977-11-04,58,17,0.00,0.0,M
1977-11-05,58,18,0.00,0.0,M
1977-11-06,52,29,0.32,4.0,M
1977-11-07,42,28,1.15,8.0,M
1977-11-08,39,15,0.00,0.0,M
1977-11-09,27,-12,0.00,0.0,M
1977-11-10,38,-1,0.00,0.0,M
1977-11-11,46,-0,0.00,0.0,M
1977-11-12,44,6,0.00,0.0,M
1977-11-13,49,1,0.00,0.0,M
1977-11-14,47,5,0.00,0.0,M
1977-11-15,45,11,0.00,0.0,M
1977-11-16,47,10,0.00,0.0,M
1977-11-17,44,20,0.00,0.0,M
1977-11-18,48,27,0.00,0.0,M
1977-11-19,39,21,0.10,2.0,M
1977-11-20,30,16,0.30,0.0,M
1977-11-21,28,-2,0.05,0.0,M
1977-11-22,33,7,0.00,0.0,M
1977-11-23,34,-0,0.00,0.0,M
1977-11-24,36,-1,0.00,0.0,M
1977-11-25,45,16,0.00,0.0,M
1977-11-26,52,10,0.00,0.0,M
1977-11-27,48,13,0.00,0.0,M
1977-11-28,38,7,0.00,0.0,M
1977-11-29,33,-4,0.00,0.0,M
1977-11-30,39,11,0.00,0.0,M
1977-12-01,30,-5,0.00,M,M
1977-12-02,34,13,0.00,M,M
1977-12-03,46,20,0.00,M,M
1977-12-04,47,24,T,M,M
1977-12-05,37,17,0.00,M,M
1977-12-06,35,2,0.00,M,M
1977-12-07,45,16,0.00,M,M
1977-12-08,45,22,0.00,M,M
1977-12-09,36,8,0.00,M,M
1977-12-10,46,8,0.00,M,M
1977-12-11,47,4,0.00,M,M
1977-12-12,47,17,0.00,M,M
1977-12-13,34,-2,T,M,M
1977-12-14,45,9,0.00,M,M
1977-12-15,45,10,0.00,M,M
1977-12-16,42,9,0.13,M,M
1977-12-17,18,-9,0.00,M,M
1977-12-18,32,12,0.02,M,M
1977-12-19,21,-15,0.03,M,M
1977-12-20,19,-18,0.00,M,M
1977-12-21,23,-21,0.00,M,M
1977-12-22,29,5,0.00,M,M
1977-12-23,29,2,0.00,M,M
1977-12-24,23,-5,0.00,M,M
1977-12-25,19,-10,0.00,M,M
1977-12-26,35,-3,0.00,M,M
1977-12-27,34,-4,0.00,M,M
1977-12-28,34,5,T,M,M
1977-12-29,35,-4,0.00,M,M
1977-12-30,33,-2,0.00,M,M
