date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1985-02-01,26,-7,0.20,2.1,30
1985-02-02,9,-32,0.00,0.0,30
1985-02-03,9,M,0.06,0.5,30
1985-02-04,20,-25,0.00,0.0,29
1985-02-05,12,-22,0.15,1.8,30
1985-02-06,26,M,T,T,30
1985-02-07,19,-17,0.22,1.3,32
1985-02-08,24,-10,0.00,0.0,31
1985-02-09,41,-7,0.11,2.3,33
1985-02-10,39,M,0.10,1.5,31
1985-02-11,30,-0,0.06,1.0,30
1985-02-12,19,-16,0.00,0.0,30
1985-02-13,38,M,0.00,0.0,30
1985-02-14,35,-5,0.20,2.3,31
1985-02-15,38,3,0.00,0.0,31
1985-02-16,49,1,0.00,0.0,28
1985-02-17,42,M,0.09,1.3,29
1985-02-18,31,4,0.04,0.5,30
1985-02-19,36,8,0.21,3.2,32
1985-02-20,39,6,0.00,0.0,32
1985-02-21,45,-4,0.06,0.9,31
1985-02-22,41,M,0.00,0.0,31
1985-02-23,44,8,T,T,29
1985-02-24,36,-5,0.00,0.0,28
1985-02-25,37,M,0.05,0.6,31
1985-02-26,36,-0,0.12,2.3,29
1985-02-27,39,-3,0.00,0.0,29
1985-02-28,42,M,0.04,0.8,27
1985-03-01,37,4,0.00,0.0,25
1985-03-02,44,5,0.00,0.0,24
1985-03-03,46,20,0.09,2.0,26
1985-03-04,40,6,0.00,0.0,24
1985-03-05,29,-1,0.00,0.0,24
1985-03-06,46,20,0.01,0.6,25
1985-03-07,40,22,0.00,0.0,24
1985-03-08,44,8,0.00,0.0,22
1985-03-09,43,6,0.00,0.0,20
1985-03-10,48,23,T,T,19
1985-03-11,36,11,0.59,5.4,23
1985-03-12,M,M,S,M,M
1985-03-13,42,14,0.32A,2.8,26
1985-03-14,44,5,0.00,0.0,24
1985-03-15,46,7,0.00,0.0,23
1985-03-16,50,11,0.00,0.0,21
1985-03-17,48,9,0.00,0.0,19
1985-03-18,49,18,0.00,0.0,18
1985-03-19,45,6,0.00,0.0,18
1985-03-20,44,8,0.00,0.0,18
1985-03-21,M,M,S,M,M
1985-03-22,48,3,0.22A,4.5,21
1985-03-23,30,11,T,0.0,16
1985-03-24,38,12,0.00,0.0,15
1985-03-25,48,8,0.00,0.0,15
1985-03-26,55,16,0.00,0.0,11
1985-03-27,44,12,0.00,0.0,10
1985-03-28,M,15,0.60,6.8,16
1985-03-29,32,5,0.19,2.5,18
1985-03-30,36,9,0.02,0.8,18
1985-03-31,30,17,0.14,3.8,17
1985-04-01,34,7,0.63,7.0,25
1985-04-02,44,20,0.00,0.0,23
1985-04-03,40,10,0.00,0.0,22
1985-04-04,55,17,T,T,19
1985-04-05,M,6,0.17,2.0,21
1985-04-06,54,17,0.14,1.0,10
1985-04-07,50,20,0.00,0.0,8
1985-04-08,M,M,0.00,0.0,M
