date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1997-06-01,84,52,M,M,M
1997-06-02,77,56,M,M,M
1997-06-04,69,49,M,M,M
1997-06-05,75,51,M,M,M
1997-06-06,74,56,M,M,M
1997-06-07,75,55,M,M,M
1997-06-08,74,56,M,M,M
1997-06-09,61,51,M,M,M
1997-06-10,64,51,M,M,M
1997-06-11,84,57,M,M,M
1997-06-12,83,51,M,M,M
1997-06-13,70,55,M,M,M
1997-06-14,78,56,M,M,M
1997-06-15,81,56,M,M,M
1997-06-16,75,53,M,M,M
1997-06-17,82,51,M,M,M
1997-06-18,88,54,M,M,M
1997-06-19,94,55,M,M,M
1997-06-20,94,61,M,M,M
1997-06-21,86,60,M,M,M
1997-06-22,91,61,M,M,M
1997-06-23,79,59,M,M,M
1997-06-24,86,56,M,M,M
1997-06-25,81,55,M,M,M
1997-06-26,82,53,M,M,M
1997-06-27,92,56,M,M,M
1997-06-28,92,55,M,M,M
1997-06-29,90,59,M,M,M
1997-06-30,98,53,M,M,M
1997-07-01,93,57,M,M,M
1997-07-02,82,50,M,M,M
1997-07-03,74,51,M,M,M
1997-07-05,89,55,M,M,M
1997-07-07,91,59,M,M,M
1997-07-08,89,61,M,M,M
1997-07-09,88,57,M,M,M
1997-07-10,94,59,M,M,M
1997-07-11,92,63,M,M,M
1997-07-13,87,59,M,M,M
1997-07-14,86,58,M,M,M
1997-07-15,94,60,M,M,M
1997-07-16,99,57,M,M,M
1997-07-18,93,58,M,M,M
1997-07-19,88,59,M,M,M
1997-07-20,84,61,M,M,M
1997-07-22,92,56,M,M,M
1997-07-23,97,63,M,M,M
1997-07-30,85,63,M,M,M
1997-07-31,90,66,M,M,M
1997-08-01,88,66,M,M,M
1997-08-02,88,63,M,M,M
1997-08-03,90,60,M,M,M
1997-08-04,81,66,M,M,M
1997-08-05,71,59,M,M,M
1997-08-06,69,57,M,M,M
1997-08-07,76,55,M,M,M
1997-08-08,83,54,M,M,M
1997-08-09,77,60,M,M,M
1997-08-10,61,56,M,M,M
1997-08-11,68,53,M,M,M
1997-08-12,78,55,M,M,M
1997-08-13,84,58,M,M,M
1997-08-14,88,56,M,M,M
1997-08-15,90,54,M,M,M
