date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1999-01-01,M,M,0.00,0.0,7
1999-01-02,M,M,0.40,4.0,7
1999-01-03,M,M,0.20,2.0,11
1999-01-04,M,M,0.00,0.0,11
1999-01-05,M,M,0.63,1.0,12
1999-01-06,M,M,0.00,0.0,12
1999-01-07,M,M,0.00,0.0,12
1999-01-08,M,M,T,T,12
1999-01-09,M,M,T,T,12
1999-01-10,M,M,0.00,0.0,12
1999-01-11,M,M,0.00,0.0,12
1999-01-12,M,M,0.10,1.0,13
1999-01-13,M,M,0.00,0.0,13
1999-01-14,M,M,0.00,0.0,13
1999-01-15,M,M,0.18,1.0,13
1999-01-16,M,M,0.00,0.0,12
1999-01-17,M,M,0.21,2.0,13
1999-01-18,M,M,T,T,13
1999-01-19,M,M,0.00,0.0,12
1999-01-20,M,M,T,T,12
1999-01-21,M,M,0.00,0.0,12
1999-01-22,M,M,0.48,5.0,17
1999-01-27,M,M,0.00,0.0,21
1999-01-28,M,M,0.00,0.0,21
1999-01-29,M,M,0.00,0.0,21
1999-01-30,M,M,0.00,0.0,21
1999-01-31,M,M,0.00,0.0,19
1999-02-01,M,M,0.20,T,19
1999-02-02,M,M,0.00,0.0,19
1999-02-03,M,M,0.00,0.0,19
1999-02-04,M,M,0.40,4.0,22
1999-02-05,M,M,T,T,21
1999-02-06,M,M,0.00,0.0,20
1999-02-07,M,M,0.00,0.0,20
1999-02-08,M,M,T,0.0,18
1999-02-09,M,M,0.00,0.0,17
1999-02-10,M,M,T,0.0,16
1999-02-11,M,M,0.92,1.0,17
1999-02-12,M,M,T,T,17
1999-02-13,M,M,0.00,0.0,17
1999-02-14,M,M,0.00,0.0,16
1999-02-15,M,M,0.00,0.0,16
1999-02-16,M,M,0.25,3.0,19
1999-02-17,M,M,T,T,19
1999-02-18,M,M,0.00,0.0,19
1999-02-19,M,M,0.00,0.0,18
1999-02-20,M,M,T,T,18
1999-02-21,M,M,0.00,0.0,18
1999-02-22,M,M,0.00,0.0,18
1999-02-23,M,M,0.00,0.0,18
1999-02-24,M,M,0.15,2.0,20
1999-02-25,M,M,0.00,0.0,19
1999-02-26,M,M,T,0.0,17
1999-04-01,M,M,M,0.0,M
1999-04-02,M,M,M,0.0,0
1999-04-03,M,M,M,0.0,0
1999-04-04,M,M,M,0.0,0
1999-04-05,M,M,M,0.0,0
1999-04-06,M,M,M,0.0,0
1999-04-07,M,M,M,0.0,0
1999-04-08,M,M,M,0.0,0
1999-04-09,M,M,M,0.0,0
1999-04-10,M,M,M,0.0,0
1999-04-11,M,M,M,0.0,0
1999-04-12,M,M,0.00,0.0,0
1999-04-13,M,M,0.00,0.0,0
1999-04-14,M,M,0.00,0.0,0
1999-04-15,M,M,0.00,0.0,0
1999-04-16,M,M,0.00,0.0,0
1999-04-17,M,M,0.00,0.0,0
1999-04-18,M,M,0.00,0.0,0
1999-04-19,M,M,T,0.0,0
1999-04-20,M,M,0.12,0.0,0
1999-04-21,M,M,0.05,0.0,0
1999-04-22,M,M,0.00,0.0,0
1999-04-23,M,M,0.00,0.0,0
1999-04-24,M,M,0.00,0.0,0
1999-04-25,M,M,0.00,0.0,0
1999-04-26,M,M,0.00,0.0,0
1999-04-27,M,M,0.00,0.0,0
1999-04-28,M,M,0.00,0.0,0
1999-04-29,M,M,0.00,0.0,0
1999-04-30,M,M,0.00,0.0,0
1999-05-01,M,M,0.00,0.0,0
1999-05-02,M,M,0.00,0.0,0
1999-05-03,M,M,0.00,0.0,0
1999-05-04,M,M,0.00,0.0,0
1999-05-05,M,M,0.18,0.0,0
1999-05-06,M,M,1.39,0.0,0
1999-05-07,M,M,0.78,0.0,0
1999-05-08,M,M,0.00,0.0,0
1999-05-09,M,M,0.00,0.0,0
1999-05-10,M,M,T,0.0,0
1999-05-11,M,M,0.00,0.0,0
1999-05-12,M,M,0.00,0.0,0
1999-05-13,M,M,0.00,0.0,0
1999-05-14,M,M,0.00,0.0,0
1999-05-15,M,M,T,0.0,0
1999-05-16,M,M,0.00,0.0,0
1999-05-17,M,M,0.92,0.0,0
1999-05-18,M,M,0.00,0.0,0
1999-05-19,M,M,0.09,0.0,0
1999-05-20,M,M,0.58,0.0,0
1999-05-21,M,M,0.01,0.0,0
1999-05-22,M,M,0.62,0.0,0
