date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1971-12-01,24,-0,0.00,0.0,M
1971-12-02,27,5,0.00,0.0,M
1971-12-03,24,17,0.00,0.0,M
1971-12-04,32,11,0.00,0.0,M
1971-12-05,32,29,0.09,1.0,6
1971-12-06,33,29,0.00,0.0,M
1971-12-07,33,30,0.00,0.0,M
1971-12-08,35,31,0.00,0.0,M
1971-12-09,33,25,0.14,1.7,6
1971-12-10,34,16,0.21,0.0,5
1971-12-11,32,17,0.26,0.0,4
1971-12-12,22,-0,0.00,0.0,4
1971-12-13,15,-3,0.00,0.0,4
1971-12-14,26,11,0.08,1.0,5
1971-12-15,33,24,0.15,0.0,5
1971-12-16,31,18,0.08,0.8,6
1971-12-17,20,-2,0.04,1.0,7
1971-12-18,10,-12,0.00,0.0,M
1971-12-19,21,6,0.06,0.7,7
1971-12-20,22,2,0.00,0.0,M
1971-12-21,23,8,T,T,M
1971-12-22,27,-7,0.00,0.0,M
1971-12-23,34,22,0.00,0.0,M
1971-12-24,33,6,0.00,0.0,M
1971-12-25,26,3,0.00,0.0,M
1971-12-26,26,11,0.00,0.0,M
1971-12-27,17,9,0.45,5.5,13
1971-12-28,17,-8,0.08,1.5,13
1971-12-29,14,3,0.00,0.0,M
1971-12-30,21,-2,0.05,1.0,13
1971-12-31,19,2,0.00,0.0,M
1972-01-01,30,12,0.00,0.0,M
1972-01-02,26,1,0.00,0.0,M
1972-01-03,20,-3,0.00,0.0,M
1972-01-04,3,-20,0.00,0.0,M
1972-01-05,6,-28,0.00,0.0,M
1972-01-06,20,-1,T,T,M
1972-01-07,28,12,0.05,1.2,13
1972-01-08,39,2,0.00,0.0,M
1972-01-09,36,24,0.00,0.0,M
1972-01-10,32,14,T,T,12
1972-01-11,27,5,0.00,0.0,M
1972-01-12,31,-4,0.10,3.5,16
1972-01-13,32,-1,0.05,1.2,16
1972-01-14,1,-28,0.00,0.0,M
1972-01-15,-17,-38,0.00,0.0,M
1972-01-16,7,-32,T,T,M
1972-01-17,33,6,0.00,0.0,M
1972-01-18,34,22,0.00,0.0,M
1972-01-19,33,-12,T,T,M
1972-01-20,9,-6,0.14,1.5,16
1972-01-21,19,-20,0.00,0.0,M
1972-01-22,28,14,0.05,1.2,17
1972-01-23,16,-2,0.20,2.8,19
1972-01-24,19,-11,0.00,0.0,M
1972-01-25,19,-22,0.44,8.5,25
1972-01-26,-7,-28,0.00,0.0,M
1972-01-27,2,-20,0.00,0.0,M
1972-01-28,2,-14,0.15,0.7,23
1972-01-29,5,-24,T,T,M
1972-01-30,4,-23,0.00,0.0,M
1972-01-31,17,-22,0.00,0.0,M
1972-02-01,17,-14,0.00,0.0,23
1972-02-02,21,9,0.05,1.7,23
1972-02-03,20,11,T,T,23
1972-02-04,13,-8,0.00,0.0,23
1972-02-05,1,-22,0.00,0.0,23
1972-02-06,4,-14,0.00,0.0,23
1972-02-07,3,-22,0.00,0.0,23
1972-02-08,6,-25,0.00,0.0,22
1972-02-09,14,-28,0.00,0.0,22
1972-02-10,18,-20,0.00,0.0,22
1972-02-11,21,-9,0.00,0.0,22
1972-02-12,30,13,0.00,0.0,22
1972-02-13,29,16,0.00,0.0,22
1972-02-14,36,20,0.00,0.0,22
1972-02-15,33,7,0.05,1.5,22
1972-02-16,26,-11,0.00,0.0,22
1972-02-17,33,17,0.09,2.2,23
1972-02-18,32,15,0.38,6.0,29
1972-02-19,17,4,0.00,0.0,29
1972-02-20,18,-8,0.00,0.0,29
1972-02-21,23,13,0.00,0.0,29
1972-02-22,15,-16,0.02,0.8,26
1972-02-23,22,8,0.00,0.0,26
1972-02-24,22,-0,0.06,2.5,27
1972-02-25,24,-1,0.00,0.0,27
1972-02-26,24,-16,0.00,0.0,26
1972-02-27,23,15,0.03,0.8,26
1972-02-28,26,9,0.12,2.0,27
1972-02-29,26,4,0.00,0.0,27
1972-03-01,24,-0,0.00,0.0,27
1972-03-02,12,-8,0.21,3.7,29
1972-03-03,17,-21,0.00,0.0,29
1972-03-04,18,10,0.47,6.0,34
1972-03-05,13,-2,0.05,1.5,34
1972-03-06,18,-15,0.00,0.0,34
1972-03-07,32,12,0.25,3.0,34
1972-03-08,15,-0,0.00,0.0,34
1972-03-09,17,-10,0.00,0.0,34
1972-03-10,23,-18,0.00,0.0,34
1972-03-11,45,14,0.00,0.0,31
1972-03-12,43,20,0.00,0.0,30
1972-03-13,37,19,0.00,0.0,29
1972-03-14,42,11,0.00,0.0,28
1972-03-15,41,17,0.00,0.0,26
1972-03-16,35,29,0.17,2.0,28
1972-03-17,35,22,0.00,0.0,28
1972-03-18,36,9,0.00,0.0,27
1972-03-19,42,29,0.00,0.0,27
1972-03-20,49,32,0.00,0.0,25
1972-03-21,44,31,0.09,0.0,22
1972-03-22,32,14,0.79,4.0,24
1972-03-23,22,6,0.00,0.0,24
1972-03-24,34,1,0.00,0.0,24
1972-03-25,37,15,0.00,0.0,23
1972-03-26,35,14,0.00,0.0,23
1972-03-27,41,20,0.00,0.0,22
1972-03-28,39,29,0.00,0.0,22
1972-03-29,38,27,0.00,0.0,21
1972-03-30,32,24,0.37,4.0,25
1972-03-31,34,13,0.02,T,25
1972-04-01,31,23,T,T,25
1972-04-02,35,24,0.00,0.0,25
1972-04-03,34,25,0.00,0.0,25
1972-04-04,26,1,0.08,0.5,24
1972-04-05,38,-1,0.03,1.1,25
1972-04-06,36,25,0.00,0.0,24
1972-04-07,30,8,0.00,0.0,24
1972-04-08,37,-1,0.00,0.0,23
1972-04-09,36,15,0.00,0.0,23
1972-04-10,51,25,0.12,1.5,24
1972-04-11,45,26,0.00,0.0,22
1972-04-12,41,32,0.00,0.0,22
1972-04-13,36,32,0.90,0.0,22
1972-04-14,41,32,0.00,0.0,20
1972-04-15,53,32,0.05,0.0,19
1972-04-16,58,29,0.00,0.0,16
1972-04-17,55,28,0.00,0.0,14
1972-04-18,51,33,0.00,0.0,12
1972-04-19,42,33,0.47,0.0,10
1972-04-20,51,31,0.00,0.0,8
1972-04-21,49,29,0.00,0.0,7
1972-04-22,44,30,0.94,8.0,15
1972-04-23,36,31,0.14,1.0,13
1972-04-24,41,25,0.02,0.0,9
1972-04-25,53,17,0.00,0.0,8
1972-04-26,59,23,0.00,0.0,6
1972-04-27,62,27,0.00,0.0,4
1972-04-28,65,34,0.00,0.0,0
1972-04-29,66,33,0.00,0.0,0
1972-04-30,60,41,0.00,0.0,0
1972-05-01,57,41,0.00,0.0,0
1972-05-02,50,40,0.25,0.0,0
1972-05-03,58,33,0.00,0.0,0
1972-05-04,55,28,0.00,0.0,0
1972-05-05,67,28,0.00,0.0,0
1972-05-06,62,40,0.15,0.0,0
