date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-09-10,M,M,0.88,M,M
2002-05-08,M,M,0.30,M,M
2002-05-10,M,M,0.04,M,M
2002-05-12,M,M,1.48,M,M
2002-05-13,M,M,0.38,M,M
2002-05-15,M,M,0.38,M,M
2002-05-31,M,M,0.40,M,M
2002-06-04,M,M,0.54,M,M
2002-06-06,M,M,0.35,M,M
2002-06-26,M,M,0.05,M,M
2002-06-27,M,M,0.04,M,M
2002-07-09,M,M,0.95,M,M
2002-07-10,M,M,0.22,M,M
2002-07-19,M,M,0.05,M,M
2002-07-23,M,M,0.40,M,M
2002-07-27,M,M,0.20,M,M
2002-07-28,M,M,1.50,M,M
2002-08-14,M,M,0.13,M,M
2002-08-15,M,M,0.16,M,M
2002-08-19,M,M,0.22,M,M
2002-08-20,M,M,0.16,M,M
2002-09-16,M,M,0.06,M,M
2002-09-27,M,M,0.29,M,M
2002-10-03,M,M,0.12,M,M
2002-10-05,M,M,0.42,M,M
2002-10-19,M,M,0.38,M,M
2002-10-26,M,M,0.22,M,M
2002-10-27,M,M,0.03,M,M
2002-11-06,M,M,0.20,M,M
2002-11-07,M,M,0.03,M,M
2002-11-11,M,M,0.28,M,M
2002-11-15,M,M,0.25,M,M
2002-11-18,M,M,0.02,M,M
2002-11-19,M,M,0.14,M,M
2002-11-22,M,M,0.36,2.0,2
2002-11-23,M,M,0.00,0.0,1
2002-11-25,M,M,0.04,1.0,1
2002-11-30,M,M,0.04,M,M
2002-12-01,M,M,0.03,T,T
2002-12-03,M,M,0.39,5.9,6
2002-12-04,M,M,M,M,5
2002-12-06,M,M,M,M,4
2002-12-08,M,M,M,M,3
2002-12-10,M,M,M,M,3
2002-12-12,M,M,0.00,0.0,2
2002-12-13,M,M,0.00,0.0,2
2002-12-14,M,M,0.00,0.0,2
2002-12-15,M,M,0.00,0.0,1
2002-12-18,M,M,0.04,M,M
2002-12-19,M,M,0.15,M,M
2002-12-20,M,M,0.45,M,M
2002-12-21,M,M,T,M,M
2002-12-22,M,M,T,T,T
2002-12-25,M,M,0.21,4.2,4
2002-12-26,M,M,0.50,1.1,4
2002-12-28,M,M,0.00,0.0,3
2002-12-30,M,M,0.02,M,2
2002-12-31,M,M,0.04,0.0,0
2003-01-03,M,M,0.25,3.6,4
2003-01-04,M,M,M,M,3
2003-01-06,M,M,0.13,1.6,4
2003-01-07,M,M,0.01,0.2,3
2003-01-08,M,M,0.00,0.0,2
2003-01-09,M,M,0.00,0.0,1
2003-01-11,M,M,T,T,0
2003-01-12,M,M,T,0.2,0
2003-01-15,M,M,0.04,2.6,3
2003-01-16,M,M,T,0.5,3
2003-01-19,M,M,T,0.2,2
2003-01-26,M,M,0.02,1.0,2
2003-01-29,M,M,0.08,1.8,2
2003-01-30,M,M,0.00,0.0,2
2003-02-01,M,M,0.14,3.5,4
2003-02-02,M,M,0.00,0.0,3
2003-02-04,M,M,0.27,M,M
2003-02-09,M,M,0.01,0.5,T
2003-02-10,M,M,0.02,0.9,1
2003-02-11,M,M,0.01,0.7,1
2003-02-12,M,M,0.02,0.8,1
2003-02-13,M,M,T,T,1
2003-02-17,M,M,T,0.1,T
2003-02-18,M,M,0.12,2.1,2
2003-02-19,M,M,0.00,0.0,1
2003-02-20,M,M,0.00,0.0,T
2003-02-23,M,M,0.40,5.0,5
2003-02-24,M,M,M,M,4
2003-02-25,M,M,0.04,1.3,6
2003-03-02,M,M,T,0.3,4
2003-03-03,M,M,M,M,4
2003-03-04,M,M,T,0.4,4
2003-03-05,M,M,0.26,3.1,7
2003-03-06,M,M,0.02,0.5,7
2003-03-09,M,M,0.31,M,3
2003-03-13,M,M,0.10,0.5,1
2003-03-14,M,M,0.08,M,1
2003-03-20,M,M,0.12,M,M
2003-03-21,M,M,0.36,M,M
2003-03-22,M,M,0.03,0.0,0
2003-03-25,M,M,0.17,M,M
2003-03-26,M,M,0.04,M,M
2003-03-28,M,M,0.04,M,M
2003-03-29,M,M,0.88,M,M
2003-03-31,M,M,0.03,0.6,1
2003-04-01,M,M,0.02,M,M
2003-04-04,M,M,0.49,M,M
2003-04-05,M,M,1.54,M,M
2003-04-06,M,M,0.09,T,T
2003-04-08,M,M,0.15,2.1,3
2003-04-09,M,M,M,M,2
2003-04-18,M,M,0.11,M,M
2003-04-19,M,M,0.06,M,M
2003-04-21,M,M,0.42,M,M
2003-04-22,M,M,0.03,M,M
2003-05-01,M,M,0.72,M,M
2003-05-02,M,M,0.62,M,M
2003-05-03,M,M,0.05,M,M
2003-05-05,M,M,0.44,M,M
2003-05-06,M,M,0.12,M,M
2003-05-08,M,M,0.44,M,M
2003-05-09,M,M,0.54,M,M
2003-05-10,M,M,0.82,M,M
2003-05-11,M,M,0.04,M,M
2003-05-12,M,M,0.22,M,M
2003-05-15,M,M,0.36,M,M
2003-05-16,M,M,0.06,M,M
2003-05-21,M,M,0.06,M,M
2003-05-28,M,M,0.02,M,M
2003-06-04,M,M,0.06,M,M
2003-06-05,M,M,0.02,M,M
2003-06-07,M,M,0.02,M,M
2003-06-11,M,M,0.04,M,M
2003-06-13,M,M,0.32,M,M
2003-06-18,M,M,0.02,M,M
2003-06-19,M,M,0.36,M,M
2003-06-29,M,M,0.52,M,M
2003-06-30,M,M,0.04,M,M
2003-07-06,M,M,0.15,M,M
2003-07-07,M,M,0.49,M,M
2003-07-08,M,M,0.25,M,M
2003-07-09,M,M,0.33,M,M
2003-07-10,M,M,0.03,M,M
2003-07-11,M,M,0.07,M,M
2003-07-12,M,M,0.02,M,M
2003-07-13,M,M,0.38,M,M
2003-07-16,M,M,0.02,M,M
2003-07-18,M,M,0.02,M,M
2003-07-21,M,M,0.01,M,M
2003-07-22,M,M,0.92,M,M
2003-07-24,M,M,0.02,M,M
2003-07-28,M,M,0.26,M,M
2003-08-02,M,M,0.68,M,M
2003-08-03,M,M,0.09,M,M
2003-08-04,M,M,0.21,M,M
2003-08-05,M,M,0.64,M,M
2003-08-07,M,M,0.02,M,M
2003-08-09,M,M,0.11,M,M
2003-08-11,M,M,0.12,M,M
2003-08-12,M,M,0.72,M,M
2003-08-13,M,M,0.06,M,M
2003-08-16,M,M,0.09,M,M
2003-08-17,M,M,0.03,M,M
2003-08-22,M,M,0.10,M,M
2003-08-26,M,M,0.22,M,M
2003-08-27,M,M,0.20,M,M
2003-08-30,M,M,0.18,M,M
