date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1996-07-01,81,56,M,M,M
1996-07-02,76,57,M,M,M
1996-07-03,72,55,M,M,M
1996-07-04,74,46,M,M,M
1996-07-05,78,43,M,M,M
1996-07-06,83,55,M,M,M
1996-07-07,79,62,M,M,M
1996-07-08,80,56,M,M,M
1996-07-09,66,53,M,M,M
1996-07-10,69,47,M,M,M
1996-07-11,77,47,M,M,M
1996-07-12,78,57,M,M,M
1996-07-13,78,59,M,M,M
1996-07-14,76,59,M,M,M
1996-07-15,76,59,M,M,M
1996-07-16,84,62,M,M,M
1996-07-17,78,66,M,M,M
1996-07-18,83,69,M,M,M
1996-07-19,78,64,M,M,M
1996-07-20,76,52,M,M,M
1996-07-21,73,51,M,M,M
1996-07-22,75,49,M,M,M
1996-07-23,78,55,M,M,M
1996-07-24,80,60,M,M,M
1996-07-25,72,57,M,M,M
1996-07-26,70,54,M,M,M
1996-07-27,78,49,M,M,M
1996-07-28,71,61,M,M,M
1996-07-29,75,60,M,M,M
1996-07-30,71,61,M,M,M
1996-07-31,72,53,M,M,M
1996-08-01,70,52,M,M,M
1996-08-02,76,53,M,M,M
1996-08-03,81,52,M,M,M
1996-08-04,85,59,M,M,M
1996-08-05,91,66,M,M,M
1996-08-06,93,71,M,M,M
1996-08-07,94,71,M,M,M
1996-08-08,82,59,M,M,M
1996-08-09,79,56,M,M,M
1996-08-10,78,58,M,M,M
1996-08-11,75,58,M,M,M
1996-08-12,80,57,M,M,M
1996-08-13,81,63,M,M,M
1996-08-14,84,64,M,M,M
1996-08-15,74,63,M,M,M
1996-08-16,76,57,M,M,M
1996-08-17,80,53,M,M,M
1996-08-18,85,54,M,M,M
1996-08-19,88,68,M,M,M
1996-08-20,80,67,M,M,M
1996-08-21,87,63,M,M,M
1996-08-22,88,69,M,M,M
1996-08-23,80,58,M,M,M
1996-08-24,81,51,M,M,M
1996-08-25,81,56,M,M,M
1996-08-26,82,59,M,M,M
1996-08-27,76,59,M,M,M
1996-08-28,80,55,M,M,M
1996-08-29,77,51,M,M,M
1996-08-30,80,53,M,M,M
1996-08-31,81,52,M,M,M
1996-09-01,84,51,M,M,M
1996-09-02,84,52,M,M,M
1996-09-03,85,55,M,M,M
1996-09-04,85,57,M,M,M
1996-09-05,89,59,M,M,M
1996-09-06,83,64,M,M,M
1996-09-07,84,65,M,M,M
1996-09-08,82,61,M,M,M
1996-09-09,77,62,M,M,M
1996-09-10,76,53,M,M,M
1996-09-11,77,58,M,M,M
1996-09-12,68,53,M,M,M
1996-09-13,56,47,M,M,M
1996-09-14,53,47,M,M,M
1996-09-15,63,51,M,M,M
1996-09-16,66,48,M,M,M
1996-09-17,71,55,M,M,M
1996-09-18,72,50,M,M,M
1996-09-19,75,40,M,M,M
1996-09-20,75,42,M,M,M
1996-09-21,63,53,M,M,M
1996-09-22,65,49,M,M,M
1996-09-23,68,43,M,M,M
1996-09-24,62,45,M,M,M
1996-09-25,64,40,M,M,M
1996-09-26,66,48,M,M,M
1996-09-27,67,51,M,M,M
1996-09-28,60,52,M,M,M
1996-09-29,60,38,M,M,M
1996-09-30,75,35,M,M,M
1996-10-01,74,49,M,M,M
1996-10-02,67,44,M,M,M
1996-10-03,53,37,M,M,M
1996-10-04,56,31,M,M,M
1996-10-05,65,38,M,M,M
1996-10-06,72,44,M,M,M
1996-10-07,66,47,M,M,M
1996-10-08,47,43,M,M,M
1996-10-09,54,38,M,M,M
1996-10-10,51,32,M,M,M
1996-10-11,53,26,M,M,M
1996-10-12,64,48,M,M,M
1996-10-13,69,54,M,M,M
1996-10-14,64,45,M,M,M
1996-10-15,73,43,M,M,M
1996-10-16,67,58,M,M,M
1996-10-17,78,50,M,M,M
1996-10-18,50,47,M,M,M
1996-10-19,52,33,M,M,M
1996-10-20,61,32,M,M,M
1996-10-21,65,38,M,M,M
1996-10-22,59,46,M,M,M
1996-10-23,59,39,M,M,M
1996-10-24,50,37,M,M,M
1996-10-25,67,35,M,M,M
1996-10-26,65,46,M,M,M
1996-10-27,65,51,M,M,M
1996-10-28,52,33,M,M,M
1996-10-29,56,32,M,M,M
1996-10-30,58,34,M,M,M
1996-10-31,39,31,M,M,M
1996-11-01,36,32,M,M,M
1996-11-02,36,30,M,M,M
1996-11-03,41,33,M,M,M
1996-11-04,47,33,M,M,M
1996-11-05,50,39,M,M,M
1996-11-06,65,47,M,M,M
1996-11-07,60,39,M,M,M
1996-11-08,49,29,M,M,M
1996-11-09,39,30,M,M,M
1996-11-10,33,26,M,M,M
1996-11-11,31,26,M,M,M
1996-11-12,29,23,M,M,M
1996-11-13,28,16,M,M,M
1996-11-14,29,9,M,M,M
1996-11-15,36,12,M,M,M
1996-11-16,46,33,M,M,M
1996-11-17,52,34,M,M,M
1996-11-18,36,31,M,M,M
1996-11-19,34,25,M,M,M
1996-11-20,33,25,M,M,M
1996-11-21,33,29,M,M,M
1996-11-22,40,31,M,M,M
1996-11-23,36,32,M,M,M
1996-11-24,33,28,M,M,M
1996-11-25,32,22,M,M,M
1996-11-26,29,24,M,M,M
1996-11-27,27,24,M,M,M
1996-11-28,34,24,M,M,M
1996-11-29,40,25,M,M,M
1996-11-30,48,37,M,M,M
1996-12-01,41,28,M,M,M
1996-12-02,30,24,M,M,M
1996-12-03,32,24,M,M,M
1996-12-04,34,28,M,M,M
1996-12-05,33,29,M,M,M
1996-12-06,37,33,M,M,M
1996-12-07,38,31,M,M,M
1996-12-08,35,30,M,M,M
1996-12-09,34,28,M,M,M
1996-12-10,40,28,M,M,M
1996-12-11,37,33,M,M,M
1996-12-12,37,33,M,M,M
1996-12-14,47,30,M,M,M
1996-12-15,43,32,M,M,M
1996-12-16,35,31,M,M,M
1996-12-17,35,25,M,M,M
1996-12-18,25,13,M,M,M
1996-12-19,15,8,M,M,M
1996-12-20,20,-2,M,M,M
1996-12-21,34,3,M,M,M
1996-12-22,38,31,M,M,M
1996-12-23,48,34,M,M,M
1996-12-25,17,11,M,M,M
1996-12-26,19,11,M,M,M
1996-12-27,34,17,M,M,M
1996-12-28,38,34,M,M,M
1996-12-29,37,31,M,M,M
1996-12-30,32,30,M,M,M
1996-12-31,34,28,M,M,M
1997-01-01,38,29,M,M,M
1997-01-02,49,35,M,M,M
1997-01-03,43,37,M,M,M
1997-01-04,61,38,M,M,M
1997-01-05,42,21,M,M,M
1997-01-06,24,18,M,M,M
1997-01-07,22,19,M,M,M
1997-01-08,24,18,M,M,M
1997-01-09,23,20,M,M,M
1997-01-10,28,20,M,M,M
1997-01-11,23,14,M,M,M
1997-01-12,16,14,M,M,M
1997-01-13,20,6,M,M,M
1997-01-15,28,11,M,M,M
1997-01-16,24,3,M,M,M
1997-01-17,11,4,M,M,M
1997-01-23,28,18,M,M,M
1997-01-24,34,20,M,M,M
1997-01-25,33,17,M,M,M
1997-01-26,18,11,M,M,M
1997-01-27,29,17,M,M,M
1997-01-28,22,15,M,M,M
1997-01-29,16,3,M,M,M
1997-02-01,33,29,M,M,M
1997-02-02,36,26,M,M,M
1997-02-03,34,30,M,M,M
1997-02-04,36,30,M,M,M
1997-02-05,33,30,M,M,M
1997-02-06,31,27,M,M,M
1997-02-08,32,20,M,M,M
1997-02-09,32,19,M,M,M
1997-02-10,31,26,M,M,M
1997-02-11,28,26,M,M,M
1997-02-12,26,4,M,M,M
1997-02-13,23,-3,M,M,M
1997-02-15,28,15,M,M,M
1997-02-16,27,8,M,M,M
1997-02-17,43,9,M,M,M
1997-02-18,52,42,M,M,M
1997-02-19,50,26,M,M,M
1997-02-20,46,24,M,M,M
1997-02-21,46,28,M,M,M
1997-02-22,29,16,M,M,M
1997-02-23,32,21,M,M,M
1997-02-24,23,14,M,M,M
1997-02-25,32,8,M,M,M
1997-02-26,38,32,M,M,M
1997-02-27,36,30,M,M,M
1997-02-28,37,29,M,M,M
1997-03-01,52,36,M,M,M
1997-03-02,39,24,M,M,M
1997-03-03,37,23,M,M,M
1997-03-04,41,27,M,M,M
1997-03-05,37,30,M,M,M
1997-03-06,32,21,M,M,M
1997-03-07,37,17,M,M,M
1997-03-08,45,26,M,M,M
1997-03-09,40,29,M,M,M
1997-03-10,49,33,M,M,M
1997-03-11,40,24,M,M,M
1997-03-12,38,22,M,M,M
1997-03-13,33,26,M,M,M
1997-03-14,32,21,M,M,M
1997-03-15,21,19,M,M,M
1997-03-16,32,17,M,M,M
1997-03-17,48,32,M,M,M
1997-03-18,39,27,M,M,M
1997-03-19,39,22,M,M,M
1997-03-20,46,32,M,M,M
1997-03-21,56,35,M,M,M
1997-03-22,41,29,M,M,M
1997-03-23,38,24,M,M,M
1997-03-24,42,20,M,M,M
1997-03-25,46,35,M,M,M
1997-03-26,50,35,M,M,M
1997-03-27,67,42,M,M,M
1997-03-28,57,43,M,M,M
1997-03-29,48,35,M,M,M
1997-03-30,35,28,M,M,M
1997-03-31,40,22,M,M,M
1997-04-01,58,23,M,M,M
1997-04-02,62,33,M,M,M
1997-04-03,56,45,M,M,M
1997-04-05,66,54,M,M,M
1997-04-06,65,31,M,M,M
1997-04-07,38,29,M,M,M
1997-04-08,33,20,M,M,M
1997-04-09,32,19,M,M,M
1997-04-10,42,16,M,M,M
1997-04-11,43,33,M,M,M
1997-04-12,35,32,M,M,M
1997-04-13,41,30,M,M,M
1997-04-14,52,26,M,M,M
1997-04-15,62,30,M,M,M
1997-04-16,48,34,M,M,M
1997-04-17,41,30,M,M,M
1997-04-18,44,22,M,M,M
1997-04-19,53,29,M,M,M
1997-04-20,56,28,M,M,M
1997-04-21,53,32,M,M,M
1997-04-22,55,36,M,M,M
1997-04-23,57,39,M,M,M
1997-04-24,55,38,M,M,M
1997-04-25,53,33,M,M,M
1997-04-26,63,27,M,M,M
1997-04-27,60,42,M,M,M
1997-04-28,58,33,M,M,M
1997-04-29,68,39,M,M,M
1997-04-30,70,45,M,M,M
1997-05-01,50,37,M,M,M
1997-05-02,50,35,M,M,M
1997-05-03,52,39,M,M,M
1997-05-04,56,29,M,M,M
1997-05-05,64,41,M,M,M
1997-05-06,56,42,M,M,M
1997-05-07,63,35,M,M,M
1997-05-08,64,49,M,M,M
1997-05-09,50,42,M,M,M
1997-05-10,53,38,M,M,M
1997-05-11,67,39,M,M,M
1997-05-12,51,38,M,M,M
1997-05-13,48,32,M,M,M
1997-05-14,56,37,M,M,M
1997-05-15,46,36,M,M,M
1997-05-16,53,30,M,M,M
1997-05-17,58,36,M,M,M
1997-05-18,68,40,M,M,M
1997-05-19,57,39,M,M,M
1997-05-20,57,35,M,M,M
1997-05-21,53,37,M,M,M
