date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2009-05-31,71,35,0.00,0.0,0
2009-06-01,65,40,0.07,0.0,0
2009-06-02,65,39,0.00,0.0,0
2009-06-03,66,44,0.00,0.0,0
2009-06-04,63,34,0.00,0.0,0
2009-06-05,70,37,0.00,0.0,0
2009-06-06,77,44,0.00,0.0,0
2009-06-07,60,50,0.08,0.0,0
2009-06-08,64,50,1.38,0.0,0
2009-06-09,65,47,0.24,0.0,0
2009-06-10,61,50,0.01,0.0,0
2009-06-11,71,52,0.00,0.0,0
2009-06-12,72,46,0.03,0.0,0
2009-06-13,73,49,0.00,0.0,0
2009-06-14,75,47,0.00,0.0,0
2009-06-15,76,48,0.00,0.0,0
2009-06-16,79,54,0.00,0.0,0
2009-06-17,81,59,0.01,0.0,0
2009-06-18,73,55,0.02,0.0,0
2009-06-19,80,59,0.00,0.0,M
2009-06-20,76,63,0.30,0.0,0
2009-06-21,82,57,0.00,0.0,0
2009-06-22,81,59,0.00,0.0,0
2009-06-23,87,65,0.00,0.0,0
2009-06-24,88,64,0.00,0.0,0
2009-06-25,93,67,0.00,0.0,0
2009-06-26,86,59,0.00,0.0,0
2009-06-27,81,54,0.00,0.0,0
2009-06-28,82,59,0.00,0.0,0
2009-06-29,77,64,0.00,0.0,0
2009-06-30,71,55,0.30,0.0,0
2009-07-01,60,53,0.09,0.0,0
2009-07-02,59,52,0.13,0.0,0
2009-07-03,63,55,0.00,0.0,0
2009-07-04,73,52,0.00,0.0,0
2009-07-05,75,50,0.00,0.0,0
2009-07-06,79,51,0.00,0.0,0
2009-07-07,76,47,0.00,0.0,0
2009-07-08,70,45,0.00,0.0,0
2009-07-09,74,52,0.00,0.0,0
2009-07-10,81,57,0.00,0.0,0
2009-07-11,84,63,0.05,0.0,0
2009-07-12,77,47,0.00,0.0,0
2009-07-13,76,44,0.00,0.0,0
2009-07-14,76,45,0.00,0.0,0
2009-07-15,79,51,0.14,0.0,0
2009-07-16,81,59,0.00,0.0,0
2009-07-17,73,50,0.00,0.0,0
2009-07-18,65,51,0.00,0.0,0
2009-07-19,69,48,0.00,0.0,0
2009-07-20,73,44,0.00,0.0,0
2009-07-21,77,49,0.00,0.0,0
2009-07-22,81,54,0.22,0.0,0
2009-07-23,71,58,0.10,0.0,0
2009-07-24,75,53,0.00,0.0,0
2009-07-25,78,54,0.72,0.0,0
2009-07-26,76,56,0.16,0.0,0
2009-07-27,71,58,0.00,0.0,0
2009-07-28,81,62,0.00,0.0,0
2009-07-29,78,54,0.00,0.0,0
2009-07-30,75,54,0.00,0.0,0
2009-07-31,73,54,0.00,0.0,0
2009-08-01,75,61,0.00,0.0,0
2009-08-02,73,54,0.06,0.0,0
2009-08-03,74,61,0.44,0.0,0
2009-08-04,78,64,0.21,0.0,0
2009-08-05,74,48,0.00,0.0,0
2009-08-06,74,53,0.00,0.0,0
2009-08-07,75,52,0.00,0.0,0
2009-08-08,75,55,1.05,0.0,0
2009-08-09,77,61,0.44,0.0,0
2009-08-10,84,68,0.01,0.0,0
2009-08-11,81,63,0.02,0.0,0
2009-08-12,M,M,0.00,0.0,0
2009-08-13,79,53,0.00,0.0,0
