date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2004-09-10,M,M,0.00,M,M
2004-09-11,M,M,0.00,M,M
2004-09-12,M,M,0.00,M,M
2004-09-13,M,M,0.00,M,M
2004-09-14,M,M,0.00,M,M
2004-09-16,M,M,0.70,M,M
2004-09-17,M,M,0.00,M,M
2004-09-18,M,M,0.00,M,M
2004-09-19,M,M,0.00,M,M
2004-09-20,M,M,0.00,M,M
2004-09-21,M,M,0.00,M,M
2004-09-22,M,M,0.00,M,M
2004-09-23,M,M,0.00,M,M
2004-09-24,M,M,0.00,M,M
2004-09-25,M,M,0.00,M,M
2004-09-26,M,M,0.00,M,M
2004-09-27,M,M,0.00,M,M
2004-09-28,M,M,0.00,M,M
2004-09-29,M,M,0.23,M,M
2004-09-30,M,M,0.00,M,M
2004-10-01,M,M,0.00,M,M
2004-10-02,M,M,0.10,M,M
2004-10-04,M,M,0.00,M,M
2004-10-05,M,M,0.00,M,M
2004-10-07,M,M,0.00,M,M
2004-10-08,M,M,0.00,M,M
2004-10-09,M,M,0.90,M,M
2004-10-10,M,M,0.00,M,M
2004-10-11,M,M,0.00,M,M
2004-10-12,M,M,0.00,M,M
2004-10-13,M,M,0.00,M,M
2004-10-14,M,M,0.00,M,M
2004-10-15,M,M,0.00,M,M
2004-10-16,M,M,0.80,M,M
2004-10-17,M,M,0.30,M,M
2004-10-18,M,M,0.00,M,M
2004-10-19,M,M,0.00,M,M
2004-10-20,M,M,0.00,M,M
2004-10-21,M,M,0.00,M,M
2004-10-22,M,M,0.00,M,M
2004-10-24,M,M,0.45,M,M
2004-10-25,M,M,0.00,M,M
2004-10-26,M,M,0.00,M,M
2004-10-27,M,M,0.00,M,M
2004-10-30,M,M,0.30,M,M
2004-10-31,M,M,0.03,M,M
2004-11-02,M,M,0.95,M,M
2004-11-03,M,M,0.10,M,M
2004-11-04,M,M,0.52,M,M
2004-11-05,M,M,0.30,M,M
2004-11-06,M,M,0.00,M,M
2004-11-07,M,M,0.00,M,M
2004-11-08,M,M,0.00,M,M
2004-11-09,M,M,0.00,M,M
2004-11-10,M,M,0.00,M,M
2004-11-11,M,M,0.00,M,M
2004-11-12,M,M,0.00,M,M
2004-11-13,M,M,0.00,M,M
2004-11-14,M,M,0.00,M,M
2004-11-15,M,M,0.00,M,M
2004-11-16,M,M,0.17,M,M
2004-11-17,M,M,0.10,M,M
2004-11-18,M,M,0.19,M,M
2004-11-19,M,M,0.27,M,M
2004-11-20,M,M,0.24,M,M
2004-11-21,M,M,0.00,M,M
2004-11-22,M,M,0.00,M,M
2004-11-23,M,M,0.00,M,M
2004-11-24,M,M,0.00,M,M
2004-11-26,M,M,0.00,M,10
2004-11-27,M,M,0.20,M,4
2004-11-28,M,M,0.23,M,0
2004-11-29,M,M,0.00,M,M
2004-11-30,M,M,0.15,M,M
2004-12-01,M,M,0.94,M,4
2004-12-03,M,M,0.02,M,M
2004-12-04,M,M,0.00,M,M
2004-12-05,M,M,0.00,M,M
2004-12-06,M,M,0.11,M,M
2004-12-07,M,M,0.13,M,M
2004-12-08,M,M,0.57,M,M
2004-12-09,M,M,0.00,M,M
2004-12-10,M,M,0.10,M,M
2004-12-11,M,M,0.51,M,M
2004-12-12,M,M,0.00,M,M
2004-12-13,M,M,0.12,1.2,1
2004-12-14,M,M,0.00,0.0,1
2004-12-15,M,M,0.01,0.0,1
2004-12-16,M,M,0.00,M,1
2004-12-17,M,M,0.00,M,0
2004-12-18,M,M,0.00,M,0
2004-12-19,M,M,0.00,M,0
2004-12-20,M,M,0.00,M,0
2004-12-21,M,M,0.00,M,0
2004-12-22,M,M,0.00,M,0
2004-12-23,M,M,0.05,0.5,1
2004-12-24,M,M,0.25,2.5,4
2004-12-25,M,M,0.00,0.0,M
2004-12-26,M,M,0.00,0.0,3
2004-12-27,M,M,0.00,0.0,3
2004-12-28,M,M,0.00,0.0,3
2004-12-29,M,M,0.00,0.0,2
2004-12-30,M,M,0.00,0.0,0
2005-01-01,M,M,0.00,0.0,0
2005-01-02,M,M,0.46,M,M
2005-01-03,M,M,0.45,M,M
2005-01-04,M,M,0.06,M,M
2005-01-05,M,M,0.08,0.8,1
2005-01-06,M,M,M,6.2,6
2005-01-10,M,M,0.00,M,M
2005-01-11,M,M,0.05,1.2,3
2005-01-12,M,M,0.41,M,M
2005-01-13,M,M,1.28,M,M
2005-01-14,M,M,0.46,M,M
2005-01-15,M,M,0.00,M,2
2005-01-16,M,M,0.00,M,2
2005-01-17,M,M,0.04,M,2
2005-01-18,M,M,0.00,M,M
2005-01-19,M,M,0.25,2.5,4
2005-01-20,M,M,0.00,M,4
2005-01-21,M,M,0.00,M,4
2005-01-22,M,M,0.82,8.2,12
2005-01-23,M,M,0.30,4.2,14
2005-01-24,M,M,0.00,M,14
2005-01-25,M,M,0.00,M,14
2005-01-26,M,M,0.00,0.0,12
2005-01-27,M,M,0.01,0.0,9
2005-01-28,M,M,0.00,0.0,9
2005-01-29,M,M,0.00,0.0,9
2005-01-30,M,M,0.00,0.0,8
2005-01-31,M,M,0.00,0.0,8
2005-02-01,M,M,0.00,0.0,8
2005-02-02,M,M,0.00,0.0,8
2005-02-03,M,M,0.00,0.0,7
2005-02-04,M,M,0.00,0.0,5
2005-02-06,M,M,0.00,0.0,3
2005-02-07,M,M,0.30,0.0,2
2005-02-24,M,M,0.00,0.0,1
2005-03-08,M,M,0.00,M,M
2005-03-09,M,M,0.00,M,M
2005-03-10,M,M,0.00,M,M
2005-03-11,M,M,0.32,2.7,3
2005-03-12,M,M,0.18,2.1,4
2005-03-13,M,M,0.00,M,4
2005-03-14,M,M,0.00,M,4
2005-03-16,M,M,0.00,M,M
2005-03-17,M,M,0.00,M,M
2005-03-18,M,M,0.00,M,M
2005-03-19,M,M,0.13,M,M
2005-03-20,M,M,0.40,M,M
2005-03-21,M,M,0.00,M,M
2005-03-22,M,M,0.00,M,M
2005-03-23,M,M,0.00,M,M
2005-03-24,M,M,0.00,M,M
2005-03-25,M,M,0.00,M,M
2005-03-26,M,M,0.00,M,M
2005-03-27,M,M,0.00,M,M
2005-03-28,M,M,0.00,M,M
2005-03-29,M,M,0.00,M,M
2005-03-30,M,M,0.00,M,M
2005-03-31,M,M,0.15,M,M
2005-04-01,M,M,0.40,M,M
2005-04-02,M,M,0.00,M,M
2005-04-03,M,M,0.00,M,M
2005-04-04,M,M,0.00,M,M
2005-04-05,M,M,0.00,M,M
2005-04-06,M,M,0.00,M,M
2005-04-07,M,M,0.01,M,M
2005-04-08,M,M,0.00,M,M
2005-04-09,M,M,0.00,M,M
2005-04-10,M,M,0.00,M,M
2005-04-11,M,M,0.00,M,M
2005-04-12,M,M,0.00,M,M
2005-04-14,M,M,0.00,M,M
2005-04-15,M,M,0.00,M,M
2005-04-16,M,M,0.00,M,M
2005-04-17,M,M,0.00,M,M
2005-04-18,M,M,0.00,M,M
2005-04-19,M,M,0.00,M,M
2005-04-20,M,M,0.01,M,M
2005-04-22,M,M,0.00,M,M
2005-04-23,M,M,0.24,M,M
2005-04-24,M,M,0.10,0.8,1
2005-04-25,M,M,0.10,M,M
2005-04-26,M,M,0.00,M,M
2005-04-27,M,M,0.10,M,M
2005-04-28,M,M,0.00,M,M
2005-04-29,M,M,0.00,M,M
2005-04-30,M,M,0.00,M,M
2005-05-01,M,M,0.00,M,M
2005-05-02,M,M,0.00,M,M
2005-05-03,M,M,0.00,M,M
2005-05-04,M,M,0.00,M,M
2005-05-05,M,M,0.00,M,M
2005-05-06,M,M,0.00,M,M
2005-05-07,M,M,0.15,M,M
2005-05-08,M,M,0.00,M,M
2005-05-09,M,M,0.00,M,M
2005-05-10,M,M,0.00,M,M
2005-05-11,M,M,0.00,M,M
2005-05-12,M,M,0.36,M,M
2005-05-13,M,M,0.00,M,M
2005-05-14,M,M,0.34,M,M
2005-05-15,M,M,0.16,M,M
2005-05-16,M,M,0.00,M,M
2005-05-17,M,M,0.00,M,M
2005-05-18,M,M,0.00,M,M
2005-05-19,M,M,0.02,M,M
2005-05-20,M,M,0.96,M,M
2005-05-21,M,M,0.00,M,M
2005-05-22,M,M,0.01,M,M
2005-05-23,M,M,0.19,M,M
2005-05-24,M,M,0.07,M,M
2005-05-25,M,M,0.00,M,M
