date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2009-08-07,M,M,0.00,M,M
2009-08-08,88,69,0.00,M,M
2009-08-09,92,71,0.00,0.0,0
2009-08-10,95,70,0.00,M,M
2009-08-11,97,70,0.00,M,M
2009-08-12,99,72,0.16,M,M
2009-08-13,76,71,0.77,M,M
2009-08-14,87,70,0.00,M,M
2009-08-15,87,69,0.00,M,M
2009-08-16,87,68,0.00,M,M
2009-08-17,88,69,0.19,M,M
2009-08-18,90,69,0.00,M,M
2009-08-19,90,70,0.00,M,M
2009-08-20,89,73,0.05,M,M
2009-08-21,91,72,0.00,M,M
2009-08-22,90,71,0.00,M,M
2009-08-23,91,67,0.00,M,M
2009-08-24,88,66,0.00,M,M
2009-08-25,89,66,0.00,0.0,0
2009-08-26,90,65,0.00,M,M
2009-08-27,93,66,0.00,M,M
2009-08-28,90,70,0.00,M,M
2009-08-29,85,64,0.33,M,M
2009-08-30,87,64,0.00,M,M
2009-08-31,88,68,0.33,M,M
2009-09-01,73,66,0.00,M,M
2009-09-02,77,61,0.00,M,M
2009-09-03,81,60,0.00,M,M
2009-09-04,83,60,0.00,M,M
2009-09-05,87,60,0.00,M,M
2009-09-06,90,63,0.00,M,M
2009-09-07,90,63,0.00,M,M
2009-09-08,87,62,0.00,M,M
2009-09-09,88,64,0.45,M,M
2009-09-10,84,65,0.11,M,M
2009-09-11,77,65,0.00,M,M
2009-09-12,79,63,0.00,M,M
2009-09-13,86,62,0.00,M,M
2009-09-14,84,63,0.00,M,M
2009-09-15,88,63,0.00,M,M
2009-09-16,86,67,0.24,M,M
2009-09-17,84,67,0.05,M,M
2009-09-18,82,68,0.49,M,M
2009-09-19,75,69,0.50,M,M
2009-09-20,82,70,0.13,M,M
2009-09-21,79,69,0.05,M,M
2009-09-22,82,67,0.07,M,M
2009-09-23,84,67,0.00,M,M
2009-09-24,85,68,0.00,M,M
2009-09-25,88,69,0.00,M,M
2009-09-26,88,65,0.13,M,M
2009-09-27,66,63,0.83,M,M
2009-09-28,81,58,0.00,M,M
2009-09-29,83,53,0.00,M,M
2009-09-30,74,50,0.00,M,M
2009-10-01,74,49,0.00,0.0,0
2009-10-02,75,49,0.00,0.0,0
2009-10-03,76,57,0.00,0.0,0
2009-10-04,79,53,0.00,0.0,0
2009-10-05,78,53,0.90,0.0,0
2009-10-06,63,56,0.43,0.0,0
2009-10-07,68,58,0.28,0.0,0
2009-10-08,84,53,0.28,0.0,0
2009-10-09,78,53,0.00,0.0,0
2009-10-10,84,62,0.02,0.0,0
2009-10-11,82,62,0.00,0.0,0
2009-10-12,69,58,0.00,0.0,0
2009-10-13,61,55,3.21,0.0,0
2009-10-14,76,54,0.40,0.0,0
2009-10-15,59,47,0.30,0.0,0
2009-10-16,55,47,0.20,0.0,0
2009-10-17,61,51,0.00,0.0,0
2009-10-18,51,42,0.05,0.0,0
2009-10-19,58,36,0.00,0.0,0
2009-10-20,61,35,0.00,0.0,0
2009-10-21,70,37,0.00,0.0,0
2009-10-22,74,42,0.00,0.0,0
2009-10-23,77,44,0.00,0.0,0
2009-10-24,80,61,0.26,0.0,0
2009-10-25,74,46,0.04,0.0,0
2009-10-26,59,47,0.00,0.0,0
2009-10-27,65,50,0.00,0.0,0
2009-10-28,60,53,1.28,0.0,0
2009-10-29,75,53,0.00,0.0,0
2009-10-30,74,53,0.00,0.0,0
2009-10-31,71,53,0.00,0.0,0
2009-11-01,77,52,0.57,0.0,0
2009-11-02,60,52,0.00,0.0,0
2009-11-03,65,43,0.00,0.0,0
2009-11-04,72,44,0.00,0.0,0
2009-11-05,67,43,0.00,0.0,0
2009-11-06,68,37,0.00,0.0,0
2009-11-07,64,37,0.00,0.0,0
2009-11-08,67,38,0.00,0.0,0
2009-11-09,75,41,0.00,0.0,0
2009-11-10,67,47,0.20,0.0,0
2009-11-11,60,54,4.10,0.0,0
2009-11-12,56,48,0.24,0.0,0
2009-11-13,61,49,0.01,0.0,0
2009-11-14,73,46,0.00,0.0,0
2009-11-15,74,45,0.00,0.0,0
2009-11-16,77,42,0.00,0.0,0
2009-11-17,72,41,0.00,0.0,0
2009-11-18,69,51,0.05,0.0,0
2009-11-19,61,52,0.05,0.0,0
2009-11-20,68,42,0.00,0.0,0
2009-11-21,66,41,0.00,0.0,0
2009-11-22,61,41,0.00,0.0,0
2009-11-23,48,45,0.80,0.0,0
2009-11-24,52,48,0.04,0.0,0
2009-11-25,52,49,0.08,0.0,0
2009-11-26,60,38,0.00,0.0,0
2009-11-27,61,37,0.00,0.0,0
2009-11-28,57,33,0.00,0.0,0
2009-11-29,63,33,0.00,0.0,0
2009-11-30,68,43,0.00,0.0,0
2009-12-01,62,33,0.17,0.0,0
2009-12-02,56,32,0.47,0.0,0
2009-12-03,63,43,1.46,0.0,0
2009-12-04,60,36,0.00,0.0,0
2009-12-05,49,37,0.00,0.0,0
2009-12-06,54,28,0.00,0.0,0
2009-12-07,47,28,0.00,0.0,0
2009-12-08,49,35,0.00,0.0,0
2009-12-09,60,38,1.80,0.0,0
2009-12-10,70,42,0.01,0.0,0
2009-12-11,52,28,0.00,0.0,0
2009-12-12,39,28,0.00,0.0,0
2009-12-13,41,30,0.15,0.0,0
2009-12-14,44,34,0.22,0.0,0
2009-12-15,59,41,0.01,0.0,0
2009-12-16,67,36,0.00,0.0,0
2009-12-17,53,29,0.00,0.0,0
2009-12-18,50,28,0.00,0.0,0
2009-12-19,39,31,2.03,0.0,0
2009-12-20,53,35,0.00,0.0,0
2009-12-21,51,26,0.00,0.0,0
2009-12-22,54,26,0.00,0.0,0
2009-12-23,52,29,0.00,0.0,0
2009-12-24,51,29,0.00,0.0,0
2009-12-25,53,31,1.10,0.0,0
2009-12-26,48,30,0.90,0.0,0
2009-12-27,45,30,0.00,0.0,0
2009-12-28,56,34,0.00,0.0,0
2009-12-29,48,27,0.00,0.0,0
