date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1953-01-01,83,75,0.13,0.0,0
1953-01-02,83,78,0.10,0.0,0
1953-01-03,84,76,0.00,0.0,0
1953-01-04,83,75,T,0.0,0
1953-01-05,80,74,0.04,0.0,0
1953-01-06,82,74,0.10,0.0,0
1953-01-07,83,76,0.00,0.0,0
1953-01-08,83,77,0.01,0.0,0
1953-01-09,83,77,0.01,0.0,0
1953-01-10,84,78,0.00,0.0,0
1953-01-11,83,77,0.00,0.0,0
1953-01-12,83,77,0.00,0.0,0
1953-01-13,83,77,T,0.0,0
1953-01-14,84,72,T,0.0,0
1953-01-15,84,77,0.00,0.0,0
1953-01-16,82,77,0.00,0.0,0
1953-01-17,80,75,0.21,0.0,0
1953-01-18,84,78,T,0.0,0
1953-01-19,82,77,0.00,0.0,0
1953-01-20,82,75,T,0.0,0
1953-01-21,81,75,0.00,0.0,0
1953-01-22,82,76,0.00,0.0,0
1953-01-23,80,73,0.19,0.0,0
1953-01-24,81,72,0.08,0.0,0
1953-01-25,83,76,0.00,0.0,0
1953-01-26,83,76,0.01,0.0,0
1953-01-27,82,75,0.48,0.0,0
1953-01-28,83,76,0.00,0.0,0
1953-01-29,81,75,0.36,0.0,0
1953-01-30,81,75,0.08,0.0,0
1953-01-31,80,75,0.04,0.0,0
1953-02-01,82,76,0.00,0.0,0
1953-02-02,82,74,T,0.0,0
1953-02-03,84,73,0.35,0.0,0
1953-02-04,80,72,0.15,0.0,0
1953-02-05,79,74,T,0.0,0
1953-02-06,81,73,1.16,0.0,0
1953-02-07,81,73,0.81,0.0,0
1953-02-08,83,75,0.09,0.0,0
1953-02-09,82,75,T,0.0,0
1953-02-10,82,72,0.37,0.0,0
1953-02-11,79,74,0.17,0.0,0
1953-02-12,82,72,0.34,0.0,0
1953-02-13,83,75,T,0.0,0
1953-02-14,82,75,0.00,0.0,0
1953-02-15,83,76,0.00,0.0,0
1953-02-16,80,76,0.14,0.0,0
1953-02-17,82,77,T,0.0,0
1953-02-18,83,75,T,0.0,0
1953-02-19,83,75,0.10,0.0,0
1953-02-20,82,73,0.10,0.0,0
1953-02-21,83,74,0.27,0.0,0
1953-02-22,78,73,7.88,0.0,0
1953-02-23,82,75,0.22,0.0,0
1953-02-24,83,75,0.02,0.0,0
1953-02-25,83,76,0.03,0.0,0
1953-02-26,82,75,0.04,0.0,0
1953-02-27,82,73,0.13,0.0,0
1953-02-28,83,76,T,0.0,0
1953-03-01,83,74,0.16,0.0,0
1953-03-02,83,75,0.11,0.0,0
1953-03-03,82,74,0.14,0.0,0
1953-03-04,80,73,0.80,0.0,0
1953-03-05,83,73,0.17,0.0,0
1953-03-06,82,75,0.02,0.0,0
1953-03-07,83,75,0.07,0.0,0
1953-03-08,82,71,0.10,0.0,0
1953-03-09,83,74,0.07,0.0,0
1953-03-10,81,72,0.14,0.0,0
1953-03-11,82,76,0.06,0.0,0
1953-03-12,83,73,0.07,0.0,0
1953-03-13,84,76,0.00,0.0,0
1953-03-14,83,74,0.32,0.0,0
1953-03-15,83,76,0.00,0.0,0
