date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-11-01,43,39,0.32,M,M
2000-11-02,56,39,0.00,M,M
2000-11-03,64,39,0.00,M,M
2000-11-04,61,35,0.00,M,M
2000-11-05,55,41,0.24,M,M
2000-11-06,45,36,0.32,M,M
2000-11-07,48,33,M,M,M
2000-11-08,59,33,0.00,M,M
2000-11-09,55,45,0.00,M,M
2000-11-10,53,46,0.11,M,M
2000-11-11,49,44,1.60,M,M
2000-11-12,56,43,0.17,M,M
2000-11-13,57,36,0.00,M,M
2000-11-14,51,39,0.03,M,M
2000-11-15,50,36,0.97,M,M
2000-11-16,47,36,0.00,M,M
2000-11-17,48,35,0.00,M,M
2000-11-18,55,29,0.00,M,M
2000-11-19,45,28,0.00,M,M
2000-11-20,45,24,0.00,M,M
2000-11-21,45,24,0.00,M,M
2000-11-22,42,27,0.00,M,M
2000-11-23,39,22,0.00,M,M
2000-11-24,35,14,0.00,M,M
2000-11-25,29,10,0.00,M,M
2000-11-26,34,22,M,M,M
2000-11-27,47,31,1.32,M,M
2000-11-28,49,37,0.00,M,M
2000-11-29,46,37,T,M,M
2000-11-30,48,29,0.02,M,M
2000-12-01,38,28,0.08,M,M
2000-12-02,41,20,0.00,M,M
2000-12-03,33,13,0.00,M,M
2000-12-04,33,13,0.00,M,M
2000-12-05,45,18,0.00,M,M
2000-12-06,44,20,0.00,M,M
2000-12-07,30,18,0.00,M,M
2000-12-08,33,11,0.00,M,M
2000-12-09,22,6,0.00,M,M
2000-12-10,29,6,0.00,M,M
2000-12-11,33,12,0.01,M,M
2000-12-12,45,31,0.05,M,M
2000-12-13,52,13,0.10,M,M
2000-12-14,27,12,0.21,3.2,3
2000-12-15,32,14,0.62,3.3,5
2000-12-16,31,14,0.00,M,5
2000-12-17,48,22,1.07,M,1
2000-12-18,54,34,1.21,M,M
2000-12-19,41,23,0.00,M,M
2000-12-20,36,22,0.28,M,M
2000-12-21,31,17,0.29,1.0,1
2000-12-22,28,15,0.00,M,1
2000-12-23,31,16,T,M,1
2000-12-24,27,12,0.00,M,1
2000-12-25,29,12,0.00,M,1
2000-12-26,19,6,0.00,M,1
2000-12-27,24,8,0.00,M,1
2000-12-28,31,16,0.00,M,M
2000-12-29,23,13,T,0.1,M
2000-12-30,33,13,0.00,M,M
2000-12-31,32,23,1.66,9.0,9
2001-01-01,33,21,0.00,M,9
2001-01-02,32,7,0.00,M,8
2001-01-03,27,6,0.00,M,8
2001-01-04,32,9,0.00,M,8
2001-01-05,32,11,0.00,M,8
2001-01-06,29,8,0.32,5.4,13
2001-01-07,33,11,0.44,2.1,14
2001-01-08,34,10,0.00,M,13
2001-01-09,36,12,0.22,1.2,13
2001-01-10,32,9,0.11,2.3,15
2001-01-11,25,6,0.00,M,14
2001-01-12,37,10,0.00,M,13
2001-01-13,30,0,0.00,M,13
2001-01-14,33,8,0.00,M,13
2001-01-15,42,25,T,M,12
2001-01-16,25,19,0.17,1.5,13
2001-01-17,36,24,T,M,13
2001-01-18,38,9,0.00,M,13
2001-01-19,30,8,0.00,M,13
2001-01-20,35,28,0.24,1.3,14
2001-01-21,28,18,T,T,13
2001-01-22,28,6,0.23,3.0,16
2001-01-23,33,5,0.00,0.0,16
2001-01-24,35,5,0.00,0.0,16
2001-01-25,37,9,0.00,0.0,15
2001-01-26,39,7,0.00,0.0,14
2001-01-27,33,6,0.00,0.0,14
2001-01-28,35,16,0.00,0.0,14
