date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2023-05-01,M,M,3.32,0.0,16
2023-05-02,M,M,0.50,0.0,13
2023-05-03,M,M,1.76,0.5,13
2023-05-04,M,M,M,0.0,10
2023-05-05,M,M,0.00,0.0,9
2023-05-06,M,M,0.00,0.0,8
2023-05-07,M,M,0.00,0.0,T
2023-05-08,M,M,0.00,0.0,T
2023-05-09,M,M,0.00,0.0,T
2023-05-10,M,M,0.00,0.0,T
2023-05-11,M,M,0.00,0.0,T
2023-05-12,M,M,M,0.0,T
2023-05-13,M,M,0.00,0.0,T
2023-05-14,M,M,0.00,0.0,T
2023-05-15,M,M,0.00,0.0,T
2023-05-16,M,M,0.00,0.0,T
2023-05-17,M,M,T,T,T
2023-05-18,M,M,0.00,0.0,T
2023-05-19,52,31,0.00,0.0,T
2023-05-20,64,39,0.00,0.0,0
2023-05-21,64,50,M,0.0,0
2023-05-22,64,49,0.00,0.0,0
2023-05-23,M,M,0.00,0.0,0
2023-05-24,M,M,0.00,0.0,0
2023-05-25,M,M,M,0.0,0
2023-05-26,M,M,0.00,0.0,0
2023-05-27,M,M,0.00,0.0,0
2023-05-28,M,M,0.00,0.0,0
2023-05-29,M,M,0.00,0.0,0
2023-05-30,M,M,0.00,0.0,0
2023-05-31,M,M,0.00,0.0,0
2023-11-01,33,19,0.00,0.0,T
2023-11-02,33,18,0.01,0.2,T
2023-11-03,33,18,T,T,T
2023-11-04,40,30,0.00,0.0,T
2023-11-05,43,34,0.00,0.0,T
2023-11-06,40,23,0.00,0.0,T
2023-11-07,43,23,0.22,0.6,1
2023-11-08,45,18,0.10,0.1,1
2023-11-09,29,19,0.03,0.6,1
2023-11-10,33,21,0.38,1.7,2
2023-11-11,33,21,T,0.3,2
2023-11-12,33,16,0.00,0.0,2
2023-11-13,25,12,0.00,0.0,2
2023-11-14,30,14,0.04,0.5,2
2023-11-15,M,M,T,T,2
2023-11-16,M,M,0.00,0.0,2
2023-11-17,M,M,0.00,0.0,2
2023-11-18,43,22,0.16,T,T
2023-11-19,M,M,T,T,T
2023-11-20,M,M,0.05,1.0,1
2023-11-21,M,M,0.00,0.0,1
2023-11-22,26,15,M,6.4,7
2023-11-23,32,M,0.65,4.4,11
2023-11-24,32,25,T,T,11
2023-11-25,25,8,0.00,0.0,11
2023-11-26,23,9,0.00,0.0,11
2023-11-27,33,21,M,4.3,15
2023-11-28,37,17,M,1.5,17
2023-11-29,37,9,T,0.3,16
2023-11-30,23,10,0.01,0.1,16
2023-12-01,30,23,0.00,0.0,15
2023-12-02,41,28,M,T,13
2023-12-03,41,30,0.00,0.0,12
2023-12-04,31,24,M,10.5,23
2023-12-05,30,18,M,1.2,24
2023-12-06,25,9,T,T,24
2023-12-07,25,9,T,T,24
2023-12-08,20,10,0.00,0.0,24
2023-12-09,32,18,0.00,0.0,19
2023-12-10,39,29,0.00,0.0,18
2023-12-11,46,31,M,0.3,16
2023-12-12,32,13,M,M,16
2023-12-13,27,16,0.01,0.3,16
2023-12-14,24,7,M,M,19
2023-12-15,43,6,0.00,0.0,18
2023-12-16,47,28,0.00,0.0,15
2023-12-17,35,24,0.00,0.0,15
