date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-01-01,29,4,0.00,0.0,M
2000-01-02,32,7,0.00,0.0,M
2000-01-03,40,19,0.21,0.0,M
2000-01-04,52,27,0.37,1.0,1
2000-01-05,37,23,0.50,0.0,1
2000-01-06,27,6,0.00,0.0,1
2000-01-07,29,6,0.00,0.0,1
2000-01-08,33,23,0.03,1.0,2
2000-01-09,29,14,0.00,0.0,M
2000-01-10,43,17,0.00,0.0,1
2000-01-11,43,26,1.06,0.0,M
2000-01-12,47,29,0.00,0.0,M
2000-01-13,31,15,0.00,T,M
2000-01-14,21,-4,0.00,0.0,M
2000-01-15,6,-4,0.00,0.0,M
2000-01-16,12,-6,0.08,1.5,2
2000-01-17,22,1,0.32,4.5,6
2000-01-18,12,-6,0.00,0.0,M
2000-01-19,20,-18,0.00,0.0,M
2000-01-20,22,-18,0.00,0.0,4
2000-01-21,23,-15,T,T,4
2000-01-22,14,-6,0.01,0.3,4
2000-01-23,4,-13,0.00,0.0,4
2000-01-24,21,-13,T,T,4
2000-01-25,31,3,0.00,0.0,4
2000-01-26,29,12,0.82,7.3,10
2000-01-28,15,-1,0.00,0.0,10
2000-01-29,12,0,T,T,10
2000-01-30,33,3,0.00,0.0,10
2000-01-31,45,3,0.09,1.5,10
2000-02-01,35,19,0.30,4.0,10
2000-02-02,41,10,T,T,10
2000-02-04,26,-6,0.00,0.0,10
2000-02-05,28,-13,0.00,0.0,10
2000-02-06,31,-13,0.03,1.5,11
2000-02-07,19,-5,0.00,0.0,10
2000-02-08,28,-3,T,T,10
2000-02-09,25,-3,0.00,0.0,10
2000-02-10,35,24,0.00,0.0,10
2000-02-11,33,15,0.22,2.3,12
2000-02-12,27,8,0.22,2.7,13
2000-02-13,25,-15,0.00,0.0,12
2000-02-14,37,-15,0.41,5.0,17
2000-02-15,29,21,0.72,2.5,18
2000-02-16,33,9,T,T,16
2000-02-17,30,8,0.03,0.8,17
2000-02-18,18,-14,0.00,0.0,17
2000-02-19,24,-10,0.33,7.0,24
2000-02-20,28,15,0.06,1.0,22
2000-02-21,37,2,0.03,1.0,22
2000-02-22,33,5,0.00,0.0,21
2000-02-23,40,12,0.00,0.0,21
2000-02-24,48,20,0.00,0.0,20
2000-02-25,52,31,0.00,0.0,16
2000-02-26,40,30,0.00,0.0,15
2000-02-27,39,31,0.02,0.0,10
2000-02-28,46,34,0.11,0.0,9
2000-02-29,45,31,0.48,0.0,6
2000-03-01,42,25,0.00,0.0,5
2000-03-02,50,26,0.12,0.5,4
2000-03-03,36,31,0.15,0.5,3
2000-03-04,40,31,T,T,3
2000-03-05,42,26,0.00,0.0,3
2000-03-06,43,28,T,T,M
2000-03-07,41,20,0.00,0.0,2
2000-03-08,53,23,0.00,0.0,2
2000-03-09,51,24,0.00,0.0,0
2000-03-10,57,30,0.02,0.0,M
2000-03-11,36,24,0.00,0.0,M
2000-03-12,30,24,0.88,7.0,7
2000-03-13,35,20,0.29,T,5
2000-03-14,30,2,0.00,0.0,5
2000-03-15,49,6,0.00,0.0,3
2000-03-16,55,26,0.00,0.0,2
2000-03-17,63,22,0.55,5.0,5
2000-03-18,27,3,0.02,1.0,5
2000-03-19,34,3,0.00,0.0,5
2000-03-20,49,10,0.00,0.0,3
2000-03-21,49,18,0.00,0.0,2
2000-03-22,52,23,0.00,0.0,M
2000-03-23,57,21,0.00,0.0,M
2000-03-24,62,26,0.00,0.0,M
2000-03-25,61,22,0.00,0.0,M
2000-03-26,57,30,0.00,0.0,M
2000-03-27,61,26,0.00,0.0,M
2000-03-28,60,32,0.00,0.0,M
2000-03-29,53,29,1.80,0.0,M
2000-03-30,49,28,0.03,0.0,M
2000-03-31,53,27,T,0.0,M
2000-04-01,48,23,0.00,M,M
2000-04-02,59,30,0.00,M,M
2000-04-03,53,36,0.34,M,M
2000-04-04,51,38,0.77,M,M
2000-04-05,49,38,0.48,M,M
2000-04-06,49,31,0.00,M,M
2000-04-07,42,38,0.02,0.0,0
2000-04-09,M,M,0.35,0.0,0
2000-04-10,57,29,1.02,T,T
2000-04-11,46,21,0.00,0.0,M
2000-04-12,51,26,0.22,1.0,1
2000-04-13,45,26,T,T,0
2000-04-14,45,18,0.00,M,M
2000-04-15,60,23,0.00,M,M
2000-04-16,81,33,0.00,M,M
2000-04-17,57,28,0.00,M,M
2000-04-18,52,29,0.00,M,M
2000-04-19,56,31,T,M,M
2000-04-20,43,37,0.02,M,M
2000-04-21,59,41,0.00,M,M
2000-04-22,48,32,0.67,1.2,1
2000-04-23,36,33,1.32,1.0,T
2000-04-24,43,36,1.09,0.0,M
2000-04-25,47,27,0.02,M,M
2000-04-26,53,31,0.00,M,M
2000-04-27,52,33,T,T,M
2000-04-28,47,31,T,T,M
2000-04-29,55,25,0.00,M,0
2000-04-30,73,28,T,M,M
2000-05-01,56,23,0.00,M,M
2000-05-02,65,31,0.08,M,M
2000-05-03,59,26,0.00,M,M
2000-05-04,68,29,0.00,M,M
2000-05-05,67,35,0.00,M,M
2000-05-06,77,40,0.00,M,M
2000-05-07,73,46,0.39,M,M
2000-05-08,85,48,0.05,M,M
2000-05-09,78,50,0.81,M,M
2000-05-10,53,40,0.95,M,M
2000-05-11,43,38,0.64,M,M
2000-05-12,54,32,0.12,M,M
2000-05-13,72,37,0.00,M,M
2000-05-14,54,44,0.36,M,M
2000-05-15,74,44,0.00,M,M
2000-05-16,64,29,0.00,M,M
2000-05-17,66,40,T,M,M
2000-05-18,70,38,0.00,M,M
2000-05-19,63,40,0.29,M,M
2000-05-20,58,29,0.00,M,M
2000-05-21,69,37,0.01,M,M
2000-05-22,63,37,T,M,M
2000-05-23,62,46,0.00,M,M
2000-05-24,62,45,0.03,M,M
2000-05-25,52,45,0.58,M,M
2000-05-26,62,43,0.22,M,M
2000-05-27,67,51,0.00,M,M
2000-05-28,63,42,0.00,M,M
2000-05-29,59,37,0.00,M,M
2000-05-30,64,38,0.00,M,M
2000-05-31,73,45,0.00,M,M
2000-06-01,72,47,0.00,M,M
2000-06-02,85,51,0.00,M,M
2000-06-03,74,53,0.00,M,M
2000-06-04,70,40,0.00,M,M
2000-06-05,65,46,0.06,M,M
2000-06-06,69,42,T,M,M
2000-06-07,62,43,0.56,M,M
2000-06-08,64,35,0.00,M,M
2000-06-09,75,42,0.01,M,M
2000-06-10,73,48,T,M,M
2000-06-11,73,45,0.14,M,M
2000-06-12,50,45,0.24,M,M
2000-06-13,58,43,T,M,M
2000-06-14,70,41,0.00,M,M
2000-06-15,67,50,0.00,M,M
2000-06-16,65,53,T,M,M
2000-06-17,87,59,0.00,M,M
2000-06-18,91,50,0.06,M,M
2000-06-19,79,56,0.12,M,M
2000-06-20,76,45,0.00,M,M
2000-06-21,79,49,0.00,M,M
2000-06-22,77,55,0.06,M,M
2000-06-23,87,59,T,M,M
2000-06-24,77,43,0.00,M,M
2000-06-25,83,53,0.00,M,M
2000-06-26,84,60,0.10,M,M
2000-06-27,90,63,0.00,M,M
2000-06-28,87,52,0.26,M,M
2000-06-29,85,56,0.00,M,M
2000-06-30,85,60,0.20,M,M
2000-07-01,74,47,0.25,M,M
2000-07-02,83,51,0.00,M,M
2000-07-03,87,55,0.00,M,M
2000-07-04,82,62,0.06,M,M
2000-07-05,85,51,0.07,M,M
2000-07-06,70,45,0.00,M,M
2000-07-07,75,48,0.00,M,M
2000-07-08,74,43,0.00,M,M
2000-07-09,73,40,0.12,M,M
2000-07-10,80,52,0.25,M,M
2000-07-11,81,53,0.26,M,M
2000-07-12,74,47,T,M,M
2000-07-13,81,47,0.00,M,M
2000-07-14,89,56,0.00,M,M
2000-07-15,85,56,0.27,M,M
2000-07-16,77,58,0.30,M,M
2000-07-17,64,54,1.80,M,M
2000-07-18,71,57,0.00,M,M
2000-07-19,79,54,0.89,M,M
2000-07-20,68,40,0.00,M,M
2000-07-21,76,43,0.00,M,M
