date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1947-01-01,14,2,T,T,15
1947-01-02,29,6,0.64,3.0,18
1947-01-03,32,21,0.57,0.5,19
1947-01-04,22,12,T,T,19
1947-01-05,25,7,0.00,T,18
1947-01-06,24,9,T,T,18
1947-01-07,29,8,0.00,T,17
1947-01-08,30,5,0.00,T,17
1947-01-09,5,-8,0.00,T,17
1947-01-10,11,-7,0.00,0.0,17
1947-01-11,39,7,0.30,2.9,20
1947-01-12,37,2,0.00,0.0,17
1947-01-13,22,-0,0.00,0.0,17
1947-01-14,24,15,0.03,T,16
1947-01-15,38,25,0.32,0.0,15
1947-01-16,33,29,0.15,0.0,15
1947-01-17,30,19,0.01,0.3,15
1947-01-18,33,4,T,T,15
1947-01-19,23,-0,0.00,0.0,15
1947-01-20,45,13,0.73,0.0,15
1947-01-21,40,14,0.17,0.0,14
1947-01-22,14,-2,0.04,T,14
1947-01-23,15,12,0.00,0.0,14
1947-01-24,43,11,T,T,14
1947-01-25,44,31,0.00,0.0,13
1947-01-26,37,26,0.00,0.0,12
1947-01-27,38,31,0.54,2.3,14
1947-01-28,47,27,0.00,0.0,12
1947-01-29,27,22,0.10,1.2,13
1947-01-30,30,25,0.13,0.3,13
1947-01-31,43,M,0.53,0.0,12
1947-02-01,M,11,0.00,0.0,12
1947-02-02,20,9,T,T,12
1947-02-03,27,9,0.00,0.0,12
1947-02-04,42,19,0.12,0.0,12
1947-02-05,26,4,1.06,0.8,12
1947-02-06,13,-0,0.00,0.0,11
1947-02-07,23,6,0.17,2.6,14
1947-02-08,25,7,0.52,6.1,20
1947-02-09,15,3,T,T,20
1947-02-10,25,15,T,T,19
1947-02-11,23,10,0.00,0.0,19
1947-02-12,18,5,0.00,0.0,19
1947-02-13,25,6,0.00,0.0,18
1947-02-14,41,22,0.00,0.0,17
1947-02-15,40,32,0.00,0.0,17
1947-02-16,33,22,0.00,0.0,16
1947-02-17,24,15,0.00,0.0,16
1947-02-18,35,15,0.00,0.0,16
1947-02-19,20,-1,T,T,16
1947-02-20,15,-3,0.00,0.0,16
1947-02-21,11,1,0.38,5.0,21
1947-02-22,15,4,0.40,5.0,26
1947-02-23,23,6,0.00,0.0,24
1947-02-24,23,9,T,T,24
1947-02-25,27,15,T,T,24
1947-02-26,31,20,T,T,23
1947-02-27,26,19,0.00,0.0,22
1947-02-28,27,15,0.01,0.1,22
1947-03-01,28,11,0.00,0.0,21
1947-03-02,29,20,0.74,5.0,26
1947-03-03,32,21,1.53,6.0,32
1947-03-04,27,22,0.02,1.0,33
1947-03-05,33,20,T,T,30
1947-03-06,37,30,0.00,0.0,28
1947-03-07,34,20,0.00,0.0,27
1947-03-08,37,17,0.00,0.0,27
1947-03-09,35,25,0.00,0.0,27
1947-03-10,34,23,0.02,0.6,26
1947-03-11,37,27,T,T,26
1947-03-12,40,24,0.00,0.0,25
1947-03-13,44,25,0.00,0.0,24
1947-03-14,47,32,1.73,0.0,21
1947-03-15,45,26,0.00,0.0,20
1947-03-16,32,18,T,T,17
1947-03-17,29,17,0.00,0.0,17
1947-03-18,27,13,0.05,1.2,18
1947-03-19,37,13,0.00,0.0,17
1947-03-20,41,21,0.00,0.0,16
1947-03-21,39,27,0.00,0.0,14
1947-03-22,40,27,0.00,0.0,13
1947-03-23,41,24,0.00,0.0,13
