date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1993-02-01,M,M,0.39,6.0,7
1993-02-02,M,M,0.25,6.0,12
1993-02-03,M,M,0.00,0.0,11
1993-02-04,M,M,0.00,0.0,10
1993-02-05,M,M,0.00,0.0,8
1993-02-06,M,M,0.00,0.0,8
1993-02-07,M,M,0.00,0.0,8
1993-02-08,M,M,T,T,7
1993-02-09,M,M,0.00,0.0,7
1993-02-10,M,M,0.00,0.0,7
1993-02-11,M,M,0.00,0.0,6
1993-02-12,M,M,0.00,0.0,6
1993-02-13,M,M,0.88,6.0,12
1993-02-14,M,M,0.22,T,11
1993-02-15,M,M,0.00,0.0,11
1993-02-16,M,M,0.00,0.0,11
1993-02-17,M,M,1.48,14.0,24
1993-02-18,M,M,0.01,T,23
1993-02-19,M,M,0.00,0.0,22
1993-02-20,M,M,0.00,0.0,22
1993-02-21,M,M,0.00,0.0,22
1993-02-22,M,M,0.77,12.0,34
1993-02-23,M,M,0.15,2.3,35
1993-02-24,M,M,0.16,2.0,33
1993-02-25,M,M,0.00,0.0,30
1993-02-26,M,M,0.00,0.0,30
1993-02-27,M,M,0.00,0.0,30
1993-02-28,M,M,0.00,0.0,27
1993-03-01,M,M,0.00,0.0,26
1993-03-02,M,M,0.00,0.0,25
1993-03-03,M,M,0.00,0.0,23
1993-03-04,M,M,0.00,0.0,20
1993-03-05,M,M,T,T,20
1993-03-06,M,M,1.23,14.0,34
1993-03-07,M,M,T,0.3,31
1993-03-08,M,M,0.00,0.0,30
1993-03-09,M,M,0.14,1.0,30
1993-03-10,M,M,0.41,4.0,33
1993-03-11,M,M,0.38,5.0,37
1993-03-12,M,M,0.07,1.2,36
1993-03-13,M,M,0.00,0.0,35
1993-03-14,M,M,1.31,12.0,45
1993-03-15,M,M,0.08,1.0,40
1993-03-16,M,M,0.00,0.0,40
1993-03-17,M,M,0.00,0.0,39
1993-03-18,M,M,0.15,T,34
1993-03-19,M,M,0.00,0.0,31
1993-03-20,M,M,0.00,0.0,31
1993-03-21,M,M,T,T,30
1993-03-22,M,M,0.10,1.5,32
1993-03-23,M,M,0.00,0.0,32
1993-03-24,M,M,0.02,T,31
1993-03-25,M,M,0.00,0.0,30
1993-03-26,M,M,0.00,0.0,29
1993-03-27,M,M,0.00,0.0,25
1993-03-28,M,M,0.00,0.0,22
1993-03-29,M,M,0.00,0.0,20
1993-03-30,M,M,0.36,0.0,16
