date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1956-01-01,15,-3,0.00,0.0,3
1956-01-02,25,-2,0.00,0.0,3
1956-01-03,30,13,0.50,M,9
1956-01-04,44,31,0.00,0.0,9
1956-01-05,39,25,0.00,0.0,9
1956-01-06,35,14,0.00,0.0,9
1956-01-07,38,10,0.00,0.0,8
1956-01-08,42,24,S,0.0,8
1956-01-09,45,38,2.35A,0.5,0
1956-01-10,43,37,1.40,0.0,0
1956-01-11,M,33,0.41,0.0,0
1956-01-12,41,34,0.50,0.0,0
1956-01-13,40,34,1.03,0.0,0
1956-01-14,36,28,0.03,0.0,T
1956-01-15,34,30,0.13,0.0,0
1956-01-16,35,28,0.25,1.5,2
1956-01-17,32,29,0.12,1.1,3
1956-01-18,30,18,0.00,0.0,3
1956-01-19,31,10,0.00,0.0,3
1956-01-20,27,11,0.00,0.0,3
1956-01-21,35,15,0.00,0.0,3
1956-01-22,35,19,0.00,0.0,3
1956-01-23,30,16,0.06,1.4,4
1956-01-24,39,11,0.00,0.0,4
1956-01-25,29,15,0.00,0.0,4
1956-01-26,35,15,0.00,0.0,2
1956-01-27,31,21,0.00,0.0,2
1956-01-28,34,11,0.00,0.0,2
1956-01-29,35,13,0.04,0.4,2
1956-01-30,36,30,0.31,2.0,4
1956-01-31,32,13,0.00,0.0,4
1956-02-01,30,9,0.00,0.0,4
1956-02-02,30,18,0.50,4.0,8
1956-02-03,34,22,0.00,0.0,8
1956-02-04,26,1,0.00,0.0,8
1956-02-05,40,21,0.25,4.0,12
1956-02-06,37,19,0.00,0.0,12
1956-02-07,38,29,0.81,5.5,17
1956-02-08,46,24,0.00,0.0,11
1956-02-09,48,32,0.00,0.0,11
1956-02-10,42,27,T,T,11
1956-02-11,34,27,0.00,0.0,11
1956-02-12,35,30,0.30,3.0,14
1956-02-13,41,30,0.00,0.0,13
1956-02-14,44,20,0.00,0.0,12
1956-02-15,42,29,T,0.0,10
1956-02-16,40,18,0.00,0.0,10
1956-02-17,30,11,0.00,0.0,10
1956-02-18,30,23,0.60,7.0,17
1956-02-19,39,M,0.00,0.0,17
1956-02-20,38,24,T,T,17
1956-02-21,34,10,T,T,17
1956-02-22,23,2,0.00,0.0,17
1956-02-23,24,6,0.00,0.0,17
1956-02-24,33,7,0.00,0.0,17
1956-02-25,40,22,0.25,1.0,16
1956-02-26,44,23,T,0.0,16
1956-02-27,38,19,T,T,16
1956-02-28,36,18,0.31,3.0,19
1956-02-29,28,8,0.00,0.0,19
1956-03-01,35,8,0.00,0.0,19
1956-03-02,43,20,T,0.0,17
1956-03-03,50,32,0.00,0.0,16
1956-03-04,45,31,0.56,2.5,16
1956-03-05,37,21,0.09,1.0,17
1956-03-06,32,18,0.00,0.0,17
1956-03-07,34,26,0.58,4.0,21
1956-03-08,29,18,0.50,3.5,25
1956-03-09,30,20,0.00,0.0,25
1956-03-10,40,16,0.05,T,24
1956-03-11,40,21,0.00,0.0,22
1956-03-12,45,33,T,T,22
1956-03-13,35,22,T,T,22
1956-03-14,34,27,0.51,5.0,27
1956-03-15,34,22,T,T,25
1956-03-16,30,8,0.25,4.0,29
1956-03-17,26,12,0.70,6.0,34
1956-03-18,34,2,0.00,0.0,34
1956-03-19,24,10,T,T,25
1956-03-20,43,18,0.30,3.0,26
1956-03-21,48,18,0.00,0.0,24
1956-03-22,52,14,0.00,0.0,21
1956-03-23,43,31,0.00,0.0,21
1956-03-24,38,17,0.69,6.0,27
1956-03-25,26,8,0.00,0.0,27
1956-03-26,37,9,0.00,0.0,27
1956-03-27,37,17,0.00,0.0,27
1956-03-28,44,15,0.00,0.0,26
1956-03-29,44,16,T,T,25
1956-03-30,37,28,0.43,5.0,30
1956-03-31,40,23,0.15,1.0,28
1956-04-01,45,25,0.00,0.0,19
1956-04-02,55,27,0.00,0.0,17
1956-04-03,47,32,T,0.0,15
1956-04-04,41,33,0.34,0.0,10
1956-04-05,53,33,0.00,0.0,9
1956-04-06,58,35,0.00,0.0,8
1956-04-07,57,35,0.00,0.0,8
1956-04-08,37,25,0.69,8.0,16
1956-04-09,43,29,0.00,0.0,14
1956-04-10,50,27,0.00,0.0,12
1956-04-11,54,28,0.00,0.0,10
1956-04-12,51,26,0.00,0.0,8
1956-04-13,50,28,0.00,0.0,8
1956-04-14,50,30,0.28,0.0,6
1956-04-15,45,27,0.00,0.0,4
1956-04-16,57,35,0.85,0.0,0
1956-04-17,52,36,0.29,0.0,0
1956-04-18,51,30,0.00,0.0,0
1956-04-19,50,31,0.00,0.0,0
1956-04-20,50,27,0.00,0.0,0
1956-04-21,48,28,T,0.0,0
1956-04-22,50,33,0.10,0.0,0
1956-04-23,46,30,0.48,8.1,4
1956-04-24,44,29,0.00,0.0,T
1956-04-25,50,27,0.00,0.0,0
1956-04-26,51,31,0.15,0.0,0
1956-04-27,61,30,0.00,0.0,0
1956-04-28,75,42,T,0.0,M
1956-04-29,71,40,0.45,0.0,0
1956-04-30,64,37,0.57,0.0,0
1956-05-01,59,33,0.00,0.0,0
1956-05-02,63,34,0.00,0.0,0
1956-05-03,63,38,0.07,0.0,0
1956-05-04,62,36,T,0.0,0
1956-05-05,63,33,0.19,0.0,0
1956-05-06,61,40,T,0.0,0
1956-05-07,61,38,0.00,0.0,0
1956-05-08,52,28,0.00,0.0,0
1956-05-09,65,30,0.00,0.0,0
1956-05-10,61,46,0.28,0.0,0
1956-05-11,63,32,0.00,0.0,0
1956-05-12,80,43,T,0.0,0
1956-05-13,80,60,T,0.0,0
1956-05-14,68,40,T,0.0,0
1956-05-15,71,40,0.00,0.0,0
1956-05-16,69,44,T,0.0,0
1956-05-17,60,32,0.00,0.0,0
1956-05-18,57,37,T,0.0,0
1956-05-19,68,33,0.00,0.0,0
1956-05-20,65,41,0.14,0.0,0
1956-05-21,68,38,0.00,0.0,0
1956-05-22,82,42,0.00,0.0,0
1956-05-23,78,50,0.10,0.0,0
1956-05-24,M,32,0.00,0.0,0
1956-05-25,60,30,0.00,0.0,0
1956-05-26,64,37,0.00,0.0,0
1956-05-27,68,43,1.60,0.0,0
1956-05-28,68,45,0.12,0.0,0
1956-05-29,73,39,0.00,0.0,0
1956-05-30,72,48,T,0.0,0
1956-05-31,84,55,T,0.0,0
1956-06-01,87,63,0.00,0.0,0
1956-06-02,83,58,0.27,0.0,0
1956-06-03,75,56,0.05,0.0,0
1956-06-04,77,55,0.26,0.0,0
1956-06-05,75,53,0.00,0.0,0
1956-06-06,78,51,0.00,0.0,0
1956-06-07,83,49,0.00,0.0,0
1956-06-08,80,49,0.00,0.0,0
1956-06-09,55,41,T,0.0,0
1956-06-10,65,42,0.10,0.0,0
1956-06-11,73,48,T,0.0,0
1956-06-12,87,52,0.00,0.0,0
1956-06-13,91,66,0.00,0.0,0
1956-06-14,93,67,0.00,0.0,0
1956-06-15,94,70,0.00,0.0,0
1956-06-16,91,66,0.00,0.0,0
1956-06-17,85,58,0.00,0.0,0
1956-06-18,76,45,0.00,0.0,0
1956-06-19,70,43,0.00,0.0,0
1956-06-20,71,45,0.00,0.0,0
1956-06-21,70,50,T,0.0,0
1956-06-22,84,70,0.00,0.0,0
1956-06-23,83,55,0.10,0.0,0
1956-06-24,72,57,0.00,0.0,0
1956-06-25,82,53,T,0.0,0
1956-06-26,80,48,0.00,0.0,0
1956-06-27,80,51,0.17,0.0,0
1956-06-28,78,53,T,0.0,0
1956-06-29,M,52,0.00,0.0,0
1956-06-30,77,51,0.00,0.0,0
1956-07-01,88,57,0.00,0.0,0
1956-07-02,86,68,0.00,0.0,0
1956-07-03,84,62,0.00,0.0,0
1956-07-04,79,56,0.00,0.0,0
1956-07-05,74,50,T,0.0,0
1956-07-06,61,51,0.89,0.0,0
1956-07-07,73,51,0.10,0.0,0
1956-07-08,80,49,0.00,0.0,0
1956-07-09,80,56,0.49,0.0,0
1956-07-10,81,62,0.00,0.0,0
1956-07-11,82,57,0.00,0.0,0
1956-07-12,81,59,0.00,0.0,0
1956-07-13,83,59,S,0.0,0
1956-07-14,80,61,1.10A,0.0,0
1956-07-15,82,59,0.00,0.0,0
1956-07-16,77,58,0.00,0.0,0
1956-07-17,71,50,0.00,0.0,0
1956-07-18,78,49,0.00,0.0,0
1956-07-19,80,52,0.00,0.0,0
1956-07-20,80,58,0.00,0.0,0
1956-07-21,78,56,0.00,0.0,0
1956-07-22,69,56,0.29,0.0,0
1956-07-23,80,M,0.00,0.0,0
1956-07-24,83,61,T,0.0,0
1956-07-25,85,58,0.00,0.0,0
1956-07-26,79,62,0.00,0.0,0
1956-07-27,78,50,0.00,0.0,0
1956-07-28,83,62,0.00,0.0,0
1956-07-29,83,52,0.00,0.0,0
1956-07-30,71,45,0.00,0.0,0
1956-07-31,75,51,0.00,0.0,0
1956-08-01,78,54,0.00,0.0,0
1956-08-02,77,50,0.00,0.0,0
1956-08-03,77,50,0.00,0.0,0
1956-08-04,81,56,0.00,0.0,0
1956-08-05,83,51,0.00,0.0,0
1956-08-06,80,54,0.00,0.0,0
1956-08-07,78,59,0.00,0.0,0
1956-08-08,84,61,0.00,0.0,0
1956-08-09,88,60,T,0.0,0
1956-08-10,87,64,0.00,0.0,0
1956-08-11,85,63,0.14,0.0,0
1956-08-12,84,62,0.00,0.0,0
1956-08-13,83,53,0.00,0.0,0
1956-08-14,85,58,0.10,0.0,0
1956-08-15,83,60,0.00,0.0,0
1956-08-16,85,50,0.00,0.0,0
1956-08-17,90,60,0.00,0.0,0
1956-08-18,88,62,0.33,0.0,0
1956-08-19,85,69,T,0.0,0
1956-08-20,79,53,0.00,0.0,0
1956-08-21,70,53,0.20,0.0,0
1956-08-22,71,55,0.21,0.0,0
1956-08-23,71,50,0.00,0.0,0
1956-08-24,72,55,T,0.0,0
1956-08-25,76,46,0.00,0.0,0
1956-08-26,79,45,0.00,0.0,0
1956-08-27,80,52,0.00,0.0,0
1956-08-28,85,57,0.00,0.0,0
1956-08-29,84,57,0.00,0.0,0
1956-08-30,63,52,0.00,0.0,0
1956-08-31,61,52,0.57,0.0,0
1956-09-01,65,53,0.15,0.0,0
1956-09-02,79,59,T,0.0,0
1956-09-03,80,58,0.13,0.0,0
1956-09-04,82,55,0.00,0.0,0
1956-09-05,87,59,0.00,0.0,0
1956-09-06,81,59,0.00,0.0,0
1956-09-07,76,54,0.22,0.0,0
1956-09-08,69,42,0.00,0.0,0
1956-09-09,66,41,0.00,0.0,0
1956-09-10,68,39,0.00,0.0,0
1956-09-11,74,46,0.00,0.0,0
1956-09-12,74,54,0.00,0.0,0
1956-09-13,79,53,T,0.0,0
1956-09-14,80,61,0.00,0.0,0
1956-09-15,75,52,0.50,0.0,0
1956-09-16,55,44,0.69,0.0,0
1956-09-17,58,45,0.30,0.0,0
1956-09-18,60,46,0.15,0.0,0
1956-09-19,64,38,0.00,0.0,0
1956-09-20,59,40,0.52,0.0,0
1956-09-21,58,32,0.00,0.0,0
1956-09-22,66,46,0.00,0.0,0
1956-09-23,65,43,0.00,0.0,0
1956-09-24,60,46,1.93,0.0,0
1956-09-25,61,38,0.00,0.0,0
1956-09-26,57,33,0.00,0.0,0
1956-09-27,54,34,0.00,0.0,0
1956-09-28,61,43,0.00,0.0,0
1956-09-29,73,41,0.00,0.0,0
1956-09-30,75,42,0.00,0.0,0
1956-10-01,67,48,0.00,0.0,0
1956-10-02,63,39,0.00,0.0,0
1956-10-03,66,47,0.15,0.0,0
1956-10-04,64,41,0.20,0.0,0
1956-10-05,59,42,T,0.0,0
1956-10-06,60,33,0.00,0.0,0
1956-10-07,64,42,1.18,0.0,0
1956-10-08,65,41,0.00,0.0,0
1956-10-09,64,45,0.00,0.0,0
1956-10-10,56,33,0.00,0.0,0
1956-10-11,50,26,0.00,0.0,0
1956-10-12,56,27,0.00,0.0,0
1956-10-13,64,33,0.00,0.0,0
1956-10-14,74,38,0.00,0.0,0
1956-10-15,85,37,0.00,0.0,0
1956-10-16,84,35,0.00,0.0,0
1956-10-17,79,44,0.00,0.0,0
1956-10-18,74,40,0.00,0.0,0
1956-10-19,62,32,0.00,0.0,0
1956-10-20,59,33,0.00,0.0,0
1956-10-21,69,41,0.00,0.0,0
1956-10-22,64,43,0.00,0.0,0
1956-10-23,61,54,1.05,0.0,0
1956-10-24,61,49,0.00,0.0,0
1956-10-25,57,29,0.00,0.0,0
1956-10-26,57,30,0.00,0.0,0
1956-10-27,57,35,0.00,0.0,0
1956-10-28,61,33,0.00,0.0,0
1956-10-29,61,33,0.00,0.0,0
1956-10-30,68,35,0.00,0.0,0
1956-10-31,72,37,0.00,0.0,0
1956-11-01,75,63,0.12,0.0,0
1956-11-02,65,45,0.00,0.0,0
1956-11-03,62,35,0.00,0.0,0
1956-11-04,68,32,0.00,0.0,0
1956-11-05,65,35,0.00,0.0,0
1956-11-06,66,39,0.00,0.0,0
1956-11-07,65,30,0.00,0.0,0
1956-11-08,58,45,T,0.0,0
1956-11-09,57,35,0.12,T,0
1956-11-10,40,23,0.00,0.0,0
1956-11-11,39,12,0.00,0.0,0
1956-11-12,61,32,0.00,0.0,0
1956-11-13,56,31,0.50,0.0,0
1956-11-14,52,24,0.00,0.0,0
1956-11-15,69,38,0.00,0.0,0
1956-11-16,M,44,0.00,0.0,0
1956-11-17,64,35,0.00,0.0,0
1956-11-18,41,29,0.67,6.5,6
1956-11-19,44,22,0.00,0.0,5
1956-11-20,44,23,0.00,0.0,2
1956-11-21,61,35,0.00,0.0,1
1956-11-22,63,34,0.70,0.0,0
1956-11-23,37,25,0.00,0.0,0
1956-11-24,33,13,0.00,0.0,0
1956-11-25,40,14,0.00,0.0,0
1956-11-26,37,28,0.90,2.7,2
1956-11-27,44,31,0.00,0.0,1
1956-11-28,40,26,0.00,0.0,1
1956-11-29,41,23,0.00,0.0,1
1956-11-30,40,18,0.00,0.0,1
1956-12-01,38,12,0.00,M,M
1956-12-02,34,13,0.00,M,M
1956-12-03,28,18,0.26,M,M
1956-12-04,41,14,0.00,M,M
1956-12-05,32,13,0.00,M,M
1956-12-06,40,22,0.00,M,M
1956-12-07,52,32,0.06,M,M
1956-12-08,49,35,0.00,M,M
1956-12-09,37,24,0.62,M,M
1956-12-10,34,17,T,M,M
1956-12-11,45,18,0.00,M,M
1956-12-12,53,40,0.53,M,M
1956-12-13,46,30,0.24,M,M
1956-12-14,33,20,T,M,M
1956-12-15,29,20,0.96,M,M
1956-12-16,48,25,0.16,M,M
1956-12-17,46,17,0.00,M,M
1956-12-18,42,18,0.00,M,M
1956-12-19,34,9,0.00,M,M
1956-12-20,40,24,0.00,M,M
1956-12-21,43,29,0.11,M,M
1956-12-22,M,18,0.00,M,M
1956-12-23,30,18,0.55,M,M
1956-12-24,39,28,0.28,M,M
1956-12-25,40,31,0.21,M,M
1956-12-26,38,16,0.00,M,M
1956-12-27,35,12,T,M,M
1956-12-28,46,24,0.00,M,M
1956-12-29,36,30,0.11,M,M
1956-12-30,33,M,0.65,M,M
1956-12-31,16,-6,0.16,M,M
1957-01-01,M,-4,0.00,0.0,15
1957-01-02,10,-7,0.00,0.0,15
1957-01-03,22,-1,0.00,0.0,15
1957-01-04,34,10,0.00,0.0,14
1957-01-05,M,15,0.00,0.0,14
1957-01-06,22,-3,0.00,0.0,14
1957-01-07,31,13,0.45,4.5,18
1957-01-08,32,23,0.08,2.0,19
1957-01-09,38,17,0.00,0.0,19
1957-01-10,35,23,0.35,4.0,23
1957-01-11,26,-4,0.00,0.0,23
1957-01-12,32,5,0.00,0.0,23
1957-01-13,30,9,0.00,0.0,23
1957-01-14,16,-15,0.00,0.0,23
1957-01-15,9,-20,0.00,0.0,23
1957-01-16,16,-9,0.18,3.5,27
1957-01-17,31,-3,0.07,2.0,29
1957-01-18,16,-7,0.00,0.0,28
1957-01-19,24,5,0.00,0.0,27
1957-01-20,30,2,0.00,0.0,27
1957-01-21,49,26,0.00,0.0,26
1957-01-22,54,36,0.00,0.0,10
1957-01-23,54,24,T,0.0,0
1957-01-24,25,-0,0.00,0.0,0
1957-01-25,24,8,0.00,0.0,0
1957-01-26,28,14,0.10,1.0,1
1957-01-27,37,11,0.00,0.0,T
1957-01-28,33,10,0.00,0.0,T
1957-01-29,30,17,0.37,5.0,5
1957-01-30,29,11,0.00,0.0,4
1957-01-31,33,7,0.00,0.0,4
1957-02-01,35,18,T,0.0,4
1957-02-02,34,15,T,0.0,4
1957-02-03,35,16,0.00,0.0,4
1957-02-04,45,30,0.06,0.0,1
1957-02-05,42,19,0.00,0.0,1
1957-02-06,42,14,0.00,0.0,1
1957-02-07,43,19,0.00,0.0,T
1957-02-08,47,26,0.00,0.0,0
1957-02-09,34,20,0.27,2.5,3
1957-02-10,47,31,0.23,0.0,T
1957-02-11,34,13,0.00,0.0,T
1957-02-12,31,-0,0.00,0.0,0
1957-02-13,28,9,0.00,0.0,0
1957-02-14,37,9,0.00,0.0,0
1957-02-15,40,19,0.00,0.0,0
1957-02-16,40,16,T,0.0,T
1957-02-17,35,22,0.06,0.5,1
1957-02-18,41,25,0.00,0.0,0
1957-02-19,39,18,0.00,0.0,0
1957-02-20,34,18,0.00,0.0,0
1957-02-21,39,18,0.00,0.0,0
1957-02-22,42,17,0.00,0.0,0
1957-02-23,50,27,0.00,0.0,0
1957-02-24,45,19,0.00,0.0,0
1957-02-25,53,21,0.00,0.0,0
1957-02-26,67,43,0.00,0.0,0
1957-02-27,58,29,0.65,0.0,0
1957-02-28,30,9,0.00,0.0,M
1957-03-01,31,20,0.23,M,M
1957-03-02,42,25,T,0.0,T
1957-03-03,37,20,T,0.0,T
1957-03-04,31,14,0.00,0.0,T
1957-03-05,34,13,0.00,0.0,T
1957-03-06,41,22,T,0.0,T
1957-03-07,48,18,0.00,0.0,0
1957-03-08,40,31,T,M,T
1957-03-09,41,31,0.68,0.0,0
1957-03-10,36,24,0.00,0.0,0
1957-03-11,43,17,0.00,0.0,0
1957-03-12,40,27,0.00,0.0,0
1957-03-13,59,25,0.00,0.0,0
1957-03-14,56,35,0.00,0.0,0
1957-03-15,41,33,0.00,0.0,0
1957-03-16,42,33,0.26,0.0,0
1957-03-17,45,27,0.00,0.0,0
1957-03-18,41,25,0.00,0.0,0
1957-03-19,44,18,0.00,0.0,0
1957-03-20,38,29,T,T,T
1957-03-21,53,29,0.00,0.0,0
