date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2009-11-01,67,47,0.22,0.0,0
2009-11-02,54,26,0.00,0.0,0
2009-11-03,50,24,0.00,0.0,0
2009-11-04,53,26,0.04,0.0,0
2009-11-05,43,29,0.00,0.0,0
2009-11-06,37,29,0.06,0.4,T
2009-11-07,40,25,0.00,0.0,0
2009-11-08,45,31,0.00,0.0,0
2009-11-09,63,25,0.00,0.0,0
2009-11-10,66,27,0.00,0.0,0
2009-11-11,55,35,0.00,0.0,0
2009-11-12,54,20,0.00,0.0,0
2009-11-13,49,18,0.00,0.0,0
2009-11-14,51,19,0.00,0.0,0
2009-11-15,47,36,2.00,0.0,0
2009-11-16,65,44,T,0.0,0
2009-11-17,48,33,0.00,0.0,0
2009-11-18,47,20,0.00,0.0,0
2009-11-19,54,19,0.00,0.0,0
2009-11-20,59,19,0.50,0.0,0
2009-11-21,50,37,0.54,0.0,0
2009-11-22,52,31,0.00,0.0,0
2009-11-23,53,23,0.00,0.0,0
2009-11-24,40,23,0.00,0.0,0
2009-11-25,51,30,0.03,0.0,0
2009-11-26,47,38,0.05,0.0,0
2009-11-27,46,41,0.01,0.0,0
2009-11-28,45,34,1.19,T,0
2009-11-29,42,34,0.00,0.0,0
2009-11-30,44,28,0.08,0.0,0
2009-12-01,41,27,0.00,0.0,0
2009-12-02,39,27,0.00,0.0,0
2009-12-03,47,28,1.05,0.0,0
2009-12-04,58,39,0.11,0.0,0
2009-12-05,48,26,0.00,0.0,0
2009-12-06,36,25,0.10,2.0,2
2009-12-07,33,20,0.00,0.0,2
2009-12-08,34,22,0.03,0.2,2
2009-12-09,34,14,T,T,M
2009-12-10,29,19,M,M,M
2009-12-11,38,21,T,T,9
2009-12-12,22,15,T,T,8
2009-12-13,24,7,0.00,0.0,7
2009-12-14,35,14,0.17,2.4,9
2009-12-15,39,31,0.24,2.0,10
2009-12-16,36,14,0.00,0.0,8
2009-12-17,18,-3,0.00,0.0,8
2009-12-18,7,-4,0.00,0.0,8
2009-12-19,20,-3,0.00,0.0,8
2009-12-20,25,11,0.00,0.0,8
2009-12-21,19,13,0.00,0.0,8
2009-12-22,21,14,0.00,0.0,M
2009-12-23,21,7,T,M,M
2009-12-24,33,7,T,T,8
2009-12-25,40,11,0.00,0.0,7
2009-12-26,28,20,0.00,0.0,7
2009-12-27,36,21,0.50,T,6
2009-12-28,40,23,0.95,0.0,5
2009-12-29,38,11,0.21,3.0,7
2009-12-30,11,-1,0.00,0.0,6
2009-12-31,21,7,0.00,0.0,M
2010-01-01,24,13,0.21,M,M
2010-01-02,29,21,0.17,2.5,11
2010-01-03,24,18,0.25,6.5,16
2010-01-04,35,24,0.04,1.0,16
2010-01-05,28,22,0.00,0.0,15
2010-01-06,29,23,T,T,14
2010-01-07,30,22,0.00,0.0,14
2010-01-08,29,11,0.00,0.0,12
2010-01-09,23,9,0.00,0.0,12
2010-01-10,16,4,0.00,0.0,11
2010-01-11,24,8,0.00,0.0,11
2010-01-12,28,17,0.00,0.0,11
2010-01-13,20,7,0.00,0.0,11
2010-01-14,22,-5,0.00,0.0,11
2010-01-15,34,-5,0.00,0.0,11
2010-01-16,40,17,0.00,0.0,9
2010-01-17,40,31,0.00,0.0,9
2010-01-18,32,20,0.29,5.0,14
2010-01-19,30,24,0.03,0.5,14
2010-01-20,29,24,0.22,3.4,16
2010-01-21,33,26,0.06,0.4,15
2010-01-22,32,-2,T,T,15
2010-01-23,37,-6,0.00,0.0,14
2010-01-24,35,-3,0.00,0.0,14
2010-01-25,40,9,0.20,0.0,12
2010-01-26,50,32,1.61,0.0,5
2010-01-27,39,29,T,T,5
2010-01-28,38,22,0.00,0.0,5
2010-01-29,31,5,0.06,1.0,6
2010-01-30,11,-4,0.00,0.0,5
2010-01-31,14,-6,0.00,0.0,5
2010-02-01,23,12,0.00,0.0,4
2010-02-02,21,6,0.00,0.0,4
2010-02-03,26,7,0.00,0.0,4
2010-02-04,31,11,T,T,4
2010-02-05,24,13,0.00,0.0,4
2010-02-06,26,4,0.00,0.0,4
2010-02-07,23,10,0.00,0.0,4
2010-02-08,21,15,0.00,0.0,4
2010-02-09,25,17,0.00,0.0,3
2010-02-10,35,18,0.00,0.0,3
2010-02-11,35,21,0.00,0.0,3
2010-02-12,31,22,0.00,0.0,3
2010-02-13,34,18,0.00,0.0,2
2010-02-14,32,23,0.00,0.0,2
2010-02-15,31,25,0.00,0.0,2
2010-02-16,35,15,0.00,0.0,2
2010-02-17,38,22,0.00,0.0,1
2010-02-18,38,29,0.00,0.0,1
2010-02-19,41,27,0.00,0.0,1
2010-02-20,34,28,0.00,0.0,1
2010-02-21,41,28,0.00,0.0,1
2010-02-22,32,27,0.00,0.0,1
2010-02-23,41,30,0.00,0.0,1
2010-02-24,36,30,0.05,0.8,1
2010-02-25,33,32,1.34,4.0,5
2010-02-26,36,33,2.37,2.4,7
2010-02-27,40,32,0.38,4.9,11
2010-02-28,38,29,0.54,4.8,14
2010-03-01,39,32,0.08,0.0,9
2010-03-02,39,30,0.00,0.0,8
2010-03-03,47,31,0.00,0.0,7
2010-03-04,37,29,0.00,0.0,6
2010-03-05,40,26,0.00,0.0,6
2010-03-06,44,26,0.00,0.0,6
2010-03-07,48,25,0.00,0.0,5
2010-03-08,52,35,0.00,0.0,5
2010-03-09,48,29,0.00,0.0,4
2010-03-10,39,17,0.00,0.0,4
2010-03-11,42,19,0.00,0.0,3
2010-03-12,51,21,0.00,0.0,2
2010-03-13,51,21,0.00,0.0,2
2010-03-14,47,32,0.13,0.0,2
2010-03-15,40,32,0.87,0.0,1
2010-03-16,54,26,0.02,T,1
2010-03-17,62,25,0.00,0.0,T
2010-03-18,59,26,0.00,0.0,T
2010-03-19,57,31,0.00,0.0,T
2010-03-20,65,29,0.00,0.0,T
2010-03-21,65,28,0.00,0.0,T
2010-03-22,44,29,T,T,T
2010-03-23,45,32,1.24,0.0,T
2010-03-24,39,34,1.80,T,T
2010-03-25,46,28,T,T,T
2010-03-26,59,22,0.00,0.0,T
2010-03-27,32,13,0.00,0.0,T
2010-03-28,39,18,0.00,0.0,T
2010-03-29,42,30,0.42,0.6,T
2010-03-30,48,34,1.18,0.0,T
2010-03-31,46,38,1.06,0.0,T
2010-04-01,50,40,0.16,0.0,0
2010-04-02,69,34,0.00,0.0,0
2010-04-03,75,34,0.00,0.0,0
2010-04-04,81,41,0.00,0.0,0
2010-04-05,72,32,0.00,0.0,0
2010-04-06,69,33,T,0.0,0
2010-04-07,59,40,0.12,0.0,0
2010-04-08,81,43,0.04,0.0,0
2010-04-09,54,42,0.08,0.0,0
2010-04-10,49,35,0.74,0.0,0
2010-04-11,52,37,T,0.0,0
2010-04-12,53,32,0.00,0.0,0
2010-04-13,51,26,0.00,0.0,0
2010-04-14,60,26,0.00,0.0,0
2010-04-15,59,28,0.00,0.0,0
2010-04-16,55,28,T,0.0,0
2010-04-17,41,32,0.72,3.3,3
2010-04-18,39,31,0.13,T,1
2010-04-19,45,30,0.08,0.0,0
2010-04-20,55,40,0.01,0.0,0
2010-04-21,64,32,0.00,0.0,0
2010-04-22,65,36,0.05,0.0,0
2010-04-23,66,43,0.41,0.0,0
2010-04-24,55,32,0.01,0.0,0
2010-04-25,66,36,0.00,0.0,0
2010-04-26,66,35,0.00,0.0,0
2010-04-27,67,37,0.00,0.0,0
2010-04-28,45,34,1.19,0.0,0
2010-04-29,44,31,0.23,0.0,0
2010-04-30,49,37,0.01,0.0,0
2010-05-01,65,33,0.00,0.0,0
2010-05-02,78,53,0.02,0.0,0
2010-05-03,85,58,0.00,0.0,0
2010-05-04,81,51,0.02,0.0,0
2010-05-05,75,46,0.26,0.0,0
2010-05-06,73,48,0.12,0.0,0
2010-05-07,68,45,0.16,0.0,0
2010-05-08,60,43,0.16,0.0,0
2010-05-09,45,38,0.46,0.0,0
2010-05-10,45,34,T,0.0,0
2010-05-11,44,27,0.00,0.0,0
2010-05-12,59,30,0.00,0.0,0
2010-05-13,61,28,0.00,0.0,0
2010-05-14,65,42,0.00,0.0,0
2010-05-15,61,46,0.01,0.0,0
2010-05-16,61,40,0.06,0.0,0
2010-05-17,67,33,0.00,0.0,0
2010-05-18,78,37,0.00,0.0,0
2010-05-19,74,45,0.15,0.0,0
2010-05-20,55,40,0.48,0.0,0
2010-05-21,80,43,0.00,0.0,0
2010-05-22,79,41,0.00,0.0,0
2010-05-23,77,47,0.00,0.0,0
2010-05-24,80,50,0.00,0.0,0
2010-05-25,88,54,0.00,0.0,0
2010-05-26,92,59,0.00,0.0,0
2010-05-27,90,57,0.00,0.0,0
2010-05-28,78,40,0.00,0.0,0
2010-05-29,79,43,0.00,0.0,0
2010-05-30,80,54,T,0.0,0
2010-05-31,73,43,0.00,0.0,0
2010-06-01,78,50,T,0.0,0
2010-06-02,69,50,0.08,0.0,0
2010-06-03,82,51,T,0.0,0
2010-06-04,63,56,0.19,0.0,0
2010-06-05,79,57,0.46,0.0,0
2010-06-06,74,56,0.48,0.0,0
2010-06-07,58,49,0.62,0.0,0
