date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1996-09-01,84,49,0.00,0.0,M
1996-09-02,82,51,T,0.0,0
1996-09-03,77,61,0.24,0.0,0
1996-09-04,85,56,0.00,0.0,0
1996-09-05,84,58,T,0.0,0
1996-09-06,84,60,0.00,0.0,0
1996-09-07,86,58,0.00,0.0,0
1996-09-08,86,54,0.14,0.0,0
1996-09-09,57,54,0.23,0.0,0
1996-09-10,72,56,T,0.0,0
1996-09-11,80,55,T,0.0,0
1996-09-12,77,56,T,0.0,0
1996-09-13,69,56,T,0.0,0
1996-09-14,57,53,0.12,0.0,0
1996-09-15,67,53,0.00,0.0,0
1996-09-16,71,53,0.00,0.0,0
1996-09-17,65,53,0.17,0.0,0
1996-09-18,57,52,0.50,0.0,0
1996-09-19,60,50,0.29,0.0,0
1996-09-20,69,46,0.00,0.0,0
1996-09-21,74,44,0.00,0.0,0
1996-09-22,75,44,0.00,0.0,0
1996-09-23,67,45,0.62,0.0,0
1996-09-24,67,33,0.00,0.0,0
1996-09-25,59,33,0.37,0.0,0
1996-09-26,59,33,0.06,0.0,0
1996-09-27,63,35,0.00,0.0,0
1996-09-28,56,35,T,0.0,0
1996-09-29,68,51,0.68,0.0,0
1996-09-30,66,43,T,0.0,0
1996-10-01,63,36,0.00,0.0,0
1996-10-02,69,38,0.00,0.0,0
1996-10-03,70,38,0.05,0.0,0
1996-10-04,51,25,0.00,0.0,0
1996-10-05,48,22,0.00,0.0,0
1996-10-06,53,22,0.00,0.0,0
1996-10-07,59,24,0.00,0.0,0
1996-10-08,70,29,0.00,0.0,0
1996-10-09,57,35,1.47,0.0,0
1996-10-10,61,38,0.10,0.0,0
1996-10-11,51,37,0.32,0.0,0
1996-10-12,48,23,0.00,0.0,0
1996-10-13,56,23,T,0.0,0
1996-10-14,66,23,0.07,0.0,0
1996-10-15,65,30,0.00,0.0,0
1996-10-16,48,28,0.00,0.0,0
1996-10-17,68,32,0.07,0.0,0
1996-10-18,64,28,0.00,0.0,0
1996-10-19,52,28,0.00,0.0,0
1996-10-20,53,43,0.07,0.0,0
1996-10-21,45,43,5.85,0.0,0
1996-10-22,48,42,1.82,0.0,0
1996-10-23,55,35,T,0.0,0
1996-10-24,55,34,0.12,0.0,0
1996-10-25,62,39,0.00,0.0,0
1996-10-26,61,35,0.00,0.0,0
1996-10-27,63,33,0.00,0.0,0
1996-10-28,65,37,0.00,0.0,0
1996-10-29,58,39,0.11,0.0,0
1996-10-30,49,29,0.00,0.0,0
1996-10-31,48,35,0.25,0.0,0
1996-11-01,53,25,0.00,0.0,0
1996-11-02,47,25,0.00,0.0,0
