date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2014-11-06,51,31,M,M,M
2014-11-07,48,33,M,M,M
2014-11-08,40,28,M,M,M
2014-11-09,36,28,M,M,M
2014-11-10,47,26,M,M,M
2014-11-11,49,28,M,M,M
2014-11-13,53,1,M,M,M
2014-11-14,41,27,0.09,M,M
2014-11-15,33,-23,M,M,M
2014-11-16,31,13,0.00,M,M
2014-11-17,33,16,0.07,M,M
2014-11-18,36,29,0.66,M,M
2014-11-20,29,13,0.00,M,M
2014-11-21,31,15,0.01,M,M
2014-11-24,45,-14,M,M,M
2014-11-25,60,37,0.60,M,M
2014-11-26,55,33,0.00,M,M
2014-11-27,35,25,M,M,M
2014-11-28,34,21,M,M,M
2014-11-30,32,5,0.00,M,M
2014-12-01,36,29,0.01,M,M
2014-12-02,50,15,M,M,M
2014-12-03,33,15,0.66,M,M
2014-12-04,36,29,0.06,M,M
2014-12-05,M,M,0.00,M,M
2014-12-06,31,4,0.41,M,M
2014-12-07,33,24,0.37,M,M
2014-12-08,27,-4,0.00,M,M
2014-12-09,32,0,0.00,M,M
2014-12-10,37,30,1.35,M,M
2014-12-11,39,32,0.38,M,M
2014-12-12,35,25,0.10,M,M
2014-12-13,37,26,0.01,M,M
2014-12-14,34,24,0.00,M,M
2014-12-15,41,16,0.00,M,M
2014-12-16,38,16,0.00,M,M
2014-12-19,34,25,0.05,M,M
2014-12-20,32,6,0.00,M,M
2014-12-21,32,6,0.00,M,M
2014-12-22,30,21,0.00,M,M
2014-12-23,37,26,0.16,M,M
2014-12-24,36,33,M,M,M
2014-12-26,42,36,M,M,M
2014-12-27,42,28,0.00,M,M
2014-12-28,44,31,M,M,M
2014-12-29,42,27,0.06,M,M
2014-12-30,29,10,T,M,M
2014-12-31,18,-12,0.00,M,M
2015-01-01,17,5,0.00,M,M
2015-01-02,24,8,0.02,M,M
2015-01-03,26,4,0.00,M,M
2015-01-04,33,4,0.89,M,M
2015-01-05,37,27,0.05,M,M
2015-01-06,M,M,0.03,M,M
2015-01-08,14,-19,T,M,M
2015-01-09,11,-19,M,M,M
2015-01-11,16,-8,0.00,M,M
2015-01-12,19,-8,0.02,M,M
2015-01-15,21,-11,0.00,M,M
2015-01-16,25,7,0.00,M,M
2015-01-20,36,18,0.02,M,M
2015-01-21,25,0,0.00,M,M
2015-01-22,31,0,0.00,M,M
2015-01-23,35,-23,M,M,M
2015-01-24,28,7,0.00,M,M
2015-01-25,34,14,0.04,M,M
2015-01-26,29,-9,T,M,M
2015-01-30,34,-10,0.26,M,M
2015-02-05,M,M,0.21,M,M
2015-02-13,-5,-5,M,M,M
2015-03-04,32,32,M,M,M
2015-04-01,M,M,0.00,M,M
2015-04-02,M,M,0.00,M,M
2015-04-03,M,M,T,M,M
2015-04-04,62,35,0.06,M,M
2015-04-05,38,20,0.04,M,M
2015-04-06,37,20,0.00,M,M
2015-04-07,34,22,0.29,M,M
2015-04-08,45,18,0.00,M,M
2015-04-09,39,19,0.33,M,M
2015-04-10,34,25,0.29,M,M
2015-04-11,46,32,0.18,M,M
2015-04-12,43,28,0.00,M,M
2015-04-13,59,27,0.00,M,M
2015-04-14,68,28,0.03,M,M
2015-04-15,57,27,0.00,M,M
2015-04-16,55,24,0.00,M,M
2015-04-17,62,26,0.02,M,M
2015-04-18,60,29,0.11,M,M
2015-04-19,59,31,0.06,M,M
2015-04-20,57,31,0.00,M,M
2015-04-21,43,35,1.46,M,M
2015-04-22,54,28,0.01,M,M
2015-04-23,55,32,0.34,M,M
2015-04-24,39,29,0.10,M,M
2015-04-25,33,29,0.00,M,M
2015-04-26,40,30,0.00,M,M
2015-04-27,50,37,0.00,M,M
2015-04-28,49,40,0.00,M,M
2015-04-29,53,37,0.00,M,M
2015-04-30,56,34,0.00,M,M
2015-05-01,56,39,0.00,M,M
2015-05-02,54,31,0.00,M,M
2015-05-03,69,32,0.00,M,M
2015-05-04,72,36,0.00,M,M
2015-05-05,79,41,T,M,M
2015-05-06,67,33,0.00,M,M
2015-05-07,72,36,0.00,M,M
2015-05-08,79,39,0.00,M,M
2015-05-09,72,37,0.00,M,M
2015-05-10,74,40,0.00,M,M
2015-05-11,81,55,0.13,M,M
2015-05-12,64,49,0.07,M,M
