date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1944-09-01,M,M,0.00,M,M
1944-09-02,M,M,0.00,M,M
1944-09-03,M,M,0.22,M,M
1944-09-04,M,M,0.00,M,M
1944-09-05,M,M,0.02,M,M
1944-09-06,M,M,0.37,M,M
1944-09-07,M,M,0.00,M,M
1944-09-08,M,M,0.00,M,M
1944-09-09,M,M,0.00,M,M
1944-09-10,M,M,0.00,M,M
1944-09-11,M,M,0.00,M,M
1944-09-12,M,M,0.00,M,M
1944-09-13,M,M,0.55,M,M
1944-09-14,M,M,1.31,M,M
1944-09-15,M,M,1.39,M,M
1944-09-16,M,M,0.13,M,M
1944-09-17,M,M,0.01,M,M
1944-09-18,M,M,0.00,M,M
1944-09-19,M,M,0.00,M,M
1944-09-20,M,M,0.00,M,M
1944-09-21,M,M,0.00,M,M
1944-09-22,M,M,0.35,M,M
1944-09-23,M,M,0.00,M,M
1944-09-24,M,M,0.00,M,M
1944-09-25,M,M,0.00,M,M
1944-09-26,M,M,0.00,M,M
1944-09-27,M,M,0.04,M,M
1944-09-28,M,M,0.05,M,M
1944-09-29,M,M,1.20,M,M
1944-09-30,M,M,0.00,M,M
1944-10-01,M,M,0.00,M,M
1944-10-02,M,M,0.00,M,M
1944-10-03,M,M,0.00,M,M
1944-10-04,M,M,0.00,M,M
1944-10-05,M,M,0.00,M,M
1944-10-06,M,M,0.00,M,M
1944-10-07,M,M,0.56,M,M
1944-10-08,M,M,0.68,M,M
1944-10-09,M,M,0.15,M,M
1944-10-10,M,M,0.72,M,M
1944-10-11,M,M,0.00,M,M
1944-10-12,M,M,0.00,M,M
1944-10-13,M,M,0.00,M,M
1944-10-14,M,M,0.15,M,M
1944-10-15,M,M,0.57,M,M
1944-10-16,M,M,0.00,M,M
1944-10-17,M,M,0.02,M,M
1944-10-18,M,M,0.00,M,M
1944-10-19,M,M,0.00,M,M
1944-10-20,M,M,0.00,M,M
1944-10-21,M,M,0.13,M,M
1944-10-22,M,M,1.09,M,M
1944-10-23,M,M,0.00,M,M
1944-10-24,M,M,0.00,M,M
1944-10-25,M,M,0.00,M,M
1944-10-26,M,M,T,M,M
1944-10-27,M,M,0.00,M,M
1944-10-28,M,M,0.00,M,M
1944-10-29,M,M,0.00,M,M
1944-10-30,M,M,0.00,M,M
1944-10-31,M,M,0.00,M,M
1944-11-01,M,M,0.00,0.0,M
1944-11-02,M,M,0.00,0.0,M
1944-11-03,M,M,0.00,0.0,M
1944-11-04,M,M,0.00,0.0,M
1944-11-05,M,M,0.21,0.0,M
1944-11-06,M,M,0.20,1.5,M
1944-11-07,M,M,0.00,0.0,M
1944-11-08,M,M,0.00,0.0,M
1944-11-09,M,M,0.00,0.0,M
1944-11-10,M,M,0.40,0.0,M
1944-11-11,M,M,T,0.0,M
1944-11-12,M,M,0.00,0.0,M
1944-11-13,M,M,0.00,0.0,M
1944-11-14,M,M,0.00,0.0,M
1944-11-15,M,M,0.01,0.0,M
1944-11-16,M,M,0.00,0.0,M
1944-11-17,M,M,0.00,0.0,M
1944-11-18,M,M,0.00,0.0,M
1944-11-19,M,M,0.00,0.0,M
1944-11-20,M,M,0.00,0.0,M
1944-11-21,M,M,0.00,0.0,M
1944-11-22,M,M,T,0.0,M
1944-11-23,M,M,0.17,1.5,M
1944-11-24,M,M,0.00,0.0,M
1944-11-25,M,M,0.12,2.0,M
1944-11-26,M,M,0.00,0.0,M
1944-11-27,M,M,0.00,0.0,M
1944-11-28,M,M,0.33,0.0,M
1944-11-29,M,M,0.00,0.0,M
1944-11-30,M,M,1.25,4.0,M
1944-12-01,M,M,0.00,T,M
1944-12-02,M,M,0.00,0.0,M
1944-12-03,M,M,0.00,0.0,M
