date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-01-03,M,M,0.14,M,M
2000-01-04,52,27,0.16,0.2,T
2000-01-05,37,23,0.38,0.0,T
2000-01-06,29,9,0.00,0.0,T
2000-01-07,30,13,0.00,0.0,T
2000-01-11,45,27,1.02,0.0,0
2000-01-12,48,31,0.00,0.0,0
2000-01-13,51,6,0.00,0.0,M
2000-01-20,24,-9,0.00,0.0,5
2000-01-21,19,-3,0.03,0.3,5
2000-01-24,M,M,T,T,5
2000-01-25,31,10,0.00,0.0,5
2000-01-26,32,12,1.28,7.5,12
2000-01-28,20,3,0.00,0.0,11
2000-01-31,M,M,0.26,3.0,9
2000-02-02,38,11,0.00,0.0,10
2000-02-03,19,1,0.00,0.0,10
2000-02-04,29,-3,0.00,0.0,10
2000-02-07,M,M,0.00,0.0,16
2000-02-08,38,3,0.00,0.0,10
2000-02-09,26,5,0.00,0.0,10
2000-02-10,37,19,0.00,0.0,10
2000-02-11,30,11,0.34,3.0,13
2000-02-16,36,11,T,T,16
2000-02-17,32,10,0.05,0.5,16
2000-02-18,20,-10,0.00,M,16
2000-02-24,48,22,0.00,0.0,20
2000-02-25,58,33,0.00,0.0,15
2000-02-28,47,31,0.05,0.0,10
2000-03-01,43,30,0.00,0.0,6
2000-03-03,38,32,0.13,0.0,5
2000-03-08,56,26,0.00,0.0,0
2000-03-09,52,32,0.00,0.0,0
2000-03-10,57,30,0.11,0.0,T
2000-03-14,35,9,0.00,0.0,3
2000-03-15,45,22,0.00,0.0,2
2000-03-16,55,35,0.00,0.0,0
2000-03-17,63,23,0.76,5.0,5
2000-03-20,43,9,0.00,0.0,3
2000-03-22,M,M,0.00,0.0,2
2000-03-23,58,25,0.00,0.0,0
2000-03-24,66,29,0.00,0.0,0
2000-03-27,63,25,0.00,0.0,0
2000-03-28,59,34,1.00,0.0,0
2000-03-29,53,33,1.97,0.0,0
2000-03-31,50,31,0.00,0.0,0
2000-04-03,M,M,0.23,0.0,0
2000-04-04,48,41,1.02,0.0,0
2000-04-06,49,30,0.00,M,M
2000-04-07,46,32,0.01,0.0,0
2000-04-11,48,26,0.00,0.0,0
2000-04-12,49,32,0.15,0.0,0
2000-04-13,45,29,T,M,M
2000-04-14,46,24,0.00,0.0,0
2000-04-19,55,36,0.10,M,M
2000-04-20,45,36,0.05,M,M
2000-04-21,60,42,T,M,M
2000-04-25,48,30,0.02,M,M
2000-04-27,51,34,0.02,M,M
2000-04-28,48,36,0.00,M,M
2000-05-03,62,32,0.00,M,M
2000-05-04,65,37,0.00,M,M
2000-05-05,65,49,T,M,M
2000-05-09,78,50,0.62,M,M
2000-05-10,54,41,0.90,M,M
2000-05-11,44,40,0.51,M,M
2000-05-12,55,39,0.11,M,M
2000-05-15,73,42,M,M,M
2000-05-16,64,52,0.00,M,M
2000-05-22,M,M,0.02,M,M
2000-05-24,M,M,0.02,M,M
2000-05-25,51,46,0.80,M,M
2000-05-26,65,47,0.33,M,M
2000-05-31,71,47,0.00,M,M
2000-06-01,69,52,0.00,M,M
2000-06-02,86,51,0.00,M,M
2000-06-06,68,44,0.00,M,M
2000-06-07,63,45,0.83,M,M
2000-06-08,67,43,T,M,M
2000-06-09,74,55,T,M,M
2000-06-13,55,43,T,M,M
