date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1946-08-01,86,77,T,0.0,0
1946-08-02,80,78,0.00,0.0,0
1946-08-03,90,80,0.00,0.0,0
1946-08-04,91,81,0.00,0.0,0
1946-08-05,91,80,0.00,0.0,0
1946-08-06,92,80,0.00,0.0,0
1946-08-07,92,81,0.00,0.0,0
1946-08-08,91,79,0.00,0.0,0
1946-08-09,92,80,0.00,0.0,0
1946-08-10,92,77,0.00,0.0,0
1946-08-11,95,78,0.00,0.0,0
1946-08-12,90,80,0.05,0.0,0
1946-08-13,92,81,0.00,0.0,0
1946-08-14,92,82,T,0.0,0
1946-08-15,90,83,0.31,0.0,0
1946-08-16,92,82,0.31,0.0,0
1946-08-17,92,81,0.01,0.0,0
1946-08-18,93,82,T,0.0,0
1946-08-19,96,80,T,0.0,0
1946-08-20,93,80,0.00,0.0,0
1946-08-21,91,78,0.00,0.0,0
1946-08-22,92,75,0.00,0.0,0
1946-08-23,88,76,0.17,0.0,0
1946-08-24,90,79,T,0.0,0
1946-08-25,91,79,0.00,0.0,0
1946-08-26,93,78,0.01,0.0,0
1946-08-27,84,78,0.53,0.0,0
1946-08-28,91,81,T,0.0,0
1946-08-29,90,76,0.32,0.0,0
1946-08-30,81,70,0.76,0.0,0
1946-08-31,84,72,0.07,0.0,0
1946-09-01,86,75,0.28,0.0,0
1946-09-02,88,78,0.00,0.0,0
1946-09-03,88,77,0.00,0.0,0
1946-09-04,90,77,T,0.0,0
1946-09-05,91,76,0.00,0.0,0
1946-09-06,91,81,0.00,0.0,0
1946-09-07,89,80,T,0.0,0
1946-09-08,89,72,0.20,0.0,0
1946-09-09,89,80,0.00,0.0,0
1946-09-10,91,77,T,0.0,0
1946-09-11,95,78,0.00,0.0,0
1946-09-12,92,78,0.00,0.0,0
1946-09-13,88,75,0.00,0.0,0
1946-09-14,89,75,T,0.0,0
1946-09-15,83,74,T,0.0,0
1946-09-16,86,75,0.00,0.0,0
1946-09-17,86,75,0.07,0.0,0
1946-09-18,85,74,T,0.0,0
1946-09-19,88,74,0.03,0.0,M
1946-09-20,87,74,0.03,0.0,0
1946-09-21,91,77,0.02,0.0,0
1946-09-22,83,72,4.22,0.0,0
1946-09-23,88,76,0.01,0.0,0
1946-09-24,83,74,0.01,0.0,0
1946-09-25,83,75,0.12,0.0,0
1946-09-26,81,71,0.23,0.0,0
1946-09-27,85,72,2.36,0.0,0
1946-09-28,78,72,0.81,0.0,0
1946-09-29,82,73,0.82,0.0,0
1946-09-30,81,68,0.00,0.0,0
1946-10-01,75,60,0.00,0.0,0
1946-10-02,80,62,0.00,0.0,0
1946-10-03,82,72,0.63,0.0,0
1946-10-04,83,75,0.17,0.0,0
1946-10-05,83,76,T,0.0,0
1946-10-06,81,75,0.00,0.0,0
1946-10-07,81,70,0.00,0.0,0
1946-10-08,82,67,0.00,0.0,0
1946-10-09,82,71,T,0.0,0
1946-10-10,85,69,0.28,0.0,0
1946-10-11,79,61,1.30,0.0,0
1946-10-12,70,54,0.00,0.0,0
1946-10-13,73,58,0.00,0.0,M
1946-10-14,72,65,0.10,0.0,M
1946-10-15,76,71,0.01,0.0,0
1946-10-16,77,72,T,0.0,M
1946-10-17,81,72,0.07,0.0,M
1946-10-18,83,72,0.00,0.0,M
1946-10-19,84,72,0.00,0.0,M
1946-10-20,85,73,0.00,0.0,M
1946-10-21,78,70,0.00,0.0,0
1946-10-22,81,70,0.00,0.0,0
1946-10-23,83,74,T,0.0,0
1946-10-24,85,75,T,0.0,0
1946-10-25,79,64,0.73,0.0,0
1946-10-26,77,64,0.00,0.0,0
1946-10-27,81,72,0.00,0.0,0
1946-10-28,82,73,0.13,0.0,0
1946-10-29,82,75,0.13,0.0,0
1946-10-30,83,74,0.00,0.0,0
1946-10-31,83,74,0.00,0.0,0
1946-11-01,84,74,0.00,0.0,0
1946-11-02,84,75,0.00,0.0,0
1946-11-03,84,75,0.36,0.0,0
1946-11-04,77,68,5.20,0.0,M
1946-11-05,81,76,0.02,0.0,M
1946-11-06,77,62,1.08,0.0,M
1946-11-07,78,55,0.00,0.0,0
1946-11-08,77,60,T,0.0,0
1946-11-09,83,75,0.00,0.0,0
1946-11-10,82,59,1.06,0.0,0
1946-11-11,69,53,0.00,0.0,0
1946-11-12,67,52,0.00,0.0,0
1946-11-13,68,52,0.00,0.0,0
1946-11-14,68,56,0.00,0.0,0
1946-11-15,76,66,0.00,0.0,0
1946-11-16,73,57,1.70,0.0,0
1946-11-17,57,51,0.00,0.0,0
1946-11-18,58,50,0.01,0.0,0
1946-11-19,62,54,0.14,0.0,M
1946-11-20,68,56,T,0.0,M
1946-11-21,74,57,0.00,0.0,M
1946-11-22,71,60,0.00,0.0,M
1946-11-23,69,59,0.00,0.0,0
1946-11-24,75,64,0.00,0.0,0
1946-11-25,77,54,0.02,0.0,0
1946-11-26,54,46,0.02,0.0,M
1946-11-27,53,49,1.69,0.0,M
1946-11-28,57,49,0.27,0.0,M
1946-11-29,68,57,0.02,0.0,M
1946-11-30,77,62,0.00,0.0,0
1946-12-01,75,58,0.00,0.0,0
1946-12-02,60,45,0.00,0.0,0
1946-12-03,65,46,0.00,0.0,0
1946-12-04,65,48,0.00,0.0,M
1946-12-05,72,51,0.00,0.0,M
1946-12-06,71,58,0.00,0.0,0
1946-12-07,74,62,0.00,0.0,0
1946-12-08,75,64,T,0.0,0
1946-12-09,72,66,0.00,0.0,0
1946-12-10,70,65,0.82,0.0,0
1946-12-11,72,59,1.45,0.0,0
1946-12-12,70,59,0.03,0.0,M
1946-12-13,69,54,0.00,0.0,M
1946-12-14,71,59,0.00,0.0,M
1946-12-15,71,57,0.00,0.0,30
1946-12-16,74,62,0.00,0.0,30
1946-12-17,78,51,0.00,0.0,0
1946-12-18,55,46,0.00,0.0,0
1946-12-19,49,41,0.09,0.0,M
1946-12-20,52,42,0.03,M,M
1946-12-21,65,41,0.00,0.0,0
1946-12-22,64,42,0.00,0.0,0
1946-12-23,72,57,0.00,0.0,M
1946-12-24,75,55,0.00,0.0,M
1946-12-25,66,53,T,0.0,M
1946-12-26,74,59,T,0.0,70
1946-12-27,73,63,0.00,0.0,M
1946-12-28,73,66,0.04,M,M
1946-12-29,70,37,0.02,0.0,10
1946-12-30,40,31,0.18,0.0,0
1946-12-31,38,35,0.40,0.0,0
1947-01-01,38,35,0.57,0.0,0
1947-01-02,50,35,0.04,0.0,1
1947-01-03,39,31,0.00,0.0,0
1947-01-04,34,27,0.00,0.0,0
1947-01-05,45,30,0.01,0.0,0
1947-01-06,53,39,T,0.0,0
1947-01-07,53,45,0.17,0.0,M
