date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1990-12-01,60,44,0.00,0.0,0
1990-12-02,73,55,0.00,0.0,0
1990-12-03,76,59,0.03,0.0,0
1990-12-04,61,36,0.00,0.0,0
1990-12-05,56,28,0.00,0.0,0
1990-12-06,58,30,0.00,0.0,0
1990-12-07,64,30,0.40,0.0,0
1990-12-08,58,29,0.00,0.0,0
1990-12-09,60,29,0.00,0.0,0
1990-12-10,64,29,0.00,0.0,0
1990-12-11,69,36,0.00,0.0,0
1990-12-12,72,58,0.00,0.0,0
1990-12-13,78,54,0.00,0.0,0
1990-12-14,78,58,0.00,0.0,0
1990-12-15,78,63,0.00,0.0,0
1990-12-16,77,63,0.00,0.0,0
1990-12-17,76,69,0.05,0.0,0
1990-12-18,76,53,0.14,0.0,0
1990-12-19,68,40,0.00,0.0,0
1990-12-20,77,64,0.00,0.0,0
1990-12-21,77,64,0.00,0.0,0
1990-12-22,78,31,0.02,0.0,0
1990-12-23,31,24,T,0.0,0
1990-12-24,31,20,0.03,0.0,0
1990-12-25,42,20,0.00,0.0,0
1990-12-26,44,34,0.00,0.0,0
1990-12-27,62,43,1.98,0.0,0
1990-12-28,48,44,0.00,0.0,0
1990-12-29,70,46,0.00,0.0,0
1990-12-30,76,67,0.00,0.0,0
1990-12-31,75,27,0.00,0.0,0
1991-01-01,42,27,0.00,0.0,0
1991-01-02,49,37,0.00,0.0,0
1991-01-03,59,47,1.30,0.0,0
1991-01-04,52,46,0.00,0.0,0
1991-01-05,51,45,0.00,0.0,0
1991-01-06,66,51,0.00,0.0,0
1991-01-07,71,45,1.43,0.0,0
1991-01-08,52,44,0.07,0.0,0
1991-01-09,51,45,0.16,0.0,0
1991-01-10,59,45,1.26,0.0,0
1991-01-11,62,45,0.88,0.0,0
1991-01-12,58,35,0.00,0.0,0
1991-01-13,58,30,0.00,0.0,0
1991-01-14,61,30,0.00,0.0,0
1991-01-15,65,49,2.89,0.0,0
1991-01-16,61,37,0.00,0.0,0
1991-01-17,63,38,0.00,0.0,0
1991-01-18,62,39,0.29,0.0,0
1991-01-19,54,47,1.80,0.0,0
1991-01-20,57,39,0.00,0.0,0
1991-01-21,67,39,0.00,0.0,0
1991-01-22,46,33,0.00,0.0,0
1991-01-23,47,31,0.00,0.0,0
1991-01-24,52,47,0.45,0.0,0
1991-01-25,54,41,0.00,0.0,0
1991-01-26,59,38,0.00,0.0,0
1991-01-27,60,44,0.00,0.0,0
1991-01-28,63,52,0.00,0.0,0
1991-01-29,58,55,0.00,0.0,0
1991-01-30,70,45,0.32,0.0,0
1991-01-31,54,36,0.00,0.0,0
1991-02-01,59,32,0.00,0.0,0
1991-02-02,61,34,0.00,0.0,0
1991-02-03,65,34,0.00,0.0,0
1991-02-04,68,48,0.00,0.0,0
1991-02-05,62,56,2.90,0.0,0
1991-02-06,65,51,0.00,0.0,0
1991-02-07,72,45,0.00,0.0,0
1991-02-08,69,38,0.00,0.0,0
1991-02-09,70,38,0.00,0.0,0
1991-02-10,70,39,0.00,0.0,0
1991-02-11,74,42,0.00,0.0,0
1991-02-12,74,47,0.00,0.0,0
1991-02-13,73,60,0.00,0.0,0
1991-02-14,78,45,0.00,0.0,0
1991-02-15,76,40,0.00,0.0,0
1991-02-16,60,38,0.00,0.0,0
1991-02-17,66,44,0.01,0.0,0
1991-02-18,72,66,0.04,0.0,0
1991-02-19,74,60,0.11,0.0,0
1991-02-20,67,51,0.04,0.0,0
1991-02-21,58,49,1.71,0.0,0
1991-02-22,58,48,0.48,0.0,0
1991-02-23,57,39,0.00,0.0,0
1991-02-24,67,40,0.00,0.0,0
1991-02-25,67,45,0.00,0.0,0
1991-02-26,62,41,0.16,0.0,0
1991-02-27,55,41,0.00,0.0,0
1991-02-28,61,44,0.00,0.0,0
1991-03-01,69,57,0.06,0.0,0
1991-03-02,81,61,0.01,0.0,0
1991-03-03,79,48,0.01,0.0,0
1991-03-04,61,39,0.00,0.0,0
1991-03-05,74,39,0.00,0.0,0
1991-03-06,82,59,0.00,0.0,0
1991-03-07,81,64,0.00,0.0,0
1991-03-08,73,55,0.00,0.0,0
1991-03-09,73,46,0.00,0.0,0
1991-03-10,72,38,0.00,0.0,0
1991-03-11,69,39,0.00,0.0,0
1991-03-12,73,59,0.00,0.0,0
1991-03-13,79,49,0.00,0.0,0
1991-03-14,77,44,0.00,0.0,0
1991-03-15,57,47,0.00,0.0,0
1991-03-16,57,50,0.22,0.0,0
1991-03-17,61,50,0.78,0.0,0
1991-03-18,77,46,0.00,0.0,0
1991-03-19,74,45,0.00,0.0,0
1991-03-20,71,45,0.00,0.0,0
1991-03-21,74,60,0.00,0.0,0
1991-03-22,75,60,0.00,0.0,0
1991-03-23,83,57,0.00,0.0,0
1991-03-24,79,54,0.00,0.0,0
1991-03-25,77,54,0.00,0.0,0
1991-03-26,78,67,0.00,0.0,0
1991-03-27,80,70,0.00,0.0,0
1991-03-28,80,60,0.00,0.0,0
1991-03-29,78,58,0.46,0.0,0
1991-03-30,70,50,0.00,0.0,0
1991-03-31,70,41,0.00,0.0,0
1991-04-01,69,40,0.00,0.0,0
1991-04-02,72,42,0.00,0.0,0
1991-04-03,73,56,0.00,0.0,0
1991-04-04,79,61,0.12,0.0,0
1991-04-05,76,64,0.68,0.0,0
1991-04-06,67,63,5.28,0.0,0
1991-04-07,78,65,0.01,0.0,0
1991-04-08,82,68,0.00,0.0,0
1991-04-09,81,68,0.00,0.0,0
1991-04-10,80,67,0.02,0.0,0
1991-04-11,76,67,0.85,0.0,0
1991-04-12,78,72,0.11,0.0,0
