date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1943-09-17,M,M,1.09,M,M
1943-09-18,M,M,0.56,M,M
1943-09-29,M,M,1.05,M,M
1943-09-30,M,M,0.02,M,M
1943-10-01,M,M,0.91,M,M
1943-10-02,M,M,0.04,M,M
1943-10-23,M,M,1.15,M,M
1943-10-24,M,M,0.00,M,M
1943-12-10,M,M,1.45,M,M
1943-12-28,M,M,0.50,M,M
1944-02-28,M,M,1.25,M,M
1944-03-15,M,M,1.40,M,M
1944-03-16,M,M,0.00,M,M
1944-03-18,M,M,3.79,M,M
1944-03-19,M,M,0.07,M,M
1944-03-20,M,M,0.00,M,M
1944-03-21,M,M,1.45,M,M
1944-03-22,M,M,0.03,M,M
1944-04-09,M,M,1.55,M,M
1944-04-10,M,M,2.33,M,M
1944-04-11,M,M,0.00,M,M
1944-04-22,M,M,3.06,M,M
1944-04-29,M,M,0.75,M,M
1944-04-30,M,M,0.00,M,M
1944-05-27,M,M,1.22,M,M
1944-05-28,M,M,0.01,M,M
1944-06-08,M,M,1.40,M,M
1944-06-13,M,M,0.50,M,M
1944-07-09,M,M,1.08,M,M
1944-08-25,M,M,1.69,M,M
1944-08-26,M,M,0.29,M,M
1944-08-30,M,M,0.50,M,M
1944-09-28,M,M,3.80,M,M
1944-10-02,M,M,2.81,M,M
1944-10-03,M,M,0.21,M,M
1944-10-04,M,M,0.58,M,M
1944-12-04,M,M,2.25,M,M
1944-12-05,M,M,1.00,M,M
1945-04-04,M,M,0.83,M,M
1945-04-11,M,M,1.37,M,M
1945-04-14,M,M,1.21,M,M
1945-04-15,M,M,6.53,M,M
1945-04-16,M,M,3.26,M,M
1945-04-27,M,M,0.51,M,M
1945-04-28,M,M,1.08,M,M
1945-05-30,M,M,0.91,M,M
1945-06-16,M,M,3.70,M,M
1945-06-17,M,M,0.80,M,M
1945-06-30,M,M,1.00,M,M
1945-07-01,M,M,1.15,M,M
1945-08-06,M,M,0.95,M,M
1945-08-10,M,M,1.55,M,M
1945-08-11,M,M,0.57,M,M
1945-09-12,M,M,1.35,M,M
1945-09-13,M,M,1.47,M,M
1945-09-14,M,M,0.07,M,M
1945-09-22,M,M,1.00,M,M
1945-09-24,M,M,8.83,M,M
1945-09-25,M,M,1.76,M,M
1945-09-26,M,M,0.05,M,M
1945-09-27,M,M,0.47,M,M
1945-09-28,M,M,3.10,M,M
1945-09-29,M,M,0.32,M,M
1945-09-30,M,M,1.99,M,M
1946-01-04,M,M,0.58,M,M
1946-01-05,M,M,0.75,M,M
1946-01-09,M,M,0.93,M,M
1946-03-05,M,M,0.71,M,M
1946-03-06,M,M,0.52,M,M
1946-04-15,M,M,1.00,M,M
1946-05-19,M,M,0.73,M,M
1946-06-19,M,M,1.65,M,M
1946-06-20,M,M,0.05,M,M
1946-06-28,M,M,1.30,M,M
1946-06-29,M,M,1.71,M,M
1946-07-01,M,M,0.00,M,M
1946-07-02,M,M,0.00,M,M
1946-07-03,M,M,0.00,M,M
1946-07-04,M,M,0.00,M,M
1946-07-05,M,M,0.00,M,M
1946-07-06,M,M,0.00,M,M
1946-07-07,M,M,0.00,M,M
1946-07-08,M,M,0.00,M,M
1946-07-09,M,M,0.00,M,M
1946-07-10,M,M,0.00,M,M
1946-07-11,M,M,0.00,M,M
1946-07-12,M,M,0.00,M,M
1946-07-13,M,M,0.00,M,M
1946-07-14,M,M,0.00,M,M
1946-07-15,M,M,0.00,M,M
1946-07-16,M,M,0.00,M,M
1946-07-17,M,M,0.00,M,M
1946-07-18,M,M,0.00,M,M
1946-07-19,M,M,0.00,M,M
1946-07-20,M,M,0.00,M,M
1946-07-21,M,M,0.00,M,M
1946-07-22,M,M,0.00,M,M
1946-07-23,M,M,0.00,M,M
1946-07-24,M,M,0.00,M,M
1946-07-25,M,M,0.00,M,M
1946-07-26,M,M,0.00,M,M
1946-07-27,M,M,0.00,M,M
1946-07-28,M,M,0.00,M,M
1946-07-29,M,M,0.00,M,M
1946-07-30,M,M,0.00,M,M
1946-07-31,M,M,0.00,M,M
1946-08-25,M,M,5.03,M,M
1946-08-26,M,M,3.04,M,M
1946-09-10,M,M,2.01,M,M
1946-09-19,M,M,0.60,M,M
1946-10-06,M,M,0.50,M,M
1946-10-10,M,M,1.25,M,M
1946-10-31,M,M,2.50,M,M
1946-11-01,M,M,0.50,M,M
1946-11-05,M,M,0.50,M,M
1946-11-06,M,M,1.00,M,M
1946-12-09,M,M,1.50,M,M
1947-03-12,M,M,3.20,M,M
1947-03-13,M,M,2.40,M,M
1947-04-04,M,M,1.55,M,M
1947-04-05,M,M,2.10,M,M
1947-04-09,M,M,0.70,M,M
1947-04-10,M,M,1.59,M,M
1947-04-11,M,M,0.00,M,M
1947-04-12,M,M,2.77,M,M
1947-04-13,M,M,3.87,M,M
1947-04-14,M,M,0.52,M,M
1947-04-15,M,M,1.20,M,M
1947-04-16,M,M,0.60,M,M
1947-04-24,M,M,1.79,M,M
1947-04-25,M,M,1.09,M,M
1947-04-28,M,M,1.16,M,M
1947-04-29,M,M,0.58,M,M
1947-05-12,M,M,0.80,M,M
1947-05-15,M,M,1.01,M,M
1947-05-16,M,M,1.01,M,M
1947-05-17,M,M,T,M,M
1947-05-19,M,M,0.52,M,M
1947-05-20,M,M,1.24,M,M
1947-05-23,M,M,0.50,M,M
1947-05-24,M,M,0.69,M,M
1947-05-25,M,M,0.19,M,M
1947-06-01,M,M,0.70,M,M
1947-06-11,M,M,1.02,M,M
1947-06-12,M,M,1.02,M,M
1947-06-19,M,M,1.04,M,M
1947-06-20,M,M,0.28,M,M
1947-06-21,M,M,0.20,M,M
