date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1973-04-01,M,M,0.00,M,M
1973-04-02,M,M,0.00,M,M
1973-04-03,M,M,0.00,M,M
1973-04-04,M,M,0.00,M,M
1973-04-05,M,M,0.00,M,M
1973-04-06,M,M,0.00,M,M
1973-04-07,M,M,0.60,2.0,T
1973-04-08,M,M,0.08,M,M
1973-04-09,M,M,0.00,M,M
1973-04-10,M,M,0.00,M,M
1973-04-11,M,M,0.00,M,M
1973-04-12,M,M,0.00,M,M
1973-04-13,M,M,0.00,M,M
1973-04-14,M,M,0.00,M,M
1973-04-15,M,M,0.88,M,M
1973-04-16,M,M,0.00,M,M
1973-04-17,M,M,0.00,M,M
1973-04-18,M,M,0.85,M,M
1973-04-19,M,M,0.00,M,M
1973-04-20,M,M,0.07,M,M
1973-04-21,M,M,0.00,M,M
1973-04-22,M,M,0.00,M,M
1973-04-23,M,M,0.07,M,M
1973-04-24,M,M,1.16,M,M
1973-04-25,M,M,0.00,M,M
1973-04-26,M,M,0.00,M,M
1973-04-27,M,M,0.00,M,M
1973-04-28,M,M,0.00,M,M
1973-04-29,M,M,0.00,M,M
1973-04-30,M,M,0.63,M,M
1973-05-01,M,M,0.00,M,M
1973-05-02,M,M,0.00,M,M
1973-05-03,M,M,0.00,M,M
1973-05-04,M,M,0.00,M,M
1973-05-05,M,M,0.03,M,M
1973-05-06,M,M,0.00,M,M
1973-05-07,M,M,0.00,M,M
1973-05-08,M,M,0.00,M,M
1973-05-09,M,M,0.00,M,M
1973-05-10,M,M,0.00,M,M
1973-05-11,M,M,0.00,M,M
1973-05-12,M,M,0.00,M,M
1973-05-13,M,M,0.00,M,M
1973-05-14,M,M,0.00,M,M
1973-05-15,M,M,0.00,M,M
1973-05-16,M,M,0.00,M,M
1973-05-17,M,M,0.00,M,M
1973-05-18,M,M,0.00,M,M
1973-05-19,M,M,0.00,M,M
1973-05-20,M,M,0.00,M,M
1973-05-21,M,M,0.00,M,M
1973-05-22,M,M,0.00,M,M
1973-05-23,M,M,0.55,M,M
1973-05-24,M,M,0.05,M,M
1973-05-25,M,M,0.00,M,M
1973-05-26,M,M,0.00,M,M
1973-05-27,M,M,0.09,M,M
1973-05-28,M,M,0.00,M,M
1973-05-29,M,M,0.00,M,M
1973-05-30,M,M,0.12,M,M
1973-05-31,M,M,0.00,M,M
1973-07-01,M,M,0.00,M,M
1973-07-02,M,M,0.00,M,M
1973-07-03,M,M,0.00,M,M
1973-07-04,M,M,0.15,M,M
1973-07-05,M,M,0.39,M,M
1973-07-06,M,M,0.00,M,M
1973-07-07,M,M,0.00,M,M
1973-07-08,M,M,0.06,M,M
1973-07-09,M,M,0.00,M,M
1973-07-10,M,M,0.00,M,M
