date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1975-12-01,53,27,0.00,0.0,M
1975-12-02,65,34,0.00,0.0,M
1975-12-03,68,38,0.00,0.0,M
1975-12-04,64,36,0.00,0.0,M
1975-12-05,71,32,0.00,0.0,M
1975-12-06,42,26,0.00,0.0,M
1975-12-07,51,26,0.00,0.0,M
1975-12-08,54,33,0.00,0.0,M
1975-12-09,55,29,0.00,0.0,M
1975-12-10,67,32,0.00,0.0,M
1975-12-11,48,34,0.00,0.0,M
1975-12-12,37,32,T,T,M
1975-12-13,62,36,T,T,M
1975-12-14,56,17,0.47,0.0,M
1975-12-15,43,30,T,0.0,M
1975-12-16,42,23,0.00,0.0,M
1975-12-17,41,6,0.00,0.0,M
1975-12-18,43,5,0.00,0.0,M
1975-12-19,61,26,0.00,0.0,M
1975-12-20,44,28,0.00,0.0,M
1975-12-21,42,20,0.00,0.0,M
1975-12-22,40,30,0.00,0.3,M
1975-12-23,31,23,0.00,0.0,M
1975-12-24,36,26,0.00,0.0,M
1975-12-25,33,23,0.00,0.0,M
1975-12-26,41,26,0.00,0.0,M
1975-12-27,44,28,0.00,0.0,M
1975-12-28,41,32,0.00,0.0,M
1975-12-29,37,28,0.00,0.0,M
1975-12-30,50,24,0.00,0.0,M
1975-12-31,48,26,0.00,0.0,M
1976-01-01,44,21,0.00,0.0,M
1976-01-02,31,17,0.00,0.0,M
1976-01-03,20,8,0.00,0.0,M
1976-01-04,29,4,0.00,0.0,M
1976-01-05,45,18,0.00,0.0,M
1976-01-06,20,10,0.02,0.0,M
1976-01-07,12,-5,0.00,0.0,M
1976-01-08,17,-6,0.00,0.0,M
1976-01-09,36,7,0.00,0.0,M
1976-01-10,43,29,0.00,0.0,M
1976-01-11,54,20,0.00,0.0,M
1976-01-12,54,27,0.00,0.0,M
1976-01-13,45,27,0.00,0.0,M
1976-01-14,48,18,0.00,0.0,M
1976-01-15,55,31,0.00,0.0,M
1976-01-16,45,22,0.00,0.0,M
1976-01-17,55,28,0.00,0.0,M
1976-01-18,56,23,0.00,0.0,M
1976-01-19,47,24,0.00,0.0,M
1976-01-20,56,19,0.00,0.0,M
1976-01-21,53,32,0.00,0.0,M
1976-01-22,67,29,0.00,0.0,M
1976-01-23,66,30,0.00,0.0,M
1976-01-24,52,32,0.00,0.0,M
1976-01-25,37,20,0.00,0.1,M
1976-01-26,28,13,0.00,0.0,M
1976-01-27,51,14,0.00,0.0,M
1976-01-28,63,32,0.00,0.0,M
1976-01-29,67,26,0.00,0.0,M
1976-01-30,54,31,0.00,0.0,M
1976-01-31,58,30,0.00,0.0,M
1976-02-01,M,M,0.00,0.0,M
1976-02-02,M,M,0.00,0.0,M
