date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1948-01-01,25,12,0.05,0.5,2
1948-01-02,42,9,0.00,0.0,1
1948-01-03,56,27,0.00,0.0,T
1948-01-04,48,31,0.00,0.0,T
1948-01-05,49,28,0.00,0.0,0
1948-01-06,48,24,0.00,0.0,0
1948-01-07,60,32,0.00,0.0,0
1948-01-08,65,31,0.00,0.0,0
1948-01-09,52,34,0.00,0.0,0
1948-01-10,45,34,T,0.0,0
1948-01-11,52,35,0.00,0.0,0
1948-01-12,42,22,0.00,0.0,0
1948-01-13,41,17,0.00,0.0,0
1948-01-14,34,10,0.00,0.0,0
1948-01-15,52,20,0.00,0.0,0
1948-01-16,24,10,0.00,0.0,0
1948-01-17,31,10,T,T,0
1948-01-18,35,21,0.00,0.0,0
1948-01-19,37,12,0.00,0.0,0
1948-01-20,52,20,0.00,0.0,0
1948-01-21,48,30,0.00,0.0,0
1948-01-22,51,5,T,T,0
1948-01-23,20,-0,0.00,0.0,0
1948-01-24,20,8,0.01,T,T
1948-01-25,33,-0,0.00,0.0,T
1948-01-26,21,5,0.11,4.1,4
1948-01-27,11,2,0.00,0.0,4
1948-01-28,21,-6,0.00,0.0,4
1948-01-29,25,14,0.05,1.2,5
1948-01-30,28,5,0.01,0.2,5
1948-01-31,31,10,0.00,0.0,4
1948-02-01,36,12,0.00,0.0,4
1948-02-02,27,13,0.02,0.4,3
1948-02-03,26,18,0.11,0.2,2
1948-02-04,26,17,T,T,1
1948-02-05,22,17,0.05,0.4,2
1948-02-06,32,19,T,0.0,1
1948-02-07,34,10,T,T,1
1948-02-08,18,1,0.00,0.0,1
1948-02-09,33,-1,0.00,0.0,1
1948-02-10,31,15,T,T,1
1948-02-11,29,6,0.25,2.7,3
1948-02-12,16,7,0.08,0.7,4
1948-02-13,23,8,T,T,4
1948-02-14,39,11,0.00,0.0,2
1948-02-15,51,32,0.00,0.0,T
1948-02-16,64,29,0.00,0.0,0
1948-02-17,68,35,0.00,0.0,0
1948-02-18,68,35,0.00,0.0,0
1948-02-19,55,22,0.00,0.0,0
1948-02-20,31,20,0.11,0.8,0
1948-02-21,32,19,T,T,T
1948-02-22,40,20,0.00,0.0,T
1948-02-23,39,30,T,0.0,0
1948-02-24,40,31,0.30,0.0,0
1948-02-25,45,30,0.07,0.0,0
1948-02-26,54,40,1.30,0.0,0
1948-02-27,60,41,0.70,0.0,0
1948-02-28,53,32,0.00,0.0,0
1948-02-29,46,29,0.02,T,0
1948-03-01,32,30,1.04,T,0
1948-03-02,32,26,0.01,T,T
1948-03-03,29,23,T,T,T
1948-03-04,26,20,0.41,3.8,2
1948-03-05,31,22,0.24,2.4,6
1948-03-06,30,8,T,T,3
1948-03-07,33,7,0.00,0.0,2
1948-03-08,37,14,0.00,0.0,1
1948-03-09,30,11,0.10,0.4,1
1948-03-10,12,-3,0.41,3.7,5
1948-03-11,13,-8,0.00,0.0,5
1948-03-12,37,2,0.00,0.0,3
1948-03-13,49,26,0.00,0.0,T
1948-03-14,49,33,0.00,0.0,T
1948-03-15,51,32,0.00,0.0,T
1948-03-16,47,29,0.00,0.0,0
1948-03-17,53,28,0.00,0.0,0
1948-03-18,58,42,0.34,0.0,0
1948-03-19,67,45,0.14,0.0,0
1948-03-20,65,47,0.00,0.0,0
1948-03-21,60,35,0.00,0.0,0
1948-03-22,54,33,0.00,0.0,0
1948-03-23,74,32,0.00,0.0,0
1948-03-24,73,41,0.00,0.0,0
1948-03-25,75,54,0.03,0.0,0
1948-03-26,61,28,0.01,T,T
1948-03-27,41,25,T,T,0
1948-03-28,61,23,0.00,0.0,0
1948-03-29,69,38,0.00,0.0,0
1948-03-30,71,43,0.00,0.0,0
1948-03-31,50,32,0.03,T,0
1948-04-01,65,29,0.00,0.0,0
1948-04-02,72,35,0.00,0.0,0
1948-04-03,69,48,0.00,0.0,0
1948-04-04,82,51,0.00,0.0,0
1948-04-05,73,48,0.00,0.0,0
1948-04-06,83,45,0.00,0.0,0
1948-04-07,76,47,0.00,0.0,0
1948-04-08,61,41,0.00,0.0,0
1948-04-09,70,37,0.00,0.0,0
1948-04-10,85,51,0.00,0.0,0
1948-04-11,69,46,0.00,0.0,0
1948-04-12,56,42,0.00,0.0,0
1948-04-13,63,37,0.00,0.0,0
1948-04-14,76,35,0.00,0.0,0
1948-04-15,81,53,0.00,0.0,0
1948-04-16,80,46,0.00,0.0,0
1948-04-17,86,47,0.00,0.0,0
1948-04-18,86,62,0.00,0.0,0
1948-04-19,84,67,0.00,0.0,0
1948-04-20,72,51,T,0.0,0
1948-04-21,78,47,0.04,0.0,0
1948-04-22,77,59,0.39,0.0,0
1948-04-23,75,60,0.06,0.0,0
1948-04-24,74,55,0.64,0.0,0
1948-04-25,68,52,0.00,0.0,0
1948-04-26,73,51,0.00,0.0,0
1948-04-27,74,46,0.00,0.0,0
1948-04-28,73,50,0.00,0.0,0
1948-04-29,73,46,0.00,0.0,0
1948-04-30,86,56,0.00,0.0,0
1948-05-01,76,52,0.76,0.0,0
1948-05-02,71,50,0.00,0.0,0
1948-05-03,65,46,0.19,0.0,0
1948-05-04,71,42,T,0.0,0
1948-05-05,72,49,0.03,0.0,0
1948-05-06,66,46,0.00,0.0,0
1948-05-07,74,40,0.00,0.0,0
1948-05-08,82,57,0.00,0.0,0
1948-05-09,78,55,0.00,0.0,0
1948-05-10,61,48,0.00,0.0,0
1948-05-11,54,42,T,0.0,0
1948-05-12,68,37,0.00,0.0,0
1948-05-13,77,47,0.00,0.0,0
1948-05-14,87,58,0.00,0.0,0
1948-05-15,81,56,T,0.0,0
1948-05-16,82,50,0.00,0.0,0
1948-05-17,84,50,0.00,0.0,0
1948-05-18,86,51,0.00,0.0,0
1948-05-19,86,50,0.00,0.0,0
1948-05-20,89,52,0.00,0.0,0
1948-05-21,97,63,0.00,0.0,0
1948-05-22,90,66,0.05,0.0,0
1948-05-23,89,65,0.03,0.0,0
1948-05-24,76,60,0.00,0.0,0
1948-05-25,71,51,0.00,0.0,0
1948-05-26,76,45,0.00,0.0,0
1948-05-27,81,46,0.00,0.0,0
1948-05-28,84,50,0.00,0.0,0
1948-05-29,84,60,0.00,0.0,0
1948-05-30,80,59,1.15,0.0,0
1948-05-31,78,57,0.00,0.0,0
1948-06-01,84,59,0.00,0.0,0
1948-06-02,85,58,0.00,0.0,0
1948-06-03,88,58,0.00,0.0,0
1948-06-04,96,64,0.00,0.0,0
1948-06-05,93,67,0.00,0.0,0
1948-06-06,95,61,0.25,0.0,0
1948-06-07,90,65,0.02,0.0,0
1948-06-08,89,66,0.02,0.0,0
1948-06-09,93,58,0.00,0.0,0
1948-06-10,95,66,T,0.0,0
1948-06-11,97,66,0.00,0.0,0
1948-06-12,94,69,0.00,0.0,0
1948-06-13,77,62,0.08,0.0,0
1948-06-14,99,62,T,0.0,0
1948-06-15,89,62,1.39,0.0,0
1948-06-16,80,57,2.22,0.0,0
1948-06-17,101,66,0.40,0.0,0
1948-06-18,76,63,T,0.0,0
1948-06-19,71,62,T,0.0,0
1948-06-20,80,59,2.33,0.0,0
1948-06-21,74,65,0.33,0.0,0
1948-06-22,92,66,0.00,0.0,0
1948-06-23,83,64,0.00,0.0,0
1948-06-24,81,60,0.51,0.0,0
1948-06-25,87,61,1.96,0.0,0
1948-06-26,84,65,T,0.0,0
1948-06-27,80,61,2.29,0.0,0
1948-06-28,79,61,0.03,0.0,0
1948-06-29,89,62,0.00,0.0,0
1948-06-30,90,64,0.00,0.0,0
1948-07-01,91,67,0.00,0.0,0
1948-07-02,89,68,0.00,0.0,0
1948-07-03,87,68,T,0.0,0
1948-07-04,91,66,0.02,0.0,0
1948-07-05,93,69,0.00,0.0,0
1948-07-06,90,65,0.00,0.0,0
1948-07-07,93,69,0.00,0.0,0
1948-07-08,90,68,T,0.0,0
1948-07-09,81,65,1.29,0.0,0
1948-07-10,79,66,0.05,0.0,0
1948-07-11,82,68,0.01,0.0,0
1948-07-12,88,69,T,0.0,0
1948-07-13,89,69,0.00,0.0,0
1948-07-14,92,67,3.16,0.0,0
1948-07-15,87,64,0.37,0.0,0
1948-07-16,84,67,0.70,0.0,0
1948-07-17,86,65,0.28,0.0,0
1948-07-18,87,67,0.34,0.0,0
1948-07-19,92,67,0.25,0.0,0
1948-07-20,95,69,0.08,0.0,M
1948-07-21,93,70,0.83,0.0,0
1948-07-22,90,68,0.77,0.0,0
1948-07-23,80,59,0.00,0.0,0
1948-07-24,88,66,0.00,0.0,0
1948-07-25,99,74,0.00,0.0,0
1948-07-26,87,72,0.00,0.0,0
1948-07-27,95,71,0.00,0.0,0
1948-07-28,95,72,0.52,0.0,0
1948-07-29,98,75,0.01,0.0,0
1948-07-30,86,66,0.00,0.0,0
1948-07-31,88,63,0.00,0.0,0
1948-08-01,91,63,0.00,0.0,0
1948-08-02,94,64,1.11,0.0,0
1948-08-03,84,64,0.01,0.0,0
1948-08-04,80,59,0.00,0.0,0
1948-08-05,78,57,0.00,0.0,0
1948-08-06,73,63,T,0.0,0
1948-08-07,84,60,0.00,0.0,0
1948-08-08,84,64,0.00,0.0,0
1948-08-09,84,65,0.25,0.0,0
1948-08-10,87,67,0.06,0.0,0
1948-08-11,91,73,1.04,0.0,0
1948-08-12,86,66,0.12,0.0,0
1948-08-13,75,68,0.41,0.0,0
1948-08-14,85,67,0.00,0.0,0
1948-08-15,90,68,0.00,0.0,0
1948-08-16,93,66,0.00,0.0,0
1948-08-17,94,68,0.00,0.0,0
1948-08-18,95,70,0.00,0.0,0
1948-08-19,97,67,0.00,0.0,0
1948-08-20,98,71,0.00,0.0,0
1948-08-21,99,67,0.00,0.0,0
1948-08-22,101,68,0.00,0.0,0
1948-08-23,98,70,0.00,0.0,0
1948-08-24,96,70,0.00,0.0,0
1948-08-25,93,67,0.00,0.0,0
1948-08-26,86,70,0.08,0.0,0
1948-08-27,88,69,0.00,0.0,0
1948-08-28,93,66,0.00,0.0,0
1948-08-29,95,65,0.00,0.0,0
1948-08-30,95,66,0.00,0.0,0
1948-08-31,98,68,0.00,0.0,0
1948-09-01,99,68,0.00,0.0,0
1948-09-02,96,69,0.00,0.0,0
1948-09-03,92,65,T,0.0,0
1948-09-04,93,63,0.00,0.0,0
1948-09-05,93,61,0.00,0.0,0
1948-09-06,94,66,T,0.0,0
1948-09-07,81,55,0.74,0.0,0
1948-09-08,76,55,0.99,0.0,0
1948-09-09,77,50,0.00,0.0,0
1948-09-10,81,54,0.00,0.0,0
1948-09-11,92,59,0.00,0.0,0
1948-09-12,88,58,0.00,0.0,0
1948-09-13,87,56,0.00,0.0,0
1948-09-14,89,58,0.00,0.0,0
1948-09-15,90,56,0.00,0.0,0
1948-09-16,90,61,0.00,0.0,0
1948-09-17,91,67,0.00,0.0,0
1948-09-18,96,70,0.00,0.0,0
1948-09-19,95,68,0.00,0.0,0
1948-09-20,95,71,0.26,0.0,0
1948-09-21,92,66,0.00,0.0,0
1948-09-22,91,65,0.05,0.0,0
1948-09-23,85,62,T,0.0,0
1948-09-24,77,60,0.84,0.0,0
1948-09-25,76,54,0.00,0.0,0
1948-09-26,73,49,0.00,0.0,0
1948-09-27,74,47,0.00,0.0,0
1948-09-28,77,50,0.00,0.0,0
1948-09-29,78,49,0.00,0.0,0
1948-09-30,81,44,0.00,0.0,0
1948-10-01,82,46,0.00,0.0,0
1948-10-02,77,51,0.00,0.0,0
1948-10-03,81,53,0.00,0.0,0
1948-10-04,80,51,0.00,0.0,0
1948-10-05,83,58,0.14,0.0,0
1948-10-06,63,44,0.33,0.0,0
1948-10-07,61,42,0.00,0.0,0
1948-10-08,79,40,0.00,0.0,0
1948-10-09,76,44,0.00,0.0,0
1948-10-10,74,41,0.00,0.0,0
1948-10-11,67,33,0.00,0.0,0
1948-10-12,77,37,0.00,0.0,0
1948-10-13,78,45,0.00,0.0,0
1948-10-14,72,42,0.00,0.0,0
1948-10-15,80,43,0.01,0.0,0
1948-10-16,60,40,0.00,0.0,0
1948-10-17,56,27,0.00,0.0,0
1948-10-18,71,29,0.00,0.0,0
1948-10-19,76,32,0.00,0.0,0
1948-10-20,73,41,0.00,0.0,0
1948-10-21,71,41,T,0.0,0
1948-10-22,78,35,0.00,0.0,0
1948-10-23,64,36,0.00,0.0,0
1948-10-24,70,32,0.00,0.0,0
1948-10-25,75,33,0.00,0.0,0
1948-10-26,75,37,0.00,0.0,0
1948-10-27,74,41,0.00,0.0,0
1948-10-28,71,41,0.09,0.0,0
1948-10-29,73,56,0.04,0.0,0
1948-10-30,69,50,0.00,0.0,0
1948-10-31,74,41,0.00,0.0,0
1948-11-01,61,53,1.24,0.0,0
1948-11-02,69,46,0.00,0.0,0
1948-11-03,67,46,0.00,0.0,0
1948-11-04,58,42,0.10,0.0,0
1948-11-05,48,40,0.11,0.0,0
1948-11-06,59,34,0.00,0.0,0
1948-11-07,59,33,0.00,0.0,0
1948-11-08,46,36,0.00,0.0,0
1948-11-09,48,27,T,T,0
1948-11-10,58,25,0.00,0.0,0
1948-11-11,56,32,0.00,0.0,0
1948-11-12,59,30,0.00,0.0,0
1948-11-13,63,25,0.00,0.0,0
1948-11-14,66,32,0.00,0.0,0
1948-11-15,65,37,0.00,0.0,0
1948-11-16,60,34,0.00,0.0,0
1948-11-17,66,32,0.00,0.0,0
1948-11-18,56,30,T,T,0
1948-11-19,30,24,0.07,1.0,T
1948-11-20,36,24,0.00,0.0,T
1948-11-21,37,25,T,T,T
1948-11-22,40,25,0.00,0.0,T
1948-11-23,46,25,0.05,0.0,0
1948-11-24,50,28,0.00,0.0,0
1948-11-25,56,34,0.00,0.0,0
1948-11-26,54,26,0.00,0.0,0
1948-11-27,40,31,1.12,1.0,T
1948-11-28,35,22,0.04,T,1
1948-11-29,39,22,0.00,0.0,T
