date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1998-06-17,M,M,M,0.0,0
1999-03-01,M,M,0.00,0.0,M
1999-03-02,M,M,0.18,0.0,0
1999-03-03,M,M,T,T,0
1999-03-04,M,M,T,T,0
1999-03-05,M,M,0.30,0.0,0
1999-03-06,M,M,0.46,0.3,T
1999-03-07,M,M,0.00,0.0,0
1999-03-08,M,M,0.18,1.7,2
1999-03-09,M,M,0.67,4.7,5
1999-03-10,M,M,T,0.1,4
1999-03-11,M,M,0.00,0.0,4
1999-03-12,M,M,0.00,0.0,3
1999-03-13,M,M,0.00,0.0,3
1999-03-14,M,M,0.00,0.0,2
1999-03-15,M,M,0.00,0.0,1
1999-03-16,M,M,0.00,0.0,T
1999-03-17,M,M,T,0.0,0
1999-03-18,M,M,0.00,0.0,0
1999-03-19,M,M,0.00,0.0,0
1999-03-20,M,M,0.00,0.0,0
1999-03-21,M,M,0.00,0.0,0
1999-03-22,M,M,0.00,0.0,0
1999-03-23,M,M,0.00,0.0,0
1999-03-24,M,M,0.00,0.0,0
1999-03-25,M,M,0.00,0.0,0
1999-03-26,M,M,0.00,0.0,0
1999-03-27,M,M,0.00,0.0,0
1999-03-28,M,M,0.00,0.0,0
1999-03-29,M,M,0.00,0.0,0
1999-03-30,M,M,0.00,0.0,0
1999-03-31,M,M,0.09,0.0,0
1999-04-01,M,M,0.03,0.0,0
1999-04-02,M,M,T,0.0,0
1999-04-03,M,M,0.09,0.0,0
1999-04-04,M,M,0.09,0.0,0
1999-04-05,M,M,0.01,0.0,0
1999-04-06,M,M,0.26,0.0,0
1999-04-07,M,M,0.00,0.0,0
1999-04-08,M,M,T,0.0,0
1999-04-09,M,M,0.44,0.0,0
1999-04-10,M,M,0.00,0.0,0
1999-04-11,M,M,0.01,0.0,0
1999-04-12,M,M,0.01,0.0,0
1999-04-13,M,M,0.00,0.0,0
1999-04-14,M,M,0.00,0.0,0
1999-04-15,M,M,0.75,0.0,0
1999-04-16,M,M,0.39,0.0,0
1999-04-17,M,M,0.24,0.0,0
1999-04-18,M,M,T,0.0,0
1999-04-19,M,M,T,0.0,0
1999-04-20,M,M,0.10,0.0,0
1999-04-21,M,M,0.74,0.0,0
1999-04-22,M,M,0.03,0.0,0
1999-04-23,M,M,T,0.0,0
1999-04-24,M,M,0.00,0.0,0
1999-04-25,M,M,0.00,0.0,0
1999-04-26,M,M,0.00,0.0,0
1999-04-27,M,M,0.72,0.0,0
1999-04-28,M,M,0.04,0.0,0
1999-04-29,M,M,0.00,0.0,0
1999-04-30,M,M,0.00,0.0,0
1999-05-01,M,M,0.00,0.0,0
1999-05-02,M,M,0.00,0.0,0
1999-05-03,M,M,0.00,0.0,0
1999-05-04,M,M,0.00,0.0,0
1999-05-05,M,M,0.15,0.0,0
1999-05-06,M,M,0.18,0.0,0
1999-05-07,M,M,0.00,0.0,0
1999-05-08,M,M,0.04,0.0,0
1999-05-09,M,M,0.00,0.0,0
1999-05-10,M,M,0.00,0.0,0
1999-05-11,M,M,0.00,0.0,0
1999-05-12,M,M,0.01,0.0,0
1999-05-13,M,M,0.16,0.0,0
1999-05-14,M,M,0.00,0.0,0
1999-05-15,M,M,T,0.0,0
1999-05-16,M,M,0.00,0.0,0
1999-05-17,M,M,0.66,0.0,0
1999-05-18,M,M,0.15,0.0,0
1999-05-19,M,M,0.00,0.0,0
1999-05-20,M,M,0.00,0.0,0
1999-05-21,M,M,0.31,0.0,0
1999-05-22,M,M,0.10,0.0,0
1999-05-23,M,M,0.15,0.0,0
1999-05-24,M,M,0.00,0.0,0
1999-05-25,M,M,T,0.0,0
1999-05-26,M,M,0.00,0.0,0
1999-05-27,M,M,0.00,0.0,0
1999-05-28,M,M,0.00,0.0,0
1999-05-29,M,M,0.00,0.0,0
1999-05-30,M,M,0.05,0.0,0
1999-05-31,M,M,0.15,0.0,0
1999-06-01,M,M,0.16,0.0,M
1999-06-02,M,M,0.74,0.0,0
1999-06-03,M,M,0.00,0.0,0
1999-06-04,M,M,T,0.0,0
1999-06-05,M,M,0.00,0.0,0
1999-06-06,M,M,T,0.0,0
1999-06-07,M,M,0.00,0.0,0
1999-06-08,M,M,0.00,0.0,0
1999-06-09,M,M,0.10,0.0,0
1999-06-10,M,M,0.00,0.0,0
1999-06-11,M,M,T,0.0,0
1999-06-12,M,M,0.12,0.0,0
1999-06-13,M,M,0.08,0.0,0
1999-06-14,M,M,0.07,0.0,0
1999-06-15,M,M,0.00,0.0,0
1999-06-16,M,M,0.02,0.0,0
1999-06-17,M,M,0.00,0.0,0
