date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1989-04-01,41,27,M,0.0,0
1989-04-02,55,29,M,0.0,0
1989-04-03,58,27,1.30,0.0,0
1989-04-04,64,43,0.90,0.0,0
1989-04-05,65,40,T,0.0,0
1989-04-06,52,29,0.04,0.0,0
1989-04-07,51,29,0.20,0.0,0
1989-04-08,53,33,0.47,M,0
1989-04-09,48,30,0.04,0.0,0
1989-04-10,45,27,0.00,0.0,0
1989-04-11,43,23,0.00,0.0,0
1989-04-12,51,31,0.00,0.0,0
1989-04-13,58,31,0.00,0.0,0
1989-04-14,56,30,0.00,0.0,0
1989-04-15,M,M,S,0.0,0
1989-04-16,M,M,M,0.0,0
1989-04-17,71,31,0.02A,0.0,0
1989-04-18,76,43,0.12,0.0,0
1989-04-19,54,34,0.55,0.0,0
1989-04-20,62,35,0.00,0.0,0
1989-04-21,69,47,0.00,0.0,0
1989-04-22,75,50,0.00,0.0,0
1989-04-23,73,46,0.77,0.0,0
1989-04-24,68,54,T,0.0,0
1989-04-25,80,57,0.00,0.0,0
1989-04-26,85,59,0.00,0.0,0
1989-04-27,M,M,0.35,0.0,0
1989-04-28,84,60,0.35,0.0,0
1989-04-29,80,60,0.20,0.0,0
1989-04-30,M,M,0.00,0.0,0
1989-05-01,80,41,0.12,0.0,0
1989-05-02,65,41,0.02,0.0,0
1989-05-03,57,35,T,0.0,0
1989-05-04,65,41,0.00,0.0,0
1989-05-05,63,51,0.57,0.0,0
1989-05-06,67,38,0.03,0.0,0
1989-05-07,48,34,0.00,0.0,0
1989-05-08,56,35,0.00,0.0,0
1989-05-09,68,52,0.27,0.0,0
1989-05-10,56,40,0.05,0.0,0
1989-05-11,M,41,0.00,0.0,0
1989-05-12,64,33,0.00,0.0,0
1989-05-13,64,44,0.03,0.0,0
1989-05-14,65,47,0.00,0.0,0
1989-05-15,70,43,0.00,0.0,0
1989-05-16,70,43,0.00,0.0,0
1989-05-17,75,45,0.00,0.0,0
1989-05-18,78,54,T,0.0,0
1989-05-19,77,63,0.39,0.0,0
1989-05-20,76,60,0.43,0.0,0
1989-05-21,82,47,T,0.0,0
1989-05-22,80,60,0.02,0.0,0
1989-05-23,63,55,1.23,0.0,0
1989-05-24,76,54,0.00,0.0,0
1989-05-25,82,64,0.01,0.0,0
1989-05-26,79,63,0.64,0.0,0
1989-05-27,81,50,T,0.0,0
1989-05-28,70,44,T,0.0,0
1989-05-29,71,56,T,0.0,0
1989-05-30,84,67,0.00,0.0,0
1989-05-31,88,72,0.00,0.0,0
1989-06-01,88,68,0.00,0.0,0
1989-06-02,88,64,0.03,0.0,0
1989-06-03,81,68,T,0.0,0
1989-06-04,80,57,0.43,0.0,0
1989-06-05,73,60,0.89,0.0,0
1989-06-06,72,52,T,0.0,0
1989-06-07,81,57,0.00,0.0,0
1989-06-08,83,57,0.00,0.0,0
1989-06-09,78,60,0.00,0.0,0
1989-06-10,78,49,0.00,0.0,0
1989-06-11,74,55,0.00,0.0,0
1989-06-12,79,64,0.45,0.0,0
1989-06-13,83,66,T,0.0,0
1989-06-14,83,60,0.17,0.0,0
1989-06-15,76,61,0.00,0.0,0
1989-06-16,72,53,T,0.0,0
1989-06-17,72,48,0.00,0.0,0
1989-06-18,78,49,T,0.0,0
1989-06-19,83,49,0.09,0.0,0
1989-06-20,85,64,0.02,0.0,0
1989-06-21,83,63,0.00,0.0,0
1989-06-22,88,66,0.00,0.0,0
1989-06-23,89,68,0.00,0.0,0
1989-06-24,90,69,0.19,0.0,0
1989-06-25,90,68,0.08,0.0,0
1989-06-26,97,69,0.00,0.0,0
1989-06-27,91,71,0.00,0.0,0
1989-06-28,84,67,0.04,0.0,0
1989-06-29,86,58,0.00,0.0,0
1989-06-30,83,56,0.00,0.0,0
1989-07-01,84,59,0.00,0.0,0
1989-07-02,85,68,0.31,0.0,0
1989-07-03,73,63,2.01,0.0,0
1989-07-04,75,67,0.13,0.0,0
1989-07-05,85,67,0.39,0.0,0
1989-07-06,86,68,0.00,0.0,0
1989-07-07,90,67,0.00,0.0,0
1989-07-08,92,67,0.00,0.0,0
1989-07-09,93,69,0.00,0.0,0
1989-07-10,91,69,0.00,0.0,0
1989-07-11,92,74,0.00,0.0,0
1989-07-12,92,69,4.08,0.0,0
1989-07-13,87,69,0.00,0.0,0
1989-07-14,82,59,0.00,0.0,0
1989-07-15,79,59,0.00,0.0,0
1989-07-16,80,66,0.00,0.0,0
1989-07-17,83,58,0.00,0.0,0
1989-07-18,84,60,0.00,0.0,0
1989-07-19,83,68,0.05,0.0,0
1989-07-20,78,66,0.23,0.0,0
1989-07-21,79,63,T,0.0,0
1989-07-22,82,64,0.22,0.0,0
1989-07-23,M,M,0.95,0.0,0
1989-07-24,83,68,T,0.0,0
1989-07-25,87,69,0.65,0.0,0
1989-07-26,88,69,0.00,0.0,0
1989-07-27,88,70,0.00,0.0,0
1989-07-28,88,71,0.00,0.0,0
1989-07-29,85,63,0.00,0.0,0
1989-07-30,83,69,0.48,0.0,0
1989-07-31,85,72,0.07,0.0,0
1989-08-01,83,64,0.00,0.0,0
1989-08-02,83,63,0.00,0.0,0
1989-08-03,85,67,0.00,0.0,0
1989-08-04,89,72,0.00,0.0,0
1989-08-05,89,75,0.00,0.0,0
1989-08-06,M,M,0.20,0.0,0
1989-08-07,83,59,0.00,0.0,0
1989-08-08,72,49,0.00,0.0,0
1989-08-09,76,52,0.00,0.0,0
1989-08-10,80,55,0.00,0.0,0
1989-08-11,81,57,0.00,0.0,0
1989-08-12,83,58,0.00,0.0,0
1989-08-13,83,58,0.00,0.0,0
1989-08-14,83,62,0.00,0.0,0
1989-08-15,85,64,0.00,0.0,0
1989-08-16,M,M,0.18,0.0,0
1989-08-17,79,63,T,0.0,0
1989-08-18,75,63,T,0.0,0
1989-08-19,78,56,0.00,0.0,0
1989-08-20,81,57,0.36,0.0,0
1989-08-21,84,68,1.12,0.0,0
1989-08-22,83,68,T,0.0,0
1989-08-23,88,72,1.06,0.0,0
1989-08-24,82,71,0.46,0.0,0
1989-08-25,81,66,0.10,0.0,0
1989-08-26,76,67,0.00,0.0,0
1989-08-27,86,69,0.00,0.0,0
1989-08-28,89,72,0.00,0.0,0
1989-08-29,88,68,1.00,0.0,0
1989-08-30,88,67,0.00,0.0,0
1989-08-31,84,64,0.00,0.0,0
1989-09-01,85,64,1.12,0.0,0
1989-09-02,80,64,0.86,0.0,0
1989-09-03,78,56,0.00,0.0,0
1989-09-04,76,54,0.00,0.0,0
1989-09-05,79,65,0.00,0.0,0
1989-09-06,85,66,0.00,0.0,0
1989-09-07,85,66,0.00,0.0,0
1989-09-08,87,67,0.00,0.0,0
1989-09-09,M,M,1.80,0.0,0
1989-09-10,87,65,0.33,0.0,0
1989-09-11,73,63,T,0.0,0
1989-09-12,79,61,0.00,0.0,0
1989-09-13,80,62,0.00,0.0,0
1989-09-14,73,57,1.65,0.0,0
1989-09-15,73,57,0.08,0.0,0
1989-09-16,64,58,0.20,0.0,0
1989-09-17,71,51,T,0.0,0
1989-09-18,76,52,0.00,0.0,0
1989-09-19,M,M,0.00,0.0,0
1989-09-20,75,51,0.00,0.0,0
1989-09-21,78,58,0.00,0.0,0
1989-09-22,81,65,0.00,0.0,0
1989-09-23,73,42,T,0.0,0
1989-09-24,63,37,0.00,0.0,0
1989-09-25,62,40,0.00,0.0,0
1989-09-26,68,43,0.00,0.0,0
1989-09-27,64,41,0.00,0.0,0
1989-09-28,65,38,0.00,0.0,0
1989-09-29,73,47,0.00,0.0,0
1989-09-30,72,54,0.00,0.0,0
1989-10-01,M,M,0.00,0.0,0
1989-10-02,73,63,0.00,0.0,0
1989-10-03,74,45,0.00,0.0,0
1989-10-04,65,35,0.00,0.0,0
1989-10-05,62,39,0.00,0.0,0
1989-10-06,73,49,0.01,0.0,0
1989-10-07,M,36,T,0.0,0
1989-10-08,59,36,0.00,0.0,0
1989-10-09,61,35,0.00,0.0,0
1989-10-10,65,40,0.00,0.0,0
1989-10-11,69,37,0.00,0.0,0
1989-10-12,76,44,0.00,0.0,0
1989-10-13,82,56,0.00,0.0,0
1989-10-14,69,53,0.00,0.0,0
1989-10-15,87,53,0.00,0.0,0
1989-10-16,82,58,0.00,0.0,0
1989-10-17,79,M,1.83,0.0,0
1989-10-18,51,40,T,0.0,0
1989-10-19,43,32,0.20,0.9,1
1989-10-20,36,32,0.28,0.0,0
1989-10-21,57,35,0.01,0.0,0
1989-10-22,66,36,0.00,0.0,0
1989-10-23,68,47,0.00,0.0,0
1989-10-24,75,53,0.00,0.0,0
1989-10-25,76,49,0.00,0.0,0
1989-10-26,75,46,0.00,0.0,0
1989-10-27,76,45,0.00,0.0,0
1989-10-28,77,42,0.00,0.0,0
1989-10-29,77,42,0.00,0.0,0
1989-10-30,76,49,0.00,0.0,0
1989-10-31,77,43,0.07,0.0,0
1989-11-01,46,29,T,0.0,0
1989-11-02,54,33,0.00,0.0,0
1989-11-03,46,22,0.00,0.0,0
1989-11-04,51,24,0.00,0.0,0
1989-11-05,55,45,0.00,0.0,0
1989-11-06,67,45,T,0.0,0
1989-11-07,57,39,0.75,0.0,0
1989-11-08,54,44,0.69,0.0,0
1989-11-09,52,34,T,0.0,0
1989-11-10,50,36,0.00,0.0,0
1989-11-11,49,30,T,T,T
1989-11-12,70,35,0.00,0.0,0
1989-11-13,64,43,0.00,0.0,0
1989-11-14,73,53,0.00,0.0,0
1989-11-15,64,58,0.07,0.0,0
1989-11-16,65,31,1.24,T,0
1989-11-17,33,20,T,T,0
1989-11-18,36,20,0.00,0.0,0
1989-11-19,38,19,0.00,0.0,0
1989-11-20,57,33,0.00,0.0,0
1989-11-21,57,28,0.00,0.0,0
1989-11-22,41,30,0.00,0.0,0
1989-11-24,45,19,0.00,0.0,0
1989-11-25,49,36,0.00,0.0,0
1989-11-26,51,M,0.00,0.0,0
1989-11-27,56,36,T,0.0,0
1989-11-28,70,39,T,0.0,0
1989-11-29,39,25,0.00,0.0,0
1989-11-30,33,19,0.00,0.0,0
1989-12-01,47,20,0.00,0.0,0
1989-12-04,M,M,M,0.0,M
1989-12-05,46,28,0.00,0.0,M
1989-12-06,53,38,0.01,0.0,M
1989-12-07,43,21,0.06,0.0,M
1989-12-08,31,21,0.01,2.0,T
1989-12-09,M,M,M,M,0
1989-12-11,M,M,0.01,0.2,T
1989-12-12,35,10,0.00,0.0,0
1989-12-13,22,7,0.00,0.0,0
1989-12-14,28,7,T,T,T
1989-12-15,18,5,0.28,3.1,3
1989-12-16,21,-4,0.00,0.0,3
1989-12-17,14,-7,0.00,0.0,3
1989-12-18,15,-1,0.00,0.0,3
1989-12-19,21,10,0.05,0.8,4
1989-12-20,20,-13,T,T,4
1989-12-21,16,-11,0.00,0.0,4
1989-12-22,-2,-22,0.00,0.0,3
1989-12-23,-2,-21,0.00,0.0,3
1989-12-24,6,-21,0.00,0.0,3
1989-12-25,19,-21,0.00,0.0,3
1989-12-26,36,10,T,T,3
1989-12-27,24,11,0.07,1.0,4
1989-12-28,37,24,0.00,0.0,M
1989-12-29,41,33,0.00,0.0,M
1989-12-30,42,35,0.30,0.0,M
1989-12-31,49,32,0.65,0.0,M
1990-01-01,M,M,0.00,0.0,0
1990-01-02,M,M,0.00,0.0,0
1990-01-03,43,26,0.00,0.0,0
1990-01-04,54,37,0.40,0.0,0
1990-01-05,51,30,0.00,0.0,0
1990-01-06,38,21,0.00,0.0,0
1990-01-07,47,22,0.00,0.0,0
1990-01-08,48,21,0.00,0.0,0
1990-01-09,49,21,0.00,0.0,0
1990-01-10,53,M,0.05,0.0,0
1990-01-11,43,32,0.00,0.0,0
1990-01-12,48,29,T,T,0
1990-01-13,33,13,0.00,0.0,0
1990-01-14,35,19,0.00,0.0,0
1990-01-15,47,34,0.00,0.0,0
1990-01-16,60,47,0.00,0.0,0
1990-01-17,67,51,0.18,0.0,0
1990-01-18,64,35,0.09,0.0,0
1990-01-19,38,29,0.00,0.0,0
1990-01-20,45,30,1.10,0.0,0
1990-01-21,47,35,0.03,0.0,0
1990-01-22,40,30,0.00,0.0,0
1990-01-23,52,28,0.00,0.0,0
1990-01-24,54,30,T,0.0,0
1990-01-25,59,31,0.05,0.0,0
1990-01-26,40,20,T,0.2,T
1990-01-27,43,25,0.00,0.0,0
1990-01-28,57,30,0.00,0.0,0
1990-01-29,39,30,0.33,3.0,3
1990-01-30,43,24,0.30,0.6,1
1990-01-31,46,24,0.00,0.0,T
1990-02-01,53,26,T,0.0,0
1990-02-02,57,44,1.15,0.0,0
1990-02-03,57,38,0.00,0.0,0
1990-02-04,M,M,0.80,0.0,0
1990-02-05,40,24,T,0.0,0
1990-02-06,48,27,0.00,0.0,0
1990-02-07,51,29,0.03,0.0,0
1990-02-08,46,33,0.00,0.0,0
1990-02-09,63,36,0.05,0.0,0
1990-02-10,53,27,T,0.0,0
1990-02-11,48,34,0.00,0.0,0
1990-02-12,50,26,0.00,0.0,0
1990-02-13,58,31,0.00,0.0,0
1990-02-14,65,36,0.30,0.0,0
1990-02-15,55,36,1.66,0.0,0
1990-02-16,55,39,0.16,0.0,0
1990-02-17,44,23,0.00,0.0,0
1990-02-18,36,20,0.00,0.0,0
1990-02-19,44,28,0.00,0.0,0
1990-02-20,42,19,0.00,0.0,0
1990-02-21,44,21,0.00,0.0,0
1990-02-22,59,21,0.62,0.0,0
1990-02-23,65,M,0.10,0.0,0
1990-02-24,42,30,T,T,T
1990-02-25,30,11,0.00,0.0,T
