date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1948-10-13,M,M,0.00,0.0,0
1948-10-14,M,M,0.00,0.0,0
1948-10-15,M,M,0.00,0.0,0
1948-10-16,M,M,0.49,0.0,0
1948-10-17,M,M,0.02,0.0,0
1948-10-18,M,M,0.00,0.0,0
1948-10-19,M,M,0.00,0.0,0
1948-10-20,M,M,0.00,0.0,0
1948-10-21,M,M,0.01,0.0,0
1948-10-22,M,M,0.03,0.0,0
1948-10-23,M,M,0.00,0.0,0
1948-10-24,M,M,0.00,0.0,0
1948-10-25,M,M,0.00,0.0,0
1948-10-26,M,M,0.00,0.0,0
1948-10-27,M,M,0.00,0.0,0
1948-10-28,M,M,0.00,0.0,0
1948-10-29,M,M,0.00,0.0,0
1948-10-30,M,M,0.18,0.0,0
1948-10-31,M,M,0.40,0.0,0
1948-11-01,M,M,0.00,0.0,0
1948-11-02,M,M,0.09,0.0,0
1948-11-03,M,M,0.64,0.0,0
1948-11-04,M,M,0.00,0.0,0
1948-11-05,M,M,1.36,0.0,0
1948-11-06,M,M,0.05,0.0,0
1948-11-07,M,M,0.00,0.0,0
1948-11-08,M,M,0.00,0.0,0
1948-11-09,M,M,0.50,0.0,0
1948-11-10,M,M,0.05,0.0,0
1948-11-11,M,M,0.00,0.0,0
1948-11-12,M,M,0.09,0.0,0
1948-11-13,M,M,0.17,0.0,0
1948-11-14,M,M,0.00,0.0,0
1948-11-15,M,M,0.00,0.0,0
1948-11-16,M,M,0.24,0.0,0
1948-11-17,M,M,0.00,0.0,0
1948-11-18,M,M,0.05,0.0,0
1948-11-19,M,M,0.14,0.0,0
1948-11-20,M,M,0.00,0.0,0
1948-11-21,M,M,0.00,0.0,0
1948-11-22,M,M,M,0.0,0
1948-11-23,M,M,M,0.0,0
1948-11-24,M,M,M,0.0,0
1948-11-25,M,M,M,0.0,0
1948-11-26,M,M,M,0.0,0
1948-11-27,M,M,M,0.0,0
1948-11-28,M,M,M,0.0,0
1948-11-29,M,M,M,0.0,0
1948-11-30,M,M,M,0.0,0
1949-04-02,M,M,0.00,M,M
1949-04-03,M,M,0.00,M,M
1949-04-04,M,M,0.00,M,M
1949-04-05,M,M,0.00,M,M
1949-04-06,M,M,0.00,M,M
1949-04-07,M,M,0.00,M,M
1949-04-08,M,M,0.00,M,M
1949-04-09,M,M,0.00,M,M
1949-04-10,M,M,0.06,M,M
1949-04-11,M,M,0.01,M,M
1949-04-12,M,M,0.00,M,M
1949-04-13,M,M,0.00,M,M
1949-04-14,M,M,0.21,M,M
1949-04-15,M,M,0.17,M,M
1949-04-16,M,M,0.08,M,M
1949-04-17,M,M,0.24,M,M
1949-04-18,M,M,0.10,M,M
1949-04-19,M,M,0.00,M,M
