date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1897-03-01,45,35,M,M,M
1897-03-02,47,28,M,M,M
1897-03-03,37,24,M,M,M
1897-03-04,50,34,M,M,M
1897-03-05,54,36,M,M,M
1897-03-06,35,26,M,M,M
1897-03-07,45,33,M,M,M
1897-03-08,65,28,M,M,M
1897-03-09,64,30,M,M,M
1897-03-10,60,38,M,M,M
1897-03-11,58,37,M,M,M
1897-03-12,36,25,M,M,M
1897-03-13,39,24,M,M,M
1897-03-14,44,30,M,M,M
1897-03-15,45,31,M,M,M
1897-03-16,45,22,M,M,M
1897-03-17,M,22,M,M,M
1897-03-18,50,M,M,M,M
1897-03-19,60,48,M,M,M
1897-03-20,60,42,M,M,M
1897-03-21,58,34,M,M,M
1897-03-22,60,34,M,M,M
1897-03-23,58,36,M,M,M
1897-03-24,45,32,M,M,M
1897-03-25,40,25,M,M,M
1897-03-26,38,24,M,M,M
1897-03-27,45,28,M,M,M
1897-03-28,45,34,M,M,M
1897-03-29,46,34,M,M,M
1897-03-30,65,44,M,M,M
1897-03-31,66,47,M,M,M
1897-04-01,64,38,0.00,M,M
1897-04-02,65,36,0.00,M,M
1897-04-03,68,35,0.00,M,M
1897-04-04,69,44,0.40,M,M
1897-04-05,61,36,0.00,M,M
1897-04-06,44,36,0.00,M,M
1897-04-07,50,34,0.00,M,M
1897-04-08,50,32,0.00,M,M
1897-04-09,46,24,0.00,M,M
1897-04-10,48,32,0.00,M,M
1897-04-11,60,30,0.30,M,M
1897-04-12,50,36,0.00,M,M
1897-04-13,56,33,0.00,M,M
1897-04-14,62,34,0.00,M,M
1897-04-15,51,38,0.00,M,M
1897-04-16,50,28,0.00,M,M
1897-04-17,52,29,0.00,M,M
1897-04-18,65,38,0.00,M,M
1897-04-19,60,18,0.00,M,M
1897-04-20,50,26,0.00,M,M
1897-04-21,66,34,0.20,M,M
1897-04-22,75,56,0.00,M,M
1897-04-23,76,48,0.30,M,M
1897-04-24,80,64,0.30,M,M
1897-04-25,72,60,0.40,M,M
1897-04-26,68,48,0.00,M,M
1897-04-27,67,36,0.00,M,M
1897-04-28,87,48,0.00,M,M
1897-04-29,84,36,0.00,M,M
1897-04-30,61,M,0.00,M,M
1897-05-01,M,35,0.00,M,M
1897-05-02,46,34,0.50,M,M
1897-05-03,55,36,0.00,M,M
1897-05-04,56,38,0.00,M,M
1897-05-05,86,50,0.00,M,M
1897-05-06,88,56,0.00,M,M
1897-05-07,84,54,0.00,M,M
1897-05-08,85,56,0.00,M,M
1897-05-09,84,50,0.00,M,M
1897-05-10,80,49,0.60,M,M
1897-05-11,78,48,0.00,M,M
1897-05-12,72,47,0.00,M,M
1897-05-13,74,50,0.00,M,M
1897-05-14,68,36,0.00,M,M
1897-05-15,70,40,0.00,M,M
1897-05-16,72,42,0.00,M,M
1897-05-17,76,58,0.00,M,M
1897-05-18,88,50,0.00,M,M
1897-05-19,82,50,0.00,M,M
1897-05-20,80,52,0.00,M,M
1897-05-21,80,40,0.00,M,M
1897-05-22,76,52,1.10,M,M
1897-05-23,74,50,0.00,M,M
1897-05-24,65,42,0.00,M,M
1897-05-25,64,34,0.00,M,M
1897-05-26,72,34,0.00,M,M
1897-05-27,76,50,0.00,M,M
1897-05-28,70,34,0.00,M,M
1897-05-29,72,33,0.00,M,M
1897-05-30,80,40,0.00,M,M
1897-05-31,78,44,0.00,M,M
1897-06-01,76,48,0.20,M,M
1897-06-02,74,52,0.00,M,M
1897-06-03,86,54,0.00,M,M
1897-06-04,86,56,0.00,M,M
1897-06-05,90,48,0.00,M,M
1897-06-06,82,44,0.00,M,M
1897-06-07,80,40,0.00,M,M
1897-06-08,85,45,0.00,M,M
1897-06-09,86,52,0.00,M,M
1897-06-10,82,56,0.00,M,M
1897-06-11,88,62,0.00,M,M
1897-06-12,90,60,0.00,M,M
1897-06-13,91,61,0.00,M,M
1897-06-14,92,62,0.00,M,M
1897-06-15,96,60,0.00,M,M
1897-06-16,94,56,2.00,M,M
1897-06-17,90,66,1.50,M,M
1897-06-18,88,64,0.00,M,M
1897-06-19,92,66,0.60,M,M
1897-06-20,80,44,0.00,M,M
1897-06-21,82,54,0.00,M,M
1897-06-22,78,56,0.00,M,M
1897-06-23,76,54,0.00,M,M
1897-06-24,78,56,0.00,M,M
1897-06-25,80,58,0.00,M,M
1897-06-26,80,52,0.00,M,M
1897-06-27,78,54,0.00,M,M
1897-06-28,86,68,0.00,M,M
1897-06-29,90,70,0.00,M,M
1897-06-30,91,71,0.00,M,M
1897-07-01,92,72,0.70,M,M
1897-07-02,90,72,0.00,M,M
1897-07-03,92,70,0.00,M,M
1897-07-04,91,73,0.00,M,M
1897-07-05,90,72,0.00,M,M
1897-07-06,92,69,0.00,M,M
1897-07-07,96,72,0.00,M,M
1897-07-08,99,71,0.00,M,M
1897-07-09,90,70,0.00,M,M
1897-07-10,90,69,0.30,M,M
1897-07-11,80,60,0.00,M,M
1897-07-12,76,54,0.00,M,M
1897-07-13,77,56,0.00,M,M
1897-07-14,80,60,0.00,M,M
1897-07-15,83,65,1.30,M,M
1897-07-16,85,55,0.00,M,M
1897-07-17,88,60,0.00,M,M
1897-07-18,90,59,0.00,M,M
1897-07-19,86,72,0.20,M,M
1897-07-20,84,74,0.00,M,M
1897-07-21,82,71,0.00,M,M
1897-07-22,86,68,0.00,M,M
1897-07-23,84,62,0.00,M,M
1897-07-24,80,62,0.00,M,M
1897-07-25,90,70,0.00,M,M
1897-07-26,84,66,0.00,M,M
1897-07-27,84,60,0.00,M,M
1897-07-28,86,62,0.00,M,M
1897-07-29,88,54,0.00,M,M
1897-07-30,91,62,0.00,M,M
1897-07-31,89,65,0.00,M,M
1897-08-01,86,72,0.00,M,M
1897-08-02,84,70,0.00,M,M
1897-08-03,89,60,0.00,M,M
1897-08-04,85,70,0.60,M,M
1897-08-05,83,68,0.00,M,M
1897-08-06,80,65,0.00,M,M
1897-08-07,82,60,0.00,M,M
1897-08-08,81,59,0.00,M,M
1897-08-09,86,70,0.00,M,M
1897-08-10,84,58,0.00,M,M
1897-08-11,80,52,0.00,M,M
