date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1989-06-01,91,73,0.02,0.0,0
1989-06-02,90,71,0.36,0.0,0
1989-06-03,87,69,0.52,0.0,0
1989-06-04,81,68,0.70,0.0,0
1989-06-05,M,M,S,0.0,0
1989-06-06,81,64,0.52A,0.0,0
1989-06-07,80,64,0.00,0.0,0
1989-06-08,79,67,1.25,0.0,0
1989-06-09,75,63,0.00,0.0,0
1989-06-10,86,66,0.00,0.0,0
1989-06-11,87,71,0.00,0.0,0
1989-06-12,90,73,0.12,0.0,0
1989-06-13,88,69,1.99,0.0,0
1989-06-14,80,67,2.39,0.0,0
1989-06-15,78,63,1.07,0.0,0
1989-06-16,78,52,0.00,0.0,0
1989-06-17,78,60,0.00,0.0,0
1989-06-18,83,65,0.00,0.0,0
1989-06-19,89,68,0.00,0.0,0
1989-06-20,87,67,0.00,0.0,0
1989-06-21,89,71,0.01,0.0,0
1989-06-22,94,75,0.00,0.0,0
1989-06-23,93,71,0.00,0.0,0
1989-06-24,96,72,0.00,0.0,0
1989-06-25,92,73,0.00,0.0,0
1989-06-26,93,74,0.00,0.0,0
1989-06-27,93,73,0.72,0.0,0
1989-06-28,85,72,0.15,0.0,0
1989-06-29,79,71,0.50,0.0,0
1989-06-30,83,72,0.09,0.0,0
1989-07-01,85,65,2.59,0.0,0
1989-07-02,79,70,4.38,0.0,0
1989-07-03,87,72,0.00,0.0,0
1989-07-04,85,73,0.00,0.0,0
1989-07-05,82,72,0.29,0.0,0
1989-07-06,88,72,0.00,0.0,0
1989-07-07,88,68,1.56,0.0,0
1989-07-08,88,74,0.19,0.0,0
1989-07-09,90,74,0.05,0.0,0
1989-07-10,92,72,0.00,0.0,0
1989-07-11,90,73,0.00,0.0,0
1989-07-12,93,74,0.00,0.0,0
1989-07-13,94,73,0.92,0.0,0
1989-07-14,85,72,0.01,0.0,0
1989-07-15,88,71,0.00,0.0,0
1989-07-16,87,68,1.23,0.0,0
1989-07-17,88,68,0.00,0.0,0
1989-07-18,87,68,0.10,0.0,0
1989-07-19,86,69,0.18,0.0,0
1989-07-20,89,67,0.05,0.0,0
1989-07-21,82,66,0.00,0.0,0
1989-07-22,85,68,0.04,0.0,0
1989-07-23,88,72,0.46,0.0,0
1989-07-24,90,73,0.38,0.0,0
1989-07-25,85,72,0.00,0.0,0
1989-07-26,90,73,0.00,0.0,0
1989-07-27,94,72,0.02,0.0,0
1989-07-28,90,73,0.00,0.0,0
1989-07-29,94,72,0.08,0.0,0
1989-07-30,95,74,0.02,0.0,0
1989-07-31,94,72,0.00,0.0,0
1989-08-01,92,73,0.06,0.0,0
1989-08-02,89,72,0.01,0.0,0
1989-08-03,92,71,0.00,0.0,0
1989-08-04,92,72,0.00,0.0,0
1989-08-05,94,76,0.00,0.0,0
1989-08-06,95,74,0.00,0.0,0
1989-08-07,98,73,0.00,0.0,0
1989-08-08,85,54,0.00,0.0,0
1989-08-09,80,56,0.00,0.0,0
1989-08-10,83,57,0.00,0.0,0
1989-08-11,86,61,0.00,0.0,0
1989-08-12,87,65,0.00,0.0,0
