date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-01-02,51,29,0.02,M,M
2000-01-03,71,34,T,0.0,M
2000-01-04,72,53,1.00,0.0,M
2000-01-05,54,26,T,0.0,0
2000-01-06,36,18,0.00,0.0,M
2000-01-07,51,17,0.00,0.0,M
2000-01-08,52,19,0.00,M,M
2000-01-09,43,20,0.26,M,M
2000-01-10,54,32,0.24,M,M
2000-01-11,58,38,0.00,M,M
2000-01-12,55,22,0.00,M,M
2000-01-13,65,22,0.11,M,M
2000-01-14,57,19,0.00,M,M
2000-01-15,37,14,0.00,M,M
2000-01-16,55,14,0.00,M,M
2000-01-17,55,14,0.00,M,M
2000-01-18,36,23,0.49,M,2
2000-01-19,32,26,0.00,0.0,1
2000-01-20,38,24,0.30,1.0,2
2000-01-21,34,7,0.03,0.5,2
2000-01-22,27,7,0.00,0.0,2
2000-01-23,29,12,0.08,1.0,3
2000-01-24,37,28,0.00,0.0,3
2000-01-25,33,5,0.00,0.0,3
2000-01-26,28,4,T,1.5,4
2000-01-27,27,2,T,T,4
2000-01-28,26,1,0.00,0.0,4
2000-01-29,35,4,0.00,0.0,3
2000-01-30,32,25,0.73,M,2
2000-01-31,35,25,0.02,0.3,T
2000-02-01,31,19,T,T,M
2000-02-02,34,21,T,T,T
2000-02-03,40,18,0.00,M,T
2000-02-04,43,30,T,T,T
2000-02-05,35,27,0.01,0.3,T
2000-02-06,40,16,0.00,M,T
2000-02-07,43,16,0.00,M,T
2000-02-08,55,20,0.00,M,T
2000-02-09,55,20,0.00,M,T
2000-02-10,61,22,0.00,M,T
2000-02-11,69,26,0.17,M,M
2000-02-12,50,34,0.16,T,T
2000-02-13,39,33,0.08,M,M
2000-02-14,61,27,1.45,M,M
2000-02-15,51,34,0.00,M,M
2000-02-17,65,24,0.00,M,M
2000-02-18,50,24,0.35,M,M
2000-02-23,59,36,0.02,M,M
2000-02-24,72,40,0.00,M,M
2000-02-25,73,41,0.08,M,M
2000-02-26,78,42,0.00,M,M
2000-02-27,78,43,0.12,M,M
2000-02-28,59,30,0.12,M,M
2000-02-29,60,26,T,M,M
2000-03-01,71,26,T,M,M
2000-03-02,69,35,0.05,M,M
2000-03-03,56,28,0.00,M,M
2000-03-04,52,29,0.00,M,M
2000-03-05,61,26,0.00,M,M
2000-03-06,69,26,0.00,M,M
2000-03-07,74,30,0.00,M,M
2000-03-08,82,32,0.00,M,M
2000-03-09,82,37,0.00,M,M
2000-03-10,79,37,0.12,M,M
2000-03-12,62,30,0.62,T,M
2000-03-13,46,23,T,T,M
2000-03-14,51,23,0.00,M,M
2000-03-15,66,26,0.00,M,M
2000-03-16,72,38,T,M,M
2000-03-17,61,36,0.50,M,M
2000-03-18,48,24,0.00,M,M
2000-03-19,63,24,0.17,M,M
2000-03-20,63,45,0.15,M,M
2000-03-21,56,45,0.17,M,M
2000-03-22,57,38,0.00,M,M
2000-03-24,73,35,0.00,M,M
2000-03-25,80,37,0.03,M,M
2000-03-26,78,37,0.00,M,M
2000-03-27,71,37,0.10,M,M
2000-03-28,M,M,0.02,M,M
2000-03-29,M,M,0.04,M,M
2000-03-30,58,29,0.12,M,M
2000-03-31,64,29,0.00,M,M
2000-04-11,70,34,0.00,M,M
2000-04-12,59,42,0.48,M,M
2000-04-13,52,38,0.00,M,M
2000-04-14,58,31,T,M,M
2000-04-15,M,M,0.00,M,M
2000-04-16,73,43,T,M,M
2000-04-17,77,49,0.00,M,M
2000-04-18,66,49,0.90,M,M
2000-04-19,53,49,T,M,M
2000-04-20,72,45,0.00,M,M
2000-04-21,85,45,0.06,M,M
2000-04-22,55,42,0.20,M,M
2000-04-23,53,35,0.00,M,M
2000-04-24,69,35,0.00,M,M
2000-04-26,60,31,0.10,M,M
2000-04-28,M,M,0.00,M,M
2000-04-29,M,M,0.00,M,M
2000-04-30,M,M,0.00,M,M
2000-05-01,M,M,0.00,M,M
2000-05-02,M,M,0.05,M,M
2000-05-03,73,40,0.00,M,M
2000-05-04,86,44,0.07,M,M
2000-05-05,82,58,0.46,M,M
2000-05-06,84,56,0.00,M,M
2000-05-07,88,55,0.00,M,M
2000-05-08,88,55,0.00,M,M
2000-05-09,87,62,0.00,M,M
2000-05-10,87,62,0.00,M,M
2000-05-11,73,43,0.00,M,M
2000-05-12,86,43,0.00,M,M
2000-05-13,91,43,0.00,M,M
2000-05-14,77,44,0.15,M,M
2000-05-15,69,39,0.00,M,M
2000-05-16,72,39,0.00,M,M
2000-05-17,78,39,T,M,M
2000-05-18,79,53,0.04,M,M
2000-05-20,79,61,0.47,M,M
2000-05-21,72,57,0.07,M,M
2000-05-22,71,53,0.00,M,M
2000-05-23,75,53,0.03,M,M
2000-05-24,76,61,0.82,M,M
2000-05-25,86,61,0.05,M,M
2000-05-26,73,51,0.12,M,M
2000-05-27,77,51,0.20,M,M
2000-05-28,82,61,1.36,M,M
2000-05-29,78,58,0.03,M,M
2000-05-30,66,54,0.03,M,M
2000-05-31,79,55,0.00,M,M
2000-06-01,85,55,0.00,M,M
2000-06-02,88,60,0.00,M,M
2000-06-03,89,61,0.00,M,M
2000-06-04,79,54,0.00,M,M
2000-06-05,78,54,0.00,M,M
2000-06-06,80,55,0.12,M,M
2000-06-07,68,45,0.00,M,M
2000-06-08,77,45,0.00,M,M
2000-06-09,83,47,0.00,M,M
2000-06-11,90,61,0.00,M,M
2000-06-12,91,61,0.00,M,M
2000-06-13,92,63,0.00,M,M
2000-06-14,93,63,0.00,M,M
2000-06-15,93,68,0.45,M,M
2000-06-16,82,64,0.57,M,M
2000-06-17,85,64,T,M,M
2000-06-18,85,66,0.23,M,M
2000-06-19,77,67,1.95,M,M
2000-06-20,74,62,0.55,M,M
2000-06-21,83,62,0.54,M,M
2000-06-22,88,66,1.55,M,M
2000-06-23,85,60,0.00,M,M
2000-06-24,88,60,0.00,M,M
2000-06-25,90,60,0.00,M,M
2000-06-26,86,67,0.00,M,M
2000-06-27,85,67,0.63,M,M
2000-06-28,79,68,1.75,M,M
2000-06-29,82,66,0.02,M,M
2000-06-30,81,57,0.00,M,M
2000-07-01,80,57,0.00,M,M
2000-07-02,83,57,0.00,M,M
2000-07-03,87,57,0.00,M,M
2000-07-04,91,62,0.33,M,M
2000-07-05,85,70,0.93,M,M
2000-07-06,82,69,1.07,M,M
2000-07-07,86,65,0.00,M,M
2000-07-08,82,57,0.00,M,M
2000-07-09,85,57,0.00,M,M
2000-07-10,91,64,0.00,M,M
2000-07-11,91,69,0.30,M,M
2000-07-12,82,69,0.03,M,M
2000-07-13,83,69,T,M,M
2000-07-14,85,69,0.28,M,M
2000-07-15,88,63,0.78,M,M
2000-07-16,83,60,0.00,M,M
2000-07-17,82,61,0.00,M,M
2000-07-18,85,61,0.00,M,M
2000-07-19,83,62,0.00,M,M
2000-07-20,78,56,0.10,M,M
2000-07-21,79,56,0.00,M,M
2000-07-22,82,62,0.00,M,M
2000-07-23,81,59,0.00,M,M
2000-07-24,78,59,0.00,M,M
2000-07-25,79,60,0.00,M,M
2000-07-26,84,60,0.00,M,M
2000-07-27,85,63,0.00,M,M
2000-07-29,86,64,0.00,M,M
2000-07-30,85,65,0.25,M,M
2000-07-31,81,66,0.12,M,M
2000-08-01,85,68,0.18,M,M
2000-08-02,86,67,0.14,M,M
2000-08-03,86,66,0.25,M,M
2000-08-04,87,66,0.36,M,M
2000-08-05,83,65,0.07,M,M
2000-08-06,83,65,0.00,M,M
2000-08-07,91,70,0.05,M,M
2000-08-08,91,67,0.00,M,M
2000-08-09,91,67,0.20,M,M
2000-08-10,94,66,0.60,M,M
2000-08-11,85,62,0.00,M,M
2000-08-12,85,59,0.00,M,M
