date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1994-05-01,M,M,0.00,0.0,0
1994-05-02,M,M,0.00,0.0,0
1994-05-03,M,M,0.00,0.0,0
1994-05-04,M,M,0.25,0.0,0
1994-05-05,M,M,0.00,0.0,0
1994-05-06,M,M,0.35,0.0,0
1994-05-07,M,M,0.00,0.0,0
1994-05-08,M,M,0.00,0.0,0
1994-05-09,M,M,0.00,0.0,0
1994-05-10,M,M,0.00,0.0,0
1994-05-11,M,M,0.00,0.0,0
1994-05-12,M,M,0.00,0.0,0
1994-05-13,M,M,0.00,0.0,0
1994-05-14,M,M,0.15,0.0,0
1994-05-15,M,M,0.00,0.0,0
1994-05-16,M,M,0.00,0.0,0
1994-05-17,M,M,0.00,0.0,0
1994-05-18,M,M,0.00,0.0,0
1994-05-19,M,M,0.00,0.0,0
1994-05-20,M,M,0.00,0.0,0
1994-05-21,M,M,0.27,0.0,0
1994-05-22,M,M,0.00,0.0,0
1994-05-23,M,M,0.11,0.0,0
1994-05-24,M,M,0.09,0.0,0
1994-05-25,M,M,0.00,0.0,0
1994-05-26,M,M,0.00,0.0,0
1994-05-27,M,M,0.00,0.0,0
1994-05-28,M,M,0.00,0.0,0
1994-05-29,M,M,0.00,0.0,0
1994-05-30,M,M,0.00,0.0,0
1994-05-31,M,M,0.00,0.0,0
1994-06-01,M,M,1.24,0.0,0
1994-06-02,M,M,0.00,0.0,0
1994-06-03,M,M,0.00,0.0,0
1994-06-04,M,M,0.00,0.0,0
1994-06-05,M,M,0.00,0.0,0
1994-06-06,M,M,0.00,0.0,0
1994-06-07,M,M,0.00,0.0,0
1994-06-08,M,M,0.25,0.0,0
1994-06-09,M,M,0.73,0.0,0
1994-06-10,M,M,0.00,0.0,0
1994-06-11,M,M,0.00,0.0,0
1994-06-12,M,M,0.00,0.0,0
1994-06-13,M,M,0.00,0.0,0
1994-06-14,M,M,0.00,0.0,0
1994-06-15,M,M,0.00,0.0,0
1994-06-16,M,M,0.00,0.0,0
1994-06-17,M,M,0.00,0.0,0
