date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1985-04-01,M,M,0.00,0.0,0
1985-04-02,M,M,0.00,0.0,0
1985-04-03,M,M,0.00,0.0,0
1985-04-04,M,M,0.00,0.0,0
1985-04-05,M,M,0.00,0.0,0
1985-04-06,M,M,0.10,0.0,0
1985-04-07,M,M,0.00,0.0,0
1985-04-08,M,M,0.00,0.0,0
1985-04-09,M,M,0.00,0.0,0
1985-04-10,M,M,0.00,0.0,0
1985-04-11,M,M,0.00,0.0,0
1985-04-12,M,M,T,0.0,0
1985-04-13,M,M,0.00,0.0,0
1985-04-14,M,M,0.00,0.0,0
1985-04-15,M,M,T,0.0,0
1985-04-16,M,M,0.43,0.0,0
1985-04-17,M,M,0.00,0.0,0
1985-04-18,M,M,0.00,0.0,0
1985-04-19,M,M,0.00,0.0,0
1985-04-20,M,M,0.00,0.0,0
1985-04-21,M,M,0.00,0.0,0
1985-04-22,M,M,0.00,0.0,0
1985-04-23,M,M,0.17,0.0,0
1985-04-24,M,M,0.00,0.0,0
1985-04-25,M,M,0.00,0.0,0
1985-04-26,M,M,0.13,0.0,0
1985-04-27,M,M,0.60,0.0,0
1985-04-28,M,M,0.00,0.0,0
1985-04-29,M,M,0.00,0.0,0
1985-04-30,M,M,0.00,0.0,0
1985-05-01,M,M,0.00,0.0,0
1985-05-02,M,M,0.00,0.0,0
1985-05-03,M,M,0.00,0.0,0
1985-05-04,M,M,0.00,0.0,0
1985-05-05,M,M,0.00,0.0,0
1985-05-06,M,M,0.00,0.0,0
1985-05-07,M,M,0.00,0.0,0
1985-05-08,M,M,0.00,0.0,0
1985-05-09,M,M,0.70,0.0,0
1985-05-10,M,M,0.00,0.0,0
1985-05-11,M,M,0.00,0.0,0
1985-05-12,M,M,0.00,0.0,0
1985-05-13,M,M,0.06,0.0,0
1985-05-14,M,M,0.00,0.0,0
1985-05-15,M,M,0.70,0.0,0
1985-05-16,M,M,0.00,0.0,0
1985-05-17,M,M,0.00,0.0,0
1985-05-18,M,M,0.00,0.0,0
1985-05-19,M,M,0.00,0.0,0
1985-05-20,M,M,0.00,0.0,0
1985-05-21,M,M,0.00,0.0,0
1985-05-22,M,M,1.10,0.0,0
1985-05-23,M,M,0.00,0.0,0
1985-05-24,M,M,0.58,0.0,0
1985-05-25,M,M,0.00,0.0,0
1985-05-26,M,M,0.00,0.0,0
1985-05-27,M,M,0.00,0.0,0
1985-05-28,M,M,0.00,0.0,0
1985-05-29,M,M,0.00,0.0,0
1985-05-30,M,M,0.00,0.0,0
1985-05-31,M,M,0.00,0.0,0
1985-06-01,M,M,0.00,0.0,0
1985-06-02,M,M,0.00,0.0,0
1985-06-03,M,M,0.00,0.0,0
1985-06-04,M,M,0.00,0.0,0
1985-06-05,M,M,0.00,0.0,0
1985-06-06,M,M,0.00,0.0,0
1985-06-07,M,M,0.00,0.0,0
1985-06-08,M,M,0.00,0.0,0
1985-06-09,M,M,0.00,0.0,0
1985-06-10,M,M,0.16,0.0,0
1985-06-11,M,M,0.17,0.0,0
1985-06-12,M,M,0.00,0.0,0
1985-06-13,M,M,0.00,0.0,0
1985-06-14,M,M,0.00,0.0,0
1985-06-15,M,M,0.00,0.0,0
1985-06-16,M,M,0.00,0.0,0
1985-06-17,M,M,0.00,0.0,0
1985-06-18,M,M,0.00,0.0,0
1985-06-19,M,M,1.57,0.0,0
1985-06-20,M,M,0.01,0.0,0
1985-06-21,M,M,0.00,0.0,0
1985-06-22,M,M,0.00,0.0,0
1985-06-23,M,M,0.00,0.0,0
1985-06-24,M,M,0.19,0.0,0
1985-06-25,M,M,0.00,0.0,0
1985-06-26,M,M,0.07,0.0,0
1985-06-27,M,M,0.00,0.0,0
1985-06-28,M,M,0.00,0.0,0
1985-06-29,M,M,0.00,0.0,0
1985-06-30,M,M,0.00,0.0,0
1985-07-01,M,M,0.00,0.0,0
1985-07-02,M,M,0.00,0.0,0
1985-07-03,M,M,2.16,0.0,0
1985-07-04,M,M,0.64,0.0,0
1985-07-05,M,M,0.10,0.0,0
1985-07-06,M,M,0.20,0.0,0
1985-07-07,M,M,0.09,0.0,0
1985-07-08,M,M,0.00,0.0,0
1985-07-09,M,M,0.00,0.0,0
1985-07-10,M,M,0.00,0.0,0
1985-07-11,M,M,0.00,0.0,0
1985-07-12,M,M,0.00,0.0,0
1985-07-13,M,M,0.00,0.0,0
1985-07-14,M,M,T,0.0,0
1985-07-15,M,M,0.00,0.0,0
1985-07-16,M,M,0.00,0.0,0
1985-07-17,M,M,2.51,0.0,0
1985-07-18,M,M,0.09,0.0,0
1985-07-19,M,M,0.00,0.0,0
1985-07-20,M,M,0.61,0.0,0
1985-07-21,M,M,0.21,0.0,0
1985-07-22,M,M,0.09,0.0,0
1985-07-23,M,M,0.00,0.0,0
1985-07-24,M,M,0.00,0.0,0
