date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2009-02-12,M,M,0.06,M,M
2009-02-13,M,M,0.00,0.0,M
2009-02-14,M,M,4.30,M,M
2009-02-15,M,M,0.32,M,M
2009-02-16,M,M,0.00,0.0,M
2009-02-17,M,M,0.00,0.0,M
2009-02-18,M,M,0.00,0.0,M
2009-02-19,M,M,0.10,M,M
2009-02-20,M,M,0.00,0.0,M
2009-02-21,M,M,0.00,0.0,M
2009-02-22,M,M,0.00,0.0,M
2009-02-23,M,M,0.00,0.0,M
2009-02-24,M,M,0.00,0.0,M
2009-02-25,M,M,0.00,0.0,M
2009-02-26,M,M,0.00,0.0,M
2009-02-27,M,M,0.00,0.0,M
2009-02-28,M,M,0.01,M,M
2009-03-01,M,M,0.00,0.0,M
2009-03-02,M,M,0.00,0.0,M
2009-03-03,M,M,0.00,0.0,M
2009-03-04,M,M,0.00,0.0,M
2009-03-05,M,M,0.00,0.0,M
2009-03-06,M,M,0.00,0.0,M
2009-03-07,M,M,0.00,0.0,M
2009-03-08,M,M,0.00,0.0,M
2009-03-09,M,M,0.00,0.0,M
2009-03-10,M,M,T,M,M
2009-03-11,M,M,T,M,M
2009-03-13,M,M,0.00,0.0,M
2009-03-14,M,M,0.00,0.0,M
2009-03-15,M,M,1.93,M,M
2009-03-16,M,M,0.45,M,M
2009-03-17,M,M,0.46,M,M
2009-03-18,M,M,0.00,0.0,M
2009-03-19,M,M,0.00,0.0,M
2009-03-20,M,M,0.00,0.0,M
2009-03-21,M,M,0.00,0.0,M
2009-03-22,M,M,0.00,0.0,M
2009-03-23,M,M,0.00,0.0,M
2009-03-24,M,M,0.00,0.0,M
2009-03-25,M,M,0.11,M,M
2009-03-26,M,M,1.09,M,M
2009-03-27,M,M,2.53,M,M
2009-03-28,M,M,6.05,M,M
2009-03-29,M,M,0.12,M,M
2009-03-30,M,M,0.00,0.0,M
2009-03-31,M,M,0.00,0.0,M
2009-04-01,M,M,0.10,M,M
2009-04-02,M,M,0.00,0.0,M
2009-04-03,M,M,0.82,M,M
2009-04-04,M,M,0.00,0.0,M
2009-04-05,M,M,0.00,0.0,M
2009-04-06,M,M,0.00,0.0,M
2009-04-07,M,M,0.00,0.0,M
2009-04-08,M,M,0.00,0.0,M
2009-04-09,M,M,0.00,0.0,M
2009-04-11,M,M,0.00,0.0,M
2009-04-12,M,M,0.00,0.0,M
2009-04-13,M,M,1.05,M,M
2009-04-14,M,M,0.03,M,M
2009-04-15,M,M,0.00,0.0,M
2009-04-16,M,M,0.00,0.0,M
2009-04-17,M,M,0.00,0.0,M
2009-04-18,M,M,0.01,M,M
2009-04-19,M,M,0.02,M,M
2009-04-20,M,M,0.00,0.0,M
2009-04-21,M,M,0.00,0.0,M
2009-04-22,M,M,0.00,0.0,M
2009-04-23,M,M,T,M,M
2009-04-24,M,M,0.00,0.0,M
2009-04-25,M,M,0.00,0.0,M
2009-04-26,M,M,0.00,0.0,M
2009-04-27,M,M,0.00,0.0,M
2009-04-28,M,M,0.00,0.0,M
2009-04-29,M,M,0.00,0.0,M
2009-04-30,M,M,0.00,0.0,M
2009-05-01,M,M,0.00,0.0,M
2009-05-02,M,M,0.00,0.0,M
2009-05-03,M,M,0.00,0.0,M
2009-05-04,M,M,0.00,0.0,M
2009-05-05,M,M,0.03,M,M
2009-05-06,M,M,0.00,0.0,M
2009-05-07,M,M,0.00,0.0,M
2009-05-08,M,M,0.00,0.0,M
2009-05-09,M,M,0.00,0.0,M
2009-05-10,M,M,0.00,0.0,M
2009-05-11,M,M,0.00,0.0,M
2009-05-12,M,M,0.16,M,M
2009-05-13,M,M,0.00,0.0,M
2009-05-14,M,M,T,M,M
2009-05-15,M,M,0.00,0.0,M
2009-05-16,M,M,0.00,0.0,M
2009-05-17,M,M,0.00,0.0,M
2009-05-18,M,M,0.62,M,M
2009-05-19,M,M,0.00,0.0,M
2009-05-20,M,M,0.00,0.0,M
2009-05-21,M,M,0.00,0.0,M
2009-05-22,M,M,0.00,0.0,M
2009-05-23,M,M,0.03,M,M
2009-05-24,M,M,0.05,M,M
2009-05-25,M,M,0.04,M,M
2009-05-26,M,M,0.72,M,M
2009-05-27,M,M,0.00,0.0,M
2009-05-28,M,M,0.00,0.0,M
2009-05-29,M,M,0.00,0.0,M
2009-05-30,M,M,0.00,0.0,M
2009-05-31,M,M,0.00,0.0,M
2009-06-01,M,M,0.00,0.0,M
2009-06-02,M,M,0.00,0.0,M
2009-06-03,M,M,0.00,0.0,M
2009-06-04,M,M,0.15,M,M
2009-06-05,M,M,0.00,0.0,M
2009-06-06,M,M,0.00,0.0,M
2009-06-07,M,M,0.00,0.0,M
2009-06-08,M,M,0.00,0.0,M
2009-06-09,M,M,0.00,0.0,M
2009-06-10,M,M,0.00,0.0,M
2009-06-11,M,M,0.00,0.0,M
2009-06-12,M,M,0.00,0.0,M
2009-06-13,M,M,0.00,0.0,M
2009-06-14,M,M,0.00,0.0,M
2009-06-15,M,M,0.00,0.0,M
2009-06-16,M,M,0.00,0.0,M
2009-06-17,M,M,0.00,0.0,M
2009-06-18,M,M,0.00,0.0,M
2009-06-19,M,M,0.00,0.0,M
2009-06-20,M,M,0.00,0.0,M
2009-06-22,M,M,0.00,0.0,M
2009-06-24,M,M,0.00,0.0,M
2009-06-25,M,M,0.00,0.0,M
2009-06-27,M,M,0.00,0.0,M
2009-06-28,M,M,0.00,0.0,M
2009-06-29,M,M,0.17,M,M
2009-06-30,M,M,0.24,M,M
2009-07-01,M,M,0.00,0.0,M
2009-07-02,M,M,0.00,0.0,M
2009-07-03,M,M,0.05,M,M
2009-07-04,M,M,0.00,0.0,M
2009-07-05,M,M,0.65,M,M
2009-07-06,M,M,0.00,0.0,M
2009-07-07,M,M,1.17,M,M
2009-07-08,M,M,0.22,M,M
2009-07-10,M,M,0.00,0.0,M
2009-07-11,M,M,0.00,0.0,M
2009-07-12,M,M,0.00,0.0,M
2009-07-13,M,M,0.11,M,M
2009-07-14,M,M,0.86,M,M
2009-07-15,M,M,0.05,M,M
2009-07-16,M,M,0.00,0.0,M
2009-07-17,M,M,0.00,0.0,M
2009-07-18,M,M,0.04,M,M
2009-07-19,M,M,0.00,0.0,M
2009-07-20,M,M,0.00,0.0,M
2009-07-21,M,M,0.00,0.0,M
2009-07-22,M,M,0.00,0.0,M
2009-07-23,M,M,0.00,0.0,M
2009-07-24,M,M,0.00,0.0,M
2009-07-25,M,M,0.00,0.0,M
2009-07-26,M,M,0.00,0.0,M
2009-07-27,M,M,0.04,M,M
2009-07-28,M,M,0.02,M,M
2009-07-29,M,M,0.53,M,M
2009-07-30,M,M,0.00,0.0,M
2009-07-31,M,M,0.84,M,M
2009-08-01,M,M,0.00,0.0,M
2009-08-02,M,M,0.03,M,M
2009-08-03,M,M,0.09,M,M
2009-08-04,M,M,3.32,M,M
2009-08-05,M,M,0.00,0.0,M
2009-08-06,M,M,0.03,M,M
2009-08-07,M,M,0.00,0.0,M
2009-08-08,M,M,0.00,0.0,M
2009-08-09,M,M,0.41,M,M
2009-08-10,M,M,0.15,M,M
2009-08-11,M,M,0.07,M,M
2009-08-12,M,M,0.09,M,M
2009-08-13,M,M,0.29,M,M
2009-08-14,M,M,0.00,0.0,M
2009-08-15,M,M,0.00,0.0,M
2009-08-16,M,M,0.00,0.0,M
2009-08-17,M,M,0.75,M,M
2009-08-18,M,M,0.41,M,M
2009-08-19,M,M,0.34,M,M
2009-08-20,M,M,0.02,M,M
2009-08-21,M,M,0.04,M,M
2009-08-22,M,M,0.91,M,M
2009-08-23,M,M,0.00,0.0,M
2009-08-24,M,M,0.00,0.0,M
2009-08-25,M,M,0.00,0.0,M
2009-08-26,M,M,0.00,0.0,M
2009-08-27,M,M,0.00,0.0,M
2009-08-28,M,M,0.00,0.0,M
2009-08-29,M,M,0.34,M,M
2009-08-30,M,M,0.03,M,M
2009-09-01,M,M,0.00,0.0,M
2009-09-02,M,M,0.00,0.0,M
2009-09-03,M,M,0.00,0.0,M
2009-09-04,M,M,0.00,0.0,M
2009-09-05,M,M,0.85,M,M
2009-09-06,M,M,0.10,M,M
2009-09-07,M,M,0.01,M,M
2009-09-08,M,M,0.00,0.0,M
