date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1979-08-01,86,40,0.00,0.0,0
1979-08-02,89,44,0.00,0.0,0
1979-08-03,87,43,0.00,0.0,0
1979-08-04,95,43,0.00,0.0,0
1979-08-05,91,44,0.00,0.0,0
1979-08-06,90,49,0.00,0.0,0
1979-08-07,79,52,0.14,0.0,0
1979-08-08,80,46,0.19,0.0,0
1979-08-09,77,51,0.02,0.0,0
1979-08-10,84,48,0.00,0.0,0
1979-08-11,85,49,0.00,0.0,0
1979-08-12,87,52,0.00,0.0,0
1979-08-13,72,54,0.12,0.0,0
1979-08-14,79,46,0.05,0.0,0
1979-08-15,71,39,0.02,0.0,0
1979-08-16,72,38,0.21,0.0,0
1979-08-17,72,40,0.05,0.0,0
1979-08-18,70,41,0.37,0.0,0
1979-08-19,66,42,0.06,0.0,0
1979-08-20,69,41,0.00,0.0,0
1979-08-21,72,42,0.00,0.0,0
1979-08-22,73,38,0.00,0.0,0
1979-08-23,76,36,0.00,0.0,0
1979-08-24,82,35,0.00,0.0,0
1979-08-25,79,33,0.00,0.0,0
1979-08-26,80,34,0.00,0.0,0
1979-08-27,82,37,0.00,0.0,0
1979-08-28,85,37,0.00,0.0,0
1979-08-29,87,44,0.00,0.0,0
1979-08-30,82,41,0.00,0.0,0
1979-08-31,72,34,0.00,0.0,0
1979-09-01,79,35,0.00,0.0,0
1979-09-02,81,37,0.00,0.0,0
1979-09-03,82,37,0.00,0.0,0
1979-09-04,83,37,0.00,0.0,0
1979-09-05,81,38,0.00,0.0,0
1979-09-06,85,39,0.00,0.0,0
1979-09-07,86,39,0.00,0.0,0
1979-09-08,85,47,0.00,0.0,0
1979-09-09,85,41,0.00,0.0,0
1979-09-10,83,35,0.00,0.0,0
1979-09-11,78,32,0.00,0.0,0
1979-09-12,78,29,0.00,0.0,0
1979-09-13,77,29,0.00,0.0,0
1979-09-14,88,30,0.00,0.0,0
1979-09-15,78,28,0.00,0.0,0
1979-09-16,81,28,0.00,0.0,0
1979-09-17,82,30,0.00,0.0,0
1979-09-18,82,32,0.00,0.0,0
1979-09-19,81,35,0.00,0.0,0
1979-09-20,78,31,0.00,0.0,0
1979-09-21,77,31,0.00,0.0,0
1979-09-22,78,34,0.00,0.0,0
1979-09-23,80,36,0.00,0.0,0
1979-09-24,76,34,0.00,0.0,0
1979-09-25,75,34,M,0.0,0
1979-09-26,73,34,M,0.0,0
1979-09-27,69,31,0.00,0.0,0
1979-09-28,74,31,0.00,0.0,0
1979-09-29,76,31,0.00,0.0,0
1979-09-30,75,30,0.00,0.0,0
1979-10-01,73,33,0.00,0.0,M
1979-10-02,77,34,0.00,0.0,M
1979-10-03,77,34,0.00,0.0,M
1979-10-04,73,32,0.00,0.0,M
1979-10-05,79,32,0.00,0.0,M
1979-10-06,79,36,0.00,0.0,M
1979-10-07,80,33,0.00,0.0,M
1979-10-08,75,36,0.00,0.0,M
1979-10-09,74,27,0.00,0.0,M
1979-10-10,75,26,0.00,0.0,M
1979-10-11,78,31,0.00,0.0,M
1979-10-12,75,32,0.00,0.0,M
1979-10-13,72,32,0.00,0.0,M
1979-10-14,71,32,0.00,0.0,M
1979-10-15,68,34,0.00,0.0,M
1979-10-16,58,26,0.00,0.0,M
1979-10-17,64,27,0.00,0.0,M
1979-10-18,63,31,0.00,0.0,M
1979-10-19,60,40,0.01,0.0,M
1979-10-20,63,31,0.26,0.5,M
1979-10-21,49,29,0.00,0.0,M
1979-10-22,46,21,0.00,0.0,M
1979-10-23,60,25,0.00,0.0,M
1979-10-24,66,26,0.00,0.0,M
1979-10-25,70,38,0.00,0.0,M
1979-10-26,70,26,0.03,0.0,M
1979-10-27,55,16,0.00,0.0,M
1979-10-28,62,20,0.02,0.2,M
1979-10-29,50,22,0.21,2.0,M
1979-10-30,37,10,0.00,0.0,M
1979-10-31,39,21,0.05,0.5,M
1979-11-01,41,19,T,0.0,M
1979-11-02,45,18,0.00,0.0,M
1979-11-03,53,32,0.00,0.0,M
1979-11-04,50,31,0.18,0.1,M
1979-11-05,44,13,0.00,0.0,M
1979-11-06,51,25,0.00,0.0,M
1979-11-07,54,25,0.00,0.0,M
1979-11-08,55,23,0.00,0.0,M
1979-11-09,53,18,0.00,0.0,M
1979-11-10,50,9,0.00,0.0,M
1979-11-11,49,15,0.00,0.0,M
1979-11-12,48,16,0.00,0.0,M
1979-11-13,56,18,0.00,0.0,M
1979-11-14,54,15,0.00,0.0,M
1979-11-15,58,11,0.00,0.0,M
1979-11-16,61,14,0.00,0.0,M
1979-11-17,61,M,0.00,0.0,M
1979-11-18,48,25,0.03,T,M
1979-11-19,40,11,0.00,0.0,M
1979-11-20,31,6,0.00,0.0,M
1979-11-21,32,-2,0.00,0.0,M
1979-11-22,36,-3,0.00,0.0,M
1979-11-23,42,20,T,T,M
1979-11-24,40,14,0.06,0.7,M
1979-11-25,48,24,0.00,0.0,M
1979-11-26,50,27,0.00,0.0,M
1979-11-27,29,2,0.00,0.0,M
1979-11-28,33,2,0.00,0.0,M
1979-11-29,33,7,0.00,0.0,M
1979-11-30,39,9,0.00,0.0,M
1979-12-01,46,9,M,0.0,M
1979-12-02,52,10,M,0.0,M
1979-12-03,54,23,M,0.0,M
1979-12-04,57,18,M,0.0,M
1979-12-05,57,21,M,0.0,M
1979-12-06,47,12,M,0.0,M
1979-12-07,50,15,M,0.0,M
1979-12-08,54,14,M,0.0,M
1979-12-09,57,14,M,0.0,M
1979-12-10,61,25,M,0.0,M
1979-12-11,50,-2,M,0.0,M
1979-12-12,27,-4,M,0.0,M
1979-12-13,43,2,M,0.0,M
1979-12-14,47,6,M,0.0,M
1979-12-15,53,8,M,0.0,M
1979-12-16,57,8,M,0.0,M
1979-12-17,56,6,M,0.0,M
1979-12-18,60,7,M,0.0,M
1979-12-19,60,23,M,0.0,M
1979-12-20,50,9,M,0.0,M
1979-12-21,50,14,M,1.5,M
1979-12-22,38,19,M,1.0,M
1979-12-23,33,-8,M,0.0,M
1979-12-24,M,M,M,0.0,M
1979-12-25,32,10,M,T,M
1979-12-26,48,6,M,0.0,M
1979-12-27,37,-1,M,0.0,M
1979-12-28,34,-3,M,0.0,M
1979-12-29,38,4,M,0.0,M
1979-12-30,43,6,M,0.0,M
1979-12-31,45,13,M,0.0,M
1980-01-01,45,19,0.45,1.3,1
1980-01-02,40,13,0.00,0.0,0
1980-01-03,41,12,0.00,0.0,0
1980-01-04,39,10,0.00,0.0,0
1980-01-05,43,19,0.00,0.0,0
1980-01-06,50,27,0.00,0.0,0
1980-01-07,46,17,0.00,0.0,0
1980-01-08,45,27,0.00,0.0,0
1980-01-09,48,26,0.00,0.0,0
1980-01-10,45,31,0.18,0.5,1
1980-01-11,33,4,0.00,0.0,1
1980-01-12,44,16,0.06,0.5,0
1980-01-13,55,32,0.10,0.0,0
1980-01-14,51,32,0.00,0.0,0
1980-01-15,50,26,0.00,0.0,0
1980-01-16,42,27,0.02,0.0,0
1980-01-17,40,29,0.04,0.0,0
1980-01-18,40,22,0.20,1.5,2
1980-01-19,25,19,0.00,0.0,M
1980-01-20,28,-2,0.00,0.0,M
1980-01-21,29,5,0.00,0.0,M
1980-01-22,38,18,0.00,0.0,M
1980-01-23,32,10,0.00,0.0,0
1980-01-24,41,15,0.00,0.0,0
1980-01-25,47,17,0.00,0.0,0
1980-01-26,48,19,0.00,0.0,0
1980-01-27,46,27,0.00,0.0,0
1980-01-28,44,10,0.03,0.4,T
1980-01-29,32,18,0.24,6.0,6
1980-01-30,31,-24,0.00,0.0,M
1980-01-31,M,M,0.00,0.0,M
1980-02-01,28,-8,0.00,0.0,M
1980-02-02,46,12,0.00,0.0,M
1980-02-03,44,19,0.00,0.0,M
1980-02-04,51,23,0.00,0.0,M
1980-02-05,44,22,0.00,0.0,M
1980-02-06,50,28,0.02,0.5,M
1980-02-07,47,27,0.00,0.0,M
1980-02-08,35,17,0.00,0.0,M
1980-02-09,39,11,0.00,0.0,M
1980-02-10,48,15,0.00,0.0,M
1980-02-11,48,15,0.00,0.0,M
1980-02-12,48,19,0.00,0.0,M
1980-02-13,50,19,0.00,0.0,M
1980-02-14,48,19,0.02,0.0,M
1980-02-15,42,30,0.00,0.0,M
1980-02-16,49,23,0.00,0.0,M
1980-02-17,43,27,0.00,0.0,M
1980-02-18,50,32,0.19,0.0,M
1980-02-19,50,33,0.09,0.0,M
1980-02-20,48,29,0.15,0.5,M
1980-02-21,40,26,0.03,0.0,M
1980-02-22,44,21,0.04,0.0,M
1980-02-23,41,24,0.00,0.0,M
1980-02-24,45,20,0.00,0.0,M
1980-02-25,53,23,0.00,0.0,M
1980-02-26,57,23,0.00,0.0,M
1980-02-27,62,25,0.00,0.0,M
1980-02-28,65,34,0.00,0.0,M
1980-02-29,51,20,0.00,0.0,M
1980-03-01,48,15,0.00,0.0,M
1980-03-02,50,18,0.00,0.0,M
1980-03-03,54,32,0.14,0.5,M
1980-03-04,38,22,0.19,0.8,M
1980-03-05,46,28,0.00,0.0,M
