date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1999-04-01,29,20,M,M,M
1999-04-02,28,16,0.31A,5.0A,M
1999-04-03,35,25,0.00,0.0,M
1999-04-04,36,12,0.04,1.0,M
1999-04-05,40,12,0.00,0.0,M
1999-04-06,40,28,0.98,11.0,M
1999-04-07,41,23,0.00,0.0,M
1999-04-09,46,20,0.40,5.0,M
1999-04-10,46,-3,0.00,0.0,M
1999-04-11,M,M,0.00,0.0,M
1999-04-12,51,21,0.00,0.0,M
1999-04-13,58,25,0.00,0.0,M
1999-04-14,59,25,0.00,0.0,M
1999-04-15,53,14,0.00,0.0,M
1999-04-16,54,15,0.00,0.0,M
1999-04-17,62,22,0.00,0.0,M
1999-04-18,68,27,0.00,0.0,M
1999-04-19,71,36,0.00,0.0,0
1999-04-20,71,36,0.02,0.0,0
1999-04-21,57,28,0.01,0.0,0
1999-04-22,43,20,0.05,0.5,M
1999-04-23,M,M,M,0.0,M
1999-04-24,M,M,M,0.0,M
1999-04-25,52,28,0.28,0.0,M
1999-04-26,64,45,0.00,0.0,0
1999-04-27,58,38,0.02,0.0,0
1999-04-28,60,29,0.00,0.0,0
1999-04-29,38,31,0.55,2.0,0
1999-04-30,49,29,0.09,0.0,0
1999-05-01,38,28,0.31,0.0,0
1999-05-02,53,31,0.04,0.0,0
1999-05-03,49,31,0.49,2.0,1
1999-05-04,39,29,0.15,1.5,1
1999-05-05,42,20,T,T,0
1999-05-06,53,24,0.00,0.0,0
1999-05-07,66,34,0.00,0.0,0
1999-05-08,65,30,0.00,0.0,0
1999-05-09,58,24,0.00,0.0,0
1999-05-10,45,20,0.00,0.0,0
1999-05-11,45,32,0.00,0.0,0
1999-05-12,58,37,0.00,0.0,0
1999-05-13,60,31,0.09,0.0,0
1999-05-14,60,18,0.00,0.0,0
1999-05-15,52,26,0.04,0.2,T
1999-05-16,45,17,0.00,0.0,0
1999-05-17,55,21,0.00,0.0,0
1999-05-18,67,35,0.00,0.0,0
1999-05-19,68,38,0.00,0.0,0
1999-05-20,67,31,0.00,0.0,0
1999-05-21,M,M,M,0.0,0
1999-05-22,M,M,M,0.0,0
1999-05-23,M,M,M,0.0,0
1999-05-24,76,33,0.01,0.0,0
1999-05-25,73,36,0.00,0.0,0
1999-05-26,75,40,T,0.0,0
1999-05-27,73,36,0.00,0.0,0
1999-05-28,77,36,0.01,0.0,0
1999-05-29,M,M,M,0.0,0
1999-05-30,73,34,0.08,0.0,0
1999-05-31,63,30,0.00,0.0,0
1999-06-01,65,38,0.00,0.0,0
1999-06-02,71,38,0.16,0.0,0
1999-06-03,55,37,0.45,0.0,0
1999-06-04,50,27,0.04,0.0,0
1999-06-05,60,32,0.02,0.0,0
1999-06-06,60,39,0.25,0.0,0
1999-06-07,65,32,0.00,0.0,0
1999-06-08,64,37,0.00,0.0,0
1999-06-09,60,27,0.00,0.0,0
1999-06-10,63,31,0.00,0.0,0
1999-06-11,67,31,0.00,0.0,0
1999-06-12,77,35,0.00,0.0,0
1999-06-13,78,41,0.00,0.0,0
1999-06-14,80,40,0.00,0.0,0
1999-06-15,83,40,0.00,0.0,0
1999-06-16,M,40,0.00,0.0,0
1999-06-17,83,41,0.00,0.0,0
1999-06-18,81,40,0.00,0.0,0
1999-06-19,83,41,0.00,0.0,0
1999-06-20,M,40,0.00,0.0,0
1999-06-21,M,46,0.00,0.0,0
1999-06-22,77,39,0.00,0.0,0
1999-06-23,76,39,0.00,0.0,0
1999-06-24,79,41,0.00,0.0,0
1999-06-25,81,44,T,0.0,0
1999-06-26,72,31,0.00,0.0,0
1999-06-27,75,33,0.00,0.0,0
1999-06-28,74,34,0.00,0.0,0
1999-06-29,78,34,0.00,0.0,0
1999-06-30,78,47,0.00,0.0,0
1999-07-01,80,40,0.00,0.0,0
1999-07-02,84,46,0.00,0.0,0
1999-07-03,85,40,0.00,0.0,0
1999-07-04,M,M,0.00,0.0,0
1999-07-05,M,M,0.00,0.0,0
1999-07-06,M,M,0.00,0.0,0
1999-07-07,M,M,0.00,0.0,0
1999-07-08,M,M,0.00,0.0,0
1999-07-09,M,M,0.00,0.0,0
1999-07-10,M,M,0.00,0.0,0
1999-07-11,M,41,0.00,0.0,0
1999-07-12,86,42,0.00,0.0,0
1999-07-13,88,46,0.00,0.0,0
1999-07-14,90,53,0.00,0.0,0
1999-07-15,77,41,0.00,0.0,0
1999-07-16,80,40,0.00,0.0,0
1999-07-17,80,48,0.00,0.0,0
1999-07-18,80,38,0.02,0.0,0
1999-07-19,82,40,0.00,0.0,0
1999-07-20,81,47,0.00,0.0,0
1999-07-21,80,35,0.00,0.0,0
1999-07-22,83,35,0.00,0.0,0
1999-07-23,85,36,0.00,0.0,0
1999-07-24,87,52,0.00,0.0,0
1999-07-25,78,33,0.00,0.0,0
1999-07-26,84,35,0.00,0.0,0
1999-07-27,88,44,0.00,0.0,0
1999-07-28,89,48,0.00,0.0,0
1999-07-29,86,48,0.00,0.0,0
1999-07-30,M,M,0.00,0.0,0
1999-07-31,M,M,0.00,0.0,0
1999-08-01,M,M,0.00,0.0,0
1999-08-02,M,47,0.00,0.0,0
1999-08-03,85,55,0.00,0.0,0
1999-08-04,84,42,T,0.0,0
1999-08-05,82,43,0.01,0.0,0
1999-08-06,82,38,0.00,0.0,0
1999-08-07,82,37,0.00,0.0,0
1999-08-08,79,36,0.00,0.0,0
1999-08-09,83,37,0.00,0.0,0
1999-08-10,83,45,0.00,0.0,0
1999-08-11,M,M,0.12,M,M
1999-08-12,M,M,0.00,0.0,M
1999-08-13,M,M,0.00,0.0,M
1999-08-14,M,M,0.00,0.0,M
1999-08-15,M,32,0.00,0.0,M
1999-08-16,77,32,0.00,0.0,M
1999-08-17,83,34,0.00,0.0,0
1999-08-18,85,44,0.00,0.0,0
1999-08-19,85,42,0.03,0.0,0
1999-08-20,84,44,0.00,0.0,0
1999-08-21,86,43,0.14,0.0,0
1999-08-22,84,45,0.00,0.0,0
1999-08-23,82,51,0.04,0.0,0
1999-08-24,87,49,0.01,0.0,0
1999-08-25,85,42,0.00,0.0,0
1999-08-26,84,39,0.00,0.0,0
1999-08-27,85,44,0.00,0.0,0
1999-08-28,79,37,0.01,0.0,0
1999-08-29,82,38,0.00,0.0,0
1999-08-30,85,M,0.00,0.0,0
1999-08-31,83,27,0.00,0.0,0
1999-09-01,65,26,0.00,0.0,0
1999-09-02,65,36,0.00,0.0,0
1999-09-03,65,32,0.00,0.0,0
1999-09-04,63,23,0.00,0.0,0
1999-09-05,69,26,0.00,0.0,0
1999-09-06,80,M,0.00,0.0,0
1999-09-07,80,31,0.00,0.0,0
1999-09-08,77,27,0.00,0.0,0
1999-09-09,82,M,0.00,0.0,0
1999-09-10,84,38,0.00,0.0,0
1999-09-11,76,35,0.00,0.0,0
1999-09-12,77,26,0.00,0.0,0
1999-09-13,79,32,0.00,0.0,0
1999-09-14,76,43,0.04,0.0,0
1999-09-15,76,31,0.00,0.0,0
1999-09-16,77,M,0.00,0.0,0
1999-09-17,78,39,0.00,0.0,0
1999-09-18,80,36,0.00,0.0,0
1999-09-19,73,36,0.00,0.0,0
1999-09-20,74,34,0.04,0.0,0
1999-09-21,76,35,0.00,0.0,0
1999-09-22,79,36,0.00,0.0,0
1999-09-23,77,M,0.00,0.0,0
1999-09-24,77,39,0.00,0.0,0
1999-09-25,75,M,0.00,0.0,0
1999-09-26,76,26,0.00,0.0,0
1999-09-27,M,17,0.00,0.0,0
1999-09-28,56,13,0.00,0.0,0
1999-09-29,60,16,0.00,0.0,0
1999-09-30,73,M,0.00,0.0,0
1999-10-01,M,M,0.00,0.0,0
1999-10-02,M,M,0.00,0.0,0
1999-10-03,M,M,0.00,0.0,0
1999-10-04,M,M,0.00,0.0,0
1999-10-05,M,26,0.00,0.0,0
1999-10-06,73,32,0.00,0.0,0
1999-10-07,48,29,0.11,0.0,0
1999-10-08,59,25,0.00,0.0,0
1999-10-09,70,25,0.00,0.0,0
1999-10-10,77,26,0.00,0.0,0
1999-10-11,79,28,0.00,0.0,0
1999-10-12,77,28,0.00,0.0,0
