date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2002-02-01,26,-4,0.00,0.0,0
2002-02-02,26,-4,0.00,0.0,0
2002-02-03,35,-3,0.00,0.0,0
2002-02-04,40,-3,0.00,0.0,0
2002-02-05,40,1,0.00,0.0,0
2002-02-06,38,-1,0.00,0.0,0
2002-02-07,44,-5,0.00,0.0,0
2002-02-08,44,22,0.00,0.0,0
2002-02-09,34,5,0.00,0.0,0
2002-02-10,33,-1,0.00,0.0,0
2002-02-11,35,-2,0.00,0.0,0
2002-02-12,45,8,0.00,0.0,0
2002-02-13,52,5,0.00,0.0,0
2002-02-14,37,6,0.00,0.0,0
2002-02-15,44,10,0.00,0.0,0
2002-02-16,44,9,0.00,0.0,0
2002-02-17,44,19,0.00,0.0,0
2002-02-18,42,23,0.34,M,5
2002-02-19,38,3,0.03,0.0,2
2002-02-20,36,4,0.48,M,6
2002-02-21,43,14,0.00,0.0,M
2002-02-22,44,13,0.00,0.0,M
2002-02-23,53,18,0.00,0.0,M
2002-02-24,53,23,0.00,0.0,M
2002-02-25,53,25,0.00,0.0,0
2002-02-26,41,13,0.00,0.0,0
2002-02-27,42,13,0.00,0.0,0
2002-02-28,45,13,0.00,0.0,0
2002-03-01,47,8,0.00,0.0,0
2002-03-02,26,7,0.00,0.0,0
2002-03-03,30,5,0.00,0.0,0
2002-03-04,39,M,0.00,0.0,0
2002-03-05,47,11,0.00,0.0,0
2002-03-06,52,14,0.00,0.0,0
2002-03-07,47,26,0.00,0.0,0
2002-03-08,47,10,0.10,M,1
2002-03-09,37,6,0.00,0.0,M
2002-03-10,40,6,0.00,0.0,M
2002-03-11,42,18,0.00,0.0,M
2002-03-12,47,18,0.00,0.0,0
2002-03-13,56,32,0.00,0.0,0
2002-03-14,35,15,0.00,0.0,0
2002-03-15,32,7,0.00,0.0,0
2002-03-16,33,7,0.00,0.0,0
2002-03-17,30,1,0.16,M,3
2002-03-18,26,2,0.00,0.0,M
2002-03-19,51,8,0.00,0.0,M
2002-03-20,48,11,0.00,0.0,M
2002-03-21,57,21,0.00,0.0,M
2002-03-22,60,24,0.00,0.0,0
2002-03-23,60,24,0.00,0.0,0
2002-03-24,44,20,0.00,0.0,0
2002-03-25,42,20,0.00,0.0,0
2002-03-26,47,23,0.00,0.0,0
2002-03-27,53,23,0.00,0.0,0
2002-03-28,58,25,0.00,0.0,0
2002-03-29,60,26,0.00,0.0,0
2002-03-30,60,26,0.00,0.0,0
2002-03-31,61,25,0.00,0.0,0
2002-04-01,68,25,0.00,0.0,0
2002-04-02,68,27,0.00,0.0,0
2002-04-03,68,27,0.00,0.0,0
2002-04-04,67,29,0.00,0.0,0
2002-04-05,70,29,0.00,0.0,0
2002-04-06,67,30,0.00,0.0,0
2002-04-07,M,M,0.00,0.0,0
2002-04-08,67,27,0.00,0.0,0
2002-04-09,63,27,0.00,0.0,0
2002-04-10,65,31,0.00,0.0,0
2002-04-11,65,30,0.00,0.0,0
2002-04-12,65,31,0.00,0.0,0
2002-04-13,65,29,0.00,0.0,0
2002-04-14,72,28,0.00,0.0,0
2002-04-15,76,37,0.00,0.0,0
2002-04-16,60,15,0.06,M,M
2002-04-17,60,14,0.00,0.0,0
2002-04-18,37,15,0.34,M,2
2002-04-19,M,M,0.00,0.0,M
2002-04-20,40,24,0.00,0.0,M
2002-04-21,42,17,0.00,0.0,M
2002-04-22,54,M,0.00,0.0,0
2002-04-23,64,27,0.00,0.0,0
2002-04-24,67,25,0.00,0.0,0
2002-04-25,68,25,0.00,0.0,0
2002-04-26,63,36,0.00,0.0,0
2002-04-27,63,35,0.30,0.0,0
2002-04-28,50,31,0.00,0.0,0
2002-04-29,58,28,0.00,0.0,0
2002-04-30,64,28,0.00,0.0,0
2002-05-01,64,28,M,M,1
2002-05-02,64,27,0.00,0.0,M
2002-05-03,64,27,0.00,0.0,M
2002-05-04,60,29,0.00,0.0,0
2002-05-05,69,29,0.00,0.0,0
2002-05-06,M,M,0.00,0.0,0
2002-05-07,69,29,0.00,0.0,0
2002-05-08,72,16,0.00,0.0,0
2002-05-09,48,M,0.00,0.0,0
2002-05-10,66,22,0.00,0.0,0
2002-05-11,66,28,0.00,0.0,0
2002-05-12,51,24,0.00,0.0,0
2002-05-13,67,24,0.00,0.0,0
2002-05-14,74,31,0.00,0.0,0
2002-05-15,71,35,0.00,0.0,0
2002-05-16,70,35,0.00,0.0,0
2002-05-17,78,45,0.00,0.0,0
2002-05-18,78,45,0.00,0.0,0
2002-05-19,77,45,0.00,0.0,0
2002-05-20,77,44,0.00,0.0,0
2002-05-21,61,29,0.09,M,1
2002-05-22,48,25,0.00,0.0,M
2002-05-23,54,24,0.00,0.0,M
2002-05-24,56,24,0.00,0.0,0
2002-05-25,70,27,0.00,0.0,0
2002-05-26,73,29,0.00,0.0,0
2002-05-27,76,27,0.00,0.0,0
2002-05-28,77,37,0.00,0.0,0
2002-05-29,78,37,0.00,0.0,0
2002-05-30,84,37,0.00,0.0,0
2002-05-31,88,37,0.00,0.0,0
2002-06-01,88,M,0.00,0.0,0
2002-06-02,78,40,0.00,0.0,0
2002-06-03,78,41,0.00,0.0,0
2002-06-04,69,34,0.00,0.0,0
2002-06-05,75,33,0.00,0.0,0
2002-06-06,83,40,0.00,0.0,0
2002-06-07,87,42,0.00,0.0,0
2002-06-08,85,48,0.00,0.0,0
2002-06-09,85,35,0.00,0.0,0
2002-06-10,55,24,0.00,0.0,0
2002-06-11,64,M,0.00,0.0,0
2002-06-12,74,29,0.00,0.0,0
2002-06-13,80,M,0.00,0.0,0
2002-06-14,84,40,0.00,0.0,0
2002-06-15,86,40,0.00,0.0,0
2002-06-16,88,44,0.00,0.0,0
2002-06-17,89,42,0.00,0.0,0
2002-06-18,87,43,0.00,0.0,0
2002-06-19,87,43,0.00,0.0,0
2002-06-20,82,49,0.00,0.0,0
2002-06-21,85,45,0.00,0.0,0
2002-06-22,79,46,0.00,0.0,0
2002-06-23,79,43,0.00,0.0,0
2002-06-24,86,43,0.00,0.0,0
2002-06-25,88,46,0.00,0.0,0
2002-06-26,88,46,0.00,0.0,0
2002-06-27,89,45,0.00,0.0,0
2002-06-28,89,45,0.00,0.0,0
2002-06-29,89,47,0.00,0.0,0
2002-06-30,90,47,0.00,0.0,0
2002-07-01,90,47,0.00,0.0,0
2002-07-02,94,52,0.00,0.0,0
2002-07-03,88,52,0.00,0.0,0
2002-07-04,88,50,0.00,0.0,0
2002-07-05,89,50,0.00,0.0,0
2002-07-06,89,49,0.00,0.0,0
2002-07-07,90,M,0.00,0.0,0
2002-07-08,91,50,0.00,0.0,0
2002-07-09,94,50,0.00,0.0,0
2002-07-10,97,51,0.00,0.0,0
2002-07-11,M,M,0.00,0.0,0
2002-07-12,97,51,0.00,0.0,0
2002-07-13,98,50,0.00,0.0,0
2002-07-14,100,60,0.00,0.0,0
2002-07-15,94,55,0.00,0.0,0
2002-07-16,91,55,0.00,0.0,0
2002-07-17,85,49,0.00,0.0,0
2002-07-18,84,49,0.00,0.0,0
2002-07-19,84,46,0.06,0.0,0
2002-07-20,84,46,0.00,0.0,0
2002-07-21,87,49,0.00,0.0,0
2002-07-22,91,50,0.00,0.0,0
2002-07-23,91,50,0.00,0.0,0
2002-07-24,91,50,0.00,0.0,0
2002-07-25,92,50,0.10,0.0,0
2002-07-26,92,43,0.05,0.0,0
2002-07-27,86,42,0.00,0.0,0
2002-07-28,86,45,0.00,0.0,0
2002-07-29,88,46,0.00,0.0,0
2002-07-30,90,46,0.00,0.0,0
2002-07-31,92,46,0.00,0.0,0
2002-08-01,92,46,0.00,0.0,0
2002-08-02,86,50,0.00,0.0,0
2002-08-03,87,46,0.00,0.0,0
2002-08-04,84,44,0.00,0.0,0
2002-08-05,84,43,0.00,0.0,0
2002-08-06,80,48,0.00,0.0,0
2002-08-07,81,47,0.00,0.0,0
2002-08-08,81,42,0.00,0.0,0
