date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1987-06-01,73,32,0.00,0.0,0
1987-06-02,67,35,0.00,0.0,0
1987-06-03,75,43,0.00,0.0,0
1987-06-04,77,42,0.00,0.0,0
1987-06-05,84,49,0.00,0.0,0
1987-06-06,81,48,0.28,0.0,0
1987-06-07,71,46,0.22,0.0,0
1987-06-08,74,47,0.01,0.0,0
1987-06-09,72,43,0.08,0.0,0
1987-06-10,72,42,0.06,0.0,0
1987-06-11,72,46,0.03,0.0,0
1987-06-12,80,44,0.13,0.0,0
1987-06-13,84,51,0.00,0.0,0
1987-06-14,88,49,0.00,0.0,0
1987-06-15,87,49,T,0.0,0
1987-06-16,82,46,0.00,0.0,0
1987-06-17,74,40,0.00,0.0,0
1987-06-18,79,49,0.00,0.0,0
1987-06-19,74,36,0.00,0.0,0
1987-06-20,76,41,T,0.0,0
1987-06-21,81,47,0.00,0.0,0
1987-06-22,85,42,0.09,0.0,0
1987-06-23,71,43,0.00,0.0,0
1987-06-24,80,48,0.00,0.0,0
1987-06-25,83,46,0.00,0.0,0
1987-06-26,87,48,0.00,0.0,0
1987-06-27,89,52,0.00,0.0,0
1987-06-28,89,62,0.00,0.0,0
1987-06-29,79,51,T,0.0,0
1987-06-30,81,45,0.01,0.0,0
1987-07-01,86,51,0.08,0.0,0
1987-07-02,86,49,0.00,0.0,0
1987-07-03,85,52,0.01,0.0,0
1987-07-04,83,42,0.00,0.0,0
1987-07-05,85,47,0.00,0.0,0
1987-07-06,83,49,0.00,0.0,0
1987-07-07,80,42,0.00,0.0,0
1987-07-08,85,49,0.00,0.0,0
1987-07-09,85,47,0.00,0.0,0
1987-07-10,84,58,0.00,0.0,0
1987-07-11,70,40,0.00,0.0,0
1987-07-12,78,42,0.00,0.0,0
1987-07-13,82,46,0.00,0.0,0
1987-07-14,87,49,0.00,0.0,0
1987-07-15,91,49,0.00,0.0,0
1987-07-16,94,62,0.00,0.0,0
1987-07-17,85,54,0.12,0.0,0
1987-07-18,73,40,0.04,0.0,0
1987-07-19,65,37,0.00,0.0,0
1987-07-20,73,47,0.00,0.0,0
1987-07-21,80,50,0.33,0.0,0
1987-07-22,66,40,0.34,0.0,0
1987-07-23,76,44,0.00,0.0,0
1987-07-24,76,44,0.00,0.0,0
1987-07-25,85,46,0.00,0.0,0
1987-07-26,91,45,0.00,0.0,0
1987-07-27,89,57,0.00,0.0,0
1987-07-28,85,60,0.00,0.0,0
1987-07-29,83,50,0.03,0.0,0
1987-07-30,83,47,0.01,0.0,0
1987-07-31,88,47,0.00,0.0,0
1987-08-01,91,51,0.00,0.0,0
1987-08-02,91,52,0.00,0.0,0
1987-08-03,90,49,0.00,0.0,0
1987-08-04,91,48,0.00,0.0,0
1987-08-05,94,55,0.00,0.0,0
1987-08-06,92,46,0.00,0.0,0
1987-08-07,93,46,0.00,0.0,0
1987-08-08,84,46,0.00,0.0,0
1987-08-09,85,47,0.00,0.0,0
1987-08-10,90,52,0.00,0.0,0
1987-08-11,90,56,0.00,0.0,0
1987-08-12,85,40,0.00,0.0,0
1987-08-13,87,41,0.00,0.0,0
1987-08-14,83,52,0.01,0.0,0
1987-08-15,70,37,0.14,0.0,0
1987-08-16,74,39,0.00,0.0,0
1987-08-17,82,36,0.00,0.0,0
1987-08-18,81,38,0.00,0.0,0
1987-08-19,87,43,0.00,0.0,0
1987-08-20,88,53,0.00,0.0,0
1987-08-21,87,51,0.00,0.0,0
1987-08-22,79,41,0.03,0.0,0
1987-08-23,83,47,0.02,0.0,0
1987-08-24,85,47,0.02,0.0,0
1987-08-25,78,42,0.28,0.0,0
1987-08-26,76,39,0.00,0.0,0
1987-08-27,77,44,0.00,0.0,0
1987-08-28,81,44,0.00,0.0,0
1987-08-29,86,45,0.00,0.0,0
1987-08-30,88,48,0.00,0.0,0
1987-08-31,89,44,0.00,0.0,0
