date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1993-08-01,91,42,0.00,0.0,0
1993-08-02,91,39,0.00,0.0,0
1993-08-03,92,46,0.00,0.0,0
1993-08-04,90,50,T,0.0,0
1993-08-05,90,52,0.00,0.0,0
1993-08-06,90,46,0.00,0.0,0
1993-08-07,M,52,0.01,0.0,0
1993-08-08,87,42,0.40,0.0,0
1993-08-09,M,49,0.00,0.0,0
1993-08-10,84,49,0.00,0.0,0
1993-08-11,79,47,0.04,0.0,0
1993-08-12,79,39,0.07,0.0,0
1993-08-13,81,38,0.00,0.0,0
1993-08-14,86,42,0.00,0.0,0
1993-08-15,M,44,0.00,0.0,0
1993-08-16,M,42,0.07,0.0,0
1993-08-17,81,32,0.00,0.0,0
1993-08-18,87,44,0.00,0.0,0
1993-08-19,87,36,0.00,0.0,0
1993-08-20,83,46,0.00,0.0,0
1993-08-21,M,36,T,0.0,0
1993-08-22,82,48,0.00,0.0,0
1993-08-23,89,40,0.00,0.0,0
1993-08-24,83,41,0.00,0.0,0
1993-08-25,76,46,0.00,0.0,0
1993-08-26,80,30,0.00,0.0,0
1993-08-27,83,29,0.00,0.0,0
1993-08-28,86,30,0.00,0.0,0
1993-08-29,75,42,0.00,0.0,0
1993-08-30,79,30,0.00,0.0,0
1993-08-31,83,41,0.00,0.0,0
1993-09-01,83,44,0.00,0.0,0
1993-09-02,85,33,0.00,0.0,0
1993-09-03,90,38,0.00,0.0,0
1993-09-04,87,52,0.00,0.0,0
1993-09-05,86,41,0.00,0.0,0
1993-09-06,87,43,0.00,0.0,0
1993-09-07,85,40,0.00,0.0,0
1993-09-08,85,37,0.00,0.0,0
1993-09-09,86,34,0.00,0.0,0
1993-09-10,89,37,0.00,0.0,0
1993-09-11,87,37,0.00,0.0,0
1993-09-12,M,37,0.00,0.0,0
1993-09-13,65,22,0.00,0.0,0
1993-09-14,77,21,0.00,0.0,0
1993-09-15,76,37,0.00,0.0,0
1993-09-16,75,31,0.00,0.0,0
1993-09-17,62,44,0.31,0.0,0
1993-09-18,65,35,0.12,0.0,0
1993-09-19,75,32,0.04,0.0,0
1993-09-20,74,41,0.00,0.0,0
1993-09-21,73,29,0.00,0.0,0
1993-09-22,73,31,0.00,0.0,0
1993-09-23,M,M,0.00,0.0,0
1993-09-24,M,M,0.00,0.0,0
1993-09-25,M,M,0.00,0.0,0
1993-09-26,80,24,0.00,0.0,0
1993-09-27,84,24,0.00,0.0,0
1993-09-28,83,26,0.00,0.0,0
1993-09-29,83,28,0.00,0.0,0
1993-09-30,82,33,0.00,0.0,0
1993-10-01,79,34,0.00,0.0,0
1993-10-02,79,29,0.00,0.0,0
1993-10-03,82,31,0.00,0.0,0
1993-10-04,84,34,0.00,0.0,0
1993-10-05,78,41,0.00,0.0,0
1993-10-06,74,29,0.00,0.0,0
1993-10-07,M,42,0.05,0.0,0
1993-10-08,61,23,0.03,0.0,0
1993-10-09,59,36,0.04,0.0,0
1993-10-10,64,25,0.00,0.0,0
1993-10-11,50,30,0.04,0.0,0
1993-10-12,63,31,0.11,0.0,0
1993-10-13,61,33,0.20,0.0,0
1993-10-14,58,40,0.08,0.0,0
1993-10-15,58,40,0.08,0.0,0
1993-10-16,55,35,0.11,0.0,0
1993-10-17,55,39,0.18,0.0,0
1993-10-18,53,29,0.40,0.0,0
1993-10-19,58,27,0.00,0.0,0
1993-10-20,63,23,0.00,0.0,0
1993-10-21,63,26,0.00,0.0,0
1993-10-22,67,26,0.00,0.0,0
1993-10-23,70,24,0.00,0.0,0
1993-10-24,68,26,0.00,0.0,0
1993-10-25,64,21,0.00,0.0,0
1993-10-26,58,16,0.00,0.0,0
1993-10-27,63,16,0.00,0.0,0
1993-10-28,59,19,0.00,0.0,0
1993-10-29,M,27,0.00,0.0,0
1993-10-30,61,15,0.00,0.0,0
1993-10-31,M,M,M,0.0,0
1993-11-01,M,M,0.00,0.0,0
1993-11-02,57,12,0.00,0.0,0
1993-11-03,63,16,0.00,0.0,0
1993-11-04,49,M,0.00,0.0,0
1993-11-05,46,8,0.00,0.0,0
1993-11-06,51,5,0.00,0.0,0
1993-11-07,53,8,0.00,0.0,0
1993-11-08,54,9,0.00,0.0,0
1993-11-09,57,5,0.00,0.0,0
1993-11-10,59,21,0.00,0.0,0
1993-11-11,M,17,T,T,T
1993-11-12,50,17,0.00,0.0,0
1993-11-13,M,10,0.00,0.0,0
1993-11-14,41,17,0.05,0.5,1
1993-11-15,45,4,0.00,0.0,0
1993-11-16,52,9,0.00,0.0,0
1993-11-17,52,11,0.00,0.0,0
1993-11-18,41,22,0.00,0.0,0
1993-11-19,41,1,0.00,0.0,0
1993-11-20,50,2,0.00,0.0,0
1993-11-21,M,8,0.00,0.0,0
1993-11-22,44,M,0.01,0.0,0
1993-11-23,29,20,0.06,1.5,2
1993-11-24,26,-2,0.00,0.0,1
1993-11-25,29,-12,0.00,0.0,1
1993-11-26,31,-13,0.00,0.0,1
1993-11-27,34,-13,0.00,0.0,0
1993-11-28,40,9,0.00,0.0,0
1993-11-29,47,12,T,0.0,0
1993-11-30,41,24,T,T,0
1993-12-01,43,13,0.00,0.0,0
1993-12-02,42,33,T,T,0
1993-12-03,44,12,0.00,0.0,0
1993-12-04,44,15,0.00,0.0,0
1993-12-05,37,10,T,T,0
1993-12-06,45,10,0.00,0.0,0
1993-12-07,41,14,0.00,0.0,0
1993-12-08,54,24,0.00,0.0,0
1993-12-09,54,35,0.03,0.0,0
1993-12-10,58,25,T,0.0,0
1993-12-11,58,25,0.00,0.0,0
1993-12-12,32,M,0.06,1.0,1
1993-12-13,32,7,0.00,0.0,1
1993-12-14,36,13,0.00,0.0,1
1993-12-15,35,10,0.00,0.0,1
1993-12-16,32,23,T,T,T
1993-12-17,38,24,0.00,0.0,T
1993-12-18,34,3,0.00,0.0,0
1993-12-19,31,-1,0.00,0.0,0
1993-12-20,33,-5,0.00,0.0,0
1993-12-21,36,-2,0.00,0.0,0
1993-12-22,32,-3,0.00,0.0,0
1993-12-23,35,4,0.00,0.0,0
1993-12-24,M,1,0.00,0.0,0
