date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1981-10-01,M,M,0.00,0.0,0
1981-10-02,M,M,0.00,0.0,0
1981-10-03,M,M,0.00,0.0,0
1981-10-04,M,M,0.00,0.0,0
1981-10-05,M,M,0.00,0.0,0
1981-10-06,M,M,0.45,0.0,0
1981-10-07,M,M,0.00,0.0,0
1981-10-08,M,M,0.00,0.0,0
1981-10-09,M,M,0.00,0.0,0
1981-10-10,M,M,0.00,0.0,0
1981-10-11,M,M,0.00,0.0,0
1981-10-12,M,M,0.00,0.0,0
1981-10-13,M,M,0.00,0.0,0
1981-10-14,M,M,0.09,0.0,0
1981-10-15,M,M,0.29,0.0,0
1981-10-16,M,M,T,0.0,0
1981-10-17,M,M,0.00,0.0,0
1981-10-18,M,M,S,0.0,0
1981-10-19,M,M,0.68A,0.0,0
1981-10-20,M,M,0.00,0.0,0
1981-10-21,M,M,0.00,0.0,0
1981-10-22,M,M,0.18,T,0
1981-10-23,M,M,T,0.0,0
1981-10-24,M,M,0.00,0.0,0
1981-10-25,M,M,0.00,0.0,0
1981-10-26,M,M,0.00,0.0,0
1981-10-27,M,M,0.00,0.0,0
1981-10-28,M,M,0.00,0.0,0
1981-10-29,M,M,0.00,0.0,0
1981-10-30,M,M,0.00,0.0,0
1981-10-31,M,M,0.00,0.0,0
1981-11-01,M,M,0.00,0.0,0
1981-11-02,M,M,0.00,0.0,0
1981-11-03,M,M,0.00,0.0,0
1981-11-04,M,M,0.00,0.0,0
1981-11-05,M,M,0.61,0.0,0
1981-11-06,M,M,0.08,0.0,0
1981-11-07,M,M,0.00,0.0,0
1981-11-08,M,M,0.00,0.0,0
1981-11-09,M,M,0.00,0.0,0
1981-11-10,M,M,0.00,0.0,0
1981-11-11,M,M,0.00,0.0,0
1981-11-12,M,M,0.00,0.0,0
1981-11-13,M,M,0.00,0.0,0
1981-11-14,M,M,0.00,0.0,0
1981-11-15,M,M,0.00,0.0,0
1981-11-16,M,M,0.00,0.0,0
1981-11-17,M,M,0.00,0.0,0
1981-11-18,M,M,0.00,0.0,0
1981-11-19,M,M,0.02,0.0,0
1981-11-20,M,M,0.90,0.5,T
1981-11-21,M,M,0.02,0.5,0
1981-11-22,M,M,0.00,0.0,0
1981-11-23,M,M,0.00,0.0,0
1981-11-24,M,M,0.58,1.5,0
1981-11-25,M,M,0.00,0.0,0
1981-11-26,M,M,0.00,0.0,0
1981-11-27,M,M,0.23,0.0,0
1981-11-28,M,M,0.00,0.0,0
1981-11-29,M,M,0.00,0.0,0
1981-11-30,M,M,0.00,0.0,0
1981-12-01,44,21,0.23,0.0,0
1981-12-02,45,33,0.26,0.0,0
1981-12-03,36,22,0.00,0.0,0
1981-12-04,40,23,0.26,0.0,0
1981-12-05,36,22,0.00,0.0,0
1981-12-06,35,21,0.00,0.0,0
1981-12-07,42,29,0.00,0.0,0
1981-12-08,48,33,T,0.0,0
1981-12-09,34,22,T,T,T
1981-12-10,29,17,T,T,0
1981-12-11,30,17,0.00,0.0,0
1981-12-12,29,15,0.00,0.0,0
1981-12-13,33,19,0.00,0.0,0
1981-12-14,35,28,0.00,0.0,0
1981-12-15,35,13,0.00,0.0,0
1981-12-16,25,10,0.00,0.0,0
1981-12-17,23,12,T,0.3,T
1981-12-18,24,7,0.38,6.3,6
1981-12-19,24,5,0.00,0.0,5
1981-12-20,22,1,0.00,0.0,5
1981-12-21,32,1,0.11,1.0,4
