date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1987-02-01,M,M,0.00,0.0,2
1987-02-02,M,M,0.00,0.0,1
1987-02-03,M,M,0.00,0.0,1
1987-02-04,M,M,0.00,0.0,1
1987-02-05,M,M,0.00,0.0,1
1987-02-06,M,M,0.00,0.0,1
1987-02-07,M,M,0.00,0.0,T
1987-02-08,M,M,0.00,0.0,T
1987-02-09,M,M,0.00,0.0,T
1987-02-10,M,M,0.00,0.0,0
1987-02-11,M,M,0.00,0.0,0
1987-02-12,M,M,0.00,0.0,0
1987-02-13,M,M,0.00,0.0,0
1987-02-14,M,M,0.00,0.0,0
1987-02-15,M,M,0.00,0.0,0
1987-02-16,M,M,0.00,0.0,0
1987-02-17,M,M,0.00,0.0,0
1987-02-18,M,M,0.00,0.0,0
1987-02-19,M,M,0.00,0.0,0
1987-02-20,M,M,0.00,0.0,0
1987-02-21,M,M,0.00,0.0,0
1987-02-22,M,M,0.00,0.0,0
1987-02-23,M,M,0.00,0.0,0
1987-02-24,M,M,0.00,0.0,0
1987-02-25,M,M,0.00,0.0,0
1987-02-26,M,M,0.00,0.0,0
1987-02-27,M,M,0.03,0.0,0
1987-02-28,M,M,0.65,0.0,0
1987-03-01,M,M,0.25,0.0,0
1987-03-02,M,M,0.09,0.0,0
1987-03-03,M,M,0.00,0.0,0
1987-03-04,M,M,0.00,0.0,0
1987-03-05,M,M,0.00,0.0,0
1987-03-06,M,M,0.00,0.0,0
1987-03-07,M,M,0.00,0.0,0
1987-03-08,M,M,0.00,0.0,0
1987-03-09,M,M,0.00,0.0,0
1987-03-10,M,M,0.00,0.0,0
1987-03-11,M,M,0.00,0.0,0
1987-03-12,M,M,0.00,0.0,0
1987-03-13,M,M,0.00,0.0,0
1987-03-14,M,M,0.00,0.0,0
1987-03-15,M,M,0.39,0.0,0
1987-03-16,M,M,0.19,0.0,0
1987-03-17,M,M,0.00,0.0,0
1987-03-18,M,M,0.00,0.0,0
1987-03-19,M,M,0.36,0.0,0
1987-03-20,M,M,0.00,0.0,0
1987-03-21,M,M,0.00,0.0,0
1987-03-22,M,M,0.00,0.0,0
1987-03-23,M,M,0.00,0.0,0
1987-03-24,M,M,0.24,0.0,0
1987-03-25,M,M,0.03,0.0,0
1987-03-26,M,M,0.01,0.0,0
1987-03-27,M,M,0.00,0.0,0
1987-03-28,M,M,0.00,0.0,0
1987-03-29,M,M,0.07,0.0,0
1987-03-30,M,M,0.00,0.0,0
1987-03-31,M,M,0.00,0.0,0
1987-04-01,M,M,0.00,0.0,0
1987-04-02,M,M,0.07,0.0,0
1987-04-03,M,M,0.00,0.0,0
