date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1989-04-01,59,29,0.00,0.0,0
1989-04-02,60,47,0.12,0.0,0
1989-04-03,53,43,0.82,0.0,0
1989-04-04,54,43,0.57,0.0,0
1989-04-05,55,35,0.00,0.0,0
1989-04-06,58,34,0.00,0.0,0
1989-04-07,55,32,0.00,0.0,0
1989-04-08,52,33,0.05,0.0,0
1989-04-09,46,24,0.00,0.0,0
1989-04-10,48,24,0.00,0.0,0
1989-04-11,46,27,0.00,0.0,0
1989-04-12,57,28,0.00,0.0,0
1989-04-13,57,27,0.00,0.0,0
1989-04-14,56,32,0.00,0.0,0
1989-04-15,70,37,0.07,0.0,0
1989-04-16,66,43,0.00,0.0,0
1989-04-17,78,49,0.00,0.0,0
1989-04-18,68,48,T,0.0,0
1989-04-19,55,37,0.07,0.0,0
1989-04-20,66,37,0.00,0.0,0
1989-04-21,70,45,0.00,0.0,0
1989-04-22,84,44,0.00,0.0,0
1989-04-23,84,55,0.00,0.0,0
1989-04-24,87,57,0.00,0.0,0
1989-04-25,89,57,0.00,0.0,0
1989-04-26,89,63,0.00,0.0,0
1989-04-27,90,61,0.10,0.0,0
1989-04-28,92,62,0.10,0.0,0
1989-04-29,83,49,0.00,0.0,0
1989-04-30,64,34,0.00,0.0,0
1989-05-01,68,30,0.00,0.0,0
1989-05-02,51,37,0.00,0.0,0
1989-05-03,68,37,0.00,0.0,0
1989-05-04,69,43,0.00,0.0,0
1989-05-05,71,48,0.13,0.0,0
1989-05-06,68,34,0.00,0.0,0
1989-05-07,55,M,0.00,0.0,0
1989-05-08,69,25,0.00,0.0,0
1989-05-09,73,49,0.31,0.0,0
1989-05-10,64,40,0.00,0.0,0
1989-05-11,73,37,0.00,0.0,0
1989-05-12,70,39,0.00,0.0,0
1989-05-13,76,44,0.00,0.0,0
1989-05-14,78,45,0.00,0.0,0
1989-05-15,74,44,0.00,0.0,0
1989-05-16,80,45,0.00,0.0,0
1989-05-17,80,50,0.00,0.0,0
1989-05-18,79,55,0.02,0.0,0
1989-05-19,81,59,0.61,0.0,0
1989-05-20,73,59,0.12,0.0,0
1989-05-21,80,50,0.00,0.0,0
1989-05-22,72,59,0.00,0.0,0
1989-05-23,64,50,0.08,0.0,0
1989-05-24,83,53,0.00,0.0,0
1989-05-25,84,62,0.55,0.0,0
1989-05-26,67,54,1.50,0.0,0
1989-05-27,84,44,0.00,0.0,0
1989-05-28,M,M,M,0.0,0
1989-05-29,69,49,0.71,0.0,0
1989-05-30,89,65,0.00,0.0,0
1989-05-31,88,72,0.00,0.0,0
1989-06-01,88,70,0.00,0.0,0
1989-06-02,75,57,0.00,0.0,0
1989-06-03,83,63,0.52,0.0,0
1989-06-04,79,52,T,0.0,0
1989-06-05,79,58,0.00,0.0,0
1989-06-06,80,55,0.00,0.0,0
1989-06-07,83,56,0.00,0.0,0
1989-06-08,83,58,0.00,0.0,0
1989-06-09,84,51,0.03,0.0,0
1989-06-10,74,47,0.00,0.0,0
1989-06-11,80,51,0.14,0.0,0
1989-06-12,73,63,0.65,0.0,0
1989-06-13,80,59,T,0.0,0
1989-06-14,78,58,0.00,0.0,0
1989-06-15,72,51,0.00,0.0,0
1989-06-16,64,47,0.00,0.0,0
1989-06-17,80,55,0.00,0.0,0
1989-06-18,78,58,0.29,0.0,0
1989-06-19,81,61,0.00,0.0,0
1989-06-20,87,60,0.00,0.0,0
1989-06-21,89,63,0.00,0.0,0
1989-06-22,93,67,0.00,0.0,0
1989-06-23,91,66,0.00,0.0,0
1989-06-24,83,63,0.00,0.0,0
1989-06-25,91,65,0.00,0.0,0
1989-06-26,94,72,0.01,0.0,0
1989-06-27,93,65,0.66,0.0,0
1989-06-28,83,63,0.00,0.0,0
1989-06-29,88,59,0.00,0.0,0
1989-06-30,83,53,0.00,0.0,0
1989-07-01,88,57,0.00,0.0,0
1989-07-02,83,63,0.00,0.0,0
1989-07-03,87,64,0.00,0.0,0
1989-07-04,88,70,0.00,0.0,0
1989-07-05,95,61,0.00,0.0,0
1989-07-06,91,64,0.00,0.0,0
1989-07-07,94,68,0.00,0.0,0
1989-07-08,98,73,0.00,0.0,0
1989-07-09,97,72,0.00,0.0,0
1989-07-10,98,75,0.00,0.0,0
1989-07-11,98,76,0.00,0.0,0
1989-07-12,98,68,0.27,0.0,0
1989-07-13,90,67,0.01,0.0,0
1989-07-14,90,63,0.00,0.0,0
1989-07-15,85,59,0.00,0.0,0
1989-07-16,75,63,0.01,0.0,0
1989-07-17,85,60,0.00,0.0,0
1989-07-18,85,62,T,0.0,0
1989-07-19,86,62,1.00,0.0,0
1989-07-20,79,62,0.25,0.0,0
1989-07-21,80,61,0.15,0.0,0
1989-07-22,74,49,T,0.0,0
1989-07-23,83,65,T,0.0,0
1989-07-24,86,63,0.03,0.0,0
1989-07-25,86,65,T,0.0,0
1989-07-26,90,69,0.00,0.0,0
1989-07-27,90,70,0.00,0.0,0
1989-07-28,95,71,0.00,0.0,0
1989-07-29,96,68,0.00,0.0,0
1989-07-30,93,70,0.50,0.0,0
1989-07-31,85,62,0.03,0.0,0
1989-08-01,85,60,0.00,0.0,0
1989-08-02,85,59,0.00,0.0,0
1989-08-03,91,61,0.00,0.0,0
1989-08-04,96,77,0.00,0.0,0
1989-08-05,100,65,0.00,0.0,0
1989-08-06,81,48,0.00,0.0,0
1989-08-07,78,49,0.00,0.0,0
1989-08-08,85,50,0.00,0.0,0
1989-08-09,87,53,0.00,0.0,0
1989-08-10,87,54,0.00,0.0,0
1989-08-11,85,55,0.00,0.0,0
1989-08-12,88,57,0.00,0.0,0
1989-08-13,90,65,0.00,0.0,0
1989-08-14,89,65,0.00,0.0,0
1989-08-15,86,64,0.00,0.0,0
1989-08-16,86,64,0.43,0.0,0
1989-08-17,79,56,0.00,0.0,0
1989-08-18,83,57,0.00,0.0,0
1989-08-19,84,58,0.00,0.0,0
1989-08-20,82,65,0.00,0.0,0
1989-08-21,85,68,0.73,0.0,0
1989-08-22,79,69,0.67,0.0,0
1989-08-23,86,68,1.65,0.0,0
1989-08-24,86,69,0.03,0.0,0
1989-08-25,73,69,0.02,0.0,0
1989-08-26,84,67,1.87,0.0,0
1989-08-27,85,68,0.83,0.0,0
1989-08-28,91,69,0.51,0.0,0
1989-08-29,87,66,1.76,0.0,0
1989-08-30,77,62,0.04,0.0,0
1989-08-31,85,65,0.01,0.0,0
1989-09-01,90,72,0.01,0.0,0
1989-09-02,88,61,T,0.0,0
1989-09-03,82,58,0.00,0.0,0
1989-09-04,80,61,0.00,0.0,0
1989-09-05,79,61,0.00,0.0,0
1989-09-06,82,62,0.08,0.0,0
1989-09-07,83,69,0.35,0.0,0
1989-09-08,89,69,0.00,0.0,0
1989-09-09,87,68,2.50,0.0,0
1989-09-10,77,57,0.07,0.0,0
1989-09-11,78,57,0.00,0.0,0
1989-09-12,73,55,0.00,0.0,0
1989-09-13,58,47,0.16,0.0,0
1989-09-14,53,48,0.30,0.0,0
1989-09-15,65,53,0.00,0.0,0
1989-09-16,63,54,0.00,0.0,0
1989-09-17,73,50,0.00,0.0,0
1989-09-18,78,51,0.00,0.0,0
1989-09-19,79,55,0.00,0.0,0
1989-09-20,79,54,0.00,0.0,0
1989-09-21,80,53,0.00,0.0,0
1989-09-22,78,54,0.00,0.0,0
1989-09-23,68,36,0.00,0.0,0
1989-09-24,56,32,0.00,0.0,0
1989-09-25,63,33,0.00,0.0,0
1989-09-26,71,41,0.00,0.0,0
1989-09-27,66,37,0.00,0.0,0
1989-09-28,69,37,0.00,0.0,0
1989-09-29,75,41,0.00,0.0,0
1989-09-30,78,49,0.00,0.0,0
1989-10-01,81,51,0.00,0.0,0
1989-10-02,71,52,0.00,0.0,0
1989-10-03,64,37,0.00,0.0,0
1989-10-04,60,35,0.00,0.0,0
1989-10-05,66,35,0.00,0.0,0
