date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1893-08-19,87,M,0.00,M,M
1893-08-20,82,M,0.00,M,M
1893-08-21,84,M,0.00,M,M
1893-08-22,84,M,0.00,M,M
1893-08-23,78,M,0.01,M,M
1893-08-24,89,M,0.01,M,M
1893-08-25,89,M,0.02,M,M
1893-08-26,89,M,0.00,M,M
1893-08-27,94,M,0.00,M,M
1893-08-28,77,M,0.00,M,M
1893-08-29,76,M,0.00,M,M
1893-08-30,76,M,0.00,M,M
1893-08-31,81,M,0.00,M,M
1893-09-01,84,M,0.00,M,M
1893-09-02,77,M,0.00,M,M
1893-09-03,83,M,0.00,M,M
1893-09-04,89,M,0.00,M,M
1893-09-05,92,M,0.00,M,M
1893-09-06,92,M,0.00,M,M
1893-09-07,93,M,0.00,M,M
1893-09-08,91,M,0.00,M,M
1893-09-09,70,M,1.05,M,M
1893-09-10,79,M,0.38,M,M
1893-09-11,83,M,0.22,M,M
1893-09-12,78,M,0.00,M,M
1893-09-13,90,M,0.00,M,M
1893-09-14,100,M,0.00,M,M
1893-09-15,92,M,0.00,M,M
1893-09-16,86,M,0.00,M,M
1893-09-17,82,M,0.00,M,M
1893-09-18,92,M,0.00,M,M
1893-09-19,89,M,0.00,M,M
1893-09-20,90,M,0.00,M,M
1893-09-21,92,M,0.00,M,M
1893-09-22,82,M,0.27,M,M
1893-09-23,75,M,1.08,M,M
1893-09-24,75,M,0.93,M,M
1893-09-25,69,M,0.11,M,M
1893-09-26,68,M,0.00,M,M
1893-09-27,69,M,0.00,M,M
1893-09-28,70,M,0.00,M,M
1893-09-29,75,M,0.03,M,M
1893-09-30,80,M,1.67,M,M
1893-10-01,M,M,0.00,M,M
1893-10-02,M,M,0.02,M,M
1893-10-03,M,M,0.03,M,M
1893-10-04,M,M,0.00,M,M
1893-10-05,M,M,0.00,M,M
1893-10-06,M,M,0.27,M,M
1893-10-07,M,M,0.00,M,M
1893-10-08,82,38,0.00,M,M
1893-10-09,85,52,0.00,M,M
1893-10-10,75,44,0.00,M,M
1893-10-11,78,50,0.00,M,M
1893-10-12,69,35,0.45,M,M
1893-10-13,60,42,T,M,M
1893-10-14,56,35,0.00,M,M
1893-10-15,54,24,0.00,M,M
1893-10-16,58,20,0.00,M,M
1893-10-17,62,22,0.00,M,M
1893-10-18,66,25,0.00,M,M
1893-10-19,70,25,0.00,M,M
1893-10-20,67,34,0.00,M,M
1893-10-21,69,28,0.00,M,M
1893-10-22,68,29,0.00,M,M
1893-10-23,75,32,0.00,M,M
1893-10-24,62,38,0.00,M,M
1893-10-25,63,25,0.00,M,M
1893-10-26,60,50,T,M,M
1893-10-27,59,19,0.00,M,M
1893-10-28,60,34,0.00,M,M
1893-10-29,48,30,0.00,M,M
1893-10-30,56,28,0.00,M,M
1893-10-31,60,41,0.00,M,M
1893-11-01,68,50,0.00,M,M
1893-11-02,71,M,0.00,M,M
1893-11-03,M,29,0.00,M,M
1893-11-04,54,32,0.46,M,M
1893-11-05,62,25,0.00,M,M
1893-11-06,63,27,0.00,M,M
1893-11-07,53,26,0.00,M,M
1893-11-08,53,49,0.00,M,M
1893-11-09,62,47,0.00,M,M
1893-11-10,65,32,0.00,M,M
1893-11-11,69,32,0.00,M,M
1893-11-12,65,42,T,M,M
1893-11-13,46,19,0.00,M,M
1893-11-14,39,21,0.00,M,M
1893-11-15,38,13,0.00,M,M
1893-11-16,68,31,0.00,M,M
1893-11-17,59,M,0.26,M,M
1893-11-18,M,18,0.00,M,M
1893-11-19,51,24,0.00,M,M
1893-11-20,40,18,0.05,M,M
1893-11-21,53,35,0.00,M,M
1893-11-22,50,M,0.00,M,M
1893-11-23,M,10,0.00,M,M
1893-11-24,27,5,0.00,M,M
1893-11-25,31,8,0.00,M,M
1893-11-26,42,30,0.25,M,M
1893-11-27,39,36,T,M,M
1893-11-28,61,21,0.00,M,M
1893-11-29,56,41,T,M,M
1893-11-30,52,19,0.00,M,M
1893-12-01,34,8,0.00,0.0,M
1893-12-02,30,M,T,0.0,M
1893-12-03,M,4,0.03,2.0,M
1893-12-04,31,-4,0.00,0.0,M
1893-12-05,46,24,0.00,0.0,M
1893-12-06,36,19,0.00,0.0,M
1893-12-07,46,17,0.00,0.0,M
1893-12-08,50,34,0.00,0.0,M
1893-12-09,48,37,0.22,0.0,M
1893-12-10,42,15,0.00,0.0,M
1893-12-11,63,M,0.00,0.0,M
1893-12-12,M,25,T,0.0,M
1893-12-13,M,20,0.00,0.0,M
1893-12-14,59,M,T,0.0,M
1893-12-15,65,M,0.57,0.0,M
1893-12-16,M,19,0.00,0.0,M
1893-12-17,31,22,0.00,0.0,M
1893-12-18,53,23,0.00,0.0,M
1893-12-19,49,25,0.00,0.0,M
1893-12-20,37,11,0.00,0.0,M
1893-12-21,54,37,0.00,0.0,M
1893-12-22,57,37,0.00,0.0,M
1893-12-23,67,49,T,0.0,M
1893-12-24,63,52,T,0.0,M
1893-12-25,57,M,0.00,0.0,M
1893-12-26,M,15,0.00,0.0,M
1893-12-27,49,19,0.10,0.0,M
1893-12-28,61,41,0.32,0.0,M
1893-12-29,61,21,0.00,0.0,M
1893-12-30,27,17,0.00,0.0,M
1893-12-31,44,10,0.00,0.0,M
1894-01-01,52,13,0.00,0.0,M
1894-01-02,53,18,0.00,0.0,M
1894-01-03,56,35,0.00,0.0,M
1894-01-04,55,30,0.10,0.0,M
1894-01-05,55,21,0.00,0.0,M
1894-01-06,36,24,0.00,0.0,M
1894-01-07,34,26,0.00,0.0,M
1894-01-08,43,13,0.00,0.0,M
1894-01-09,43,24,0.00,0.0,M
1894-01-10,41,13,0.00,0.0,M
1894-01-11,41,32,0.00,0.0,M
1894-01-12,44,7,0.00,0.0,M
1894-01-13,41,17,0.12,0.0,M
1894-01-14,54,37,0.04,0.0,M
1894-01-15,50,46,T,0.0,M
1894-01-16,62,30,0.00,0.0,M
1894-01-17,67,32,0.00,0.0,M
1894-01-18,46,36,0.21,0.0,M
1894-01-19,46,26,0.07,0.0,M
1894-01-20,54,40,1.50,0.0,M
1894-01-21,52,28,0.04,0.0,M
1894-01-22,40,25,0.00,0.0,M
1894-01-23,30,M,0.35,1.0,M
1894-01-24,M,-13,0.00,0.0,M
1894-01-25,12,-15,0.00,0.0,M
1894-01-26,26,-3,0.00,0.0,M
1894-01-27,37,5,0.00,0.0,M
1894-01-28,45,17,0.00,0.0,M
1894-01-29,26,20,T,0.0,M
1894-01-30,54,14,0.00,0.0,M
1894-01-31,59,26,0.00,0.0,M
1894-02-01,49,19,0.00,0.0,M
1894-02-02,48,15,T,0.0,M
1894-02-03,43,25,0.39,0.0,M
1894-02-04,24,9,0.00,4.0,M
1894-02-05,46,3,0.00,0.0,M
1894-02-06,49,19,T,0.0,M
1894-02-07,56,39,T,0.0,M
1894-02-08,50,45,1.16,0.0,M
1894-02-09,54,43,0.02,0.0,M
1894-02-10,42,24,0.00,0.0,M
1894-02-11,40,26,0.00,0.0,M
1894-02-12,35,24,0.83,1.0,M
1894-02-13,24,17,T,T,M
1894-02-14,30,19,0.09,3.0,M
1894-02-15,24,6,0.01,1.0,M
1894-02-16,39,-0,0.00,0.0,M
1894-02-17,46,35,0.22,0.0,M
1894-02-18,46,19,0.00,0.0,M
1894-02-19,44,24,T,T,M
1894-02-20,32,15,T,T,M
1894-02-21,22,9,T,T,M
1894-02-22,34,14,0.00,0.0,M
1894-02-23,27,14,0.00,0.0,M
1894-02-24,26,12,0.00,0.0,M
1894-02-25,36,20,0.00,0.0,M
1894-02-26,55,10,0.00,0.0,M
1894-02-27,59,29,0.00,0.0,M
1894-02-28,59,30,0.00,0.0,M
1894-03-01,68,19,0.00,0.0,M
1894-03-02,68,25,0.00,0.0,M
1894-03-03,68,28,0.00,0.0,M
1894-03-04,71,46,T,0.0,M
1894-03-05,62,42,0.00,0.0,M
1894-03-06,62,37,1.92,0.0,M
1894-03-07,62,32,T,0.0,M
1894-03-08,49,32,0.00,0.0,M
1894-03-09,54,26,0.00,0.0,M
1894-03-10,73,36,0.00,0.0,M
1894-03-11,56,29,0.00,0.0,M
1894-03-12,61,24,0.00,0.0,M
1894-03-13,71,41,0.00,0.0,M
1894-03-14,61,32,0.00,0.0,M
1894-03-15,64,50,0.10,0.0,M
1894-03-16,69,30,0.00,0.0,M
1894-03-17,76,49,T,0.0,M
1894-03-18,74,56,0.08,0.0,M
1894-03-19,72,46,0.00,0.0,M
1894-03-20,75,51,0.18,0.0,M
1894-03-21,77,47,0.00,0.0,M
1894-03-22,56,42,0.80,0.0,M
1894-03-23,55,33,0.00,0.0,M
1894-03-24,42,24,0.00,0.0,M
1894-03-25,35,17,T,T,M
1894-03-26,28,8,0.00,0.0,M
1894-03-27,39,5,0.00,0.0,M
1894-03-28,45,31,0.08,1.0,M
1894-03-29,41,17,0.00,0.0,M
1894-03-30,56,19,0.00,0.0,M
1894-03-31,64,45,0.00,0.0,M
1894-04-01,60,42,0.00,M,M
1894-04-02,63,25,0.00,M,M
1894-04-03,58,47,0.27,M,M
1894-04-04,63,31,0.00,M,M
1894-04-05,55,35,0.00,M,M
1894-04-06,64,22,0.00,M,M
1894-04-07,70,47,0.03,M,M
1894-04-08,64,42,0.18,M,M
1894-04-09,70,47,0.77,M,M
1894-04-10,53,33,0.00,M,M
1894-04-11,51,31,0.00,M,M
1894-04-12,51,25,0.00,M,M
1894-04-13,64,28,0.00,M,M
1894-04-14,54,38,0.12,M,M
1894-04-15,74,48,0.16,M,M
1894-04-16,76,42,0.00,M,M
1894-04-17,82,48,0.27,M,M
1894-04-18,82,52,0.90,M,M
1894-04-19,62,49,0.08,M,M
1894-04-20,57,43,0.00,M,M
1894-04-21,49,36,0.04,M,M
1894-04-22,60,28,0.00,M,M
1894-04-23,61,29,0.00,M,M
