date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1980-01-01,M,M,0.00,0.0,0
1980-01-02,M,M,0.00,0.0,0
1980-01-03,M,M,T,T,T
1980-01-04,M,M,T,T,T
1980-01-05,M,M,T,T,T
1980-01-06,M,M,0.00,0.0,0
1980-01-07,M,M,0.00,0.0,0
1980-01-08,M,M,0.00,0.0,0
1980-01-09,M,M,0.00,0.0,0
1980-01-10,M,M,0.00,0.0,0
1980-01-11,M,M,0.14,0.0,0
1980-01-12,M,M,0.00,0.0,0
1980-01-13,M,M,T,0.0,0
1980-01-14,M,M,0.00,0.0,0
1980-01-15,M,M,0.00,0.0,0
1980-01-16,M,M,0.05,0.0,0
1980-01-17,M,M,0.11,0.0,0
1980-01-18,M,M,0.00,0.0,0
1980-01-19,M,M,0.00,0.0,0
1980-01-20,M,M,0.04,0.0,0
1980-01-21,M,M,T,0.0,0
1980-01-22,M,M,0.00,0.0,0
1980-01-23,M,M,0.00,0.0,0
1980-01-24,M,M,0.00,0.0,0
1980-01-25,M,M,0.00,0.0,0
1980-01-26,M,M,0.00,0.0,0
1980-01-27,M,M,T,T,T
1980-01-28,M,M,T,T,T
1980-01-29,M,M,T,T,T
1980-01-30,M,M,0.17,M,M
1980-01-31,M,M,0.03,M,M
1980-02-01,30,-7,0.00,0.0,M
1980-02-02,21,-5,0.00,0.0,M
1980-02-03,26,10,0.00,0.0,M
1980-02-04,29,3,0.00,0.0,M
1980-02-05,30,4,0.05,M,M
1980-02-06,35,22,T,T,4
1980-02-07,28,21,0.00,0.0,3
1980-02-08,33,22,0.01,0.1,3
1980-02-09,28,18,0.16,3.0,6
1980-02-10,27,17,0.00,0.0,6
1980-02-11,31,17,0.00,0.0,6
1980-02-12,27,4,0.00,0.0,6
1980-02-13,31,5,0.00,0.0,5
1980-02-14,39,16,0.00,0.0,4
1980-02-15,42,33,0.48,0.0,T
1980-02-16,35,7,0.26,0.8,1
1980-02-17,18,4,0.00,0.0,1
1980-02-18,30,5,0.00,0.0,1
1980-02-19,43,17,0.00,0.0,T
1980-02-20,42,36,0.00,0.0,0
1980-02-21,49,36,0.00,0.0,0
1980-02-22,62,41,0.01,0.0,0
1980-02-23,42,39,T,0.0,0
1980-02-24,43,32,0.00,0.0,0
1980-02-25,35,15,0.05,T,0
1980-02-26,35,10,0.02,T,0
1980-02-27,35,12,0.00,0.0,0
1980-02-28,47,30,0.00,0.0,0
1980-02-29,42,19,0.00,0.0,0
1980-03-01,27,10,0.72,5.0,5
1980-03-02,26,2,0.00,0.0,5
1980-03-03,30,3,0.00,0.0,5
1980-03-04,44,17,0.00,0.0,1
1980-03-05,52,23,T,T,T
1980-03-06,34,19,0.00,0.0,0
1980-03-07,49,22,0.00,0.0,0
1980-03-08,58,34,0.26,0.0,0
1980-03-09,40,26,0.00,0.0,0
1980-03-10,57,27,0.00,0.0,0
1980-03-11,58,20,0.00,0.0,0
1980-03-12,44,23,0.00,0.0,0
1980-03-13,33,28,0.60,5.0,5
1980-03-14,34,19,T,T,5
1980-03-15,52,20,0.00,0.0,T
1980-03-16,68,41,0.00,0.0,0
1980-03-17,59,35,0.43,0.0,0
1980-03-18,45,30,T,0.0,0
1980-03-19,62,32,0.00,0.0,0
1980-03-20,65,40,0.00,0.0,0
1980-03-21,60,35,0.36,0.0,0
1980-03-22,49,29,0.00,0.0,0
1980-03-23,57,34,T,0.0,0
1980-03-24,62,45,0.37,0.0,0
1980-03-25,50,32,0.02,0.0,0
1980-03-26,48,33,0.00,0.0,0
1980-03-27,50,35,0.00,0.0,0
1980-03-28,63,39,0.04,0.0,0
1980-03-29,52,44,0.24,0.0,0
1980-03-30,52,42,0.52,0.0,0
1980-03-31,49,38,0.35,0.0,0
1980-04-01,49,35,T,0.0,0
1980-04-02,60,38,0.00,0.0,0
1980-04-03,69,50,0.15,0.0,0
1980-04-04,70,41,0.00,0.0,0
1980-04-05,56,34,0.00,0.0,0
1980-04-06,66,37,0.00,0.0,0
1980-04-07,71,50,0.10,0.0,0
1980-04-08,79,51,0.78,0.0,0
1980-04-09,60,43,0.10,0.0,0
1980-04-10,58,35,0.00,0.0,0
1980-04-11,65,40,0.00,0.0,0
1980-04-12,64,34,T,0.0,0
1980-04-13,M,M,0.00,0.0,0
1980-04-14,54,30,0.52,5.0,5
1980-04-15,42,30,0.06,T,T
1980-04-16,60,34,0.00,0.0,0
1980-04-17,65,38,0.00,0.0,0
1980-04-18,58,41,0.05,0.0,0
1980-04-19,72,43,0.00,0.0,0
1980-04-20,77,51,0.00,0.0,0
1980-04-21,80,52,0.00,0.0,0
1980-04-22,86,52,0.00,0.0,0
1980-04-23,89,52,0.00,0.0,0
1980-04-24,76,47,0.00,0.0,0
1980-04-25,64,35,0.00,0.0,0
1980-04-26,63,42,0.00,0.0,0
1980-04-27,64,43,0.00,0.0,0
1980-04-28,60,43,0.00,0.0,0
1980-04-29,62,44,0.00,0.0,0
1980-04-30,59,46,T,0.0,0
1980-05-01,65,43,0.00,0.0,0
1980-05-02,70,43,0.00,0.0,0
1980-05-03,75,47,0.00,0.0,0
1980-05-04,80,48,0.00,0.0,0
1980-05-05,85,51,0.00,0.0,0
1980-05-06,85,55,0.00,0.0,0
1980-05-07,81,53,0.00,0.0,0
1980-05-08,67,40,0.00,0.0,0
1980-05-09,61,34,0.00,0.0,0
1980-05-10,70,38,T,0.0,0
1980-05-11,81,50,0.17,0.0,0
1980-05-12,72,55,0.05,0.0,0
1980-05-13,73,55,0.16,0.0,0
1980-05-14,74,41,0.00,0.0,0
1980-05-15,72,43,0.00,0.0,0
1980-05-16,76,49,0.01,0.0,0
1980-05-17,62,52,0.78,0.0,0
1980-05-18,81,55,0.45,0.0,0
1980-05-19,70,52,0.02,0.0,0
1980-05-20,70,49,0.00,0.0,0
1980-05-21,75,51,0.00,0.0,0
1980-05-22,80,51,0.00,0.0,0
1980-05-23,81,52,0.51,0.0,0
1980-05-24,75,53,0.06,0.0,0
1980-05-25,77,57,T,0.0,0
1980-05-26,85,59,0.00,0.0,0
1980-05-27,88,59,0.00,0.0,0
1980-05-28,86,65,0.00,0.0,0
1980-05-29,90,67,0.00,0.0,0
1980-05-30,89,70,0.00,0.0,0
1980-05-31,87,63,0.47,0.0,0
1980-06-01,84,64,0.51,0.0,0
1980-06-02,86,68,T,0.0,0
1980-06-03,86,70,0.00,0.0,0
1980-06-04,86,64,T,0.0,0
1980-06-05,77,56,0.33,0.0,0
1980-06-06,M,66,0.02,0.0,0
1980-06-07,93,68,0.00,0.0,0
1980-06-08,92,60,0.00,0.0,0
1980-06-09,73,50,0.00,0.0,0
1980-06-10,80,51,0.00,0.0,0
1980-06-11,82,52,0.00,0.0,0
1980-06-12,84,49,0.00,0.0,0
1980-06-13,84,56,0.00,0.0,0
1980-06-14,92,59,0.00,0.0,0
1980-06-15,96,M,0.00,0.0,0
1980-06-16,91,55,T,0.0,0
1980-06-17,76,54,0.00,0.0,0
1980-06-18,81,54,0.00,0.0,0
1980-06-19,87,56,0.00,0.0,0
1980-06-20,90,51,0.01,0.0,0
1980-06-21,80,62,T,0.0,0
1980-06-22,86,61,0.00,0.0,0
1980-06-23,90,64,T,0.0,0
1980-06-24,83,66,0.58,0.0,0
1980-06-25,85,66,0.00,0.0,0
1980-06-26,91,67,0.00,0.0,0
1980-06-27,95,68,0.00,0.0,0
1980-06-28,98,72,0.00,0.0,0
1980-06-29,100,70,1.67,0.0,0
1980-06-30,91,60,0.00,0.0,0
1980-07-01,87,61,0.00,0.0,0
1980-07-02,105,75,0.00,0.0,0
1980-07-03,86,68,1.36,0.0,0
1980-07-04,87,71,2.23,0.0,0
1980-07-05,96,72,0.00,0.0,0
1980-07-06,95,75,0.00,0.0,0
1980-07-07,96,75,0.00,0.0,0
1980-07-08,98,77,0.00,0.0,0
1980-07-09,99,78,0.00,0.0,0
1980-07-10,100,74,0.10,0.0,0
1980-07-11,97,76,0.00,0.0,0
1980-07-12,100,80,0.00,0.0,0
1980-07-13,101,72,0.00,0.0,0
1980-07-14,95,73,0.00,0.0,0
1980-07-15,103,78,0.00,0.0,0
1980-07-16,106,80,0.00,0.0,0
1980-07-17,101,65,0.00,0.0,0
1980-07-18,100,67,0.00,0.0,0
1980-07-19,97,78,0.00,0.0,0
1980-07-20,106,78,0.00,0.0,0
1980-07-21,103,74,0.00,0.0,0
1980-07-22,90,67,0.54,0.0,0
1980-07-23,85,62,0.00,0.0,0
1980-07-24,84,64,0.00,0.0,0
1980-07-25,88,62,0.00,0.0,0
1980-07-26,95,67,0.00,0.0,0
1980-07-27,81,66,0.14,0.0,0
1980-07-28,76,57,0.03,0.0,0
1980-07-29,85,59,0.00,0.0,0
1980-07-30,93,71,0.00,0.0,0
1980-07-31,103,73,0.00,0.0,0
1980-08-01,100,75,T,0.0,0
1980-08-02,104,77,0.00,0.0,0
