date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2005-04-06,M,M,0.02,M,M
2005-04-25,M,M,0.21,M,M
2005-05-02,M,M,0.20,M,M
2005-05-03,M,M,0.36,M,M
2005-05-04,M,M,0.11,M,M
2005-05-05,M,M,0.05,M,M
2005-05-13,M,M,1.11,M,M
2005-05-14,M,M,0.03,M,M
2005-05-31,M,M,0.84,M,M
2005-06-01,M,M,0.12,M,M
2005-06-04,M,M,0.57,M,M
2005-06-10,M,M,0.19,M,M
2005-06-16,M,M,0.20,M,M
2005-07-06,M,M,0.60,M,M
2005-07-07,M,M,0.96,M,M
2005-07-12,M,M,0.16,M,M
2005-07-15,M,M,0.02,M,M
2005-08-05,M,M,0.20,M,M
2005-08-06,M,M,0.07,M,M
2005-08-08,M,M,0.05,M,M
2005-08-09,M,M,0.93,M,M
2005-08-13,M,M,0.08,M,M
2005-08-14,M,M,0.53,M,M
2005-08-15,M,M,0.33,M,M
2005-08-21,M,M,0.07,M,M
2005-09-12,M,M,1.23,M,M
2005-09-14,M,M,0.14,M,M
2005-09-15,M,M,0.03,M,M
2005-09-18,M,M,0.13,M,M
2005-10-06,M,M,0.60,M,M
2005-10-10,M,M,0.30,M,M
2005-10-11,M,M,0.18,M,M
2005-10-13,M,M,0.26,M,M
2005-12-17,M,M,0.02,M,M
2005-12-20,M,M,0.09,M,M
2006-01-10,M,M,0.05,T,T
2006-01-22,M,M,0.02,M,M
2006-02-03,M,M,0.09,M,M
2006-03-18,M,M,0.30,M,M
2006-03-19,M,M,1.30,M,M
2006-03-20,M,M,1.03,M,M
2006-03-23,M,M,0.17,1.0,1
2006-03-29,M,M,0.12,M,M
2006-04-02,M,M,0.10,M,M
2006-04-21,M,M,0.03,M,M
2006-04-29,M,M,0.08,M,M
2006-05-03,M,M,0.08,M,M
2006-05-04,M,M,0.13,M,M
2006-05-05,M,M,0.05,M,M
2006-05-06,M,M,0.70,M,M
2006-05-07,M,M,0.14,M,M
2006-06-17,M,M,0.22,M,M
2006-06-23,M,M,0.02,M,M
2006-06-25,M,M,0.15,M,M
2006-07-05,M,M,0.06,M,M
2006-07-10,M,M,0.06,M,M
2006-07-11,M,M,0.63,M,M
2006-07-22,M,M,0.02,M,M
2006-07-28,M,M,0.70,M,M
2006-07-29,M,M,0.02,M,M
2006-08-02,M,M,0.12,M,M
2006-08-03,M,M,0.02,M,M
2006-08-04,M,M,0.76,M,M
