date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2012-02-01,68,37,0.00,0.0,0
2012-02-02,65,37,0.00,0.0,0
2012-02-03,58,36,0.00,0.0,0
2012-02-04,48,32,0.00,0.0,0
2012-02-05,47,25,0.00,0.0,0
2012-02-06,51,30,0.00,0.0,0
2012-02-07,44,28,0.00,0.0,0
2012-02-08,47,19,0.00,0.0,0
2012-02-09,61,32,0.11,0.0,0
2012-02-10,56,32,0.00,0.0,0
2012-02-11,34,18,0.00,0.0,0
2012-02-12,34,16,0.00,0.0,0
2012-02-13,62,25,0.00,0.0,0
2012-02-14,68,34,T,0.0,0
2012-02-15,60,35,0.00,0.0,0
2012-02-16,49,31,0.01,0.0,0
2012-02-17,44,37,0.11,0.0,0
2012-02-18,44,39,0.05,0.0,0
2012-02-19,51,36,0.00,0.0,0
2012-02-20,56,37,0.00,0.0,0
2012-02-21,71,31,0.00,0.0,0
2012-02-22,78,44,0.00,0.0,0
2012-02-23,74,38,0.00,0.0,0
2012-02-24,54,31,0.00,0.0,0
2012-02-25,60,31,0.00,0.0,0
2012-02-26,76,34,0.00,0.0,0
2012-02-27,54,41,0.03,0.0,0
2012-02-28,75,47,0.01,0.0,0
2012-02-29,71,42,0.00,0.0,0
2012-03-01,78,41,0.00,0.0,0
2012-03-02,79,35,0.00,0.0,0
2012-03-03,54,29,0.00,0.0,0
2012-03-04,68,35,0.00,0.0,0
2012-03-05,74,39,0.00,0.0,0
2012-03-06,75,46,0.00,0.0,0
2012-03-07,80,48,0.00,0.0,0
2012-03-08,62,34,T,T,0
2012-03-09,45,33,T,0.0,0
2012-03-10,41,35,0.19,0.0,0
2012-03-11,73,36,0.00,0.0,0
2012-03-12,79,47,0.00,0.0,0
2012-03-13,81,52,0.00,0.0,0
2012-03-14,80,57,0.00,0.0,0
2012-03-15,85,52,0.00,0.0,0
2012-03-16,82,56,0.01,0.0,0
2012-03-17,85,52,0.00,0.0,0
2012-03-18,84,61,0.00,0.0,0
2012-03-19,66,44,0.50,T,0
2012-03-20,57,35,0.01,0.0,0
2012-03-21,50,37,0.12,0.0,0
2012-03-22,62,40,0.00,0.0,0
2012-03-23,78,41,0.00,0.0,0
2012-03-24,88,45,0.00,0.0,0
2012-03-25,86,45,0.00,0.0,0
2012-03-26,82,53,0.00,0.0,0
2012-03-27,88,56,0.00,0.0,0
2012-03-28,87,55,0.00,0.0,0
2012-03-29,89,56,0.00,0.0,0
2012-03-30,87,55,0.00,0.0,0
2012-03-31,92,52,0.00,0.0,0
2012-04-01,90,57,0.00,0.0,0
2012-04-02,80,55,0.00,0.0,0
2012-04-03,69,42,0.00,0.0,0
2012-04-04,72,41,0.00,0.0,0
2012-04-05,83,46,0.00,0.0,0
2012-04-06,87,46,0.00,0.0,0
2012-04-07,71,58,0.00,0.0,0
2012-04-08,77,52,0.00,0.0,0
2012-04-09,83,55,0.32,0.0,0
2012-04-10,83,54,0.00,0.0,0
2012-04-11,81,55,0.72,0.0,0
2012-04-12,84,56,0.01,0.0,0
2012-04-13,83,53,0.00,0.0,0
2012-04-14,88,58,0.08,0.0,0
2012-04-15,70,47,0.00,0.0,0
2012-04-16,72,46,0.00,0.0,0
2012-04-17,78,46,0.00,0.0,0
2012-04-18,88,52,0.00,0.0,0
2012-04-19,87,56,0.00,0.0,0
2012-04-20,75,52,0.00,0.0,0
2012-04-21,85,48,0.00,0.0,0
2012-04-22,84,48,0.00,0.0,0
2012-04-23,81,55,T,0.0,0
2012-04-24,94,54,0.00,0.0,0
2012-04-25,101,65,0.00,0.0,0
2012-04-26,92,64,0.00,0.0,0
2012-04-27,88,60,0.00,0.0,0
2012-04-28,86,54,0.00,0.0,0
2012-04-29,80,59,0.72,0.0,0
2012-04-30,87,60,0.01,0.0,0
2012-05-01,95,61,0.00,0.0,0
2012-05-02,95,64,0.00,0.0,0
2012-05-03,97,63,0.00,0.0,0
2012-05-04,96,65,0.00,0.0,0
2012-05-05,97,61,0.00,0.0,0
2012-05-06,88,61,0.00,0.0,0
2012-05-07,78,57,0.16,0.0,0
2012-05-08,70,53,0.05,0.0,0
2012-05-09,76,50,0.00,0.0,0
2012-05-10,64,54,0.45,0.0,0
