date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1995-12-01,66,36,0.00,0.0,M
1995-12-02,53,37,0.00,0.0,0
1995-12-03,66,36,0.00,0.0,0
1995-12-04,66,29,0.00,0.0,0
1995-12-05,47,33,0.00,0.0,0
1995-12-06,42,32,0.00,0.3,T
1995-12-07,43,21,0.00,M,M
1995-12-08,39,19,0.07,0.6,1
1995-12-09,36,14,0.00,M,M
1995-12-10,27,14,0.00,M,M
1995-12-11,28,15,0.00,M,M
1995-12-12,32,15,0.00,M,M
1995-12-13,31,25,0.08,M,M
1995-12-14,57,28,0.00,M,M
1995-12-15,61,38,0.36,M,M
1995-12-16,52,27,0.26,M,M
1995-12-17,41,25,0.00,M,M
1995-12-18,35,29,0.46,M,M
1995-12-19,32,21,0.62,0.5,1
1995-12-20,26,21,0.00,0.0,1
1995-12-21,30,22,0.00,0.0,1
1995-12-22,33,23,0.00,0.0,1
1995-12-23,35,24,0.00,0.0,M
1995-12-24,35,24,0.00,M,M
1995-12-25,33,24,0.00,M,M
1995-12-26,29,21,0.00,M,M
1995-12-27,31,20,0.00,M,M
1995-12-28,36,20,0.00,M,M
1995-12-29,42,19,0.00,M,M
1995-12-30,49,19,0.00,M,M
1995-12-31,49,29,0.09,M,M
1996-01-01,49,34,0.34,M,0
1996-01-02,36,33,1.05,M,M
1996-01-03,41,21,0.02,M,M
1996-01-04,41,19,0.00,M,M
1996-01-05,34,19,0.00,M,M
1996-01-06,23,12,0.83,8.3,8
1996-01-07,18,11,1.97,19.7,28
1996-01-08,27,9,0.20,2.0,30
1996-01-09,33,11,0.00,M,30
1996-01-10,31,8,0.00,M,29
1996-01-11,22,6,0.30,3.0,29
1996-01-12,32,17,0.18,1.8,27
1996-01-13,43,16,0.00,M,24
1996-01-14,55,16,0.00,M,20
1996-01-15,47,25,0.00,M,18
1996-01-16,34,23,0.02,M,17
1996-01-17,51,33,0.00,M,14
1996-01-18,63,36,0.92,M,M
1996-01-19,63,12,3.40,M,0
1996-01-20,29,11,0.00,M,M
1996-01-21,35,17,0.00,M,M
1996-01-22,45,17,0.00,M,M
1996-01-23,48,M,0.03,M,M
1996-01-24,57,27,0.17,M,M
1996-01-25,37,25,0.00,M,M
1996-01-26,50,24,0.70,M,M
1996-01-27,60,26,0.03,M,M
1996-01-28,34,24,0.00,M,M
1996-01-29,36,27,0.00,M,M
1996-01-30,49,30,0.00,M,M
1996-01-31,30,12,0.00,M,M
1996-02-01,24,15,0.02,0.2,T
1996-02-02,25,11,0.75,7.5,8
1996-02-03,16,6,0.00,0.0,7
1996-02-04,16,-2,0.00,0.0,7
1996-02-05,22,-2,0.00,0.0,6
1996-02-06,35,3,0.00,0.0,5
1996-02-07,36,18,0.01,0.0,4
1996-02-08,49,33,0.04,0.0,0
1996-02-09,48,33,0.00,0.0,0
1996-02-10,62,32,0.00,0.0,0
1996-02-11,58,28,0.00,0.0,0
1996-02-12,32,18,0.00,0.0,0
1996-02-13,35,20,0.00,0.0,0
1996-02-14,49,28,0.00,0.0,0
1996-02-15,40,26,0.03,T,T
1996-02-16,27,14,0.20,2.0,2
1996-02-17,31,14,0.00,0.0,2
1996-02-18,37,14,0.00,0.0,1
1996-02-19,43,M,0.00,0.0,0
1996-02-20,47,38,0.50,0.0,0
1996-02-21,52,39,0.02,0.0,0
1996-02-22,46,39,0.28,0.0,0
1996-02-23,60,39,0.02,0.0,0
1996-02-24,58,48,0.00,0.1,M
1996-02-25,70,40,0.00,0.0,0
1996-02-26,52,39,0.14,0.0,0
1996-02-27,66,45,0.06,0.0,0
1996-02-28,63,23,0.00,0.0,0
1996-02-29,33,17,0.00,0.0,0
